R	z	x	u	grp_fit
0	0.748343	0.182553	0.057742	0.011362
0.01	0.740918	0.180615	0.055975	0.022493
0.02	0.733511	0.178641	0.054228	0.033619
0.03	0.726126	0.176633	0.052503	0.044738
0.04	0.718761	0.174589	0.050801	0.055849
0.05	0.711418	0.172512	0.049121	0.06695
0.06	0.704097	0.1704	0.047465	0.078038
0.07	0.696799	0.168254	0.045833	0.089113
0.08	0.689524	0.166075	0.044227	0.100173
0.09	0.682273	0.163864	0.042647	0.111216
0.1	0.675046	0.161621	0.041093	0.122239
0.11	0.667844	0.159347	0.039567	0.133243
0.12	0.660666	0.157043	0.038068	0.144223
0.13	0.653513	0.154709	0.036598	0.15518
0.14	0.646385	0.152346	0.035158	0.166111
0.15	0.639282	0.149956	0.033747	0.177015
0.16	0.632204	0.14754	0.032366	0.18789
0.17	0.62515	0.145099	0.031017	0.198734
0.18	0.618122	0.142633	0.029698	0.209547
0.19	0.611118	0.140145	0.028411	0.220325
0.2	0.604139	0.137635	0.027156	0.231069
0.21	0.597183	0.135106	0.025934	0.241777
0.22	0.59025	0.132558	0.024744	0.252447
0.23	0.58334	0.129994	0.023587	0.263079
0.24	0.576452	0.127414	0.022463	0.273671
0.25	0.569586	0.124821	0.021372	0.284221
0.26	0.562739	0.122215	0.020315	0.294731
0.27	0.555912	0.1196	0.019291	0.305197
0.28	0.549104	0.116977	0.0183	0.31562
0.29	0.542312	0.114347	0.017342	0.325999
0.3	0.535537	0.111713	0.016417	0.336333
0.31	0.528777	0.109076	0.015525	0.346622
0.32	0.52203	0.106438	0.014666	0.356866
0.33	0.515295	0.103801	0.013839	0.367064
0.34	0.508571	0.101168	0.013045	0.377216
0.35	0.501857	0.09854	0.012281	0.387322
0.36	0.495149	0.095918	0.011549	0.397383
0.37	0.488448	0.093306	0.010848	0.407398
0.38	0.481751	0.090704	0.010177	0.417367
0.39	0.475057	0.088116	0.009536	0.427292
0.4	0.468363	0.085541	0.008924	0.437172
0.41	0.461668	0.082983	0.00834	0.447008
0.42	0.454971	0.080444	0.007784	0.456801
0.43	0.448269	0.077924	0.007256	0.466552
0.44	0.44156	0.075426	0.006753	0.476261
0.45	0.434842	0.072951	0.006277	0.485929
0.46	0.428115	0.070501	0.005826	0.495558
0.47	0.421374	0.068078	0.005399	0.505148
0.48	0.41462	0.065683	0.004995	0.514701
0.49	0.40785	0.063317	0.004615	0.524218
0.5	0.401061	0.060983	0.004256	0.5337
0.51	0.394252	0.05868	0.003919	0.543149
0.52	0.387422	0.056411	0.003602	0.552566
0.53	0.380567	0.054177	0.003304	0.561952
0.54	0.373687	0.051979	0.003025	0.571309
0.55	0.366779	0.049818	0.002765	0.580638
0.56	0.359841	0.047695	0.002522	0.589942
0.57	0.352873	0.045611	0.002295	0.599222
0.58	0.34587	0.043567	0.002084	0.608479
0.59	0.338833	0.041564	0.001888	0.617715
0.6	0.33176	0.039603	0.001706	0.626931
0.61	0.324647	0.037684	0.001538	0.636131
0.62	0.317494	0.035808	0.001383	0.645314
0.63	0.310299	0.033977	0.00124	0.654484
0.64	0.303061	0.03219	0.001109	0.663641
0.65	0.295776	0.030447	0.000988	0.672788
0.66	0.288445	0.028751	0.000878	0.681926
0.67	0.281065	0.027101	0.000777	0.691058
0.68	0.273634	0.025497	0.000686	0.700184
0.69	0.266151	0.02394	0.000602	0.709307
0.7	0.258614	0.02243	0.000527	0.718429
