T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
205	0.001535	0.001515	0.001955	0.001516	0.001611	0.001344	0.001502	0.001843	0.001345	0.001728	
210	0.003123	0.003002	0.004021	0.003665	0.003076	0.003177	0.004239	0.003858	0.003547	0.003184	
215	0.005228	0.004235	0.005804	0.005109	0.005189	0.005066	0.005863	0.005398	0.004635	0.005595	
220	0.007848	0.006447	0.007783	0.007066	0.007338	0.005927	0.008708	0.007009	0.005948	0.008678	
225	0.010113	0.007666	0.009868	0.009335	0.009684	0.006904	0.010842	0.007565	0.006749	0.010850	
230	0.011131	0.009995	0.013713	0.012624	0.012385	0.009451	0.013868	0.012205	0.008753	0.012415	
235	0.012767	0.012644	0.017330	0.013712	0.016526	0.011815	0.016643	0.014666	0.009995	0.014615	
240	0.017275	0.016357	0.019902	0.016752	0.022315	0.013751	0.018571	0.016674	0.012759	0.017386	
245	0.019210	0.019059	0.023536	0.019938	0.023514	0.015780	0.019922	0.019875	0.016719	0.020383	
250	0.020429	0.022224	0.025301	0.023609	0.026157	0.018884	0.022148	0.022256	0.018619	0.022448	
255	0.023954	0.025972	0.031882	0.024561	0.027805	0.020622	0.023142	0.024779	0.019474	0.025574	
260	0.026288	0.029776	0.035378	0.028223	0.029874	0.023104	0.027349	0.027696	0.022377	0.026975	
265	0.030158	0.033246	0.036226	0.030729	0.031335	0.025763	0.027732	0.030863	0.025297	0.030426	
270	0.033165	0.036087	0.036997	0.034436	0.032981	0.028802	0.031018	0.034190	0.029599	0.034169	
275	0.034101	0.037321	0.038098	0.037464	0.031352	0.031909	0.032929	0.035179	0.033072	0.037569	
280	0.036252	0.039057	0.038710	0.039473	0.032765	0.031850	0.037611	0.037522	0.034971	0.042577	
285	0.037446	0.042342	0.041110	0.041522	0.033989	0.035663	0.038792	0.039708	0.037464	0.042408	
290	0.037964	0.044916	0.043651	0.043732	0.034935	0.037965	0.040280	0.041769	0.039115	0.044666	
295	0.041381	0.045342	0.046114	0.046107	0.038570	0.041825	0.041931	0.043702	0.039493	0.046348	
300	0.043726	0.046733	0.046101	0.051506	0.041061	0.044632	0.043536	0.044875	0.041161	0.048850	
305	0.046195	0.048678	0.046352	0.052165	0.041909	0.047808	0.046375	0.046676	0.041334	0.048513	
310	0.048136	0.049696	0.046005	0.056170	0.042629	0.048433	0.045649	0.049120	0.046288	0.049619	
315	0.048028	0.051339	0.047576	0.057754	0.045051	0.049241	0.047496	0.049634	0.047558	0.049862	
320	0.050627	0.051944	0.049252	0.058895	0.045357	0.050252	0.046930	0.049795	0.047590	0.052825	
325	0.052539	0.050338	0.050804	0.058890	0.045737	0.049959	0.047055	0.050576	0.048796	0.054941	
330	0.052338	0.049891	0.050805	0.058977	0.044981	0.049610	0.046535	0.048453	0.051492	0.056186	
335	0.051305	0.050532	0.049505	0.059007	0.044948	0.051252	0.048172	0.048891	0.052180	0.056551	
340	0.050274	0.051248	0.051978	0.058607	0.047121	0.051808	0.047376	0.050781	0.053054	0.057844	
345	0.050463	0.052364	0.052891	0.058778	0.049067	0.051471	0.047731	0.052468	0.051789	0.056534	
350	0.051118	0.052649	0.052393	0.058826	0.050946	0.050805	0.048114	0.053172	0.054093	0.055934	
355	0.051640	0.052339	0.053883	0.059193	0.050008	0.051022	0.048266	0.051998	0.054102	0.056549	
360	0.051569	0.051957	0.055054	0.060533	0.050514	0.048712	0.048313	0.052848	0.053004	0.056810	
365	0.053714	0.050547	0.055613	0.063085	0.051318	0.048604	0.047612	0.053925	0.052258	0.056332	
370	0.053738	0.050444	0.056265	0.063572	0.052077	0.048328	0.047792	0.055547	0.052765	0.056670	
375	0.053906	0.047781	0.056702	0.063046	0.050714	0.048014	0.047749	0.054817	0.052921	0.057706	
380	0.054617	0.048023	0.056827	0.062409	0.051711	0.048047	0.046775	0.053701	0.052349	0.055745	
385	0.052657	0.047974	0.055859	0.062754	0.051682	0.048134	0.046524	0.051333	0.053097	0.054561	
390	0.054114	0.046996	0.055831	0.061238	0.050307	0.048472	0.046894	0.052484	0.053706	0.054223	
395	0.055251	0.046108	0.055033	0.059856	0.049806	0.046658	0.047872	0.052527	0.052602	0.052433	
400	0.054352	0.046883	0.054546	0.058413	0.048606	0.047208	0.047626	0.052108	0.053675	0.052846	
405	0.052251	0.048587	0.053987	0.058067	0.049774	0.047058	0.048665	0.052786	0.054612	0.052296	
410	0.053092	0.049830	0.052884	0.057180	0.049143	0.047689	0.049131	0.052252	0.054333	0.051808	
415	0.051770	0.051940	0.052634	0.058043	0.049338	0.048833	0.046518	0.051560	0.053961	0.052647	
420	0.051388	0.051860	0.052249	0.056439	0.051130	0.049553	0.048053	0.052098	0.052518	0.053510	
425	0.052176	0.050451	0.051421	0.054994	0.050759	0.047846	0.049751	0.050964	0.053034	0.054240	
430	0.052632	0.049696	0.050201	0.054383	0.051777	0.048132	0.048307	0.050745	0.052409	0.053122	
435	0.050787	0.050802	0.050696	0.054702	0.052920	0.047342	0.048352	0.050256	0.051525	0.053262	
440	0.051085	0.050840	0.052731	0.054773	0.050820	0.047463	0.049113	0.051753	0.049660	0.052082	
445	0.051537	0.051344	0.051401	0.055166	0.052393	0.047496	0.047267	0.051829	0.049144	0.052669	
450	0.051169	0.051890	0.052074	0.056953	0.053830	0.045699	0.047852	0.052754	0.050348	0.052014	
455	0.051239	0.049638	0.052066	0.056960	0.052781	0.047405	0.047112	0.051688	0.050652	0.054010	
460	0.050013	0.048910	0.052332	0.056775	0.053629	0.049003	0.047036	0.050763	0.051978	0.053759	
465	0.050564	0.048248	0.050602	0.056233	0.053965	0.049053	0.046732	0.047997	0.052381	0.051470	
470	0.049981	0.048912	0.051006	0.056125	0.054814	0.048365	0.046374	0.046990	0.050884	0.050161	
475	0.049554	0.048875	0.051617	0.056715	0.053649	0.048424	0.045042	0.046290	0.051325	0.050441	
480	0.050026	0.048210	0.050616	0.056011	0.052520	0.047798	0.044470	0.045944	0.051128	0.049967	
485	0.051169	0.049411	0.049596	0.056046	0.051385	0.048214	0.044785	0.046900	0.050456	0.050025	
490	0.051929	0.050017	0.051236	0.053858	0.049490	0.046992	0.044091	0.045915	0.048921	0.048625	
495	0.053020	0.051469	0.051281	0.052654	0.050731	0.048335	0.043287	0.045765	0.048483	0.049550	
500	0.052428	0.051562	0.053456	0.052808	0.049546	0.048401	0.042548	0.047487	0.046873	0.048954	
505	0.054609	0.052156	0.053136	0.054780	0.049297	0.048913	0.043492	0.047276	0.046263	0.048054	
510	0.054249	0.052619	0.052349	0.055685	0.048019	0.048629	0.042938	0.047593	0.045650	0.048852	
515	0.055283	0.052821	0.054054	0.055859	0.046937	0.049028	0.043017	0.049515	0.046246	0.047574	
520	0.054750	0.052417	0.053274	0.056834	0.046788	0.047728	0.040931	0.048794	0.046718	0.045985	
525	0.055629	0.051653	0.054291	0.055402	0.046545	0.047758	0.041595	0.048639	0.047526	0.046670	
530	0.055056	0.052178	0.053519	0.053077	0.046601	0.047640	0.042568	0.049936	0.047037	0.046658	
535	0.054340	0.051028	0.053458	0.053599	0.046923	0.048345	0.041590	0.047847	0.047228	0.046887	
540	0.054668	0.051601	0.052196	0.054026	0.046484	0.048005	0.042477	0.046909	0.045294	0.046191	
545	0.053912	0.052412	0.052574	0.053695	0.046043	0.048784	0.043660	0.045898	0.045792	0.048620	
550	0.052188	0.053106	0.052896	0.053076	0.045831	0.048166	0.043625	0.047011	0.047646	0.047338	
555	0.050051	0.052248	0.053030	0.051770	0.045885	0.046595	0.043074	0.046137	0.046264	0.047945	
560	0.047703	0.054948	0.052194	0.051843	0.045438	0.047858	0.043795	0.047103	0.046877	0.047967	
565	0.048181	0.056132	0.052387	0.052054	0.044801	0.047291	0.044413	0.047747	0.047279	0.048342	
570	0.048582	0.055078	0.052667	0.051210	0.045802	0.047977	0.044263	0.046810	0.049526	0.048427	
575	0.049504	0.053074	0.053557	0.050193	0.047053	0.047384	0.043808	0.045741	0.048825	0.047613	
580	0.049590	0.052616	0.051410	0.051153	0.044934	0.049327	0.044088	0.045407	0.048383	0.047042	
585	0.049287	0.053073	0.051651	0.050870	0.046530	0.047719	0.043911	0.045435	0.047500	0.045375	
590	0.048667	0.052754	0.051686	0.050539	0.046507	0.046839	0.044760	0.045914	0.046775	0.046342	
595	0.049546	0.051771	0.050442	0.050343	0.047261	0.047214	0.043742	0.044223	0.046197	0.045801	
600	0.047510	0.052228	0.050314	0.050093	0.047617	0.047196	0.044649	0.044808	0.046166	0.046996	
605	0.047012	0.052227	0.050549	0.049005	0.049758	0.046293	0.044549	0.045871	0.047225	0.047851	
610	0.049468	0.052340	0.049508	0.050286	0.047957	0.045258	0.044401	0.047216	0.046933	0.047045	
615	0.047351	0.052782	0.049409	0.049117	0.047700	0.046199	0.045267	0.047961	0.045307	0.047080	
620	0.047069	0.051966	0.048553	0.050297	0.046583	0.046401	0.046371	0.048243	0.045935	0.047569	
625	0.046849	0.052846	0.047814	0.049599	0.046720	0.045818	0.046231	0.047102	0.047059	0.047362	
630	0.046248	0.054078	0.048522	0.050946	0.046377	0.045899	0.044763	0.048269	0.048152	0.047401	
635	0.044405	0.052182	0.047169	0.052422	0.046253	0.045326	0.044869	0.048013	0.048600	0.047170	
640	0.045928	0.053128	0.048070	0.053018	0.045080	0.046888	0.047481	0.047889	0.048483	0.048028	
645	0.045789	0.054672	0.046639	0.052577	0.043295	0.046403	0.047040	0.048140	0.048368	0.047527	
650	0.046760	0.053491	0.046730	0.053330	0.043914	0.046185	0.047077	0.047794	0.046212	0.047729	
655	0.048366	0.052315	0.045597	0.053720	0.042973	0.046045	0.047838	0.046561	0.047235	0.047213	
660	0.047396	0.052022	0.045544	0.054577	0.042673	0.047376	0.045992	0.045734	0.046998	0.046380	
665	0.047456	0.052538	0.046412	0.052406	0.042711	0.046758	0.044076	0.046357	0.048004	0.046037	
670	0.048026	0.051653	0.046226	0.051104	0.043779	0.047277	0.044001	0.046023	0.047925	0.046113	
675	0.049435	0.052999	0.046534	0.051770	0.046205	0.046343	0.044959	0.046141	0.047875	0.046925	
680	0.050592	0.052952	0.047274	0.051354	0.043714	0.045107	0.044885	0.045644	0.046868	0.048206	
