T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.002022	0.001414	0.001759	0.002087	0.001699	0.001593	0.001944	0.002201	0.001667	0.001523	
110	0.005102	0.005508	0.005108	0.005217	0.005664	0.004700	0.006729	0.006890	0.005014	0.005032	
115	0.011917	0.013579	0.013021	0.009925	0.013428	0.009375	0.016077	0.015541	0.009863	0.011475	
120	0.020134	0.027181	0.024224	0.020711	0.025854	0.016323	0.031216	0.027657	0.020150	0.021009	
125	0.034455	0.045740	0.039981	0.037349	0.039440	0.027995	0.049184	0.045469	0.036270	0.036429	
130	0.057638	0.068114	0.066975	0.054446	0.059651	0.041941	0.071750	0.064852	0.057986	0.058263	
135	0.078844	0.092291	0.094744	0.072401	0.077589	0.055860	0.097370	0.083131	0.077958	0.081898	
140	0.095664	0.111717	0.118087	0.086028	0.092128	0.068525	0.115322	0.103390	0.093538	0.103110	
145	0.110210	0.121393	0.128835	0.096815	0.101264	0.079632	0.129039	0.115121	0.103370	0.121580	
150	0.119070	0.129659	0.143689	0.103289	0.108227	0.086175	0.138741	0.125060	0.111941	0.130497	
155	0.124932	0.136802	0.153637	0.109999	0.119435	0.098201	0.146241	0.133497	0.118882	0.138678	
160	0.134216	0.144570	0.161265	0.115834	0.126586	0.105139	0.152741	0.138156	0.126515	0.144932	
165	0.140853	0.150460	0.168099	0.123777	0.136853	0.111291	0.159248	0.148216	0.130088	0.152032	
170	0.146184	0.154097	0.171612	0.132418	0.142236	0.118525	0.162932	0.151760	0.136869	0.155102	
175	0.149480	0.157680	0.177697	0.139080	0.147971	0.127551	0.168780	0.155968	0.141386	0.158560	
180	0.156308	0.159974	0.185568	0.146693	0.153896	0.134348	0.169941	0.158724	0.147599	0.162869	
185	0.159620	0.164271	0.189844	0.158332	0.158666	0.139709	0.173613	0.162691	0.151551	0.164825	
190	0.164511	0.168144	0.192611	0.167127	0.162738	0.150671	0.178723	0.167185	0.155447	0.168283	
195	0.171568	0.173097	0.194758	0.175841	0.170159	0.155549	0.183563	0.170775	0.162415	0.173084	
200	0.177901	0.172329	0.197329	0.184066	0.173534	0.163760	0.186523	0.172939	0.166526	0.175356	
205	0.178411	0.177226	0.198292	0.189806	0.177939	0.169729	0.191864	0.175697	0.170629	0.180050	
210	0.181126	0.180825	0.202872	0.194560	0.182372	0.178399	0.196921	0.178421	0.172581	0.186000	
215	0.184549	0.183352	0.203936	0.197074	0.186894	0.183963	0.199877	0.181068	0.180103	0.190270	
220	0.189577	0.186136	0.205051	0.200947	0.189479	0.187016	0.201310	0.186218	0.180785	0.192302	
225	0.194203	0.189672	0.203457	0.206723	0.192612	0.188979	0.204188	0.187922	0.184618	0.192317	
230	0.196087	0.191537	0.206621	0.207838	0.192436	0.192212	0.203486	0.188072	0.189379	0.196561	
235	0.198624	0.192304	0.206391	0.213287	0.196026	0.194744	0.205783	0.190252	0.188867	0.196971	
240	0.198569	0.195177	0.204721	0.218049	0.197546	0.195195	0.210600	0.190459	0.192098	0.197930	
245	0.198565	0.195118	0.207012	0.218057	0.199109	0.198846	0.211471	0.192832	0.193783	0.196861	
250	0.198510	0.196551	0.206718	0.217221	0.195099	0.197741	0.212859	0.194319	0.196176	0.200893	
255	0.194771	0.196766	0.205133	0.217926	0.194609	0.196859	0.212512	0.196741	0.197099	0.199277	
260	0.195954	0.197259	0.204821	0.217698	0.198836	0.196810	0.211848	0.196812	0.194000	0.198222	
265	0.196070	0.194572	0.204996	0.222176	0.197746	0.196618	0.211540	0.197257	0.198712	0.195568	
270	0.197101	0.192803	0.205701	0.217919	0.197156	0.197579	0.207708	0.197416	0.199065	0.196292	
275	0.195121	0.190342	0.205021	0.217869	0.198292	0.199135	0.205752	0.196442	0.200213	0.197555	
280	0.194621	0.189437	0.203008	0.220848	0.195524	0.197613	0.203993	0.194066	0.201673	0.196612	
285	0.194212	0.188255	0.202649	0.218044	0.195394	0.199378	0.203173	0.193153	0.199345	0.197128	
290	0.194247	0.186416	0.200352	0.214611	0.194707	0.199427	0.201166	0.189248	0.199135	0.198314	
295	0.193160	0.182772	0.197331	0.213403	0.192604	0.195094	0.200866	0.185435	0.198368	0.199117	
300	0.192158	0.182260	0.195277	0.209900	0.190869	0.192990	0.198902	0.183007	0.199230	0.196015	
305	0.189996	0.177021	0.196099	0.208444	0.188525	0.190912	0.198228	0.182208	0.195961	0.192939	
310	0.189649	0.174584	0.196415	0.207640	0.188299	0.185888	0.195774	0.181947	0.194791	0.189849	
315	0.189147	0.172381	0.193293	0.203780	0.185833	0.185687	0.188560	0.181801	0.192188	0.187276	
320	0.185966	0.173574	0.194143	0.201905	0.185609	0.181115	0.187694	0.182883	0.190179	0.184631	
325	0.184403	0.174368	0.190561	0.196920	0.184205	0.178910	0.183760	0.177647	0.187320	0.182116	
330	0.184271	0.174239	0.186578	0.195305	0.184903	0.173974	0.182197	0.175877	0.184848	0.178122	
335	0.180376	0.172044	0.182040	0.193698	0.183881	0.170952	0.181261	0.172288	0.181956	0.177588	
340	0.180764	0.169401	0.182983	0.192489	0.182149	0.170693	0.178984	0.171647	0.184475	0.175650	
345	0.183227	0.169130	0.182381	0.190704	0.178362	0.169118	0.176606	0.168897	0.184231	0.175335	
350	0.181632	0.168238	0.181114	0.191566	0.176029	0.169210	0.175875	0.168488	0.183371	0.173594	
355	0.182243	0.167643	0.179780	0.188856	0.174380	0.169309	0.175622	0.170720	0.184987	0.172665	
360	0.182728	0.168082	0.175703	0.187806	0.172533	0.171477	0.176155	0.169174	0.185483	0.171197	
365	0.181940	0.168119	0.176988	0.185645	0.170422	0.169495	0.173769	0.168468	0.183251	0.173345	
370	0.182542	0.168943	0.176939	0.186745	0.170520	0.168112	0.173466	0.167148	0.180852	0.170405	
375	0.180304	0.169971	0.176425	0.183955	0.169890	0.168902	0.172497	0.164886	0.178064	0.171500	
380	0.177519	0.169025	0.174471	0.183848	0.169377	0.170801	0.169900	0.164438	0.177894	0.171469	
385	0.177010	0.171348	0.171247	0.180932	0.169179	0.167503	0.169870	0.164134	0.177007	0.171994	
390	0.175561	0.171590	0.172667	0.176822	0.168286	0.166266	0.170333	0.164611	0.176842	0.173714	
395	0.174706	0.170740	0.174352	0.176992	0.165661	0.165963	0.170698	0.162968	0.175087	0.174854	
400	0.174050	0.170479	0.173067	0.175955	0.164661	0.165838	0.170566	0.165089	0.173862	0.174142	
405	0.173172	0.170854	0.171402	0.172490	0.165418	0.167563	0.170016	0.163907	0.171625	0.173124	
410	0.173167	0.169842	0.168940	0.171207	0.166092	0.169092	0.170422	0.161752	0.172151	0.171939	
415	0.172778	0.171457	0.165089	0.170270	0.167937	0.169475	0.169520	0.160687	0.173223	0.171765	
420	0.171807	0.171802	0.167491	0.170519	0.165921	0.167818	0.168856	0.163084	0.171163	0.168371	
425	0.171870	0.171820	0.166031	0.170926	0.164050	0.167978	0.168571	0.163636	0.168722	0.166948	
430	0.170881	0.174256	0.164973	0.171994	0.163718	0.163133	0.169973	0.161948	0.167525	0.166582	
435	0.170752	0.171666	0.162844	0.171552	0.160808	0.163362	0.168453	0.161745	0.167469	0.166328	
440	0.171430	0.172246	0.162060	0.171634	0.164783	0.162616	0.167519	0.163199	0.165943	0.167080	
445	0.170468	0.173489	0.165123	0.170394	0.161842	0.162515	0.167974	0.160442	0.167071	0.166895	
450	0.167910	0.176336	0.163466	0.170490	0.163037	0.161656	0.167302	0.159211	0.165119	0.167416	
455	0.166341	0.174840	0.165133	0.170284	0.163737	0.159590	0.168663	0.159579	0.161931	0.168404	
460	0.164884	0.176355	0.161602	0.167984	0.163674	0.157436	0.167962	0.158989	0.164229	0.166918	
465	0.164736	0.177450	0.161867	0.168233	0.164437	0.156483	0.168786	0.162016	0.164638	0.167014	
470	0.163795	0.175896	0.160450	0.168347	0.164434	0.156373	0.170838	0.162831	0.166828	0.166756	
475	0.164467	0.175056	0.161142	0.167422	0.164520	0.155971	0.170736	0.164441	0.164038	0.165999	
480	0.164615	0.175067	0.162087	0.165831	0.162481	0.155730	0.169734	0.165415	0.164481	0.166218	
485	0.166012	0.173405	0.162112	0.165262	0.159556	0.152646	0.170510	0.164768	0.162988	0.164925	
490	0.162748	0.174702	0.161649	0.164739	0.160280	0.150885	0.169156	0.167201	0.163679	0.163659	
495	0.164178	0.174493	0.160907	0.164394	0.159849	0.148710	0.170500	0.167995	0.161981	0.160168	
500	0.163142	0.174229	0.160909	0.165046	0.157873	0.148418	0.172791	0.166095	0.163008	0.160365	
505	0.160121	0.178007	0.161563	0.163668	0.157244	0.150369	0.175529	0.168037	0.162090	0.161956	
510	0.158966	0.175610	0.161555	0.160239	0.157798	0.150892	0.177240	0.168226	0.164284	0.161296	
515	0.158839	0.176008	0.157870	0.160235	0.157649	0.150669	0.176717	0.168539	0.161492	0.161199	
520	0.157311	0.171982	0.159452	0.160664	0.155263	0.150233	0.176469	0.167916	0.163103	0.160635	
525	0.156940	0.172320	0.157462	0.160271	0.156663	0.152867	0.173114	0.164769	0.163609	0.162629	
530	0.157765	0.172229	0.157477	0.163901	0.157516	0.152242	0.175253	0.163103	0.165631	0.162971	
535	0.158657	0.172154	0.155958	0.161648	0.157549	0.153067	0.172993	0.163471	0.165928	0.163699	
540	0.158441	0.171632	0.154900	0.160947	0.158736	0.152421	0.173627	0.163444	0.166070	0.163942	
545	0.160402	0.169402	0.156410	0.160217	0.159412	0.150656	0.171058	0.164375	0.165542	0.162556	
550	0.159287	0.171273	0.156440	0.159307	0.159940	0.149506	0.170052	0.164793	0.164403	0.160600	
555	0.161423	0.171259	0.154655	0.160825	0.158893	0.149813	0.171002	0.164801	0.164041	0.160703	
560	0.163188	0.169687	0.154331	0.161650	0.158158	0.147776	0.168830	0.164384	0.166452	0.160360	
565	0.164388	0.168344	0.156500	0.160515	0.158824	0.149626	0.168449	0.166020	0.164230	0.163195	
570	0.163376	0.167973	0.157996	0.161710	0.159037	0.149685	0.165673	0.165263	0.163541	0.162470	
575	0.163355	0.166433	0.158010	0.160856	0.160370	0.149350	0.164179	0.164433	0.162975	0.161647	
580	0.159448	0.164769	0.158755	0.160226	0.160991	0.149604	0.163554	0.164655	0.164483	0.162755	
585	0.160530	0.166419	0.158020	0.160275	0.163419	0.147092	0.165540	0.163470	0.164266	0.161840	
590	0.157894	0.161324	0.160479	0.160452	0.163964	0.147251	0.165113	0.165614	0.165046	0.165059	
595	0.161739	0.160300	0.157084	0.164212	0.159807	0.145585	0.164367	0.166708	0.165429	0.163071	
600	0.159764	0.161178	0.156993	0.164281	0.159602	0.146668	0.163270	0.164120	0.167043	0.164821	
605	0.159898	0.162013	0.155313	0.163886	0.159250	0.147294	0.164615	0.163048	0.167489	0.165135	
610	0.160707	0.160962	0.155370	0.163214	0.159245	0.149856	0.164011	0.162270	0.167423	0.164399	
615	0.162277	0.157349	0.153770	0.165148	0.157114	0.150351	0.166319	0.164210	0.167420	0.161759	
620	0.160383	0.156957	0.155419	0.165885	0.156768	0.151083	0.165044	0.168000	0.165927	0.161771	
625	0.162571	0.153658	0.157575	0.165707	0.157406	0.151802	0.164619	0.166189	0.163608	0.161924	
630	0.161600	0.153056	0.155552	0.167394	0.154386	0.152506	0.165535	0.166500	0.163780	0.161185	
635	0.161789	0.151892	0.157043	0.168005	0.155157	0.152572	0.165448	0.165096	0.164571	0.163025	
640	0.160847	0.152119	0.154167	0.167218	0.153192	0.151719	0.164833	0.168075	0.164561	0.165382	
645	0.163445	0.152935	0.152521	0.165728	0.154345	0.150347	0.167352	0.167776	0.163026	0.164673	
650	0.160941	0.154245	0.151972	0.166668	0.156220	0.151751	0.168960	0.166224	0.163617	0.163950	
655	0.159997	0.157017	0.154561	0.165380	0.155703	0.151600	0.168240	0.167594	0.162276	0.162186	
660	0.161737	0.158046	0.156637	0.163958	0.154602	0.152419	0.166515	0.168221	0.163229	0.162757	
665	0.163179	0.156107	0.156464	0.163103	0.156145	0.154249	0.168176	0.168272	0.162999	0.163830	
670	0.163474	0.156535	0.157365	0.161609	0.155929	0.155376	0.170265	0.170226	0.161550	0.164688	
675	0.162405	0.156732	0.157389	0.163922	0.154407	0.155627	0.171643	0.168609	0.160917	0.164206	
680	0.161478	0.158859	0.155769	0.167113	0.153926	0.154903	0.170225	0.167058	0.162379	0.163064	
