T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.093140	0.100391	0.085427	0.092837	0.074638	0.076141	0.071277	0.099180	0.102053	0.086885	
10	0.184242	0.242709	0.217948	0.185260	0.205091	0.228703	0.192065	0.220673	0.215602	0.197653	
15	0.310084	0.303156	0.321894	0.278680	0.306093	0.409495	0.330051	0.254548	0.308831	0.306436	
20	0.420941	0.408016	0.461318	0.388847	0.407563	0.456267	0.489067	0.318989	0.388872	0.440427	
25	0.480728	0.488329	0.528177	0.463797	0.485092	0.500978	0.565457	0.425950	0.463607	0.482842	
30	0.524967	0.547923	0.589469	0.514914	0.551853	0.595713	0.629477	0.504899	0.524974	0.514480	
35	0.565051	0.615535	0.645933	0.567775	0.613010	0.708923	0.699488	0.571951	0.582417	0.576199	
40	0.604710	0.676073	0.689244	0.621428	0.676537	0.782998	0.750113	0.624888	0.631367	0.659777	
45	0.642806	0.714703	0.715941	0.662239	0.735808	0.822146	0.785813	0.658773	0.682841	0.723955	
50	0.683077	0.747102	0.739841	0.691397	0.780263	0.839616	0.812029	0.689158	0.726810	0.760820	
55	0.712763	0.773995	0.759505	0.720506	0.811123	0.849450	0.832338	0.717080	0.769015	0.792170	
60	0.736590	0.801292	0.782508	0.743450	0.831615	0.859000	0.842553	0.745487	0.799321	0.817314	
65	0.757952	0.821970	0.797589	0.767718	0.841175	0.864227	0.855188	0.772814	0.830214	0.831661	
70	0.778630	0.837919	0.813454	0.788588	0.844769	0.868233	0.861219	0.793422	0.849257	0.841575	
75	0.798893	0.846962	0.825997	0.806078	0.849782	0.871379	0.867879	0.806332	0.860559	0.851886	
80	0.808280	0.851696	0.834411	0.817188	0.856581	0.872812	0.866557	0.820931	0.862803	0.856000	
85	0.823072	0.861039	0.843239	0.831435	0.859121	0.873789	0.866843	0.830590	0.868321	0.857040	
90	0.835024	0.862200	0.852701	0.838956	0.860562	0.871856	0.866899	0.842494	0.866654	0.860287	
95	0.844036	0.864890	0.854671	0.844319	0.861322	0.874030	0.868029	0.849617	0.862636	0.862773	
100	0.853417	0.868950	0.863214	0.849074	0.861033	0.875570	0.869511	0.856129	0.866945	0.867349	
105	0.855253	0.869226	0.868384	0.854825	0.860221	0.875810	0.870452	0.857963	0.870286	0.867303	
110	0.857879	0.867055	0.870127	0.860015	0.858916	0.875386	0.873242	0.860721	0.869421	0.865443	
115	0.853476	0.868125	0.866529	0.855457	0.856197	0.874761	0.869582	0.858233	0.865140	0.864260	
120	0.850771	0.862208	0.861968	0.851796	0.853961	0.872190	0.855773	0.851190	0.856344	0.857094	
125	0.840435	0.846342	0.854061	0.839236	0.845908	0.868855	0.839891	0.838470	0.845216	0.845545	
130	0.823918	0.820774	0.824046	0.830347	0.831419	0.857729	0.816568	0.822011	0.827320	0.826697	
135	0.801446	0.791954	0.789662	0.808284	0.815415	0.847029	0.784681	0.801491	0.807865	0.800993	
140	0.783531	0.760772	0.753250	0.788334	0.796876	0.832685	0.761067	0.781430	0.790009	0.771023	
145	0.762066	0.742519	0.729953	0.771239	0.778865	0.817688	0.743061	0.761090	0.772936	0.750338	
150	0.755320	0.727682	0.714055	0.761644	0.763263	0.804869	0.728452	0.745991	0.758949	0.732297	
155	0.746630	0.718519	0.692339	0.750542	0.746426	0.791946	0.718951	0.736065	0.749196	0.720156	
160	0.734327	0.705391	0.680992	0.737851	0.732236	0.779599	0.710070	0.728062	0.741729	0.708349	
165	0.723126	0.695215	0.671457	0.725727	0.722381	0.765555	0.700531	0.718523	0.731261	0.703265	
170	0.714128	0.687988	0.662408	0.712455	0.713048	0.757508	0.696012	0.708852	0.728650	0.694951	
175	0.705043	0.682454	0.658431	0.702481	0.699733	0.742449	0.691311	0.701658	0.721200	0.686674	
180	0.697744	0.675838	0.648244	0.697159	0.690643	0.732634	0.687136	0.693857	0.715158	0.681456	
185	0.690842	0.676342	0.641000	0.681747	0.677029	0.724105	0.679780	0.687581	0.708188	0.679646	
190	0.685108	0.673837	0.640994	0.671803	0.670530	0.710083	0.672979	0.683437	0.699871	0.677218	
195	0.679917	0.667513	0.638198	0.664029	0.666208	0.705085	0.669558	0.679706	0.689165	0.669716	
200	0.673711	0.671213	0.634080	0.653813	0.661918	0.693665	0.664091	0.673788	0.680914	0.660977	
205	0.670435	0.663642	0.635064	0.647063	0.653621	0.683111	0.656222	0.671588	0.672701	0.657309	
210	0.663542	0.660174	0.634571	0.638464	0.650400	0.674788	0.648944	0.667072	0.668464	0.656350	
215	0.658166	0.654595	0.633182	0.630591	0.648317	0.666496	0.640075	0.663112	0.662633	0.652699	
220	0.650959	0.649867	0.633823	0.627456	0.644169	0.660491	0.637539	0.657753	0.655423	0.651560	
225	0.647085	0.648523	0.628386	0.622784	0.639086	0.659097	0.629917	0.654465	0.652597	0.648164	
230	0.644441	0.641933	0.624905	0.617025	0.638173	0.652771	0.628202	0.652382	0.650394	0.642635	
235	0.641217	0.637782	0.623118	0.616850	0.630989	0.647554	0.620971	0.646773	0.646693	0.640671	
240	0.633511	0.634251	0.619531	0.608535	0.630895	0.641365	0.614770	0.645004	0.638985	0.634589	
245	0.633428	0.634855	0.615897	0.611283	0.632710	0.634789	0.615844	0.642431	0.635790	0.633036	
250	0.631037	0.634775	0.620588	0.608814	0.631872	0.637639	0.613470	0.635515	0.630636	0.630978	
255	0.629034	0.631016	0.619072	0.606144	0.633239	0.632871	0.615667	0.629569	0.622229	0.626815	
260	0.632049	0.621262	0.618852	0.600187	0.629006	0.629460	0.615094	0.625991	0.623648	0.625686	
265	0.631854	0.619738	0.618128	0.590897	0.625266	0.624463	0.609719	0.623428	0.620330	0.626359	
270	0.625768	0.619690	0.618661	0.590974	0.625954	0.622836	0.613819	0.623989	0.618291	0.623965	
275	0.624078	0.617981	0.617809	0.590035	0.622754	0.617281	0.612237	0.619772	0.613106	0.624879	
280	0.625086	0.621386	0.618093	0.588404	0.621963	0.613941	0.610691	0.619073	0.613173	0.624271	
285	0.623391	0.620745	0.616846	0.591037	0.624792	0.610360	0.612262	0.617875	0.614432	0.620843	
290	0.621778	0.623150	0.615012	0.592184	0.622893	0.611113	0.616387	0.619971	0.616186	0.618668	
295	0.618355	0.623467	0.614460	0.592111	0.622195	0.613687	0.615776	0.624225	0.615367	0.616896	
300	0.617613	0.623548	0.614428	0.592260	0.621370	0.614544	0.617392	0.624516	0.619406	0.618196	
305	0.622265	0.625971	0.614927	0.594465	0.621549	0.616146	0.618497	0.625189	0.616853	0.617470	
310	0.615296	0.628429	0.615001	0.593217	0.624817	0.619969	0.618199	0.621737	0.617899	0.624997	
315	0.617146	0.630079	0.615407	0.598242	0.625418	0.619192	0.624060	0.619248	0.616746	0.627072	
320	0.617343	0.631420	0.611233	0.600870	0.623358	0.621160	0.627213	0.618237	0.616169	0.624994	
325	0.619803	0.631604	0.614410	0.602151	0.623796	0.622702	0.627362	0.623738	0.621002	0.624238	
330	0.622754	0.633249	0.617799	0.602267	0.619610	0.627746	0.628695	0.627801	0.623877	0.625036	
335	0.624386	0.632895	0.620165	0.602690	0.621297	0.632213	0.630376	0.633255	0.623827	0.629624	
340	0.624158	0.634880	0.621107	0.600466	0.623841	0.632093	0.631515	0.634211	0.620641	0.632531	
345	0.622965	0.631304	0.622039	0.601344	0.625465	0.635106	0.633156	0.634414	0.620469	0.634705	
350	0.624621	0.633052	0.624812	0.599436	0.628778	0.640287	0.629876	0.636059	0.623271	0.633655	
355	0.624671	0.637019	0.626305	0.602676	0.630827	0.639109	0.629412	0.634792	0.621335	0.632506	
360	0.622852	0.637251	0.627356	0.603070	0.631507	0.638144	0.627911	0.636967	0.621805	0.633238	
365	0.623864	0.637926	0.627932	0.604328	0.633803	0.638075	0.633207	0.635150	0.622151	0.633699	
370	0.624590	0.635539	0.627492	0.605252	0.634353	0.640489	0.638255	0.636539	0.628109	0.631641	
375	0.623780	0.634933	0.625639	0.609155	0.632929	0.639961	0.640730	0.637566	0.626105	0.630768	
380	0.625805	0.631444	0.626294	0.609126	0.634362	0.639047	0.639618	0.642440	0.630922	0.630690	
385	0.624528	0.632620	0.626980	0.609246	0.632975	0.641993	0.638468	0.646383	0.632258	0.632154	
390	0.627329	0.631567	0.625642	0.611229	0.633718	0.640856	0.640448	0.647763	0.631368	0.632452	
395	0.630207	0.630206	0.622876	0.611526	0.634292	0.641297	0.638267	0.647342	0.631836	0.630818	
400	0.630854	0.629447	0.627522	0.612897	0.634752	0.640554	0.640967	0.646897	0.632552	0.632431	
405	0.628649	0.627991	0.629965	0.614910	0.632810	0.641391	0.634889	0.645096	0.638811	0.632132	
410	0.627001	0.629866	0.632003	0.618401	0.635601	0.643212	0.633793	0.648364	0.637563	0.636861	
415	0.631856	0.626968	0.633258	0.622031	0.635472	0.642078	0.630311	0.651254	0.637698	0.635752	
420	0.631464	0.627340	0.634863	0.628343	0.637375	0.645067	0.633496	0.649073	0.637834	0.635117	
425	0.633373	0.625804	0.632531	0.628033	0.640781	0.647291	0.634503	0.650609	0.632748	0.634446	
