T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001291	0.002343	0.001717	0.001831	0.002535	0.002093	0.000957	0.002073	0.002128	0.001893	
110	0.004416	0.005080	0.005486	0.004651	0.004013	0.003904	0.003015	0.005319	0.004342	0.003409	
115	0.006385	0.007452	0.007780	0.007506	0.005509	0.007974	0.007483	0.005157	0.006044	0.007612	
120	0.008434	0.009399	0.009758	0.014078	0.006351	0.013321	0.011698	0.007512	0.010262	0.013898	
125	0.008526	0.014448	0.015479	0.017333	0.007596	0.021107	0.014270	0.010029	0.016262	0.020857	
130	0.012200	0.020516	0.020654	0.023446	0.010437	0.022938	0.020144	0.016562	0.026249	0.023160	
135	0.015506	0.021538	0.020375	0.025185	0.013050	0.023621	0.025849	0.021468	0.030067	0.030348	
140	0.013472	0.028241	0.024988	0.034854	0.016240	0.026317	0.030342	0.025991	0.032842	0.033126	
145	0.018274	0.034831	0.028944	0.042268	0.017723	0.030392	0.035696	0.032006	0.042160	0.038059	
150	0.021205	0.043846	0.034304	0.050699	0.024286	0.036644	0.043696	0.032567	0.045951	0.047932	
155	0.024638	0.051860	0.040552	0.056943	0.033468	0.043130	0.046973	0.036026	0.049665	0.054284	
160	0.030184	0.061035	0.041115	0.057884	0.039909	0.049834	0.050244	0.036442	0.053559	0.058532	
165	0.036341	0.065547	0.047261	0.061450	0.044009	0.053245	0.050418	0.042020	0.056919	0.063195	
170	0.042478	0.071178	0.052881	0.065258	0.044703	0.055705	0.056577	0.046449	0.056453	0.065030	
175	0.046095	0.074307	0.056147	0.067914	0.048358	0.056871	0.058598	0.055542	0.061937	0.071418	
180	0.050031	0.073805	0.055253	0.070017	0.051570	0.060605	0.059464	0.055478	0.068404	0.079021	
185	0.058329	0.074334	0.057180	0.074392	0.056662	0.065836	0.064843	0.058220	0.066242	0.081545	
190	0.061198	0.074252	0.057545	0.074638	0.061250	0.066956	0.062938	0.062032	0.066641	0.083484	
195	0.067299	0.076321	0.058494	0.070553	0.066698	0.064395	0.064872	0.066153	0.067386	0.083314	
200	0.066920	0.078011	0.059545	0.072641	0.069185	0.068265	0.065741	0.073020	0.069075	0.085270	
205	0.073757	0.078865	0.061990	0.071711	0.066097	0.074946	0.071525	0.069090	0.068504	0.089144	
210	0.076092	0.079808	0.061107	0.070579	0.069453	0.076692	0.073132	0.069198	0.071501	0.091138	
215	0.073144	0.077565	0.062810	0.073386	0.075351	0.081179	0.070596	0.069880	0.070597	0.094410	
220	0.071140	0.080232	0.065400	0.077433	0.072864	0.082789	0.070163	0.067719	0.072110	0.094798	
225	0.067823	0.084506	0.066827	0.074529	0.073710	0.086511	0.069416	0.067399	0.073722	0.092965	
230	0.067616	0.081509	0.067895	0.070410	0.073509	0.085790	0.072150	0.069758	0.076878	0.098669	
235	0.069575	0.082702	0.067020	0.067137	0.074744	0.085907	0.074695	0.068227	0.074277	0.094949	
240	0.070333	0.082506	0.065713	0.062323	0.077363	0.088049	0.074228	0.072494	0.076437	0.095281	
245	0.072620	0.080008	0.067151	0.062457	0.070559	0.086654	0.071986	0.070620	0.076480	0.092423	
250	0.072886	0.079057	0.069065	0.060449	0.068248	0.085273	0.073832	0.070180	0.077589	0.090377	
255	0.069156	0.078470	0.070003	0.062051	0.071216	0.090489	0.071527	0.073483	0.075888	0.091546	
260	0.068481	0.081038	0.068781	0.063346	0.072685	0.093685	0.072991	0.072714	0.073922	0.088332	
265	0.067719	0.082704	0.069891	0.063696	0.074771	0.089726	0.074359	0.074275	0.074501	0.086487	
270	0.067754	0.079949	0.069572	0.065333	0.070309	0.088176	0.074778	0.074444	0.076193	0.085183	
275	0.070780	0.080057	0.069018	0.062218	0.066468	0.084976	0.074578	0.077137	0.075875	0.082287	
280	0.069442	0.079680	0.069513	0.065278	0.070147	0.083984	0.073259	0.077189	0.070246	0.080699	
285	0.067905	0.077709	0.069480	0.065009	0.069516	0.084062	0.074197	0.076511	0.069335	0.074453	
290	0.066261	0.079499	0.071618	0.065857	0.070595	0.082184	0.073946	0.076537	0.070337	0.076416	
295	0.066339	0.080774	0.071166	0.066633	0.073805	0.081772	0.070356	0.073252	0.068302	0.076907	
300	0.067686	0.080115	0.072270	0.064750	0.072946	0.082449	0.072142	0.074690	0.069512	0.077484	
305	0.068683	0.080653	0.073405	0.064711	0.075601	0.081238	0.071473	0.074126	0.071857	0.077413	
310	0.069636	0.083449	0.071525	0.064707	0.072638	0.082824	0.072458	0.075060	0.074198	0.077234	
315	0.066834	0.083278	0.071592	0.063226	0.070578	0.082255	0.073253	0.075265	0.074374	0.081580	
320	0.067634	0.081474	0.071767	0.065589	0.070127	0.079742	0.072214	0.078818	0.073383	0.080936	
325	0.069044	0.083416	0.070406	0.066470	0.067985	0.078571	0.071887	0.078295	0.075464	0.080045	
330	0.073538	0.084792	0.072090	0.068537	0.070138	0.079238	0.073672	0.077018	0.078206	0.084584	
335	0.072254	0.082243	0.070311	0.068804	0.070768	0.080273	0.073345	0.072540	0.072409	0.087439	
340	0.070900	0.084471	0.066767	0.065909	0.073727	0.080302	0.073517	0.074800	0.072319	0.090920	
345	0.071837	0.085184	0.066900	0.067116	0.070948	0.078529	0.074217	0.076346	0.073569	0.089123	
350	0.070788	0.086512	0.066794	0.067589	0.071037	0.077474	0.074034	0.075646	0.073400	0.087203	
355	0.070746	0.084011	0.068443	0.064529	0.071988	0.081365	0.074187	0.076804	0.072775	0.084709	
360	0.070987	0.084647	0.071159	0.066926	0.074141	0.083949	0.072845	0.074362	0.070603	0.080173	
365	0.074290	0.088050	0.072270	0.073953	0.070963	0.083635	0.073312	0.076744	0.070000	0.079870	
370	0.074922	0.085494	0.072809	0.068875	0.071311	0.080984	0.076547	0.075216	0.070329	0.079604	
375	0.076937	0.085304	0.071694	0.065971	0.075651	0.077892	0.077378	0.073740	0.071953	0.078981	
380	0.076934	0.085574	0.071311	0.067371	0.077426	0.077216	0.079229	0.075053	0.068508	0.078082	
385	0.078226	0.084976	0.071751	0.068182	0.075975	0.077261	0.074529	0.074787	0.067120	0.079102	
390	0.079577	0.085966	0.070539	0.067230	0.077528	0.077710	0.074026	0.073116	0.069505	0.076859	
395	0.078145	0.086361	0.074665	0.066967	0.080256	0.078969	0.072792	0.072554	0.068585	0.075761	
400	0.075604	0.084353	0.077109	0.066142	0.079763	0.079491	0.070344	0.072540	0.069968	0.075557	
405	0.076145	0.084688	0.075456	0.069935	0.083282	0.078772	0.071259	0.073499	0.072582	0.075993	
410	0.074547	0.083918	0.072784	0.070936	0.084894	0.079392	0.077046	0.076067	0.072428	0.074044	
415	0.072060	0.084098	0.070201	0.072273	0.084696	0.081534	0.073213	0.078969	0.073600	0.072396	
420	0.072755	0.081639	0.067453	0.070002	0.082217	0.077413	0.074010	0.081604	0.074649	0.071058	
425	0.074120	0.081731	0.067515	0.068594	0.081223	0.079215	0.075384	0.081842	0.074062	0.072237	
430	0.071512	0.081400	0.067867	0.070555	0.080045	0.080042	0.075765	0.081481	0.075693	0.075629	
435	0.072544	0.077760	0.065767	0.066525	0.081915	0.079376	0.077305	0.080356	0.075484	0.075450	
440	0.070796	0.079867	0.067819	0.066903	0.084328	0.081100	0.075399	0.078608	0.073282	0.075930	
445	0.074311	0.081678	0.069350	0.067039	0.083714	0.080730	0.078099	0.078459	0.072809	0.074513	
450	0.078168	0.083148	0.070026	0.063227	0.085145	0.075290	0.079460	0.081101	0.073633	0.076321	
455	0.082861	0.086101	0.070479	0.064710	0.085125	0.073164	0.077834	0.077894	0.073771	0.079112	
460	0.079736	0.085657	0.074468	0.065122	0.082133	0.075614	0.078430	0.077896	0.077352	0.077612	
465	0.078172	0.086890	0.073218	0.063475	0.080183	0.074753	0.078885	0.077349	0.075857	0.073385	
470	0.075822	0.086192	0.074461	0.063528	0.080800	0.077180	0.077541	0.076988	0.076318	0.074713	
475	0.077036	0.084678	0.071725	0.062755	0.081725	0.077628	0.075648	0.078014	0.072024	0.075402	
480	0.077070	0.085990	0.071188	0.062561	0.080143	0.075536	0.076251	0.076520	0.068104	0.077014	
485	0.073591	0.088963	0.070397	0.067804	0.082463	0.073883	0.077600	0.076161	0.067579	0.078505	
490	0.072832	0.087181	0.071299	0.063905	0.083900	0.072868	0.078103	0.076024	0.068369	0.075897	
495	0.072052	0.085839	0.070697	0.065090	0.078948	0.071252	0.080668	0.073977	0.069646	0.075410	
500	0.073461	0.083469	0.069766	0.065317	0.083069	0.069360	0.078949	0.072584	0.069028	0.075173	
505	0.072689	0.083954	0.070127	0.068272	0.082246	0.066210	0.077676	0.071240	0.068440	0.073211	
510	0.079377	0.086588	0.069221	0.066470	0.082500	0.067551	0.077044	0.074370	0.068612	0.069382	
515	0.079126	0.088580	0.067653	0.065417	0.082294	0.066732	0.074557	0.075547	0.069997	0.067564	
520	0.077519	0.084447	0.066287	0.062110	0.083596	0.069365	0.076481	0.073360	0.070416	0.069827	
525	0.078947	0.083610	0.066693	0.062154	0.085967	0.069517	0.077537	0.070843	0.072848	0.069034	
530	0.081577	0.083635	0.068468	0.061885	0.088738	0.069246	0.077093	0.069959	0.075205	0.069413	
535	0.082157	0.081174	0.070047	0.065492	0.086074	0.067613	0.080531	0.065885	0.075781	0.068935	
540	0.083365	0.081387	0.072551	0.064499	0.090374	0.066507	0.081898	0.066458	0.078191	0.065913	
545	0.079624	0.081223	0.068845	0.063176	0.090615	0.070085	0.078915	0.065990	0.078550	0.068722	
550	0.076101	0.085066	0.069424	0.062835	0.088018	0.070577	0.076973	0.066338	0.073909	0.068530	
555	0.078511	0.083405	0.071818	0.063414	0.087419	0.070751	0.075637	0.069090	0.067903	0.069883	
560	0.078821	0.085273	0.072590	0.064511	0.086722	0.071847	0.078605	0.068966	0.066609	0.073866	
565	0.079779	0.086521	0.072756	0.065802	0.085717	0.068347	0.078647	0.069953	0.067738	0.075845	
570	0.079881	0.085188	0.071050	0.065541	0.083360	0.068722	0.077826	0.068124	0.069463	0.077691	
575	0.078742	0.086142	0.070899	0.069840	0.084670	0.069801	0.079391	0.068209	0.072556	0.075335	
580	0.076788	0.082265	0.071196	0.070186	0.081621	0.070296	0.080923	0.069450	0.072562	0.075568	
585	0.075122	0.083622	0.072902	0.066264	0.082004	0.072137	0.081169	0.069775	0.071947	0.075161	
590	0.075231	0.086679	0.071239	0.065557	0.084936	0.074091	0.080647	0.071379	0.073791	0.078232	
595	0.079874	0.090105	0.072067	0.068345	0.082984	0.078922	0.081772	0.069113	0.073876	0.075833	
600	0.075546	0.091058	0.069832	0.066156	0.082132	0.077744	0.081237	0.073253	0.075930	0.076191	
605	0.073779	0.091405	0.072690	0.068040	0.081505	0.077901	0.080446	0.074823	0.076030	0.074710	
610	0.075115	0.095434	0.075281	0.069719	0.078974	0.079651	0.079175	0.073389	0.075590	0.076519	
615	0.072269	0.094890	0.078883	0.071898	0.077328	0.078390	0.080506	0.074031	0.077011	0.078890	
620	0.072672	0.091436	0.080182	0.069430	0.076519	0.082153	0.081053	0.074817	0.073341	0.077880	
625	0.072009	0.087309	0.073796	0.069349	0.076618	0.082721	0.080487	0.074867	0.074541	0.076636	
630	0.072613	0.083523	0.075915	0.070295	0.075222	0.080515	0.079872	0.071629	0.075097	0.076097	
635	0.072088	0.083626	0.075942	0.071684	0.074851	0.079064	0.082252	0.073888	0.075190	0.076469	
640	0.070376	0.079903	0.075355	0.069893	0.074645	0.075857	0.081371	0.072865	0.073924	0.076186	
645	0.070713	0.080307	0.077117	0.069850	0.073204	0.074060	0.082866	0.072093	0.075492	0.074874	
650	0.071552	0.082861	0.076468	0.069273	0.073627	0.075667	0.078341	0.071714	0.075100	0.073026	
655	0.073249	0.081337	0.076925	0.068248	0.075787	0.076036	0.079710	0.069041	0.075316	0.072933	
660	0.072836	0.080061	0.079794	0.068156	0.078543	0.075253	0.081254	0.066330	0.073830	0.077007	
665	0.072929	0.081707	0.079462	0.066345	0.077623	0.074128	0.081564	0.066710	0.077512	0.076166	
670	0.068422	0.084455	0.082030	0.065845	0.081982	0.075685	0.081677	0.067868	0.081000	0.072483	
675	0.070500	0.082336	0.082591	0.066329	0.080568	0.075589	0.081839	0.064234	0.078765	0.074888	
680	0.070307	0.082354	0.078591	0.067383	0.078096	0.073669	0.086761	0.066573	0.083285	0.074336	
