R	a	b	z	x	u	grp
0	0.1	0.5	0.728028	0.049648	0.209829	0.012495
0.05	0.1	0.5	0.68307	0.049268	0.193152	0.07451
0.1	0.1	0.5	0.63732	0.048715	0.176274	0.13769
0.15	0.1	0.5	0.590959	0.047965	0.159294	0.201782
0.2	0.1	0.5	0.544219	0.046988	0.142335	0.266459
0.25	0.1	0.5	0.497389	0.045756	0.125547	0.331308
0.3	0.1	0.5	0.450818	0.044241	0.109107	0.395834
0.35	0.1	0.5	0.40491	0.042419	0.093215	0.459456
0.4	0.1	0.5	0.360111	0.040272	0.078093	0.521525
0.45	0.1	0.5	0.316893	0.037789	0.063964	0.581353
0.5	0.1	0.5	0.275718	0.034978	0.051046	0.638258
0.55	0.1	0.5	0.236998	0.031857	0.039525	0.691621
0.6	0.1	0.5	0.201052	0.028465	0.029537	0.740946
0.65	0.1	0.5	0.168068	0.024858	0.021154	0.78592
0.7	0.1	0.5	0.138077	0.021103	0.014372	0.826448
0	0.15	0.5	0.739562	0.072995	0.17493	0.012512
0.05	0.15	0.5	0.69401	0.071972	0.15963	0.074388
0.1	0.15	0.5	0.647985	0.070671	0.144308	0.137036
0.15	0.15	0.5	0.601692	0.069058	0.129074	0.200176
0.2	0.15	0.5	0.555376	0.0671	0.114058	0.263467
0.25	0.15	0.5	0.509326	0.064765	0.099408	0.326501
0.3	0.15	0.5	0.46387	0.062027	0.085292	0.388811
0.35	0.15	0.5	0.419364	0.058869	0.071887	0.449881
0.4	0.15	0.5	0.376174	0.055287	0.059371	0.509169
0.45	0.15	0.5	0.334654	0.051293	0.047913	0.566141
0.5	0.15	0.5	0.295114	0.046919	0.037656	0.620311
0.55	0.15	0.5	0.257792	0.042216	0.028705	0.671288
0.6	0.15	0.5	0.222822	0.037256	0.021111	0.718811
0.65	0.15	0.5	0.190219	0.032124	0.014873	0.762784
0.7	0.15	0.5	0.159873	0.026916	0.009931	0.80328
0	0.2	0.5	0.745422	0.094625	0.147518	0.012434
0.05	0.2	0.5	0.700025	0.092747	0.133477	0.073751
0.1	0.2	0.5	0.654427	0.090485	0.119555	0.135533
0.15	0.2	0.5	0.608839	0.087802	0.105866	0.197494
0.2	0.2	0.5	0.563502	0.084665	0.092539	0.259294
0.25	0.2	0.5	0.518687	0.081049	0.079715	0.320549
0.3	0.2	0.5	0.474683	0.076939	0.067544	0.380833
0.35	0.2	0.5	0.431784	0.072335	0.056176	0.439705
0.4	0.2	0.5	0.390269	0.067257	0.04575	0.496725
0.45	0.2	0.5	0.35038	0.061744	0.036383	0.551493
0.5	0.2	0.5	0.312297	0.055862	0.028162	0.603679
0.55	0.2	0.5	0.27612	0.049693	0.021131	0.653056
0.6	0.2	0.5	0.241851	0.04334	0.015286	0.699524
0.65	0.2	0.5	0.20939	0.036913	0.010581	0.743116
0.7	0.2	0.5	0.178539	0.030527	0.00693	0.784004
0	0.25	0.5	0.747997	0.11435	0.125353	0.0123
0.05	0.25	0.5	0.703285	0.111444	0.112453	0.072819
0.1	0.25	0.5	0.658596	0.108051	0.099785	0.133568
0.15	0.25	0.5	0.614137	0.104139	0.087463	0.19426
0.2	0.25	0.5	0.570133	0.099682	0.075612	0.254573
0.25	0.25	0.5	0.526822	0.094667	0.064361	0.31415
0.3	0.25	0.5	0.484445	0.089098	0.053841	0.372616
0.35	0.25	0.5	0.443226	0.083	0.044173	0.4296
