R	a	b	z	x	u	grp
0	0.1	0.1	0.914039	0.018711	0.056014	0.011236
0.05	0.1	0.1	0.863353	0.017999	0.052529	0.066119
0.1	0.1	0.1	0.812961	0.017267	0.049084	0.120689
0.15	0.1	0.1	0.762891	0.016515	0.045681	0.174913
0.2	0.1	0.1	0.713175	0.015743	0.042325	0.228756
0.25	0.1	0.1	0.663846	0.014951	0.03902	0.282184
0.3	0.1	0.1	0.614938	0.014137	0.035768	0.335157
0.35	0.1	0.1	0.566485	0.013302	0.032575	0.387638
0.4	0.1	0.1	0.518526	0.012445	0.029444	0.439585
0.45	0.1	0.1	0.4711	0.011565	0.026382	0.490953
0.5	0.1	0.1	0.424247	0.010662	0.023393	0.541698
0.55	0.1	0.1	0.378013	0.009734	0.020483	0.591769
0.6	0.1	0.1	0.332444	0.008782	0.01766	0.641114
0.65	0.1	0.1	0.287592	0.007803	0.014931	0.689674
0.7	0.1	0.1	0.243514	0.006797	0.012305	0.737384
0	0.15	0.15	0.887349	0.033673	0.067633	0.011345
0.05	0.15	0.15	0.837768	0.032394	0.063061	0.066777
0.1	0.15	0.15	0.788463	0.03107	0.058556	0.12191
0.15	0.15	0.15	0.739477	0.029703	0.054125	0.176695
0.2	0.15	0.15	0.690852	0.028291	0.049775	0.231082
0.25	0.15	0.15	0.642634	0.026833	0.045514	0.285018
0.3	0.15	0.15	0.594869	0.025331	0.041349	0.338451
0.35	0.15	0.15	0.547603	0.023783	0.037289	0.391325
0.4	0.15	0.15	0.500886	0.02219	0.033343	0.443581
0.45	0.15	0.15	0.454766	0.020552	0.029519	0.495163
0.5	0.15	0.15	0.409293	0.018869	0.025829	0.546009
0.55	0.15	0.15	0.364519	0.017142	0.022282	0.596057
0.6	0.15	0.15	0.320494	0.015371	0.018891	0.645244
0.65	0.15	0.15	0.27727	0.013558	0.015668	0.693504
0.7	0.15	0.15	0.234897	0.011702	0.012629	0.740771
0	0.2	0.2	0.864447	0.050458	0.0737	0.011395
0.05	0.2	0.2	0.816124	0.048514	0.06827	0.067092
0.1	0.2	0.2	0.768059	0.046491	0.062939	0.122512
0.15	0.2	0.2	0.720304	0.044388	0.057719	0.17759
0.2	0.2	0.2	0.672912	0.042206	0.052622	0.23226
0.25	0.2	0.2	0.62594	0.039944	0.047661	0.286454
0.3	0.2	0.2	0.579441	0.037606	0.042849	0.340104
0.35	0.2	0.2	0.533472	0.035191	0.038198	0.393138
0.4	0.2	0.2	0.488088	0.032704	0.033723	0.445485
0.45	0.2	0.2	0.443341	0.030145	0.029437	0.497076
0.5	0.2	0.2	0.399284	0.02752	0.025355	0.547841
0.55	0.2	0.2	0.355965	0.024833	0.021491	0.597711
0.6	0.2	0.2	0.313427	0.022089	0.01786	0.646623
0.65	0.2	0.2	0.271709	0.019296	0.01448	0.694515
0.7	0.2	0.2	0.230838	0.016462	0.011366	0.741334
0	0.25	0.25	0.843912	0.068725	0.075947	0.011416
0.05	0.25	0.25	0.796952	0.066002	0.06981	0.067236
0.1	0.25	0.25	0.75024	0.063151	0.063812	0.122797
0.15	0.25	0.25	0.703836	0.060172	0.057972	0.17802
0.2	0.25	0.25	0.657803	0.057068	0.052307	0.232821
0.25	0.25	0.25	0.612204	0.053842	0.046836	0.287117
0.3	0.25	0.25	0.567101	0.050498	0.041578	0.340823
0.35	0.25	0.25	0.522552	0.047043	0.036551	0.393854
0.4	0.25	0.25	0.478614	0.043483	0.031773	0.446129
0.45	0.25	0.25	0.435339	0.03983	0.027262	0.49757
0.5	0.25	0.25	0.392769	0.036093	0.023035	0.548103
0.55	0.25	0.25	0.350942	0.032287	0.019109	0.597662
0.6	0.25	0.25	0.30988	0.028428	0.015499	0.646193
0.65	0.25	0.25	0.269592	0.024535	0.012221	0.693652
0.7	0.25	0.25	0.230067	0.020631	0.009288	0.740014
0	0.3	0.3	0.824755	0.08837	0.075454	0.011422
0.05	0.3	0.3	0.779281	0.084723	0.068714	0.067282
0.1	0.3	0.3	0.734057	0.080882	0.062163	0.122898
0.15	0.3	0.3	0.689152	0.07685	0.055829	0.178169
0.2	0.3	0.3	0.644636	0.072632	0.049736	0.232996
0.25	0.3	0.3	0.600576	0.068238	0.043909	0.287278
0.3	0.3	0.3	0.557035	0.063679	0.038374	0.340913
0.35	0.3	0.3	0.514071	0.05897	0.033153	0.393806
0.4	0.3	0.3	0.471734	0.054129	0.028269	0.445868
0.45	0.3	0.3	0.430064	0.049179	0.023741	0.497016
0.5	0.3	0.3	0.389085	0.044146	0.019586	0.547183
0.55	0.3	0.3	0.348808	0.03906	0.015817	0.596315
0.6	0.3	0.3	0.30922	0.033955	0.012446	0.644379
0.65	0.3	0.3	0.270287	0.02887	0.00948	0.691364
0.7	0.3	0.3	0.231941	0.02385	0.006922	0.737288
0	0.35	0.35	0.806222	0.10942	0.072941	0.011417
0.05	0.35	0.35	0.762404	0.104659	0.065671	0.067266
0.1	0.35	0.35	0.718858	0.099614	0.058654	0.122874
0.15	0.35	0.35	0.675658	0.094293	0.051927	0.178122
0.2	0.35	0.35	0.632878	0.088709	0.045525	0.232888
0.25	0.35	0.35	0.590584	0.082882	0.03948	0.287054
0.3	0.35	0.35	0.548835	0.076838	0.033824	0.340503
0.35	0.35	0.35	0.507677	0.070609	0.028584	0.39313
0.4	0.35	0.35	0.467144	0.064232	0.023781	0.444843
0.45	0.35	0.35	0.427248	0.057755	0.019433	0.495565
0.5	0.35	0.35	0.38798	0.051226	0.015549	0.545244
0.55	0.35	0.35	0.349309	0.044702	0.012136	0.593853
0.6	0.35	0.35	0.31117	0.038247	0.009188	0.641395
0.65	0.35	0.35	0.273471	0.031925	0.006698	0.687906
0.7	0.35	0.35	0.236077	0.025812	0.004648	0.733463
0	0.4	0.4	0.787687	0.131991	0.068917	0.011405
0.05	0.4	0.4	0.74577	0.125862	0.061166	0.067202
0.1	0.4	0.4	0.704171	0.119324	0.053752	0.122753
0.15	0.4	0.4	0.662969	0.112395	0.046723	0.177913
0.2	0.4	0.4	0.622233	0.105104	0.040126	0.232536
0.25	0.4	0.4	0.582022	0.097491	0.034002	0.286485
0.3	0.4	0.4	0.542376	0.089609	0.028386	0.339629
0.35	0.4	0.4	0.503316	0.081521	0.023305	0.391857
0.4	0.4	0.4	0.464838	0.073302	0.018775	0.443084
0.45	0.4	0.4	0.426909	0.065035	0.014803	0.493253
0.5	0.4	0.4	0.389467	0.05681	0.011382	0.54234
0.55	0.4	0.4	0.352417	0.048724	0.008497	0.590363
0.6	0.4	0.4	0.315631	0.040873	0.006119	0.637377
0.65	0.4	0.4	0.278948	0.033357	0.004215	0.683481
0.7	0.4	0.4	0.242168	0.026277	0.00274	0.728814
0	0.45	0.45	0.768583	0.156276	0.063755	0.011386
0.05	0.45	0.45	0.728914	0.148432	0.055557	0.067097
0.1	0.45	0.45	0.689649	0.140002	0.047806	0.122543
0.15	0.45	0.45	0.650861	0.131024	0.040567	0.177549
0.2	0.45	0.45	0.612608	0.121553	0.033898	0.231941
0.25	0.45	0.45	0.574919	0.111673	0.027849	0.285559
0.3	0.45	0.45	0.537796	0.101486	0.022454	0.338264
0.35	0.45	0.45	0.501204	0.091114	0.017731	0.389951
0.4	0.45	0.45	0.465074	0.080693	0.01368	0.440553
0.45	0.45	0.45	0.429298	0.070369	0.01028	0.490053
0.5	0.45	0.45	0.393737	0.060288	0.007495	0.53848
0.55	0.45	0.45	0.358218	0.050595	0.005274	0.585913
0.6	0.45	0.45	0.322547	0.041423	0.003556	0.632474
0.65	0.45	0.45	0.286505	0.032896	0.002273	0.678326
0.7	0.45	0.45	0.249854	0.025124	0.001357	0.723664
0	0.5	0.5	0.748343	0.182553	0.057742	0.011362
0.05	0.5	0.5	0.711418	0.172512	0.049121	0.06695
0.1	0.5	0.5	0.675046	0.161621	0.041093	0.122239
0.15	0.5	0.5	0.639276	0.149959	0.033748	0.177016
0.2	0.5	0.5	0.604139	0.137636	0.027156	0.231069
0.25	0.5	0.5	0.569586	0.124821	0.021372	0.284221
0.3	0.5	0.5	0.535537	0.111713	0.016417	0.336333
0.35	0.5	0.5	0.501857	0.09854	0.012281	0.387322
0.4	0.5	0.5	0.468363	0.085541	0.008924	0.437172
0.45	0.5	0.5	0.434842	0.072951	0.006277	0.485929
0.5	0.5	0.5	0.401061	0.060983	0.004256	0.5337
0.55	0.5	0.5	0.366779	0.049818	0.002765	0.580638
0.6	0.5	0.5	0.33176	0.039603	0.001706	0.626931
0.65	0.5	0.5	0.295776	0.030447	0.000988	0.672788
0.7	0.5	0.5	0.258614	0.02243	0.000527	0.718429
0	0.55	0.55	0.726351	0.211208	0.05111	0.01133
0.05	0.55	0.55	0.692892	0.198269	0.042083	0.066756
0.1	0.55	0.55	0.660245	0.184075	0.033852	0.121828
0.15	0.55	0.55	0.628389	0.16879	0.026541	0.17628
0.2	0.55	0.55	0.597295	0.152622	0.020227	0.229856
0.25	0.55	0.55	0.566731	0.13594	0.014957	0.282372
0.3	0.55	0.55	0.53645	0.119128	0.01071	0.333712
0.35	0.55	0.55	0.506134	0.1026	0.007411	0.383855
0.4	0.55	0.55	0.475437	0.086746	0.004944	0.432873
0.45	0.55	0.55	0.444028	0.071894	0.003169	0.480909
0.5	0.55	0.55	0.411611	0.05829	0.001943	0.528156
0.55	0.55	0.55	0.377941	0.046095	0.001132	0.574832
0.6	0.55	0.55	0.342827	0.035395	0.00062	0.621159
0.65	0.55	0.55	0.306214	0.026133	0.000186	0.667467
0.7	0.55	0.55	0.269372	0.016228	0.004596	0.709804
0	0.6	0.6	0.70188	0.242768	0.044062	0.011291
0.05	0.6	0.6	0.672974	0.225878	0.034642	0.066506
0.1	0.6	0.6	0.645342	0.207066	0.026312	0.12128
0.15	0.6	0.6	0.618777	0.186699	0.019245	0.175279
0.2	0.6	0.6	0.593117	0.165195	0.013498	0.22819
0.25	0.6	0.6	0.567687	0.143379	0.009075	0.279859
0.3	0.6	0.6	0.541912	0.121994	0.005843	0.33025
0.35	0.6	0.6	0.515198	0.101736	0.003601	0.379465
0.4	0.6	0.6	0.487043	0.083132	0.002122	0.427703
0.45	0.6	0.6	0.457093	0.066505	0.001192	0.47521
0.5	0.6	0.6	0.425136	0.051993	0.000635	0.522236
0.55	0.6	0.6	0.391076	0.039598	0.000318	0.569008
0.6	0.6	0.6	0.35663	0.026853	0.003149	0.613368
0.65	0.6	0.6	0.317574	0.019413	0.001227	0.661785
0.7	0.6	0.6	0.276895	0.013249	0.000001	0.709855
0	0.65	0.65	0.674008	0.27797	0.036781	0.011241
0.05	0.65	0.65	0.651375	0.255449	0.026991	0.066185
0.1	0.65	0.65	0.630891	0.229826	0.018736	0.120547
0.15	0.65	0.65	0.611824	0.202015	0.012254	0.173907
0.2	0.65	0.65	0.59365	0.172944	0.007503	0.225902
0.25	0.65	0.65	0.574665	0.144503	0.004328	0.276504
0.3	0.65	0.65	0.553741	0.118035	0.002361	0.325862
0.35	0.65	0.65	0.530103	0.094416	0.001223	0.374257
0.4	0.65	0.65	0.50338	0.074018	0.000602	0.422
0.45	0.65	0.65	0.473517	0.056833	0.00028	0.469369
0.5	0.65	0.65	0.442291	0.040505	0.004381	0.512823
0.55	0.65	0.65	0.406001	0.029737	0.000747	0.563515
0.6	0.65	0.65	0.367247	0.021346	0.000167	0.61124
0.65	0.65	0.65	0.326484	0.014665	0.000019	0.658832
0.7	0.65	0.65	0.283932	0.009419	0.000001	0.706648
0	0.7	0.7	0.641495	0.317873	0.029452	0.01118
0.05	0.7	0.7	0.628067	0.286821	0.019342	0.065769
0.1	0.7	0.7	0.61856	0.250403	0.011493	0.119544
0.15	0.7	0.7	0.610538	0.211287	0.006176	0.171999
0.2	0.7	0.7	0.602462	0.171759	0.002981	0.222798
0.25	0.7	0.7	0.590515	0.135912	0.001333	0.27224
0.3	0.7	0.7	0.573284	0.105386	0.000563	0.320767
0.35	0.7	0.7	0.550735	0.080286	0.000225	0.368754
0.4	0.7	0.7	0.524726	0.05831	0.000869	0.416095
0.45	0.7	0.7	0.492502	0.043064	0.001982	0.462452
0.5	0.7	0.7	0.456876	0.031103	0.001228	0.510793
0.55	0.7	0.7	0.418444	0.021732	0.000521	0.559303
