R	a	b	z	x	u	grp
0	0.5	0.1	0.944365	0.033337	0.011981	0.010317
0.05	0.5	0.1	0.897257	0.031073	0.01087	0.0608
0.1	0.5	0.1	0.850198	0.02883	0.009806	0.111166
0.15	0.5	0.1	0.803185	0.026612	0.008791	0.161412
0.2	0.5	0.1	0.756216	0.024424	0.007825	0.211535
0.25	0.5	0.1	0.709287	0.022271	0.00691	0.261532
0.3	0.5	0.1	0.662393	0.020157	0.006047	0.311403
0.35	0.5	0.1	0.615528	0.018088	0.005237	0.361148
0.4	0.5	0.1	0.568682	0.01607	0.00448	0.410767
0.45	0.5	0.1	0.521847	0.014112	0.003779	0.460263
0.5	0.5	0.1	0.475009	0.012219	0.003133	0.509639
0.55	0.5	0.1	0.428152	0.010401	0.002545	0.558902
0.6	0.5	0.1	0.381258	0.008668	0.002015	0.608059
0.65	0.5	0.1	0.334303	0.007031	0.001545	0.657121
0.7	0.5	0.1	0.287259	0.005504	0.001135	0.706102
0	0.5	0.15	0.916997	0.052802	0.019766	0.010435
0.05	0.5	0.15	0.87135	0.049331	0.017847	0.061472
0.1	0.5	0.15	0.825771	0.045866	0.016015	0.112347
0.15	0.5	0.15	0.780259	0.042418	0.014273	0.163049
0.2	0.5	0.15	0.734814	0.038995	0.012623	0.213568
0.25	0.5	0.15	0.689431	0.035605	0.011067	0.263896
0.3	0.5	0.15	0.644105	0.03226	0.009608	0.314026
0.35	0.5	0.15	0.598826	0.028971	0.008248	0.363955
0.4	0.5	0.15	0.553583	0.02575	0.006988	0.413679
0.45	0.5	0.15	0.508359	0.022611	0.00583	0.4632
0.5	0.5	0.15	0.463134	0.019569	0.004776	0.512521
0.55	0.5	0.15	0.417882	0.01664	0.003827	0.561651
0.6	0.5	0.15	0.372572	0.013844	0.002983	0.610601
0.65	0.5	0.15	0.327165	0.011201	0.002246	0.659388
0.7	0.5	0.15	0.281611	0.008737	0.001615	0.708037
0	0.5	0.2	0.890254	0.071931	0.027263	0.010552
0.05	0.5	0.2	0.846041	0.067328	0.024482	0.062149
0.1	0.5	0.2	0.801916	0.062701	0.021834	0.113549
0.15	0.5	0.2	0.757884	0.058062	0.019325	0.164729
0.2	0.5	0.2	0.713944	0.053427	0.016961	0.215669
0.25	0.5	0.2	0.670094	0.048811	0.014744	0.266351
0.3	0.5	0.2	0.626326	0.044234	0.01268	0.31676
0.35	0.5	0.2	0.582629	0.039714	0.010771	0.366886
0.4	0.5	0.2	0.538986	0.035273	0.00902	0.416721
0.45	0.5	0.2	0.495374	0.030934	0.007428	0.466264
0.5	0.5	0.2	0.451764	0.026722	0.005997	0.515518
0.55	0.5	0.2	0.408117	0.022664	0.004727	0.564493
0.6	0.5	0.2	0.364385	0.018792	0.003616	0.613207
0.65	0.5	0.2	0.320509	0.015139	0.002665	0.661687
0.7	0.5	0.2	0.276418	0.011742	0.001869	0.709971
0	0.5	0.25	0.864486	0.090648	0.034195	0.010671
0.05	0.5	0.25	0.821651	0.084991	0.030515	0.062843
0.1	0.5	0.25	0.778933	0.079255	0.027024	0.114789
0.15	0.5	0.25	0.736338	0.07346	0.023729	0.166473
0.2	0.5	0.25	0.693871	0.06763	0.020641	0.217858
0.25	0.5	0.25	0.651529	0.06179	0.017765	0.268916
0.3	0.5	0.25	0.609303	0.05597	0.015108	0.319618
0.35	0.5	0.25	0.567178	0.050201	0.012675	0.369946
0.4	0.5	0.25	0.52513	0.044516	0.010468	0.419886
0.45	0.5	0.25	0.483126	0.038953	0.008488	0.469434
0.5	0.5	0.25	0.441122	0.03355	0.006735	0.518593
0.55	0.5	0.25	0.399066	0.028349	0.005206	0.567379
0.6	0.5	0.25	0.356888	0.023396	0.003896	0.615819
0.65	0.5	0.25	0.314507	0.01874	0.002799	0.663954
0.7	0.5	0.25	0.271821	0.014434	0.001906	0.711838
0	0.5	0.3	0.839728	0.109042	0.040436	0.010794
0.05	0.5	0.3	0.798206	0.102399	0.035831	0.063563
0.1	0.5	0.3	0.756841	0.095598	0.031475	0.116086
0.15	0.5	0.3	0.715644	0.088667	0.027385	0.168305
0.2	0.5	0.3	0.674622	0.081642	0.023572	0.220164
0.25	0.5	0.3	0.633772	0.074561	0.020051	0.271616
0.3	0.5	0.3	0.593083	0.067468	0.016828	0.322621
0.35	0.5	0.3	0.552531	0.060412	0.01391	0.373147
0.4	0.5	0.3	0.512083	0.053443	0.0113	0.423174
0.45	0.5	0.3	0.471692	0.046618	0.008995	0.472695
