T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001564	0.000992	0.001758	0.001469	0.001570	0.001530	0.002236	0.002016	0.001752	0.001550	
110	0.003933	0.003606	0.004603	0.003908	0.003397	0.003570	0.005209	0.004450	0.003537	0.003623	
115	0.006782	0.005568	0.007426	0.007131	0.006087	0.005683	0.008070	0.007023	0.004962	0.006185	
120	0.010621	0.007077	0.009632	0.009962	0.010463	0.010086	0.012026	0.010095	0.007241	0.008066	
125	0.015024	0.010178	0.015227	0.012297	0.012631	0.013317	0.016461	0.012649	0.010129	0.011430	
130	0.017539	0.011996	0.021065	0.013325	0.015535	0.016732	0.023372	0.015942	0.012564	0.015761	
135	0.025081	0.015209	0.026577	0.016134	0.023857	0.019586	0.031593	0.018252	0.018102	0.019110	
140	0.030227	0.017927	0.033587	0.016678	0.032254	0.024215	0.036958	0.023397	0.022872	0.021618	
145	0.034707	0.022289	0.040138	0.021338	0.039801	0.027261	0.046097	0.026145	0.027476	0.024403	
150	0.040328	0.029076	0.044092	0.024599	0.047809	0.030827	0.054949	0.031803	0.034149	0.031971	
155	0.045996	0.033115	0.049484	0.028656	0.053760	0.034169	0.064337	0.035245	0.043970	0.037807	
160	0.053373	0.036649	0.059877	0.034908	0.059259	0.037707	0.074398	0.039949	0.051694	0.044369	
165	0.062369	0.043563	0.070527	0.042094	0.068473	0.043003	0.083138	0.044410	0.056753	0.052985	
170	0.070998	0.052677	0.079143	0.049461	0.075508	0.047208	0.092918	0.050238	0.064410	0.060786	
175	0.080640	0.058361	0.085587	0.055895	0.081398	0.052812	0.099739	0.057883	0.073447	0.070257	
180	0.085455	0.064461	0.092416	0.063873	0.086083	0.058944	0.107260	0.065963	0.078369	0.077057	
185	0.094415	0.071751	0.100709	0.070765	0.089359	0.066705	0.114216	0.072638	0.086439	0.081177	
190	0.100676	0.077664	0.105036	0.078674	0.092513	0.074098	0.122057	0.080933	0.090983	0.087755	
195	0.103401	0.085028	0.113254	0.085722	0.094387	0.078472	0.132386	0.085531	0.099544	0.092968	
200	0.112838	0.090091	0.117358	0.091259	0.099914	0.084011	0.139509	0.089891	0.104725	0.095918	
205	0.119584	0.094826	0.122355	0.098283	0.107586	0.087211	0.145557	0.096518	0.112384	0.099529	
210	0.123443	0.101453	0.127176	0.105643	0.109760	0.090483	0.149435	0.103123	0.113975	0.104071	
215	0.128764	0.103333	0.129722	0.108882	0.111330	0.095624	0.150433	0.108610	0.117544	0.113497	
220	0.134956	0.107193	0.131752	0.113317	0.111022	0.100388	0.154224	0.115235	0.122069	0.117584	
225	0.141627	0.109061	0.134061	0.119364	0.111312	0.105309	0.158185	0.121427	0.127649	0.120603	
230	0.143912	0.110600	0.135729	0.123907	0.115699	0.110322	0.165495	0.123884	0.133431	0.121291	
235	0.150754	0.113231	0.139429	0.127329	0.118443	0.114955	0.166414	0.126582	0.137396	0.121889	
240	0.155011	0.116699	0.139380	0.132391	0.120638	0.116698	0.169088	0.131221	0.140568	0.121571	
245	0.157442	0.116102	0.138623	0.137691	0.120117	0.117440	0.169464	0.137187	0.143961	0.126221	
250	0.161882	0.120226	0.139302	0.139652	0.125430	0.120387	0.171297	0.142456	0.145246	0.130172	
255	0.166554	0.123301	0.138023	0.142379	0.131334	0.123225	0.175188	0.150698	0.143899	0.135522	
260	0.170827	0.125590	0.137022	0.145640	0.134875	0.126855	0.176316	0.151320	0.144593	0.139156	
265	0.171742	0.125708	0.138122	0.147190	0.140226	0.127012	0.181080	0.148165	0.146989	0.144730	
270	0.169843	0.127396	0.139206	0.149860	0.142273	0.132225	0.183145	0.153785	0.145820	0.149760	
275	0.170008	0.125831	0.142046	0.150433	0.147781	0.133038	0.184718	0.152951	0.148636	0.150772	
280	0.169152	0.127654	0.144303	0.155017	0.150302	0.136961	0.187449	0.156442	0.152639	0.154158	
285	0.174781	0.131355	0.145517	0.158709	0.152451	0.135951	0.186320	0.158475	0.153016	0.153015	
290	0.181127	0.131670	0.146512	0.165264	0.157374	0.139266	0.186319	0.160336	0.155743	0.153432	
295	0.184092	0.131373	0.148917	0.166018	0.162850	0.142738	0.189733	0.165559	0.157708	0.154268	
300	0.184235	0.132948	0.153036	0.167800	0.164083	0.145138	0.189448	0.166321	0.163677	0.156241	
305	0.185893	0.133478	0.152664	0.169809	0.163421	0.149003	0.191599	0.166728	0.164854	0.158223	
310	0.186346	0.134405	0.153269	0.172767	0.164751	0.148764	0.190494	0.172098	0.167146	0.160615	
315	0.187926	0.134498	0.154074	0.174491	0.167266	0.151587	0.189464	0.171240	0.167274	0.161662	
320	0.189385	0.135847	0.153867	0.174249	0.166948	0.154627	0.185987	0.175207	0.168132	0.160968	
325	0.192012	0.137454	0.156203	0.177759	0.168552	0.155194	0.188587	0.177952	0.172368	0.164647	
330	0.193831	0.140486	0.154700	0.178670	0.168529	0.151063	0.186990	0.179414	0.172979	0.163751	
335	0.194494	0.140703	0.158159	0.179750	0.172489	0.151893	0.187521	0.178726	0.175834	0.163411	
340	0.196916	0.141193	0.158873	0.180725	0.174714	0.153512	0.189258	0.183986	0.174058	0.164737	
345	0.195455	0.142567	0.162373	0.183290	0.175643	0.155069	0.195332	0.184397	0.179301	0.167697	
350	0.195107	0.144350	0.160938	0.183074	0.174901	0.154633	0.197466	0.185822	0.177912	0.169191	
355	0.196198	0.147583	0.163364	0.183206	0.175601	0.158606	0.197455	0.188150	0.181027	0.170735	
360	0.193239	0.148597	0.165912	0.183760	0.176792	0.161226	0.194758	0.185168	0.180580	0.173548	
365	0.194731	0.149382	0.167238	0.185055	0.177760	0.162589	0.199470	0.186861	0.181563	0.173214	
370	0.196107	0.151435	0.169569	0.183194	0.182423	0.161357	0.200751	0.188492	0.184734	0.173780	
375	0.197289	0.152555	0.169583	0.188048	0.180700	0.160992	0.200653	0.190656	0.183364	0.178867	
380	0.197429	0.152080	0.170911	0.189527	0.183276	0.161400	0.200997	0.189357	0.184476	0.179502	
385	0.198278	0.157181	0.168945	0.195757	0.185473	0.160742	0.200065	0.189875	0.186535	0.176428	
390	0.198109	0.158741	0.169741	0.195000	0.184410	0.163413	0.201336	0.189996	0.189155	0.179452	
395	0.196756	0.159401	0.171020	0.196058	0.184988	0.165507	0.202309	0.189138	0.191521	0.179452	
400	0.197682	0.159301	0.171828	0.196633	0.180629	0.168655	0.203904	0.188601	0.193392	0.183058	
405	0.195221	0.162281	0.172830	0.200149	0.183647	0.170845	0.203460	0.187046	0.193952	0.185105	
410	0.197968	0.164167	0.174585	0.202402	0.186504	0.174013	0.205438	0.186136	0.197292	0.186971	
415	0.201408	0.166450	0.176964	0.201959	0.190738	0.172458	0.202609	0.185093	0.198001	0.188519	
420	0.203426	0.166663	0.179879	0.199746	0.188398	0.171812	0.202734	0.186924	0.198556	0.189460	
425	0.206268	0.164293	0.182474	0.198369	0.188223	0.172452	0.201663	0.188583	0.197788	0.187080	
430	0.207138	0.164870	0.179528	0.197003	0.188314	0.173621	0.202775	0.190279	0.199990	0.189577	
435	0.209986	0.165528	0.179537	0.199793	0.191667	0.171616	0.201622	0.191419	0.199769	0.191204	
440	0.213398	0.165878	0.179176	0.202379	0.190060	0.172830	0.204811	0.194927	0.202590	0.193314	
445	0.213269	0.165855	0.184474	0.204217	0.194387	0.175317	0.205492	0.193963	0.199943	0.193721	
450	0.212151	0.168051	0.182799	0.207814	0.195556	0.177495	0.207000	0.195102	0.206619	0.192443	
455	0.213277	0.167200	0.183965	0.208617	0.195647	0.177065	0.204677	0.193825	0.206406	0.191753	
460	0.213148	0.171257	0.186353	0.209541	0.194872	0.175746	0.206470	0.193679	0.206432	0.188083	
465	0.212697	0.171185	0.190039	0.210850	0.195389	0.176566	0.206247	0.194518	0.209051	0.192942	
470	0.214318	0.173620	0.191145	0.213494	0.198844	0.176434	0.203444	0.195359	0.212278	0.191937	
475	0.215576	0.174013	0.193470	0.214059	0.200333	0.179918	0.200073	0.197314	0.212810	0.192889	
480	0.214849	0.172570	0.192810	0.211642	0.202454	0.180976	0.201602	0.199237	0.212307	0.194897	
485	0.213603	0.173109	0.194246	0.213279	0.202136	0.182589	0.200008	0.195859	0.214057	0.194803	
490	0.213755	0.175065	0.196805	0.215153	0.206239	0.187008	0.202359	0.192716	0.213064	0.194229	
495	0.211595	0.176453	0.200453	0.215680	0.207531	0.190246	0.205035	0.193778	0.214528	0.196992	
500	0.211521	0.178303	0.202330	0.214628	0.207451	0.194540	0.204858	0.196483	0.215288	0.196946	
505	0.213348	0.180343	0.205277	0.215040	0.207752	0.200771	0.203859	0.192438	0.214400	0.195758	
510	0.211648	0.182262	0.207180	0.215845	0.208434	0.202718	0.201269	0.191755	0.214745	0.196187	
515	0.215143	0.181695	0.202264	0.214434	0.208278	0.203060	0.200580	0.192494	0.217615	0.196428	
520	0.217980	0.184145	0.201463	0.216279	0.211575	0.201098	0.201243	0.194598	0.218247	0.197198	
525	0.218512	0.183245	0.199653	0.217508	0.211120	0.200730	0.203127	0.195830	0.216291	0.199160	
530	0.218549	0.186972	0.199191	0.217120	0.210899	0.203412	0.201967	0.196610	0.216481	0.194889	
535	0.215238	0.187037	0.200242	0.216090	0.209126	0.203763	0.202522	0.195085	0.216063	0.195405	
540	0.216136	0.189815	0.200044	0.215842	0.207093	0.203136	0.203764	0.195879	0.217199	0.193869	
545	0.214788	0.187354	0.206484	0.214134	0.207506	0.201826	0.209772	0.197937	0.220415	0.191629	
550	0.214464	0.189602	0.205007	0.214723	0.203525	0.199830	0.210172	0.199223	0.220936	0.193922	
555	0.213370	0.189905	0.207404	0.218169	0.205705	0.201408	0.211026	0.200190	0.221544	0.194171	
560	0.213973	0.188602	0.205794	0.219879	0.206145	0.199616	0.211445	0.201919	0.218875	0.194699	
565	0.216878	0.189667	0.205759	0.218653	0.208833	0.198443	0.210625	0.202839	0.220291	0.193622	
570	0.216533	0.187331	0.206685	0.217872	0.208980	0.199599	0.209720	0.203521	0.220334	0.194866	
575	0.217707	0.187647	0.206476	0.217295	0.207908	0.201877	0.209511	0.205267	0.218715	0.195701	
580	0.216890	0.184318	0.208912	0.217366	0.207865	0.201028	0.212894	0.204848	0.219248	0.195352	
585	0.215347	0.185457	0.211317	0.219568	0.209609	0.198066	0.214762	0.206233	0.220741	0.197711	
590	0.218471	0.188668	0.210420	0.217300	0.209996	0.199065	0.214561	0.207271	0.222276	0.198827	
595	0.217305	0.187739	0.209798	0.215386	0.210063	0.198827	0.213839	0.209007	0.220482	0.200589	
600	0.217022	0.190756	0.209871	0.214253	0.207117	0.202369	0.210087	0.208957	0.222088	0.200272	
605	0.220300	0.191081	0.213392	0.217706	0.206123	0.200747	0.210648	0.211422	0.223830	0.202307	
610	0.217025	0.188421	0.211272	0.216390	0.206774	0.200399	0.212109	0.212892	0.222509	0.201894	
615	0.217014	0.187245	0.212029	0.219870	0.207258	0.202494	0.213433	0.211766	0.222186	0.202622	
620	0.215486	0.186661	0.210790	0.219922	0.207784	0.204803	0.212869	0.214883	0.224708	0.201564	
625	0.215512	0.187128	0.211075	0.219255	0.210038	0.203895	0.214452	0.214127	0.224879	0.200042	
630	0.212392	0.187039	0.213247	0.221767	0.208411	0.202029	0.214687	0.213014	0.223509	0.201003	
635	0.213159	0.185909	0.214402	0.222785	0.206746	0.205922	0.215277	0.212546	0.222038	0.203582	
640	0.213752	0.185566	0.214975	0.218785	0.207358	0.208303	0.219352	0.210737	0.221919	0.201049	
645	0.212195	0.185028	0.216190	0.219633	0.205106	0.210289	0.219649	0.210932	0.223131	0.200463	
650	0.212148	0.181042	0.216206	0.220978	0.207208	0.210161	0.217588	0.210252	0.224206	0.201874	
655	0.214629	0.181717	0.214313	0.220816	0.207872	0.207928	0.217066	0.208591	0.221453	0.201988	
660	0.215584	0.183197	0.209580	0.219679	0.210033	0.206251	0.218903	0.208628	0.219497	0.204675	
665	0.219372	0.186542	0.208994	0.220661	0.211598	0.206990	0.217550	0.209105	0.217739	0.203672	
670	0.220108	0.189111	0.211807	0.220148	0.213775	0.209068	0.219037	0.210388	0.218122	0.201402	
675	0.220535	0.190340	0.215167	0.222082	0.213354	0.211157	0.219844	0.209350	0.220124	0.199851	
680	0.222353	0.190730	0.217296	0.223521	0.212311	0.210362	0.217881	0.211371	0.219689	0.199448	
