T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.105407	0.115692	0.092091	0.089954	0.099106	0.086552	0.065882	0.090507	0.093809	0.091716	
10	0.219536	0.284225	0.189297	0.182841	0.210742	0.213851	0.185037	0.203749	0.235375	0.185845	
15	0.279393	0.369311	0.271082	0.347974	0.323486	0.278006	0.251539	0.271549	0.312755	0.248781	
20	0.348313	0.401923	0.382174	0.507976	0.428654	0.356626	0.348259	0.374754	0.423894	0.360563	
25	0.425896	0.449574	0.439775	0.549678	0.477968	0.487191	0.444082	0.444305	0.492827	0.437975	
30	0.492284	0.530683	0.472996	0.608535	0.510488	0.631112	0.525669	0.480978	0.538637	0.513030	
35	0.540510	0.616377	0.518439	0.714359	0.552641	0.713036	0.588546	0.528034	0.583747	0.586608	
40	0.568944	0.681228	0.584270	0.808498	0.605582	0.741048	0.630140	0.609828	0.637420	0.652449	
45	0.595963	0.727529	0.654620	0.851562	0.656477	0.758120	0.670985	0.704209	0.690279	0.702325	
50	0.629154	0.766298	0.713150	0.865581	0.708813	0.772575	0.708998	0.762056	0.735645	0.731948	
55	0.673194	0.795607	0.746911	0.874308	0.746701	0.787558	0.743339	0.800337	0.767114	0.754193	
60	0.717473	0.816036	0.775462	0.882001	0.775656	0.799631	0.770691	0.820057	0.792731	0.768206	
65	0.757582	0.833251	0.800205	0.884251	0.796420	0.812421	0.789945	0.834069	0.809983	0.780670	
70	0.784063	0.840183	0.816441	0.882707	0.810786	0.822523	0.806688	0.841058	0.821200	0.790056	
75	0.803297	0.849442	0.831574	0.880333	0.821845	0.837148	0.818820	0.847508	0.835555	0.802752	
80	0.819597	0.854530	0.836667	0.883042	0.832020	0.845967	0.827373	0.853018	0.842581	0.814596	
85	0.830329	0.860697	0.847959	0.881151	0.834974	0.854653	0.836936	0.854715	0.849971	0.830030	
90	0.841251	0.862333	0.851934	0.879814	0.843494	0.857190	0.840828	0.857192	0.853120	0.838854	
95	0.846071	0.866093	0.853828	0.879927	0.846422	0.861629	0.847227	0.862526	0.856260	0.843538	
100	0.852973	0.867302	0.857110	0.880155	0.855132	0.866645	0.849035	0.868123	0.860222	0.849506	
105	0.853312	0.870647	0.861040	0.879362	0.857793	0.862361	0.851098	0.866047	0.861027	0.858598	
110	0.854253	0.867182	0.864175	0.874388	0.859355	0.861128	0.855431	0.869298	0.861456	0.863603	
115	0.857055	0.866021	0.863680	0.874462	0.861805	0.862627	0.855192	0.866005	0.859907	0.860811	
120	0.854239	0.865574	0.860720	0.873929	0.859847	0.862353	0.852783	0.860957	0.861054	0.861142	
125	0.849707	0.865016	0.857698	0.869875	0.858026	0.860901	0.849980	0.859693	0.861397	0.863176	
130	0.848242	0.861326	0.856072	0.867757	0.853913	0.861622	0.846558	0.859777	0.858300	0.859393	
135	0.844450	0.859443	0.851604	0.867264	0.847196	0.860560	0.842817	0.855872	0.854331	0.857958	
140	0.842917	0.853648	0.844503	0.865080	0.838966	0.858405	0.836975	0.849951	0.852843	0.857171	
145	0.840287	0.849015	0.835915	0.858961	0.837626	0.853113	0.834488	0.847298	0.849234	0.852166	
150	0.835623	0.841651	0.830334	0.854174	0.831059	0.849901	0.826547	0.842246	0.844299	0.846964	
155	0.828662	0.841883	0.827111	0.850124	0.826220	0.844205	0.815268	0.841973	0.838395	0.837203	
160	0.821145	0.837239	0.817376	0.844216	0.821499	0.837623	0.806964	0.835715	0.830151	0.831586	
165	0.812572	0.828511	0.809316	0.836409	0.812878	0.835883	0.795196	0.825240	0.825519	0.822618	
170	0.806540	0.820949	0.797693	0.829181	0.803931	0.831085	0.787940	0.821235	0.819825	0.813918	
175	0.792417	0.813120	0.791812	0.821714	0.799570	0.826765	0.777033	0.816110	0.809689	0.807657	
180	0.787039	0.804772	0.787390	0.814631	0.795760	0.821667	0.767328	0.811843	0.799649	0.802802	
185	0.779858	0.798200	0.781335	0.806613	0.788187	0.812602	0.756102	0.802714	0.792631	0.797707	
190	0.775843	0.793178	0.772769	0.797337	0.782841	0.805333	0.747663	0.790367	0.785599	0.789114	
195	0.768014	0.783504	0.761362	0.791384	0.777041	0.796428	0.733522	0.782919	0.775937	0.778992	
200	0.759787	0.780002	0.757029	0.778270	0.772690	0.788768	0.729880	0.771624	0.765700	0.774314	
205	0.751987	0.774226	0.752296	0.773324	0.766532	0.782184	0.721766	0.762426	0.756065	0.772402	
210	0.748693	0.769982	0.747206	0.767228	0.759499	0.774886	0.718392	0.757843	0.748741	0.768765	
215	0.741154	0.767183	0.743582	0.764625	0.756487	0.770029	0.715342	0.757606	0.743249	0.759790	
220	0.734121	0.763228	0.741623	0.757743	0.751454	0.760845	0.709470	0.746423	0.738267	0.754277	
225	0.725523	0.762361	0.737663	0.748405	0.748004	0.760457	0.704019	0.742400	0.731976	0.746889	
230	0.720891	0.758340	0.734513	0.746323	0.745230	0.755004	0.697969	0.737097	0.728372	0.744593	
235	0.713892	0.751842	0.731060	0.741465	0.740225	0.751825	0.696878	0.733709	0.726209	0.743220	
240	0.710800	0.748950	0.728522	0.732669	0.739338	0.747223	0.693742	0.727285	0.723169	0.740540	
245	0.705922	0.745742	0.726885	0.725170	0.738750	0.747009	0.690002	0.725086	0.718766	0.735953	
250	0.701503	0.743297	0.725937	0.720794	0.733508	0.740705	0.689826	0.720352	0.718862	0.729831	
255	0.698038	0.742008	0.725533	0.718997	0.730153	0.736867	0.689363	0.712415	0.715137	0.723912	
260	0.694850	0.739134	0.721846	0.716681	0.723745	0.734442	0.687306	0.709120	0.710963	0.722118	
265	0.692798	0.737792	0.721744	0.715422	0.721527	0.731443	0.681592	0.708536	0.706326	0.714632	
270	0.693717	0.734129	0.717988	0.711027	0.717512	0.731125	0.678660	0.704039	0.709482	0.710449	
275	0.692249	0.734140	0.717945	0.708354	0.714389	0.727009	0.675988	0.706264	0.709881	0.711451	
280	0.689333	0.730311	0.715364	0.704919	0.711328	0.718233	0.669954	0.706727	0.707449	0.707751	
285	0.683828	0.726617	0.715573	0.701527	0.711690	0.718341	0.668240	0.701778	0.702742	0.705718	
290	0.681651	0.724721	0.712556	0.694270	0.705730	0.716993	0.670461	0.699003	0.700822	0.703696	
295	0.675765	0.723205	0.709740	0.692748	0.699970	0.715281	0.666351	0.694656	0.696029	0.699283	
300	0.675773	0.723884	0.710174	0.693496	0.695373	0.712729	0.664022	0.691619	0.693629	0.696492	
305	0.671554	0.723539	0.708375	0.689045	0.696472	0.710101	0.664485	0.687541	0.694780	0.696551	
310	0.671090	0.723601	0.708725	0.686062	0.697308	0.710987	0.667093	0.686512	0.690240	0.692921	
315	0.668229	0.723867	0.711901	0.686433	0.696155	0.707754	0.667502	0.687255	0.689803	0.690083	
320	0.668659	0.723974	0.710961	0.685442	0.697568	0.702131	0.667303	0.685117	0.686561	0.689980	
325	0.664881	0.720442	0.708181	0.682152	0.696232	0.704040	0.667454	0.680610	0.686083	0.688234	
330	0.662051	0.716599	0.706758	0.680969	0.693644	0.706695	0.668656	0.679385	0.681686	0.689964	
335	0.659086	0.713258	0.702961	0.680472	0.691499	0.705270	0.663751	0.680623	0.679162	0.691501	
340	0.657934	0.710188	0.701117	0.680352	0.690538	0.700811	0.665132	0.676436	0.680132	0.689998	
345	0.659126	0.709511	0.701107	0.677458	0.685567	0.696751	0.661241	0.673340	0.676954	0.688531	
350	0.659417	0.708125	0.698330	0.673276	0.683760	0.697389	0.661957	0.672354	0.676657	0.687495	
