T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.002187	0.001435	0.001773	0.001122	0.002029	0.001565	0.002004	0.002197	0.001655	0.001705	
110	0.003426	0.003312	0.004091	0.003825	0.003751	0.003627	0.004882	0.005165	0.004105	0.003704	
115	0.004036	0.005256	0.004670	0.006530	0.005514	0.005548	0.007958	0.006949	0.006622	0.006697	
120	0.007105	0.007135	0.006894	0.009484	0.008106	0.007430	0.010612	0.009234	0.008358	0.009390	
125	0.010521	0.011060	0.010389	0.012687	0.011502	0.009566	0.013909	0.012502	0.010872	0.010611	
130	0.014141	0.014322	0.012286	0.016507	0.013655	0.012232	0.018564	0.016859	0.014323	0.014372	
135	0.018689	0.018960	0.014904	0.019387	0.016670	0.015241	0.022614	0.020631	0.016402	0.015923	
140	0.024165	0.022363	0.019153	0.024930	0.021261	0.017642	0.024805	0.024483	0.017851	0.020424	
145	0.029835	0.025473	0.024370	0.028877	0.028119	0.018280	0.025706	0.030549	0.021637	0.024896	
150	0.033859	0.030075	0.027834	0.032305	0.030196	0.019289	0.031429	0.040659	0.025819	0.028265	
155	0.039185	0.032056	0.031991	0.036261	0.032956	0.021375	0.035675	0.051568	0.030665	0.031169	
160	0.046710	0.036520	0.037599	0.038734	0.036479	0.026365	0.037638	0.058804	0.036001	0.038619	
165	0.054593	0.040384	0.046018	0.041464	0.035524	0.030156	0.041392	0.072050	0.040438	0.042716	
170	0.060249	0.044862	0.050019	0.045328	0.039463	0.034022	0.048358	0.087863	0.044711	0.049446	
175	0.067004	0.052130	0.057635	0.047175	0.039763	0.036109	0.055310	0.103545	0.050276	0.053867	
180	0.072967	0.053240	0.062203	0.050296	0.041778	0.040216	0.060867	0.125666	0.054586	0.061030	
185	0.075216	0.057661	0.069658	0.051399	0.044052	0.045537	0.066939	0.143938	0.062867	0.068669	
190	0.076659	0.061755	0.077061	0.052645	0.048460	0.050993	0.072381	0.156462	0.067838	0.076864	
195	0.077078	0.065794	0.082578	0.054663	0.050444	0.058708	0.076414	0.173901	0.071409	0.085711	
200	0.079051	0.070339	0.086435	0.059954	0.054576	0.063231	0.080556	0.186235	0.073032	0.090773	
205	0.082286	0.074355	0.087041	0.063227	0.056034	0.068578	0.087210	0.198795	0.076575	0.094218	
210	0.085054	0.078308	0.089388	0.065913	0.058837	0.068862	0.093781	0.206273	0.081270	0.097289	
215	0.089295	0.081188	0.092178	0.068469	0.060872	0.072741	0.101784	0.211418	0.085900	0.102239	
220	0.092978	0.082455	0.091573	0.074810	0.060527	0.075217	0.108298	0.219390	0.091351	0.107449	
225	0.096745	0.084750	0.094542	0.077606	0.064000	0.076599	0.113278	0.220274	0.094107	0.114281	
230	0.101229	0.087354	0.096284	0.082223	0.071485	0.081632	0.120043	0.220480	0.098552	0.117338	
235	0.104243	0.090377	0.099430	0.087485	0.076788	0.085759	0.128256	0.219282	0.102426	0.123833	
240	0.108699	0.093363	0.100583	0.092850	0.079646	0.089406	0.132295	0.220897	0.111470	0.128909	
245	0.119860	0.093482	0.107576	0.098857	0.085277	0.089322	0.135180	0.221884	0.118582	0.133308	
250	0.129069	0.093095	0.114890	0.105843	0.089601	0.094420	0.141631	0.219884	0.128535	0.143103	
255	0.135921	0.095059	0.120091	0.109906	0.092866	0.098565	0.145238	0.222488	0.135463	0.151163	
260	0.151857	0.094030	0.124467	0.115933	0.094258	0.103639	0.148170	0.223376	0.141933	0.158633	
265	0.156699	0.094177	0.129763	0.122131	0.096413	0.109506	0.152336	0.220265	0.151287	0.167406	
270	0.166171	0.097837	0.135558	0.129808	0.099908	0.117577	0.155293	0.221155	0.158726	0.180241	
275	0.175875	0.100165	0.144068	0.135271	0.104661	0.127520	0.158234	0.222669	0.166408	0.193677	
280	0.188024	0.100815	0.149932	0.138766	0.107218	0.136194	0.159058	0.225859	0.175422	0.207348	
285	0.197774	0.102894	0.160075	0.145103	0.109856	0.145863	0.161369	0.228946	0.182435	0.217667	
290	0.203594	0.102751	0.166406	0.151014	0.115653	0.156367	0.167246	0.229282	0.192272	0.232389	
295	0.215962	0.104869	0.176902	0.155644	0.121706	0.165499	0.170754	0.232276	0.200136	0.250116	
300	0.224277	0.111006	0.182647	0.158112	0.129501	0.175154	0.170739	0.233969	0.206940	0.263358	
305	0.233464	0.115055	0.190144	0.161380	0.135186	0.184885	0.171993	0.236059	0.210507	0.275623	
310	0.238611	0.119017	0.196300	0.165513	0.143263	0.194437	0.171013	0.238957	0.215941	0.290380	
315	0.245837	0.121941	0.202941	0.167029	0.147688	0.202669	0.170768	0.246825	0.217523	0.306925	
320	0.251346	0.126251	0.211346	0.170558	0.152167	0.207403	0.171362	0.256184	0.217993	0.324652	
325	0.259796	0.130341	0.220813	0.170908	0.157843	0.213787	0.173644	0.269462	0.220260	0.341575	
330	0.266505	0.141124	0.228313	0.175469	0.162659	0.217100	0.175748	0.278156	0.220397	0.356339	
335	0.272315	0.153879	0.240693	0.177107	0.166802	0.214631	0.177661	0.283469	0.224446	0.373407	
340	0.280245	0.168849	0.247664	0.183724	0.170725	0.217369	0.178668	0.284431	0.229649	0.386485	
345	0.287663	0.188881	0.262457	0.189749	0.172614	0.222208	0.182055	0.284301	0.234549	0.404020	
350	0.295443	0.204257	0.277912	0.195203	0.175817	0.224150	0.186629	0.279065	0.240141	0.416050	
355	0.298830	0.218593	0.280450	0.199532	0.183185	0.231404	0.190371	0.274158	0.239626	0.417614	
360	0.306758	0.228529	0.284614	0.203962	0.192613	0.238653	0.196087	0.263538	0.237677	0.415471	
365	0.309980	0.244154	0.287681	0.204988	0.200774	0.244438	0.203702	0.247029	0.232954	0.392872	
370	0.312390	0.256667	0.282466	0.201858	0.208350	0.248313	0.216099	0.230158	0.220960	0.375971	
375	0.315672	0.265504	0.275681	0.196279	0.216218	0.255881	0.227138	0.208478	0.205320	0.340259	
380	0.314695	0.270705	0.271910	0.191282	0.223641	0.254163	0.241676	0.198382	0.200966	0.324380	
385	0.313574	0.276663	0.259807	0.184466	0.229800	0.247294	0.253560	0.188771	0.195904	0.306078	
390	0.308107	0.276047	0.236652	0.176508	0.236460	0.238117	0.267289	0.188074	0.193590	0.292861	
395	0.301827	0.282014	0.213700	0.173572	0.237488	0.223470	0.273022	0.186172	0.192229	0.285871	
400	0.294454	0.278489	0.195011	0.174064	0.241548	0.219517	0.277209	0.189423	0.191300	0.280065	
405	0.285279	0.282426	0.180612	0.175303	0.235217	0.209261	0.280389	0.199891	0.192571	0.268535	
410	0.271428	0.280663	0.172640	0.171752	0.224682	0.203393	0.279532	0.202505	0.193038	0.265790	
415	0.260284	0.281601	0.166922	0.171927	0.212004	0.202417	0.271867	0.209587	0.193083	0.266102	
420	0.244604	0.277947	0.165891	0.172196	0.196978	0.196823	0.264137	0.215517	0.196471	0.263458	
425	0.230260	0.278876	0.157629	0.171888	0.189527	0.195065	0.245969	0.216899	0.203797	0.270342	
430	0.222352	0.278542	0.150658	0.174207	0.181460	0.195186	0.222397	0.223760	0.206263	0.278670	
435	0.213068	0.279113	0.149605	0.178893	0.179317	0.201921	0.203501	0.229737	0.209991	0.285189	
440	0.205156	0.278700	0.149879	0.183527	0.169890	0.205009	0.194123	0.225966	0.213269	0.292436	
445	0.200795	0.281500	0.151284	0.190431	0.171728	0.207029	0.192201	0.234753	0.217185	0.292523	
450	0.198450	0.284000	0.153117	0.195964	0.171908	0.205820	0.182629	0.238094	0.222777	0.289466	
455	0.187476	0.283998	0.157704	0.199654	0.180068	0.218919	0.172324	0.242888	0.220788	0.283259	
460	0.176113	0.286964	0.165735	0.201097	0.187878	0.225045	0.171747	0.252605	0.215723	0.276550	
465	0.164218	0.287863	0.167665	0.202504	0.189083	0.226433	0.168287	0.252506	0.208816	0.265815	
470	0.162796	0.286907	0.177534	0.199069	0.198395	0.232678	0.165034	0.254538	0.197062	0.253666	
475	0.166190	0.288991	0.185389	0.197620	0.201649	0.237069	0.164996	0.249729	0.188256	0.246266	
480	0.168140	0.288541	0.196815	0.192999	0.206868	0.236473	0.164182	0.239789	0.183329	0.241277	
485	0.175315	0.290280	0.206113	0.192145	0.209724	0.230312	0.169665	0.229712	0.173641	0.233640	
490	0.184477	0.291239	0.208273	0.186427	0.211586	0.227144	0.177231	0.220216	0.170563	0.236348	
495	0.186166	0.292485	0.205404	0.180158	0.214732	0.219417	0.182006	0.209899	0.172877	0.227024	
500	0.196790	0.294216	0.202350	0.184944	0.213911	0.210282	0.188377	0.209764	0.178587	0.225896	
505	0.200842	0.295304	0.194851	0.186610	0.209296	0.204790	0.196917	0.202992	0.180424	0.225744	
510	0.200783	0.295102	0.188976	0.183315	0.205378	0.195547	0.200972	0.215088	0.178167	0.222770	
515	0.196420	0.292798	0.185107	0.183652	0.201841	0.190335	0.212446	0.223299	0.179999	0.223546	
520	0.196115	0.295869	0.183553	0.192292	0.203410	0.194403	0.215263	0.224886	0.186656	0.221441	
525	0.202696	0.294792	0.179944	0.194523	0.204713	0.208843	0.223566	0.236170	0.193157	0.218156	
530	0.200582	0.295437	0.182351	0.200585	0.204121	0.221099	0.224003	0.234539	0.195199	0.223666	
535	0.193598	0.298265	0.180505	0.202687	0.199032	0.232875	0.224084	0.233360	0.200938	0.224680	
540	0.188270	0.300367	0.181823	0.203750	0.196039	0.230218	0.215955	0.225642	0.206795	0.223702	
545	0.191409	0.299648	0.180391	0.203304	0.197703	0.231591	0.205544	0.225326	0.209569	0.222042	
550	0.191156	0.297975	0.183718	0.200211	0.192708	0.234471	0.201027	0.223426	0.217057	0.220135	
555	0.199132	0.297153	0.184898	0.202491	0.190705	0.230748	0.196551	0.226112	0.213317	0.215260	
560	0.205822	0.296832	0.190969	0.204482	0.194228	0.225240	0.187202	0.235723	0.209465	0.224236	
565	0.208394	0.300675	0.192570	0.206947	0.194925	0.232148	0.181721	0.240309	0.200974	0.216999	
570	0.209710	0.302534	0.200507	0.211238	0.197425	0.232385	0.182615	0.247099	0.196356	0.213126	
575	0.211501	0.300338	0.198926	0.206636	0.195178	0.228995	0.181992	0.240631	0.193485	0.213823	
580	0.208783	0.301364	0.198652	0.202654	0.194567	0.223339	0.193035	0.243346	0.187776	0.207943	
585	0.209174	0.299344	0.199152	0.196945	0.198141	0.226065	0.197868	0.242013	0.190666	0.204847	
590	0.205836	0.296864	0.189392	0.194314	0.200912	0.230526	0.206893	0.234727	0.191925	0.200901	
595	0.202625	0.293066	0.190759	0.185598	0.198209	0.223490	0.216388	0.230381	0.191457	0.201845	
600	0.193320	0.291344	0.191723	0.183987	0.207519	0.215093	0.218268	0.230217	0.198231	0.204782	
605	0.193249	0.293435	0.197276	0.184233	0.213344	0.210201	0.220583	0.230170	0.189448	0.209784	
610	0.196140	0.295074	0.194501	0.184889	0.214035	0.207368	0.220200	0.229486	0.180494	0.213296	
615	0.192188	0.297366	0.199835	0.185792	0.216530	0.210510	0.218229	0.228426	0.180609	0.215106	
620	0.193149	0.291484	0.195397	0.184008	0.214605	0.218959	0.221131	0.224422	0.189703	0.218073	
625	0.199938	0.281240	0.199289	0.184108	0.212491	0.222986	0.219560	0.224188	0.186062	0.216158	
630	0.203869	0.258656	0.208934	0.189684	0.206477	0.225274	0.217517	0.213631	0.188028	0.214343	
635	0.210229	0.235398	0.212634	0.194355	0.195834	0.228863	0.217767	0.216639	0.189152	0.202050	
640	0.217177	0.217228	0.213217	0.196402	0.195170	0.228369	0.215728	0.218640	0.192315	0.197322	
645	0.215311	0.208522	0.216793	0.196393	0.200620	0.225576	0.219678	0.218871	0.194851	0.194677	
650	0.216034	0.200906	0.218732	0.201980	0.197783	0.223608	0.208573	0.217701	0.197703	0.191968	
655	0.214878	0.201231	0.216607	0.208569	0.199575	0.213743	0.207477	0.213192	0.191996	0.196334	
660	0.206911	0.188991	0.215603	0.215602	0.196478	0.205194	0.202745	0.204977	0.186641	0.201914	
665	0.207785	0.183815	0.213967	0.210973	0.189204	0.209735	0.204715	0.205024	0.183562	0.206518	
670	0.203213	0.178519	0.213663	0.210024	0.185060	0.206650	0.211857	0.211540	0.183631	0.208642	
675	0.204745	0.171833	0.210222	0.209914	0.186954	0.205682	0.211552	0.207715	0.178278	0.210267	
680	0.208542	0.177060	0.208534	0.209873	0.183494	0.205573	0.210008	0.209228	0.181707	0.209571	
