T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
205	0.000718	0.000976	0.000679	0.000641	0.000895	0.000692	0.000463	0.000753	0.000699	0.001087	
210	0.001786	0.001433	0.001161	0.001270	0.001577	0.001209	0.000781	0.001282	0.001326	0.001417	
215	0.001313	0.001472	0.001612	0.001453	0.001463	0.001739	0.001414	0.001833	0.001662	0.001913	
220	0.001868	0.001616	0.002274	0.002049	0.001667	0.002625	0.001592	0.002766	0.001749	0.002084	
225	0.001579	0.002063	0.002811	0.001922	0.001988	0.002838	0.001837	0.002517	0.001903	0.002159	
230	0.001945	0.002041	0.002517	0.001907	0.001680	0.003154	0.002100	0.002278	0.001917	0.002508	
235	0.001604	0.002472	0.002370	0.002329	0.001866	0.002774	0.002107	0.003001	0.002297	0.002068	
240	0.002158	0.002055	0.002042	0.002294	0.001899	0.003158	0.002008	0.003244	0.002424	0.001974	
245	0.002696	0.002539	0.002449	0.002445	0.002448	0.003334	0.001647	0.002502	0.002974	0.002463	
250	0.003062	0.002780	0.002878	0.002811	0.002179	0.002197	0.002374	0.002677	0.003062	0.002238	
255	0.002459	0.002832	0.003303	0.003186	0.002574	0.002520	0.002728	0.002955	0.002844	0.002271	
260	0.002441	0.003286	0.004001	0.002869	0.002473	0.002868	0.002674	0.003258	0.003141	0.002426	
265	0.002434	0.004290	0.003099	0.003150	0.002682	0.003030	0.002968	0.003415	0.003951	0.002830	
270	0.003482	0.003600	0.003124	0.003141	0.002626	0.002447	0.004351	0.003302	0.003936	0.003485	
275	0.003750	0.003308	0.003604	0.003100	0.002499	0.003386	0.003318	0.002952	0.004327	0.003527	
280	0.004074	0.003381	0.003572	0.003542	0.002210	0.003538	0.003580	0.003163	0.004704	0.004199	
285	0.003753	0.004816	0.003077	0.003781	0.002322	0.003415	0.003862	0.003293	0.004749	0.003831	
290	0.003949	0.004481	0.003447	0.004077	0.003252	0.003586	0.004035	0.003209	0.005705	0.004295	
295	0.004340	0.003972	0.003613	0.004224	0.003181	0.004317	0.003683	0.003990	0.005150	0.004288	
300	0.004493	0.004469	0.003339	0.004345	0.002828	0.004581	0.003103	0.004337	0.005602	0.003830	
305	0.004296	0.004352	0.003428	0.004376	0.003659	0.005448	0.003054	0.004648	0.006337	0.003588	
310	0.004591	0.004438	0.003673	0.004520	0.004353	0.005698	0.002761	0.004425	0.006314	0.003236	
315	0.004878	0.004584	0.003957	0.004218	0.004242	0.005296	0.002709	0.004699	0.006036	0.003340	
320	0.004558	0.004409	0.003839	0.004769	0.003522	0.004769	0.003187	0.004777	0.006103	0.003462	
325	0.004739	0.004624	0.004217	0.004493	0.003526	0.004241	0.003205	0.005025	0.006563	0.003658	
330	0.005471	0.004452	0.004150	0.004802	0.003569	0.004082	0.003444	0.004605	0.007198	0.003541	
335	0.005659	0.004577	0.004224	0.003786	0.004257	0.005232	0.003068	0.004659	0.008382	0.003674	
340	0.005900	0.004605	0.004076	0.003735	0.004127	0.005398	0.003611	0.004740	0.007430	0.004148	
345	0.005500	0.004141	0.004617	0.003866	0.003579	0.005565	0.003577	0.004642	0.007443	0.004837	
350	0.006620	0.004387	0.004927	0.004325	0.003956	0.005607	0.003961	0.005538	0.007978	0.004708	
355	0.006926	0.004457	0.004074	0.004732	0.004754	0.005902	0.003625	0.005032	0.007868	0.004843	
360	0.008091	0.004087	0.005139	0.004892	0.004368	0.005963	0.003997	0.005221	0.007493	0.005179	
365	0.008494	0.003845	0.004855	0.005028	0.004709	0.006285	0.004126	0.005825	0.007946	0.004440	
370	0.008431	0.004296	0.005159	0.005433	0.005068	0.006332	0.004657	0.005461	0.008226	0.004411	
375	0.009159	0.004778	0.005592	0.006874	0.005385	0.006734	0.005128	0.006034	0.009107	0.004623	
380	0.008912	0.004708	0.004541	0.005839	0.005326	0.006478	0.005437	0.006483	0.008653	0.005133	
385	0.009191	0.004976	0.004164	0.005207	0.006331	0.006583	0.006053	0.006610	0.007905	0.004862	
390	0.008216	0.004631	0.003637	0.004844	0.006651	0.006839	0.005384	0.006475	0.007500	0.005517	
395	0.008154	0.004969	0.003835	0.005076	0.007140	0.006769	0.006490	0.006338	0.007114	0.005330	
400	0.007366	0.004700	0.003979	0.004811	0.006946	0.006868	0.006477	0.006332	0.007376	0.004745	
405	0.008051	0.004107	0.003983	0.005329	0.007409	0.006714	0.007157	0.006106	0.007323	0.004298	
410	0.008044	0.004528	0.004405	0.006841	0.006775	0.006757	0.007430	0.006349	0.007762	0.005088	
415	0.008587	0.004762	0.003601	0.006400	0.006860	0.007984	0.008262	0.006470	0.008957	0.005127	
420	0.008301	0.004945	0.003190	0.007225	0.006474	0.008565	0.009907	0.005674	0.009767	0.005203	
425	0.009478	0.005525	0.003522	0.006519	0.006561	0.008785	0.010765	0.004740	0.010465	0.005247	
430	0.011042	0.005399	0.003790	0.007180	0.006982	0.008840	0.010272	0.005060	0.010528	0.005354	
435	0.011614	0.005273	0.003980	0.008169	0.007224	0.009159	0.009339	0.005412	0.009772	0.005310	
440	0.012751	0.005440	0.004842	0.007669	0.007688	0.009451	0.009542	0.006268	0.011026	0.005814	
445	0.012314	0.004587	0.004980	0.008342	0.007048	0.009743	0.008697	0.007218	0.011676	0.006864	
450	0.012525	0.004864	0.006010	0.009043	0.007794	0.009590	0.008654	0.006829	0.012444	0.006512	
455	0.012503	0.005649	0.006709	0.009115	0.007941	0.009973	0.008329	0.007039	0.012166	0.006975	
460	0.011465	0.005780	0.005567	0.008414	0.008298	0.009643	0.007843	0.007451	0.011610	0.007065	
465	0.011723	0.005741	0.006302	0.008839	0.008691	0.009502	0.006930	0.007322	0.011942	0.006506	
470	0.011680	0.005747	0.005831	0.009256	0.008420	0.009786	0.007454	0.008021	0.012243	0.006550	
475	0.012966	0.005664	0.006060	0.008665	0.008090	0.011199	0.008405	0.009797	0.012644	0.008258	
480	0.012028	0.005529	0.007626	0.009573	0.008989	0.010315	0.007351	0.010385	0.013130	0.008503	
485	0.011503	0.005560	0.009126	0.009615	0.009083	0.009570	0.007552	0.011828	0.012888	0.008565	
490	0.012351	0.007108	0.009004	0.010610	0.008579	0.009405	0.007960	0.011908	0.014170	0.008244	
495	0.013140	0.007599	0.009278	0.010802	0.009422	0.009984	0.008262	0.012559	0.013789	0.008366	
500	0.013651	0.008861	0.008977	0.010223	0.009442	0.011479	0.008900	0.013304	0.014809	0.008984	
505	0.012880	0.009240	0.009027	0.010879	0.009944	0.010710	0.008877	0.014070	0.015629	0.009306	
510	0.013715	0.010649	0.011278	0.012782	0.009116	0.008928	0.009392	0.015230	0.013911	0.011507	
515	0.013349	0.011072	0.012406	0.012998	0.009794	0.009517	0.009487	0.015446	0.014183	0.010810	
520	0.014261	0.010789	0.012386	0.012836	0.009684	0.009723	0.010541	0.016205	0.015376	0.011419	
525	0.015219	0.011897	0.012617	0.013696	0.010972	0.009408	0.012709	0.018161	0.016513	0.011585	
530	0.014531	0.012771	0.012659	0.013115	0.012237	0.009192	0.012894	0.018732	0.015473	0.011502	
535	0.014765	0.013735	0.013316	0.013898	0.012738	0.009693	0.014077	0.019875	0.014471	0.011169	
540	0.014893	0.012700	0.013741	0.015803	0.012463	0.009979	0.014047	0.021120	0.014684	0.009894	
545	0.015651	0.011540	0.014548	0.016754	0.012515	0.010300	0.014233	0.023709	0.014820	0.008768	
550	0.017012	0.013170	0.014614	0.016508	0.014474	0.009990	0.014156	0.028766	0.014680	0.008875	
555	0.017445	0.012917	0.015593	0.016773	0.015253	0.009365	0.017091	0.031755	0.015083	0.008463	
560	0.017991	0.014669	0.015421	0.020187	0.016959	0.009753	0.018194	0.035557	0.015513	0.008476	
565	0.018087	0.016500	0.014678	0.021421	0.015809	0.010942	0.018047	0.039639	0.015005	0.008902	
570	0.017915	0.019810	0.014751	0.026235	0.016418	0.011187	0.020664	0.043079	0.014091	0.008328	
575	0.016995	0.021020	0.016647	0.028704	0.016900	0.011427	0.023212	0.046991	0.014691	0.009216	
580	0.017951	0.020705	0.016394	0.029603	0.016581	0.011240	0.024210	0.047292	0.014718	0.008795	
585	0.017787	0.022783	0.015238	0.034893	0.017195	0.012101	0.026711	0.048759	0.015987	0.008220	
590	0.018007	0.025314	0.016672	0.038931	0.016893	0.012714	0.027847	0.051603	0.015903	0.010259	
595	0.018718	0.028728	0.015681	0.043156	0.016597	0.013777	0.027743	0.052641	0.015875	0.009071	
600	0.019483	0.031088	0.016004	0.045186	0.017447	0.014076	0.031922	0.057079	0.016120	0.009348	
605	0.019895	0.033995	0.015732	0.044532	0.018875	0.015958	0.033383	0.056810	0.016590	0.009345	
610	0.020552	0.036860	0.014244	0.047471	0.018156	0.018353	0.035499	0.058258	0.017200	0.009582	
615	0.021894	0.040453	0.015465	0.049781	0.018523	0.019258	0.036865	0.056680	0.016691	0.008800	
620	0.024602	0.046881	0.015596	0.052227	0.020849	0.021559	0.038464	0.056224	0.018814	0.009825	
625	0.026353	0.050057	0.016345	0.054084	0.024518	0.023402	0.038538	0.055812	0.018403	0.009383	
630	0.028353	0.051123	0.015988	0.054886	0.022285	0.026289	0.040159	0.054500	0.019912	0.009027	
635	0.028416	0.050068	0.015172	0.055488	0.023435	0.028542	0.041289	0.053696	0.021224	0.009641	
640	0.029492	0.049079	0.015941	0.054805	0.023005	0.030781	0.043616	0.051963	0.020773	0.010493	
645	0.030921	0.047106	0.016571	0.057188	0.024506	0.032804	0.045526	0.050373	0.019951	0.009837	
650	0.032130	0.044225	0.018526	0.058983	0.025491	0.033986	0.046683	0.049032	0.021789	0.010659	
655	0.032807	0.042127	0.018692	0.057495	0.025897	0.035305	0.046943	0.046297	0.022021	0.011481	
660	0.033943	0.041366	0.018772	0.057583	0.027419	0.033994	0.048672	0.046933	0.022348	0.012827	
665	0.035224	0.039770	0.019481	0.060669	0.028370	0.034667	0.052386	0.044452	0.022672	0.014048	
670	0.036250	0.037665	0.018620	0.061242	0.030874	0.035216	0.053651	0.044117	0.022831	0.016434	
675	0.037551	0.036079	0.018921	0.059939	0.031991	0.034990	0.051492	0.043657	0.023353	0.019137	
680	0.036441	0.035051	0.019883	0.060821	0.034188	0.036086	0.049346	0.043066	0.023622	0.021058	
