T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001026	0.000982	0.001037	0.000634	0.000831	0.000973	0.000871	0.000562	0.000920	0.000897	
110	0.002812	0.002047	0.002242	0.001593	0.002185	0.001780	0.001793	0.001500	0.003405	0.001622	
115	0.004813	0.003011	0.003521	0.003155	0.004066	0.003081	0.003538	0.002896	0.003969	0.002941	
120	0.005866	0.004727	0.004907	0.005513	0.005488	0.003879	0.005914	0.005241	0.005943	0.004517	
125	0.008342	0.006942	0.006531	0.007290	0.007746	0.006826	0.007415	0.007067	0.009329	0.007084	
130	0.011542	0.010818	0.009590	0.010006	0.009386	0.007949	0.010511	0.009078	0.012855	0.010399	
135	0.016057	0.015579	0.010825	0.013576	0.013473	0.011606	0.013671	0.010375	0.017357	0.014095	
140	0.023028	0.018903	0.014085	0.017473	0.019141	0.016558	0.018193	0.013092	0.023461	0.017400	
145	0.027308	0.023270	0.019659	0.022432	0.023294	0.018104	0.023432	0.016064	0.031564	0.022413	
150	0.031462	0.031268	0.022318	0.026426	0.026721	0.018440	0.033375	0.020144	0.039804	0.025782	
155	0.038385	0.036773	0.027845	0.028552	0.030272	0.022054	0.041466	0.025837	0.046736	0.031406	
160	0.043152	0.045041	0.028919	0.034324	0.032472	0.024982	0.049584	0.028626	0.050572	0.035421	
165	0.050632	0.049618	0.031707	0.039702	0.039354	0.029482	0.056822	0.033778	0.058654	0.040467	
170	0.054456	0.055600	0.035554	0.043289	0.045960	0.033226	0.065522	0.039753	0.065192	0.047745	
175	0.062239	0.060390	0.039103	0.048046	0.053043	0.038736	0.072160	0.045327	0.072325	0.053333	
180	0.068569	0.066378	0.043464	0.052517	0.059287	0.044060	0.076901	0.054126	0.075859	0.058450	
185	0.076071	0.073002	0.046423	0.057761	0.065736	0.049207	0.083071	0.060375	0.078931	0.063163	
190	0.081674	0.078145	0.050880	0.062456	0.072271	0.054523	0.088455	0.068974	0.079942	0.068609	
195	0.088513	0.084899	0.052716	0.065895	0.078120	0.059389	0.095701	0.078286	0.082571	0.071628	
200	0.097449	0.092718	0.057523	0.073639	0.083020	0.063553	0.097304	0.086947	0.087537	0.075444	
205	0.102308	0.099272	0.060855	0.081127	0.086044	0.067661	0.102058	0.096598	0.088040	0.085358	
210	0.112076	0.105451	0.063414	0.086205	0.090794	0.071043	0.109819	0.105623	0.089499	0.093387	
215	0.125071	0.113446	0.068485	0.092642	0.092945	0.073664	0.116666	0.115588	0.094282	0.097489	
220	0.129432	0.117866	0.075092	0.099155	0.096069	0.074295	0.120433	0.123548	0.097710	0.101196	
225	0.135957	0.120143	0.079653	0.106719	0.098730	0.076543	0.123093	0.134524	0.102959	0.105397	
230	0.139777	0.123086	0.086571	0.113257	0.100818	0.078844	0.127731	0.140339	0.107716	0.108552	
235	0.147633	0.124923	0.091973	0.116741	0.103784	0.080772	0.129750	0.145417	0.113619	0.109775	
240	0.156520	0.127321	0.098090	0.120531	0.104907	0.086576	0.130245	0.150650	0.118564	0.114233	
245	0.156222	0.128184	0.102253	0.126402	0.106445	0.092053	0.129243	0.156676	0.127667	0.118030	
250	0.163888	0.131276	0.106872	0.132185	0.106815	0.098319	0.130424	0.160147	0.138815	0.122667	
255	0.167196	0.134445	0.112786	0.136965	0.106937	0.101940	0.130854	0.163307	0.144389	0.124650	
260	0.170059	0.136716	0.115703	0.139325	0.108286	0.106651	0.133885	0.164159	0.149699	0.128069	
265	0.175489	0.136960	0.118462	0.141259	0.109420	0.112961	0.135411	0.168549	0.157184	0.130799	
270	0.180092	0.138331	0.120991	0.145440	0.112191	0.119921	0.138179	0.171840	0.161046	0.132278	
275	0.184529	0.140401	0.123808	0.151306	0.115481	0.126364	0.138142	0.172283	0.164988	0.133879	
280	0.190280	0.141429	0.126980	0.158686	0.118617	0.131886	0.138894	0.175891	0.174230	0.132829	
285	0.198593	0.142378	0.128643	0.162456	0.122372	0.135149	0.142364	0.177368	0.182335	0.131440	
290	0.204531	0.141917	0.129296	0.164323	0.124157	0.137652	0.144551	0.179860	0.186423	0.134029	
295	0.207989	0.146661	0.128799	0.168066	0.129712	0.143554	0.144793	0.180547	0.189995	0.137329	
300	0.215693	0.147464	0.130648	0.173839	0.133206	0.149620	0.147431	0.184724	0.194784	0.137767	
305	0.220965	0.149246	0.132606	0.181267	0.132517	0.155488	0.148460	0.189169	0.195816	0.142678	
310	0.224434	0.150386	0.133682	0.186730	0.135717	0.160973	0.153824	0.192553	0.199189	0.148387	
315	0.227472	0.149362	0.135215	0.186744	0.139747	0.163069	0.159132	0.195941	0.201147	0.150588	
320	0.230230	0.149406	0.137540	0.190248	0.140913	0.168930	0.163031	0.198879	0.201309	0.151798	
325	0.232157	0.148858	0.141313	0.193210	0.145624	0.172999	0.168032	0.203026	0.204837	0.153423	
330	0.236888	0.151704	0.143467	0.198899	0.150185	0.174961	0.172632	0.205039	0.204926	0.153050	
335	0.236444	0.152042	0.145137	0.204260	0.153741	0.176654	0.173490	0.208445	0.207999	0.153320	
340	0.240294	0.153645	0.145792	0.205958	0.158212	0.183841	0.175686	0.211008	0.212062	0.155703	
345	0.242624	0.153441	0.149167	0.211276	0.162488	0.187757	0.180010	0.212763	0.218201	0.157528	
350	0.244563	0.156818	0.151287	0.209004	0.170651	0.189894	0.185607	0.215880	0.220234	0.158239	
355	0.244221	0.156551	0.154378	0.214220	0.175693	0.194362	0.192379	0.216930	0.222792	0.160106	
360	0.244234	0.159192	0.156857	0.218719	0.184679	0.199154	0.195121	0.219980	0.224706	0.162410	
365	0.246826	0.160235	0.157357	0.221041	0.189962	0.203852	0.198995	0.221420	0.225649	0.165870	
370	0.248177	0.164635	0.164566	0.224939	0.194348	0.206754	0.205092	0.224959	0.229276	0.169118	
375	0.250194	0.164651	0.171567	0.230916	0.203733	0.209487	0.209837	0.226996	0.229405	0.174069	
380	0.251151	0.165058	0.174665	0.236801	0.210096	0.212222	0.213976	0.230282	0.231890	0.180249	
385	0.252417	0.166903	0.182608	0.239053	0.220687	0.213520	0.216244	0.232971	0.235240	0.182238	
390	0.254065	0.167366	0.186651	0.239869	0.227229	0.217282	0.216978	0.236504	0.237979	0.187384	
395	0.253347	0.169121	0.193510	0.247692	0.232451	0.218672	0.220803	0.240495	0.243778	0.190894	
400	0.255660	0.171996	0.199277	0.253799	0.236368	0.222751	0.225007	0.244997	0.246288	0.194794	
405	0.256676	0.173591	0.205775	0.260059	0.236474	0.223408	0.228980	0.248175	0.249171	0.198978	
410	0.257544	0.176130	0.213239	0.264029	0.237239	0.225197	0.232531	0.250082	0.256976	0.200900	
415	0.258254	0.181023	0.216694	0.267758	0.240843	0.226499	0.234213	0.253771	0.261310	0.203938	
420	0.258351	0.185238	0.223115	0.273326	0.245057	0.228870	0.236161	0.256988	0.262673	0.206109	
425	0.260093	0.188271	0.224576	0.279867	0.249549	0.229541	0.242517	0.260985	0.269524	0.206644	
430	0.262542	0.190330	0.226391	0.286934	0.256306	0.230633	0.244257	0.265193	0.271016	0.205630	
435	0.260697	0.193830	0.232022	0.293005	0.253751	0.231445	0.247072	0.266280	0.273267	0.204164	
440	0.261854	0.194697	0.235194	0.296729	0.255780	0.232224	0.250823	0.268124	0.276411	0.205792	
445	0.261455	0.194572	0.237371	0.304050	0.258748	0.234612	0.252365	0.273426	0.280152	0.204916	
450	0.260677	0.201979	0.239220	0.309530	0.264405	0.237173	0.254282	0.273693	0.282956	0.205501	
455	0.260577	0.205149	0.241194	0.310546	0.263152	0.238082	0.258118	0.274445	0.284700	0.206850	
460	0.260257	0.210153	0.242299	0.311875	0.263924	0.238953	0.260655	0.278183	0.287836	0.207011	
465	0.260352	0.216042	0.243334	0.315275	0.266288	0.240138	0.263362	0.282528	0.290004	0.209328	
470	0.261286	0.225770	0.245430	0.320574	0.263478	0.239445	0.266800	0.283763	0.291365	0.211473	
475	0.265585	0.230602	0.249592	0.329491	0.262690	0.237819	0.271388	0.289811	0.291962	0.213379	
480	0.267584	0.236187	0.253236	0.337947	0.261955	0.240366	0.273716	0.293691	0.294017	0.217825	
485	0.270815	0.245735	0.256518	0.344571	0.267487	0.241388	0.278944	0.295602	0.293232	0.218227	
490	0.272706	0.252591	0.259157	0.344143	0.269588	0.245116	0.282057	0.300528	0.291316	0.220368	
495	0.275014	0.259884	0.262069	0.347537	0.270136	0.245208	0.285118	0.303944	0.293695	0.223079	
500	0.275270	0.261766	0.263834	0.353479	0.271902	0.246981	0.289847	0.306751	0.294176	0.222776	
505	0.276949	0.265877	0.263018	0.353967	0.275446	0.247236	0.294159	0.313900	0.296702	0.226486	
510	0.277753	0.271238	0.263575	0.357455	0.273361	0.248646	0.297700	0.317299	0.297833	0.229050	
515	0.277392	0.273042	0.263770	0.355905	0.277281	0.248653	0.302919	0.319582	0.297658	0.231444	
520	0.279798	0.281148	0.262709	0.360811	0.280554	0.251861	0.307144	0.322722	0.298627	0.234677	
525	0.279454	0.290241	0.262958	0.368427	0.279215	0.257324	0.305942	0.324111	0.300046	0.237824	
530	0.280304	0.296032	0.264937	0.376528	0.280694	0.261758	0.308355	0.323660	0.303651	0.238323	
535	0.280538	0.294694	0.264281	0.383887	0.285672	0.261912	0.313588	0.322047	0.302469	0.240377	
540	0.280693	0.298938	0.262915	0.387286	0.288228	0.262662	0.316725	0.320728	0.302624	0.244122	
545	0.280710	0.308625	0.263386	0.389618	0.294367	0.267925	0.317565	0.319920	0.305017	0.246959	
550	0.283655	0.313271	0.263316	0.393616	0.295361	0.269174	0.317072	0.312137	0.305535	0.248237	
555	0.283417	0.315718	0.264290	0.400622	0.294866	0.274534	0.314551	0.310255	0.308010	0.252958	
560	0.284906	0.319622	0.265510	0.397839	0.296682	0.276072	0.313528	0.308256	0.308776	0.252536	
565	0.287693	0.323013	0.267516	0.401087	0.300253	0.279075	0.308772	0.303327	0.308712	0.255872	
570	0.290402	0.325540	0.267120	0.399335	0.306139	0.281317	0.307286	0.294823	0.308911	0.258725	
575	0.292295	0.334019	0.267573	0.393120	0.303245	0.284534	0.302400	0.289166	0.308357	0.261693	
580	0.294295	0.344890	0.268051	0.389413	0.305910	0.284485	0.302647	0.281536	0.303937	0.265659	
585	0.294940	0.343866	0.268246	0.385090	0.308055	0.283102	0.299170	0.277857	0.305169	0.269820	
590	0.293678	0.344552	0.268753	0.375362	0.306254	0.284757	0.296754	0.273274	0.302816	0.269308	
595	0.293368	0.339791	0.270875	0.367101	0.306877	0.283211	0.295695	0.268449	0.303875	0.273757	
600	0.290317	0.332620	0.270637	0.361713	0.306678	0.282306	0.289658	0.259839	0.305537	0.279464	
605	0.292995	0.320512	0.271712	0.356333	0.306589	0.281826	0.287686	0.255207	0.307311	0.284059	
610	0.295459	0.311958	0.274490	0.344391	0.303415	0.280085	0.279740	0.250275	0.306211	0.287968	
615	0.294126	0.298048	0.276040	0.332316	0.301133	0.281407	0.275389	0.244343	0.309164	0.292954	
620	0.289452	0.279646	0.276883	0.322539	0.299621	0.279728	0.270918	0.241281	0.310958	0.293581	
625	0.282681	0.270174	0.279270	0.312078	0.299939	0.277346	0.266010	0.239844	0.309807	0.294259	
630	0.276967	0.265259	0.279433	0.310400	0.301252	0.275035	0.261396	0.238174	0.310365	0.301508	
635	0.273455	0.255392	0.279370	0.307376	0.303318	0.270625	0.257219	0.237651	0.315467	0.307748	
640	0.261316	0.244965	0.280138	0.304392	0.301765	0.267632	0.253235	0.237824	0.318038	0.309648	
645	0.260379	0.241635	0.281782	0.298476	0.301232	0.263614	0.247651	0.235824	0.317947	0.313971	
650	0.258721	0.240223	0.282876	0.296510	0.302129	0.262607	0.244312	0.232494	0.315645	0.316442	
655	0.251853	0.237111	0.285011	0.295089	0.299584	0.259494	0.238726	0.231900	0.313856	0.320942	
660	0.245056	0.231254	0.286049	0.293113	0.298236	0.257906	0.228776	0.236186	0.315253	0.326637	
665	0.234391	0.230847	0.287941	0.287018	0.293279	0.255026	0.218698	0.240043	0.319964	0.326613	
670	0.224947	0.231065	0.290433	0.282383	0.283332	0.252917	0.213950	0.235811	0.316827	0.325318	
675	0.222759	0.231521	0.293205	0.281767	0.279767	0.252364	0.214667	0.233688	0.318481	0.317764	
680	0.225214	0.231603	0.294983	0.278464	0.273153	0.250738	0.217491	0.234307	0.316903	0.308825	
