T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.072874	0.103623	0.095266	0.084470	0.077709	0.071037	0.067439	0.071160	0.049932	0.085846	
10	0.201872	0.234941	0.330934	0.190713	0.225421	0.242673	0.217314	0.235840	0.265576	0.208556	
15	0.276735	0.261114	0.355924	0.264357	0.283832	0.297142	0.247390	0.321003	0.375909	0.263593	
20	0.364194	0.292717	0.377555	0.445408	0.395604	0.335676	0.306978	0.385725	0.394756	0.351192	
25	0.428065	0.358214	0.422572	0.597873	0.475283	0.382420	0.413347	0.428279	0.415165	0.401924	
30	0.463767	0.428715	0.498508	0.637735	0.510919	0.441814	0.468158	0.463347	0.461222	0.441876	
35	0.501915	0.477569	0.564749	0.650829	0.545948	0.517319	0.509498	0.503043	0.523063	0.497648	
40	0.547805	0.532425	0.609612	0.663455	0.597770	0.578572	0.564450	0.546944	0.575438	0.573237	
45	0.589771	0.598582	0.646919	0.678808	0.661673	0.614264	0.623953	0.584061	0.611231	0.662247	
50	0.621238	0.684650	0.681590	0.707833	0.724590	0.638317	0.668021	0.620619	0.635066	0.758676	
55	0.652575	0.749515	0.708883	0.739845	0.767730	0.664567	0.700904	0.658255	0.655017	0.833789	
60	0.690557	0.801868	0.730570	0.777477	0.794026	0.695811	0.727546	0.696080	0.674144	0.868959	
65	0.726579	0.830491	0.747734	0.802514	0.812146	0.732406	0.751298	0.733352	0.696219	0.874927	
70	0.760617	0.844358	0.763629	0.823733	0.820443	0.765835	0.775184	0.771063	0.719370	0.883127	
75	0.788566	0.858233	0.775859	0.843839	0.830506	0.789550	0.789623	0.804549	0.738127	0.883386	
80	0.809668	0.865186	0.786069	0.848808	0.833929	0.809894	0.812033	0.821141	0.759321	0.879327	
85	0.821033	0.867892	0.799205	0.856437	0.838398	0.824966	0.827571	0.832618	0.774269	0.874771	
90	0.831103	0.872041	0.809829	0.857956	0.844468	0.835759	0.838619	0.843372	0.791144	0.873975	
95	0.838933	0.875575	0.824999	0.861627	0.849104	0.845228	0.851342	0.847047	0.808934	0.875103	
100	0.843778	0.875634	0.832728	0.867890	0.852048	0.848295	0.858350	0.854518	0.820875	0.877133	
105	0.848470	0.875282	0.838380	0.867776	0.856501	0.851788	0.864808	0.859813	0.828086	0.877950	
110	0.850748	0.874655	0.847345	0.866123	0.855810	0.854811	0.867480	0.862645	0.837603	0.876678	
115	0.851547	0.872208	0.852180	0.866756	0.856799	0.853622	0.864606	0.864791	0.843110	0.872301	
120	0.853742	0.870635	0.855564	0.863992	0.858989	0.851700	0.863224	0.864603	0.847135	0.858716	
125	0.852723	0.865479	0.850092	0.858984	0.860006	0.851563	0.864338	0.863013	0.847834	0.855596	
130	0.851378	0.859486	0.845773	0.856260	0.856352	0.849341	0.859115	0.857318	0.842926	0.846913	
135	0.847172	0.854673	0.839735	0.850961	0.853974	0.846463	0.856324	0.853255	0.839126	0.841224	
140	0.840570	0.845424	0.832733	0.844423	0.847382	0.841299	0.845819	0.846050	0.831536	0.831417	
145	0.834689	0.836327	0.825637	0.837913	0.843788	0.838746	0.835799	0.837340	0.823535	0.820232	
150	0.826875	0.826139	0.816384	0.819338	0.835460	0.833459	0.821755	0.830444	0.815151	0.809044	
155	0.817584	0.818369	0.806481	0.805276	0.828333	0.827095	0.805754	0.813990	0.801845	0.794758	
160	0.806357	0.807617	0.794191	0.780790	0.819086	0.818045	0.790688	0.798945	0.795882	0.787548	
165	0.798502	0.795309	0.785987	0.761441	0.808842	0.808770	0.779700	0.786260	0.784898	0.777560	
170	0.787572	0.780837	0.778552	0.738661	0.795810	0.799093	0.762628	0.770599	0.773989	0.767306	
175	0.777625	0.771365	0.772262	0.720390	0.780669	0.790098	0.750581	0.755185	0.766167	0.758937	
180	0.761996	0.758333	0.764015	0.702698	0.770402	0.776641	0.738506	0.737801	0.758229	0.752974	
185	0.747318	0.750910	0.758278	0.694635	0.756572	0.759384	0.727390	0.723826	0.750914	0.746172	
190	0.731594	0.738001	0.750678	0.681578	0.744205	0.739501	0.715997	0.707317	0.743617	0.740697	
195	0.717318	0.725329	0.744591	0.670367	0.730471	0.714342	0.707505	0.687308	0.735547	0.736403	
200	0.705266	0.713188	0.735284	0.661993	0.714537	0.692028	0.695043	0.673160	0.730310	0.729880	
205	0.695121	0.704045	0.724823	0.651975	0.704847	0.675518	0.680382	0.656112	0.722461	0.720710	
210	0.677744	0.688338	0.717325	0.640851	0.692460	0.656466	0.669382	0.642490	0.712877	0.710556	
215	0.662656	0.672089	0.707256	0.635955	0.681966	0.646911	0.660900	0.630770	0.699313	0.703670	
220	0.651888	0.658901	0.695836	0.627711	0.670677	0.635129	0.649736	0.621794	0.688890	0.693428	
225	0.639296	0.650980	0.688066	0.622570	0.661928	0.620758	0.638281	0.608868	0.673414	0.690005	
230	0.629701	0.643710	0.672295	0.613651	0.648774	0.611785	0.629446	0.598136	0.658878	0.682040	
235	0.615965	0.634486	0.652855	0.610724	0.639770	0.606465	0.622254	0.589208	0.645640	0.677647	
240	0.603402	0.626583	0.629512	0.604195	0.628226	0.601798	0.616322	0.579539	0.634418	0.670080	
245	0.602905	0.620468	0.610579	0.596230	0.619385	0.597857	0.610841	0.574406	0.618557	0.664434	
250	0.586182	0.614256	0.591312	0.586817	0.612219	0.590952	0.610615	0.566378	0.596109	0.657531	
255	0.579349	0.606599	0.576616	0.577918	0.606901	0.586726	0.605410	0.557191	0.579449	0.654361	
260	0.570671	0.601121	0.560645	0.571482	0.601581	0.579947	0.600885	0.552258	0.565670	0.648423	
265	0.560770	0.597484	0.548650	0.568623	0.597357	0.576136	0.597680	0.543365	0.553307	0.645591	
270	0.546846	0.596109	0.537074	0.564153	0.592561	0.571855	0.594558	0.535615	0.541128	0.639176	
275	0.537556	0.593750	0.525763	0.557933	0.589466	0.566689	0.593247	0.526878	0.536561	0.632143	
280	0.523860	0.590406	0.515088	0.545828	0.583883	0.563106	0.590463	0.521310	0.520835	0.627571	
285	0.510918	0.585857	0.510433	0.541031	0.578920	0.557395	0.584891	0.515667	0.515658	0.624944	
290	0.492314	0.582259	0.505618	0.536611	0.573672	0.545843	0.577936	0.507331	0.509608	0.622276	
295	0.478612	0.577617	0.502010	0.530866	0.568672	0.535846	0.574175	0.503871	0.503602	0.619749	
300	0.465960	0.574948	0.499580	0.525757	0.564298	0.529858	0.567450	0.500259	0.494621	0.615776	
305	0.450444	0.567375	0.499124	0.515122	0.561842	0.523965	0.558002	0.490179	0.491118	0.608837	
310	0.440774	0.561678	0.497664	0.507944	0.558498	0.514613	0.548019	0.483294	0.483306	0.600997	
315	0.433157	0.554339	0.494033	0.502387	0.550521	0.506706	0.535344	0.474617	0.480181	0.592824	
320	0.429749	0.551185	0.489578	0.499663	0.544118	0.499209	0.525574	0.468571	0.475498	0.583229	
325	0.422761	0.547409	0.485815	0.496023	0.535545	0.492819	0.512895	0.460446	0.468885	0.575613	
330	0.413745	0.543401	0.480887	0.489490	0.528640	0.483894	0.498846	0.454493	0.468211	0.569941	
335	0.408471	0.538422	0.477074	0.485483	0.521966	0.476057	0.490320	0.448132	0.463939	0.563326	
340	0.400431	0.534271	0.472876	0.478061	0.518512	0.471618	0.480477	0.442997	0.456696	0.555199	
345	0.397220	0.532370	0.467231	0.471041	0.513634	0.463396	0.466117	0.431455	0.449856	0.547194	
350	0.388814	0.524812	0.467166	0.471071	0.504986	0.456027	0.455916	0.424753	0.448844	0.536109	
355	0.384375	0.516292	0.458990	0.462968	0.495432	0.447506	0.441419	0.420422	0.444281	0.525276	
360	0.379900	0.509047	0.453492	0.461865	0.488676	0.444292	0.435358	0.412005	0.441523	0.514665	
365	0.378618	0.500813	0.450685	0.458250	0.480987	0.436244	0.429060	0.406437	0.438449	0.502791	
370	0.374284	0.495550	0.446525	0.452608	0.471149	0.425591	0.417791	0.397072	0.432620	0.497776	
375	0.371026	0.490219	0.437117	0.441505	0.462714	0.416859	0.404754	0.389100	0.427057	0.485744	
380	0.367101	0.479270	0.431759	0.436975	0.449005	0.411050	0.397916	0.382807	0.424818	0.474486	
385	0.362711	0.473463	0.413043	0.435353	0.437323	0.404886	0.390617	0.375711	0.420376	0.466078	
390	0.361683	0.464564	0.400457	0.431857	0.427163	0.393928	0.387021	0.365772	0.414974	0.458029	
395	0.359462	0.460040	0.389632	0.426314	0.414815	0.389295	0.377459	0.357638	0.413276	0.448047	
400	0.355996	0.450872	0.377928	0.416190	0.408446	0.379140	0.368018	0.347117	0.410965	0.440228	
405	0.351346	0.438288	0.366439	0.411709	0.402676	0.376969	0.362314	0.336942	0.405131	0.430840	
410	0.347503	0.433287	0.350391	0.405781	0.395434	0.375497	0.359973	0.333018	0.397944	0.425806	
415	0.345999	0.416506	0.343119	0.398488	0.389555	0.370206	0.351950	0.324119	0.393321	0.423045	
420	0.343148	0.412749	0.334679	0.388221	0.381172	0.363667	0.347872	0.314864	0.388118	0.415398	
425	0.340940	0.404035	0.329908	0.376853	0.374365	0.358548	0.339779	0.304340	0.378845	0.409108	
430	0.334327	0.394428	0.323064	0.364907	0.364503	0.350946	0.335794	0.292636	0.375098	0.404168	
435	0.329230	0.379637	0.311408	0.354340	0.356507	0.346013	0.327580	0.281313	0.372750	0.398892	
440	0.323936	0.366507	0.301298	0.350292	0.348985	0.341444	0.320205	0.271212	0.365255	0.392201	
445	0.320927	0.359045	0.297539	0.339701	0.346353	0.332033	0.316823	0.256529	0.360934	0.384949	
450	0.315900	0.349269	0.293559	0.334106	0.341434	0.324204	0.309503	0.250108	0.355330	0.378274	
455	0.309536	0.338179	0.291899	0.328815	0.335369	0.319824	0.303355	0.240123	0.348242	0.372818	
460	0.304976	0.330527	0.285945	0.327744	0.330491	0.319913	0.299008	0.230265	0.347632	0.369030	
465	0.298739	0.319754	0.280873	0.318820	0.323421	0.317520	0.291525	0.219934	0.343529	0.364062	
470	0.294362	0.309241	0.279691	0.311089	0.316794	0.310170	0.286545	0.214036	0.338321	0.363931	
475	0.289758	0.303950	0.276001	0.297324	0.316137	0.304537	0.278824	0.203150	0.334583	0.361170	
480	0.279830	0.287951	0.276042	0.286699	0.311809	0.297277	0.272700	0.194979	0.330827	0.352313	
485	0.268737	0.277057	0.277548	0.275741	0.304541	0.292918	0.261192	0.188542	0.327000	0.347542	
490	0.264542	0.265761	0.273645	0.268747	0.301105	0.284283	0.255175	0.183011	0.321822	0.341928	
495	0.253574	0.255636	0.273075	0.257033	0.297419	0.278309	0.246517	0.173739	0.318469	0.337329	
500	0.245753	0.254601	0.270610	0.247641	0.290158	0.274740	0.240129	0.163039	0.315610	0.331316	
505	0.238853	0.249817	0.266706	0.237863	0.284114	0.270296	0.231878	0.156957	0.306387	0.327192	
510	0.237210	0.243672	0.266233	0.231096	0.281715	0.263401	0.226323	0.153444	0.298145	0.323370	
515	0.233645	0.237389	0.265664	0.226558	0.276492	0.259635	0.218239	0.148604	0.292795	0.317740	
520	0.226602	0.227206	0.262494	0.217845	0.271140	0.253513	0.211448	0.143623	0.285742	0.307966	
525	0.227664	0.216200	0.260127	0.208327	0.265931	0.243823	0.207159	0.140765	0.279575	0.307087	
530	0.222525	0.208575	0.259103	0.196709	0.260637	0.237408	0.199583	0.146977	0.271834	0.301999	
535	0.217286	0.202780	0.257209	0.186309	0.253176	0.232820	0.193019	0.146600	0.268171	0.295620	
540	0.211988	0.202553	0.257729	0.179580	0.247807	0.231009	0.187482	0.151219	0.263433	0.293673	
545	0.207677	0.191170	0.254375	0.176386	0.242238	0.225726	0.185497	0.151623	0.261664	0.288022	
550	0.209220	0.182812	0.252132	0.169572	0.240609	0.218830	0.180841	0.166685	0.254384	0.286103	
555	0.203856	0.174885	0.247727	0.156969	0.236986	0.212446	0.181003	0.174979	0.250987	0.280704	
560	0.205575	0.169095	0.245168	0.157984	0.235163	0.208867	0.176420	0.179295	0.243922	0.280842	
565	0.198681	0.162833	0.240714	0.151264	0.228851	0.201176	0.176654	0.188191	0.239998	0.276241	
570	0.197023	0.160252	0.241209	0.149965	0.221391	0.194483	0.178116	0.203462	0.231637	0.275188	
575	0.191291	0.154406	0.243771	0.157357	0.219603	0.184569	0.184038	0.213416	0.228914	0.270569	
580	0.187905	0.143578	0.240017	0.157375	0.215766	0.180846	0.184792	0.219571	0.226447	0.268610	
585	0.186866	0.143396	0.238423	0.162369	0.212473	0.178070	0.186286	0.230489	0.221953	0.265376	
590	0.185493	0.142398	0.235715	0.171538	0.210236	0.171266	0.188903	0.241684	0.223237	0.261416	
595	0.193727	0.148197	0.235596	0.179923	0.206797	0.170378	0.186949	0.243654	0.221975	0.254404	
600	0.200114	0.157580	0.236455	0.185656	0.206619	0.169314	0.194895	0.255334	0.219320	0.250712	
605	0.199632	0.168024	0.232087	0.189335	0.204931	0.173983	0.197075	0.266367	0.214614	0.242708	
610	0.196147	0.177681	0.224916	0.198829	0.203749	0.179563	0.204199	0.271484	0.217518	0.235677	
615	0.199389	0.192444	0.221581	0.209029	0.199107	0.180323	0.208718	0.275567	0.212433	0.227696	
620	0.205148	0.220825	0.221561	0.219083	0.195759	0.189032	0.213198	0.282949	0.211933	0.223088	
625	0.217148	0.233497	0.217698	0.231828	0.196879	0.194703	0.223250	0.289005	0.205842	0.218179	
630	0.230533	0.244729	0.209460	0.233378	0.196464	0.204170	0.225566	0.287475	0.203242	0.206066	
635	0.244593	0.257870	0.201235	0.241159	0.197069	0.219243	0.230362	0.289787	0.202465	0.192378	
640	0.259877	0.271461	0.196607	0.245993	0.197441	0.231063	0.235522	0.287358	0.198529	0.175522	
645	0.264527	0.281410	0.193756	0.254748	0.198127	0.240521	0.244340	0.291586	0.194461	0.165588	
650	0.268704	0.283233	0.188651	0.256631	0.196627	0.250269	0.251581	0.297991	0.194031	0.150744	
655	0.276378	0.289570	0.185947	0.257564	0.195470	0.257512	0.251537	0.298363	0.197496	0.139971	
660	0.289635	0.296928	0.182786	0.257301	0.196608	0.259168	0.262985	0.297579	0.191933	0.128872	
665	0.308125	0.296895	0.177295	0.265369	0.203399	0.266241	0.276209	0.292037	0.190361	0.122784	
670	0.321473	0.298187	0.177507	0.275016	0.213470	0.270168	0.288155	0.299742	0.191476	0.125780	
675	0.327559	0.299936	0.172790	0.275980	0.219857	0.272759	0.288616	0.302556	0.187566	0.137268	
680	0.328906	0.302013	0.169244	0.280661	0.227621	0.276051	0.285297	0.299007	0.188530	0.153632	
685	0.335679	0.306311	0.165146	0.283239	0.240890	0.287271	0.285775	0.294356	0.191551	0.173109	
690	0.338250	0.308520	0.163799	0.290673	0.249484	0.300839	0.285498	0.286750	0.190752	0.192894	
695	0.342988	0.311080	0.161007	0.294895	0.255642	0.311835	0.289581	0.279503	0.197678	0.211281	
700	0.340959	0.313153	0.156508	0.302983	0.260739	0.318499	0.289742	0.273927	0.200326	0.232130	
705	0.338747	0.318878	0.163121	0.302440	0.264057	0.327431	0.290766	0.273699	0.201558	0.245342	
710	0.341692	0.318623	0.161876	0.300058	0.276293	0.338524	0.292347	0.270049	0.209671	0.260110	
715	0.337162	0.321046	0.158808	0.295090	0.280192	0.347960	0.299858	0.265422	0.214190	0.270156	
720	0.344125	0.326359	0.162552	0.299020	0.284726	0.350218	0.295307	0.266106	0.213844	0.288207	
725	0.345035	0.327892	0.159950	0.305597	0.285990	0.350026	0.293594	0.254892	0.219980	0.301023	
730	0.353573	0.332692	0.161193	0.305820	0.287796	0.348606	0.297297	0.244939	0.219804	0.311698	
735	0.352029	0.332418	0.167597	0.305396	0.291184	0.348443	0.292806	0.238997	0.221073	0.321337	
740	0.342433	0.329995	0.169135	0.304430	0.294951	0.349313	0.290924	0.234599	0.219160	0.331609	
745	0.335734	0.331753	0.171631	0.310303	0.295079	0.350316	0.287807	0.233012	0.221613	0.336298	
750	0.333203	0.333429	0.178203	0.305965	0.296701	0.352837	0.290618	0.225255	0.224230	0.338083	
755	0.325823	0.333559	0.191117	0.299614	0.298982	0.353581	0.288403	0.221069	0.227175	0.341093	
760	0.332661	0.332911	0.197569	0.300125	0.299391	0.351561	0.285306	0.217737	0.229014	0.353681	
765	0.333759	0.328590	0.199643	0.300369	0.296774	0.351025	0.280835	0.211227	0.236081	0.356405	
770	0.337322	0.325059	0.206541	0.303078	0.297661	0.352447	0.274306	0.216952	0.236589	0.362163	
775	0.333726	0.322386	0.215261	0.300760	0.290404	0.350917	0.272531	0.222502	0.234519	0.364540	
780	0.334834	0.320455	0.225345	0.293945	0.292631	0.348475	0.274294	0.220401	0.237144	0.370610	
785	0.336116	0.320525	0.229573	0.291354	0.293808	0.341350	0.272824	0.227523	0.244971	0.374531	
790	0.331402	0.315476	0.233168	0.294386	0.292180	0.338380	0.271645	0.237586	0.240617	0.380365	
795	0.329429	0.314512	0.236329	0.290554	0.292194	0.333160	0.269552	0.245226	0.244390	0.380374	
800	0.322930	0.311903	0.245453	0.288670	0.290418	0.334946	0.269492	0.258734	0.245959	0.377681	
805	0.321020	0.310502	0.251682	0.293080	0.287536	0.326382	0.269826	0.266635	0.249965	0.375223	
810	0.318248	0.309338	0.259544	0.281115	0.288085	0.320062	0.276758	0.277267	0.248306	0.368602	
815	0.319130	0.306352	0.260476	0.278760	0.281196	0.315713	0.272065	0.282317	0.253187	0.368538	
820	0.310151	0.306428	0.262094	0.274699	0.278447	0.312438	0.272965	0.280322	0.257527	0.364390	
825	0.306814	0.306622	0.259335	0.273988	0.278845	0.309046	0.272684	0.288277	0.260750	0.360196	
830	0.315221	0.305582	0.262487	0.267618	0.282364	0.302829	0.273950	0.290761	0.264257	0.357372	
835	0.305904	0.302286	0.262418	0.263571	0.282789	0.292634	0.271502	0.299937	0.263294	0.358155	
840	0.297192	0.299674	0.266785	0.258480	0.283053	0.283232	0.272543	0.302010	0.267570	0.351633	
845	0.291755	0.297076	0.264981	0.257367	0.279344	0.273056	0.274593	0.301683	0.266464	0.351901	
850	0.283225	0.289542	0.263994	0.245265	0.282735	0.266454	0.281638	0.306058	0.262536	0.351580	
855	0.275628	0.286923	0.273208	0.240895	0.286404	0.258545	0.283348	0.305569	0.259721	0.349338	
