T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001347	0.001185	0.001858	0.001465	0.001321	0.001220	0.001167	0.001128	0.001139	0.001815	
110	0.002081	0.004164	0.002023	0.002501	0.003010	0.003011	0.002144	0.002371	0.001383	0.002590	
115	0.004653	0.005759	0.004183	0.004164	0.003428	0.005942	0.006091	0.003078	0.001558	0.002940	
120	0.006894	0.006962	0.005111	0.004513	0.005186	0.006440	0.005597	0.003951	0.002794	0.004625	
125	0.011218	0.010499	0.008158	0.006237	0.006462	0.009217	0.005211	0.006463	0.004002	0.004394	
130	0.013508	0.011429	0.009160	0.007991	0.007614	0.007933	0.005418	0.006242	0.005459	0.005104	
135	0.017198	0.014131	0.009847	0.009116	0.009203	0.009950	0.005129	0.008682	0.007105	0.007542	
140	0.020788	0.012234	0.012524	0.010578	0.011245	0.012880	0.006238	0.011697	0.011001	0.007147	
145	0.022297	0.013132	0.016840	0.010757	0.013419	0.011990	0.006259	0.010390	0.011277	0.010075	
150	0.024277	0.012019	0.016645	0.012222	0.015209	0.010901	0.006651	0.009778	0.014916	0.010554	
155	0.022965	0.015347	0.018691	0.014551	0.017093	0.014471	0.007418	0.011677	0.015825	0.011032	
160	0.025581	0.019673	0.019767	0.015481	0.018195	0.015754	0.006852	0.009493	0.015799	0.012086	
165	0.027988	0.018222	0.021192	0.017929	0.017096	0.018687	0.006723	0.009250	0.016191	0.013208	
170	0.026793	0.016395	0.022594	0.017894	0.019052	0.019309	0.007031	0.011121	0.019687	0.012829	
175	0.027824	0.016838	0.023830	0.018264	0.022446	0.021108	0.010889	0.011089	0.020492	0.013733	
180	0.030144	0.016317	0.024988	0.017670	0.024093	0.022212	0.010422	0.014768	0.023296	0.014277	
185	0.026860	0.017584	0.026380	0.022654	0.022880	0.022223	0.012620	0.015205	0.023590	0.014688	
190	0.028655	0.018564	0.024700	0.025286	0.025267	0.026465	0.013182	0.017515	0.025592	0.015013	
195	0.029920	0.022212	0.025466	0.030559	0.027363	0.026365	0.015066	0.018110	0.028547	0.016020	
200	0.027841	0.025793	0.027845	0.032372	0.030674	0.026328	0.016456	0.017941	0.027707	0.017753	
205	0.026869	0.025755	0.029546	0.030027	0.027886	0.025675	0.018049	0.021274	0.030621	0.019477	
210	0.027735	0.029016	0.030133	0.029305	0.028158	0.025755	0.020147	0.024186	0.028349	0.020385	
215	0.028550	0.026402	0.030288	0.029804	0.028425	0.027844	0.023018	0.027537	0.031466	0.022960	
220	0.027111	0.027505	0.032306	0.030893	0.026991	0.029494	0.024604	0.026477	0.035214	0.026308	
225	0.028020	0.031515	0.029684	0.031484	0.028169	0.031554	0.022526	0.025403	0.037762	0.025707	
230	0.028523	0.030823	0.029675	0.030382	0.030262	0.030987	0.022343	0.030287	0.035722	0.026337	
235	0.030583	0.030931	0.030483	0.031142	0.030670	0.031340	0.023879	0.031459	0.036106	0.026351	
240	0.029445	0.032340	0.029628	0.033920	0.033210	0.030190	0.025110	0.033505	0.037896	0.026877	
245	0.030165	0.031841	0.030831	0.032318	0.032253	0.031744	0.026288	0.031597	0.039172	0.026863	
250	0.031672	0.032879	0.032482	0.028465	0.030536	0.030606	0.028061	0.029142	0.038726	0.028054	
255	0.031543	0.032161	0.032661	0.032163	0.030346	0.032391	0.028847	0.028961	0.041012	0.030754	
260	0.033889	0.034912	0.036464	0.032828	0.031215	0.033007	0.027331	0.026935	0.038305	0.030990	
265	0.034546	0.034800	0.036741	0.034676	0.031602	0.032458	0.027478	0.027591	0.038480	0.028699	
270	0.033513	0.033924	0.037860	0.033012	0.031528	0.030818	0.028637	0.028415	0.037724	0.034419	
275	0.033390	0.030615	0.035406	0.032297	0.031806	0.033405	0.030931	0.029465	0.038187	0.030532	
280	0.034531	0.030900	0.033599	0.033044	0.032632	0.036579	0.030545	0.028714	0.036912	0.030381	
285	0.033237	0.029260	0.035208	0.033640	0.034203	0.038178	0.034040	0.029532	0.035464	0.027909	
290	0.033734	0.029516	0.033582	0.035549	0.032797	0.037146	0.035894	0.030688	0.036437	0.029209	
295	0.034565	0.029738	0.031258	0.036064	0.031948	0.036279	0.035117	0.032162	0.035757	0.029567	
300	0.037435	0.029108	0.030570	0.036404	0.032158	0.037083	0.032745	0.031440	0.036384	0.028558	
305	0.037053	0.030848	0.032494	0.038973	0.033455	0.036102	0.035218	0.030562	0.035267	0.028089	
310	0.037372	0.033470	0.032457	0.034422	0.034709	0.036991	0.034449	0.030317	0.036108	0.028253	
315	0.038418	0.032825	0.031241	0.035297	0.032261	0.038231	0.036326	0.031476	0.036227	0.029543	
320	0.036805	0.032735	0.030358	0.034076	0.033702	0.039336	0.035841	0.032677	0.035629	0.027869	
325	0.034086	0.035190	0.032820	0.030492	0.033785	0.038127	0.036394	0.031805	0.035223	0.028684	
330	0.035000	0.032343	0.031788	0.029444	0.035661	0.040505	0.041592	0.032433	0.035998	0.026478	
335	0.034659	0.032347	0.031361	0.032677	0.034206	0.038066	0.043332	0.030752	0.035627	0.027855	
340	0.036567	0.033423	0.031613	0.031142	0.038295	0.036332	0.039144	0.032634	0.035770	0.026952	
345	0.035149	0.033708	0.034259	0.029726	0.037470	0.038288	0.036113	0.034546	0.035648	0.027913	
350	0.035394	0.031022	0.033763	0.032040	0.034138	0.039669	0.036229	0.033528	0.036163	0.027814	
355	0.034428	0.032306	0.035063	0.030115	0.031926	0.040156	0.034679	0.032269	0.035960	0.028972	
360	0.034932	0.032684	0.034836	0.028663	0.030757	0.039758	0.036173	0.031270	0.037194	0.030886	
365	0.031651	0.031100	0.033425	0.028169	0.029498	0.038048	0.037780	0.029134	0.036245	0.032409	
370	0.033697	0.028022	0.033826	0.028624	0.030470	0.037107	0.036228	0.027052	0.036404	0.031914	
375	0.035109	0.028677	0.034308	0.029418	0.028736	0.035279	0.036410	0.023718	0.035552	0.030917	
380	0.037586	0.028964	0.035955	0.032546	0.026956	0.034564	0.037671	0.023293	0.034815	0.034353	
385	0.036646	0.029553	0.036020	0.033739	0.026418	0.033310	0.037014	0.024974	0.036284	0.034516	
390	0.035547	0.029601	0.037123	0.031831	0.028688	0.034463	0.039540	0.025413	0.034181	0.034253	
395	0.038669	0.029385	0.039631	0.031081	0.028563	0.033517	0.039621	0.024526	0.036226	0.031801	
400	0.037664	0.027480	0.035578	0.030475	0.029182	0.033607	0.039897	0.026724	0.036383	0.031860	
405	0.039229	0.027791	0.036184	0.030204	0.028308	0.032850	0.039173	0.024942	0.035787	0.032228	
410	0.037012	0.030510	0.035637	0.029324	0.027808	0.034009	0.041157	0.023004	0.037158	0.032598	
415	0.038889	0.030853	0.036208	0.031728	0.026861	0.034463	0.039216	0.024060	0.037233	0.033848	
420	0.037874	0.026029	0.036429	0.032812	0.026017	0.032718	0.037840	0.023488	0.038258	0.033621	
425	0.037494	0.025058	0.037843	0.034778	0.027786	0.031894	0.037481	0.023576	0.038096	0.033076	
430	0.038696	0.025600	0.037020	0.034952	0.028954	0.031971	0.037282	0.025815	0.037955	0.032174	
435	0.040266	0.027120	0.037340	0.033156	0.026289	0.030508	0.036965	0.025898	0.037219	0.032800	
440	0.039605	0.027907	0.036963	0.031942	0.027990	0.029739	0.036945	0.026965	0.036781	0.029961	
445	0.039322	0.029940	0.037195	0.033061	0.025414	0.030916	0.038479	0.027721	0.036384	0.030181	
450	0.036104	0.029542	0.038790	0.032201	0.026338	0.031360	0.039383	0.028656	0.037102	0.029491	
455	0.036111	0.029559	0.037897	0.032962	0.025230	0.029969	0.038710	0.028373	0.036379	0.028998	
460	0.033429	0.027205	0.038415	0.032591	0.026844	0.028708	0.035362	0.029195	0.036462	0.029015	
465	0.033129	0.025996	0.037318	0.032344	0.024893	0.027444	0.035123	0.027929	0.037415	0.030454	
470	0.034282	0.030212	0.034842	0.034334	0.023594	0.028680	0.034864	0.028699	0.037299	0.030684	
475	0.034162	0.030547	0.035970	0.034205	0.024082	0.028546	0.037934	0.028401	0.038384	0.030558	
480	0.034540	0.029705	0.037610	0.033055	0.026995	0.029067	0.037407	0.026554	0.035195	0.032833	
485	0.034446	0.028367	0.040731	0.033464	0.026019	0.029786	0.037482	0.027013	0.035697	0.030951	
490	0.035649	0.028953	0.038363	0.034093	0.025801	0.029218	0.035774	0.026281	0.037160	0.031771	
495	0.034909	0.026435	0.038786	0.035318	0.024810	0.029076	0.037145	0.026545	0.038674	0.030148	
500	0.034686	0.026588	0.038895	0.035590	0.025398	0.030568	0.038270	0.027127	0.039527	0.030003	
505	0.034801	0.026066	0.039620	0.035297	0.025472	0.027621	0.037336	0.027895	0.037964	0.032512	
510	0.032683	0.026274	0.038152	0.035457	0.026446	0.027888	0.036714	0.028405	0.037166	0.031053	
515	0.033905	0.026012	0.037486	0.034907	0.027117	0.026167	0.036803	0.031191	0.036077	0.028919	
520	0.034748	0.025729	0.035905	0.033971	0.027769	0.025490	0.034807	0.030742	0.037204	0.029164	
525	0.033924	0.028136	0.036270	0.032324	0.027323	0.025527	0.035311	0.028492	0.036455	0.028073	
530	0.033798	0.027508	0.034577	0.031937	0.027680	0.025174	0.033898	0.026368	0.035668	0.028590	
535	0.033869	0.027316	0.034550	0.029336	0.029373	0.026024	0.033926	0.025686	0.034009	0.028171	
540	0.035590	0.028522	0.034480	0.028180	0.030446	0.028510	0.034688	0.025345	0.031990	0.028072	
545	0.034765	0.030939	0.033138	0.026757	0.028729	0.027187	0.035156	0.027804	0.034336	0.027472	
550	0.035528	0.028861	0.031651	0.026446	0.029231	0.026396	0.034963	0.027853	0.034900	0.030739	
555	0.036729	0.027329	0.034380	0.028795	0.029297	0.026898	0.035648	0.028255	0.034273	0.028074	
560	0.035215	0.026703	0.034230	0.027463	0.028422	0.027751	0.037268	0.028168	0.035001	0.028103	
565	0.035126	0.026334	0.034457	0.028498	0.029345	0.025189	0.035301	0.030519	0.035176	0.028342	
570	0.033570	0.027551	0.033010	0.030771	0.029869	0.024638	0.035855	0.028863	0.034815	0.028258	
575	0.034987	0.028071	0.032815	0.029475	0.032358	0.024015	0.034042	0.030770	0.035550	0.028796	
580	0.035498	0.029440	0.032614	0.027237	0.031976	0.023723	0.030877	0.031444	0.036199	0.028694	
585	0.037628	0.029829	0.033125	0.027485	0.030343	0.025835	0.030914	0.030726	0.036824	0.027797	
590	0.037592	0.029438	0.032919	0.027543	0.032657	0.027387	0.031528	0.030625	0.037693	0.026535	
595	0.037122	0.029461	0.035636	0.029355	0.032338	0.025871	0.031853	0.030637	0.038016	0.027562	
600	0.035901	0.029163	0.033878	0.028829	0.031025	0.023771	0.034155	0.032071	0.040664	0.027732	
605	0.035975	0.030388	0.032637	0.029486	0.032637	0.022979	0.036665	0.030703	0.041699	0.028423	
610	0.034808	0.031273	0.033651	0.028936	0.031864	0.023934	0.036172	0.029772	0.039437	0.027876	
615	0.035711	0.032948	0.034498	0.028864	0.031310	0.024279	0.035276	0.029348	0.038112	0.030050	
620	0.035246	0.031370	0.034484	0.027471	0.033194	0.024635	0.034024	0.029698	0.037829	0.030369	
625	0.035420	0.030381	0.033110	0.027770	0.031930	0.024618	0.033953	0.028618	0.036301	0.031837	
630	0.034717	0.029490	0.032817	0.028261	0.031895	0.025337	0.033322	0.027875	0.039330	0.030502	
635	0.036777	0.031084	0.031785	0.027858	0.031491	0.026287	0.035562	0.028119	0.039473	0.031818	
640	0.037324	0.031321	0.034649	0.027489	0.030606	0.025223	0.032537	0.029531	0.040625	0.035308	
645	0.038049	0.030814	0.032346	0.028634	0.031225	0.026525	0.032522	0.029426	0.039976	0.036206	
650	0.037999	0.029779	0.033239	0.026689	0.030244	0.024763	0.032544	0.029388	0.037059	0.033166	
655	0.035175	0.029486	0.031781	0.026642	0.028705	0.027551	0.033446	0.029546	0.035919	0.031644	
660	0.034669	0.030795	0.031131	0.027081	0.028009	0.026859	0.033423	0.033012	0.036297	0.030437	
665	0.035271	0.029223	0.030621	0.026709	0.026744	0.027281	0.032220	0.033480	0.038237	0.030466	
670	0.032970	0.030558	0.031538	0.027118	0.027669	0.028573	0.030808	0.030380	0.038667	0.029809	
675	0.033452	0.029875	0.030482	0.028907	0.028664	0.028318	0.030682	0.028517	0.040554	0.030801	
680	0.031146	0.031674	0.032121	0.028285	0.028340	0.026991	0.032147	0.029713	0.040270	0.031580	
