T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.028981	0.016912	0.019097	0.027038	0.037468	0.021793	0.024983	0.022442	0.029090	0.014050	
10	0.193853	0.134550	0.178672	0.186573	0.173492	0.185827	0.137518	0.178685	0.221728	0.170576	
15	0.242362	0.220090	0.244053	0.261196	0.218078	0.267240	0.228086	0.249710	0.261997	0.230178	
20	0.322754	0.323225	0.298454	0.327769	0.260024	0.332537	0.285961	0.310541	0.298495	0.293045	
25	0.406836	0.380529	0.365522	0.388872	0.309920	0.397136	0.320629	0.404265	0.370055	0.370414	
30	0.452087	0.422646	0.430666	0.430027	0.363430	0.433599	0.363954	0.494460	0.435517	0.430378	
35	0.482439	0.467714	0.480152	0.475627	0.406730	0.458114	0.408360	0.545906	0.474148	0.475600	
40	0.529547	0.509298	0.508128	0.524189	0.445443	0.489398	0.453772	0.583107	0.506522	0.511154	
45	0.571906	0.537753	0.530997	0.573971	0.491638	0.527148	0.503961	0.602274	0.544721	0.549977	
50	0.612812	0.565391	0.557679	0.617866	0.537161	0.574749	0.550530	0.618195	0.579761	0.587710	
55	0.641403	0.586284	0.580867	0.650530	0.571279	0.630358	0.589667	0.631053	0.618274	0.626312	
60	0.664435	0.603958	0.602503	0.672846	0.598597	0.677003	0.615900	0.642350	0.647288	0.657051	
65	0.685690	0.620504	0.619458	0.691355	0.622130	0.709625	0.637494	0.649168	0.661540	0.684108	
70	0.698506	0.633871	0.640803	0.699441	0.643457	0.730555	0.651596	0.662921	0.682505	0.695925	
75	0.707343	0.647699	0.655510	0.702897	0.660200	0.739650	0.664392	0.679163	0.694565	0.710062	
80	0.711840	0.665057	0.666990	0.710561	0.666628	0.757312	0.671604	0.686248	0.703896	0.719542	
85	0.720289	0.670780	0.681869	0.716138	0.678851	0.759609	0.679886	0.692866	0.709363	0.727300	
90	0.725743	0.685501	0.692179	0.719997	0.683501	0.768776	0.687599	0.693460	0.717081	0.733894	
95	0.728550	0.690295	0.702336	0.724239	0.691812	0.765153	0.689326	0.700658	0.720158	0.742102	
100	0.730962	0.699695	0.707658	0.731242	0.696071	0.768255	0.690690	0.712036	0.722574	0.744830	
105	0.733545	0.704282	0.715911	0.732534	0.701659	0.770100	0.696883	0.719189	0.725651	0.745861	
110	0.729789	0.712894	0.718070	0.737440	0.708865	0.772978	0.698216	0.721752	0.731794	0.743102	
115	0.732428	0.715812	0.719443	0.741954	0.716226	0.771082	0.698783	0.722000	0.733873	0.748907	
120	0.726407	0.715492	0.728460	0.735812	0.715984	0.766934	0.709419	0.724294	0.735668	0.750441	
125	0.724884	0.718297	0.728256	0.732692	0.715820	0.757344	0.711060	0.724457	0.732942	0.743520	
130	0.722229	0.720335	0.727134	0.736726	0.718107	0.755035	0.708803	0.723209	0.731205	0.738306	
135	0.718987	0.718407	0.724773	0.733002	0.723749	0.748462	0.706004	0.727432	0.728089	0.733085	
140	0.715209	0.722709	0.726423	0.726771	0.724129	0.734314	0.702490	0.725643	0.723651	0.727930	
145	0.707934	0.718288	0.720905	0.725434	0.720166	0.726560	0.698589	0.720706	0.717463	0.719575	
150	0.707236	0.713189	0.718154	0.714121	0.714756	0.717611	0.692619	0.719032	0.712850	0.713102	
155	0.700444	0.704341	0.714143	0.708256	0.709971	0.708754	0.693781	0.712222	0.707947	0.705590	
160	0.693354	0.697453	0.706361	0.703039	0.705079	0.705733	0.687047	0.712365	0.699080	0.697962	
165	0.691451	0.695683	0.700969	0.698913	0.698955	0.698279	0.685906	0.709214	0.699235	0.693781	
170	0.684508	0.692156	0.693465	0.693296	0.700389	0.692601	0.682410	0.697459	0.692588	0.688910	
175	0.681647	0.686325	0.689323	0.692882	0.694485	0.688590	0.676667	0.695801	0.693141	0.687665	
180	0.679800	0.685948	0.687540	0.691032	0.692857	0.687018	0.673659	0.691676	0.688565	0.688078	
185	0.673926	0.680278	0.680145	0.687273	0.693896	0.690101	0.674049	0.687814	0.688254	0.679710	
190	0.672770	0.676566	0.681368	0.682550	0.693041	0.687621	0.668440	0.684314	0.690358	0.675290	
195	0.674371	0.679470	0.681099	0.679997	0.687111	0.682826	0.667967	0.683049	0.689740	0.673437	
200	0.675740	0.685058	0.680022	0.680478	0.683592	0.678200	0.668280	0.682190	0.686921	0.670649	
205	0.676909	0.683596	0.682394	0.682500	0.682702	0.673496	0.668543	0.679841	0.691293	0.672104	
210	0.676217	0.681487	0.679475	0.682323	0.684351	0.675285	0.673936	0.678493	0.684673	0.669350	
215	0.677605	0.677887	0.680734	0.678315	0.680466	0.674073	0.673498	0.678586	0.681769	0.666891	
220	0.676195	0.675266	0.674259	0.679602	0.681985	0.674242	0.672907	0.679539	0.677774	0.670540	
225	0.672803	0.678876	0.673695	0.674354	0.680667	0.671906	0.674114	0.680765	0.676886	0.670331	
230	0.670425	0.674703	0.673462	0.675793	0.683267	0.669067	0.672743	0.681696	0.676999	0.675825	
235	0.668145	0.670428	0.677713	0.674551	0.682735	0.667113	0.671170	0.682057	0.678929	0.676700	
240	0.671015	0.673984	0.681028	0.676982	0.681586	0.670324	0.671073	0.680790	0.680480	0.673584	
245	0.669919	0.672762	0.684109	0.674071	0.676759	0.665166	0.670345	0.683505	0.675207	0.674675	
250	0.667272	0.669577	0.681476	0.674375	0.673603	0.667020	0.665463	0.680990	0.677572	0.676258	
255	0.665447	0.670390	0.677060	0.673121	0.672620	0.666744	0.661407	0.679952	0.679956	0.676898	
260	0.666247	0.666317	0.677923	0.670742	0.671345	0.665600	0.662663	0.681131	0.674058	0.678568	
265	0.666791	0.667749	0.677360	0.672170	0.670549	0.664214	0.665559	0.681306	0.671491	0.677818	
270	0.666587	0.671348	0.676647	0.672059	0.670965	0.667611	0.669057	0.682466	0.674072	0.678133	
275	0.664084	0.674300	0.677967	0.674400	0.677639	0.666891	0.669668	0.684487	0.672052	0.673889	
280	0.667987	0.673871	0.674867	0.674705	0.681632	0.663584	0.665851	0.680688	0.669547	0.671140	
285	0.666260	0.675137	0.675559	0.673608	0.680921	0.661154	0.670000	0.682318	0.671892	0.671996	
290	0.665264	0.677044	0.674313	0.673504	0.681636	0.660824	0.666918	0.680698	0.676313	0.673792	
295	0.665393	0.675768	0.670788	0.671959	0.679040	0.666621	0.662730	0.679319	0.682160	0.672130	
300	0.666633	0.670508	0.672288	0.671957	0.680652	0.661588	0.659650	0.675316	0.688346	0.673201	
305	0.667592	0.672760	0.672181	0.671802	0.678145	0.668530	0.660319	0.676485	0.687265	0.675405	
310	0.668083	0.673718	0.673137	0.675798	0.676876	0.662599	0.662821	0.673107	0.685017	0.673975	
315	0.665540	0.673532	0.672843	0.677086	0.679931	0.661879	0.664068	0.674889	0.677399	0.672116	
320	0.666030	0.675839	0.675016	0.678452	0.677808	0.659546	0.663253	0.674770	0.680061	0.671844	
