T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001195	0.002539	0.001673	0.002344	0.001900	0.001473	0.001241	0.001052	0.000937	0.001322	
110	0.006979	0.005914	0.005311	0.006179	0.008435	0.006055	0.005503	0.005457	0.005592	0.004252	
115	0.014380	0.012556	0.009950	0.011807	0.017649	0.010632	0.012622	0.013267	0.012640	0.008978	
120	0.021466	0.020029	0.016555	0.022746	0.031645	0.019367	0.024842	0.024193	0.024157	0.018299	
125	0.033024	0.038011	0.025356	0.039565	0.052537	0.031631	0.037761	0.042054	0.040034	0.029105	
130	0.047272	0.060882	0.042228	0.054183	0.071526	0.045379	0.053671	0.060776	0.054099	0.041291	
135	0.060757	0.075402	0.062365	0.068661	0.086515	0.060347	0.069944	0.075678	0.069096	0.055169	
140	0.077216	0.093046	0.076124	0.078167	0.101832	0.071903	0.081640	0.085000	0.080076	0.073442	
145	0.085276	0.101037	0.084306	0.086558	0.110765	0.078965	0.089138	0.092089	0.092261	0.085005	
150	0.092239	0.105030	0.095279	0.091248	0.115574	0.083504	0.096967	0.100285	0.100412	0.094590	
155	0.105291	0.106249	0.099756	0.096138	0.126005	0.087228	0.102849	0.106027	0.105615	0.106551	
160	0.112610	0.109872	0.104474	0.100552	0.126782	0.091242	0.106353	0.110371	0.110294	0.114700	
165	0.119524	0.114633	0.110967	0.103324	0.130024	0.095404	0.110264	0.118031	0.116341	0.119200	
170	0.125133	0.118861	0.116236	0.106680	0.130455	0.098363	0.114210	0.118982	0.122872	0.127149	
175	0.128660	0.122112	0.121349	0.110583	0.130656	0.101245	0.117776	0.123953	0.129743	0.127145	
180	0.133504	0.125050	0.124714	0.116119	0.135464	0.105443	0.127513	0.130399	0.130647	0.131094	
185	0.139046	0.130130	0.130321	0.117860	0.141923	0.110285	0.136056	0.133658	0.140817	0.133829	
190	0.144726	0.133374	0.135093	0.120864	0.145741	0.117095	0.141337	0.140071	0.145917	0.138902	
195	0.150068	0.138190	0.137686	0.123170	0.148810	0.119391	0.146302	0.144360	0.149902	0.146750	
200	0.161756	0.139914	0.139063	0.130613	0.150870	0.122799	0.148904	0.145333	0.151448	0.149780	
205	0.165305	0.144715	0.143500	0.129563	0.153613	0.127240	0.154596	0.151539	0.156196	0.154025	
210	0.167521	0.147515	0.147010	0.135860	0.153814	0.133670	0.161112	0.148760	0.162052	0.156404	
215	0.173381	0.153219	0.148748	0.137055	0.159110	0.136916	0.158091	0.151237	0.162832	0.161668	
220	0.173789	0.156313	0.150895	0.141455	0.158582	0.138805	0.156785	0.156425	0.165963	0.162533	
225	0.176251	0.158080	0.157388	0.143256	0.161577	0.145372	0.162195	0.156265	0.170734	0.169184	
230	0.179089	0.158463	0.157444	0.144087	0.162615	0.148362	0.165941	0.160684	0.171145	0.173520	
235	0.179369	0.162129	0.159733	0.146764	0.165729	0.150765	0.170687	0.162221	0.173277	0.173206	
240	0.182625	0.164537	0.159709	0.145554	0.164699	0.154752	0.173999	0.164355	0.175549	0.179341	
245	0.184871	0.167806	0.160367	0.149666	0.166157	0.155937	0.172760	0.167263	0.176750	0.184785	
250	0.187177	0.167570	0.163104	0.151738	0.169560	0.158826	0.171103	0.169357	0.177323	0.183100	
255	0.188777	0.168721	0.167098	0.152639	0.169218	0.160442	0.169251	0.168556	0.175704	0.186065	
260	0.184728	0.173219	0.170450	0.153093	0.171375	0.164762	0.164452	0.168299	0.177239	0.186602	
265	0.190059	0.172824	0.175547	0.152601	0.174229	0.171942	0.168852	0.169124	0.179156	0.186619	
270	0.186429	0.169451	0.178797	0.153287	0.175436	0.176934	0.167608	0.172136	0.176837	0.189580	
275	0.192323	0.169450	0.175405	0.153530	0.176583	0.174925	0.169052	0.174446	0.178502	0.190197	
280	0.190001	0.171469	0.176528	0.153105	0.175290	0.177810	0.169027	0.171246	0.181666	0.190950	
285	0.190052	0.173849	0.177946	0.153131	0.177222	0.179068	0.168271	0.172409	0.181729	0.193542	
290	0.184427	0.173889	0.178742	0.152144	0.180146	0.179646	0.167139	0.172149	0.180167	0.189896	
295	0.185376	0.176479	0.177028	0.152177	0.179317	0.183379	0.169249	0.173385	0.181456	0.188876	
300	0.186685	0.179126	0.178322	0.152734	0.176913	0.182026	0.167634	0.174313	0.179656	0.187494	
305	0.190748	0.181804	0.177226	0.150190	0.176150	0.181989	0.171496	0.174455	0.176346	0.189516	
310	0.191286	0.182019	0.178400	0.149849	0.178944	0.183086	0.171132	0.174310	0.175509	0.192154	
315	0.186952	0.180721	0.176473	0.152264	0.177754	0.181168	0.173055	0.175214	0.179389	0.192044	
320	0.188406	0.181605	0.178616	0.152223	0.177608	0.180693	0.170670	0.171084	0.177040	0.190701	
325	0.187314	0.181234	0.177893	0.153609	0.176021	0.182322	0.172731	0.172449	0.176710	0.192963	
330	0.188778	0.182089	0.176989	0.154983	0.178880	0.183778	0.171494	0.171320	0.175443	0.196179	
335	0.186392	0.180924	0.177271	0.158757	0.180566	0.183373	0.170223	0.174655	0.174151	0.197202	
340	0.184940	0.178919	0.178720	0.157967	0.177036	0.181312	0.171276	0.179376	0.170972	0.194003	
345	0.180013	0.179417	0.177151	0.157428	0.177392	0.180186	0.170043	0.180065	0.171547	0.194954	
350	0.178874	0.177915	0.179694	0.159024	0.177374	0.180744	0.172394	0.180127	0.170433	0.194535	
355	0.178437	0.176052	0.176190	0.158549	0.177161	0.179928	0.171442	0.178316	0.168353	0.190855	
360	0.174630	0.172295	0.174759	0.159743	0.175877	0.174875	0.172683	0.177719	0.167826	0.191991	
365	0.173844	0.175148	0.172586	0.162936	0.174731	0.176455	0.171673	0.172843	0.170229	0.192915	
370	0.175583	0.175700	0.170986	0.164959	0.173084	0.176052	0.173521	0.175949	0.169097	0.191369	
375	0.172962	0.178403	0.168498	0.162865	0.176023	0.178323	0.172919	0.177316	0.168648	0.189559	
380	0.173668	0.176210	0.167229	0.163184	0.177420	0.178710	0.174717	0.172327	0.171176	0.189506	
385	0.175476	0.176621	0.168365	0.163173	0.175938	0.176511	0.171569	0.170444	0.171585	0.186199	
390	0.170060	0.176924	0.171402	0.162380	0.175048	0.177035	0.173670	0.170101	0.175859	0.181090	
395	0.164326	0.174165	0.172563	0.162469	0.173616	0.176703	0.168880	0.171341	0.178096	0.177668	
400	0.166176	0.172506	0.174164	0.159163	0.171900	0.177472	0.167549	0.172467	0.177785	0.176176	
405	0.168343	0.171763	0.172324	0.159185	0.171349	0.176442	0.168599	0.173389	0.178594	0.172860	
410	0.170710	0.168980	0.174450	0.164004	0.174191	0.176514	0.170054	0.171461	0.177505	0.175386	
415	0.170900	0.168030	0.174569	0.161332	0.174099	0.177128	0.171815	0.171458	0.173571	0.175330	
420	0.172848	0.167667	0.173296	0.162970	0.173950	0.178522	0.172226	0.171771	0.174859	0.172758	
425	0.169839	0.167531	0.170580	0.160558	0.173062	0.178419	0.173725	0.173945	0.173039	0.170774	
430	0.169897	0.169296	0.171472	0.161537	0.175768	0.175450	0.175413	0.172848	0.174828	0.172698	
435	0.167567	0.169198	0.172135	0.167481	0.174384	0.173673	0.175315	0.171179	0.174747	0.172535	
440	0.164980	0.171384	0.168797	0.169635	0.172546	0.174336	0.172509	0.170833	0.175076	0.175207	
445	0.165957	0.170617	0.164007	0.167578	0.172240	0.174323	0.173298	0.173359	0.174475	0.173295	
450	0.164266	0.171112	0.162239	0.165661	0.170700	0.177128	0.175142	0.174326	0.172815	0.176443	
455	0.162144	0.171352	0.163089	0.167145	0.169674	0.176849	0.171188	0.177653	0.171183	0.174649	
460	0.164193	0.175125	0.161949	0.160301	0.173065	0.175293	0.171943	0.176871	0.174927	0.172359	
465	0.164561	0.172894	0.162096	0.162232	0.169793	0.175961	0.171994	0.175834	0.175403	0.172610	
470	0.162238	0.169477	0.161988	0.160878	0.165373	0.174966	0.173536	0.176664	0.176397	0.173083	
475	0.160344	0.166559	0.162459	0.163777	0.165488	0.176822	0.174344	0.175721	0.173946	0.175495	
480	0.160531	0.163247	0.164689	0.162709	0.166001	0.175167	0.172261	0.176019	0.173651	0.173775	
485	0.159653	0.166856	0.163194	0.164648	0.168878	0.178910	0.171384	0.175129	0.174001	0.171982	
490	0.158651	0.164821	0.166518	0.164449	0.169877	0.179535	0.171054	0.177051	0.173655	0.171531	
495	0.160813	0.164232	0.163801	0.166678	0.164600	0.180529	0.172341	0.176509	0.175346	0.169636	
500	0.159228	0.165519	0.162839	0.168182	0.163331	0.176009	0.168153	0.176268	0.173948	0.170319	
505	0.157434	0.166844	0.161513	0.168420	0.162995	0.174949	0.170765	0.175613	0.173258	0.170250	
510	0.157947	0.166570	0.160568	0.167052	0.164821	0.175776	0.171450	0.176889	0.170821	0.166589	
515	0.157036	0.166915	0.163032	0.165070	0.165046	0.177241	0.171963	0.179894	0.170558	0.163450	
520	0.154145	0.169261	0.164935	0.164925	0.164431	0.176060	0.170825	0.179940	0.171500	0.163432	
525	0.156532	0.168861	0.163514	0.164176	0.165261	0.175682	0.169181	0.180786	0.171247	0.167495	
530	0.156825	0.167108	0.160214	0.162557	0.166602	0.176203	0.169762	0.179196	0.172280	0.165119	
535	0.157970	0.164138	0.161283	0.165156	0.168678	0.173272	0.170908	0.179707	0.174083	0.164296	
540	0.156844	0.165829	0.159938	0.164141	0.167967	0.173112	0.172747	0.178795	0.173829	0.166117	
545	0.161696	0.164463	0.160083	0.162342	0.166366	0.171897	0.175560	0.177263	0.177693	0.164268	
550	0.161937	0.165860	0.161966	0.162957	0.164831	0.174656	0.172958	0.175033	0.178917	0.165469	
555	0.162418	0.164375	0.159343	0.162814	0.161624	0.176390	0.169946	0.175372	0.178650	0.162870	
560	0.161601	0.163607	0.160719	0.164635	0.162414	0.177788	0.168207	0.177730	0.180494	0.165829	
565	0.161878	0.163147	0.157241	0.166224	0.162149	0.175258	0.165221	0.178030	0.181095	0.163833	
570	0.162011	0.164141	0.156421	0.166880	0.161955	0.175103	0.166454	0.177055	0.174952	0.163233	
575	0.162112	0.163399	0.156525	0.165055	0.165080	0.172542	0.165716	0.174983	0.175886	0.164700	
580	0.159951	0.163353	0.154904	0.163766	0.163539	0.172093	0.165232	0.173076	0.174901	0.165058	
585	0.158825	0.167857	0.156185	0.164883	0.167528	0.172638	0.163061	0.175675	0.170804	0.164269	
590	0.161734	0.165696	0.153647	0.167246	0.166237	0.172675	0.161896	0.175761	0.169438	0.163917	
595	0.158142	0.166418	0.154018	0.165951	0.167300	0.174693	0.164812	0.173512	0.170770	0.164914	
600	0.157763	0.168075	0.153405	0.163291	0.167376	0.171221	0.163404	0.171291	0.169684	0.165108	
605	0.160497	0.171130	0.152325	0.163010	0.171004	0.169809	0.163732	0.170885	0.170291	0.164112	
610	0.160889	0.170887	0.152146	0.160587	0.169096	0.171735	0.161914	0.168389	0.169331	0.163631	
615	0.160127	0.171500	0.149701	0.159907	0.167506	0.168633	0.161842	0.169477	0.168529	0.164888	
620	0.158017	0.175140	0.152179	0.160189	0.167274	0.167660	0.165565	0.170616	0.169630	0.163568	
625	0.162296	0.176571	0.152345	0.158081	0.166497	0.166394	0.165378	0.168949	0.172075	0.160930	
630	0.160246	0.173803	0.154236	0.159375	0.167374	0.166402	0.164664	0.170556	0.173897	0.163957	
635	0.162762	0.174455	0.156353	0.158826	0.168381	0.166234	0.166339	0.170424	0.166528	0.161667	
640	0.166304	0.174624	0.154183	0.158724	0.168459	0.162879	0.163950	0.167074	0.166055	0.156944	
645	0.167142	0.175669	0.152106	0.156590	0.168485	0.165769	0.167692	0.168026	0.168623	0.157543	
650	0.168736	0.176584	0.152767	0.159089	0.168551	0.167393	0.168653	0.166951	0.170557	0.160618	
655	0.166625	0.174217	0.153248	0.158146	0.171735	0.168318	0.166035	0.168454	0.171767	0.158200	
660	0.166687	0.170897	0.152940	0.154766	0.172841	0.167546	0.167844	0.167046	0.169952	0.159012	
665	0.166558	0.169578	0.153663	0.157110	0.172115	0.168059	0.169225	0.166724	0.166468	0.159750	
670	0.165062	0.164258	0.154196	0.155912	0.178400	0.167038	0.169193	0.166147	0.160424	0.161273	
675	0.165338	0.166099	0.152554	0.156763	0.178468	0.169139	0.168289	0.165504	0.163123	0.161455	
680	0.165114	0.164065	0.152599	0.156746	0.175123	0.167482	0.166514	0.166328	0.166800	0.160603	
