T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.077701	0.099083	0.101659	0.090244	0.098123	0.062424	0.072368	0.102226	0.088334	0.084499	
10	0.143939	0.248723	0.216852	0.156811	0.204774	0.192788	0.217798	0.213003	0.211764	0.221773	
15	0.223342	0.334788	0.286624	0.257629	0.276426	0.264991	0.306945	0.275833	0.316288	0.269951	
20	0.329178	0.396551	0.334320	0.394855	0.358891	0.323871	0.397288	0.379955	0.374236	0.322313	
25	0.419512	0.462382	0.379851	0.474790	0.425142	0.400675	0.490224	0.449982	0.509296	0.379486	
30	0.468944	0.557127	0.462931	0.535647	0.470490	0.461814	0.558257	0.501547	0.684283	0.444234	
35	0.513307	0.638579	0.552956	0.575100	0.520765	0.515912	0.610935	0.544362	0.743076	0.515042	
40	0.566163	0.701565	0.619335	0.612059	0.577334	0.587695	0.655244	0.584260	0.765716	0.580004	
45	0.638746	0.737927	0.666153	0.667474	0.649110	0.655098	0.683680	0.622387	0.778142	0.625431	
50	0.703596	0.766940	0.698043	0.718929	0.709915	0.694375	0.711672	0.656175	0.790216	0.674890	
55	0.750937	0.793293	0.728714	0.773609	0.758399	0.721814	0.738903	0.691767	0.801722	0.712796	
60	0.792980	0.814790	0.755756	0.813619	0.790802	0.741939	0.770324	0.716669	0.811607	0.747059	
65	0.819952	0.832584	0.779984	0.839054	0.816497	0.757307	0.796121	0.741381	0.821593	0.773145	
70	0.847302	0.843492	0.796814	0.847621	0.827167	0.776486	0.813790	0.764935	0.831164	0.785616	
75	0.859261	0.852681	0.817815	0.855101	0.838247	0.789949	0.833615	0.780741	0.840219	0.806690	
80	0.866083	0.856313	0.825947	0.858111	0.846936	0.809537	0.844506	0.798326	0.843940	0.825268	
85	0.864734	0.856164	0.833702	0.859605	0.851737	0.825437	0.852578	0.812052	0.848558	0.839763	
90	0.866165	0.856334	0.844565	0.869504	0.857540	0.842636	0.851649	0.825109	0.849129	0.850490	
95	0.872921	0.857578	0.852027	0.869985	0.858309	0.846406	0.850685	0.840444	0.852165	0.854689	
100	0.875802	0.859769	0.852175	0.874107	0.856864	0.852685	0.854141	0.846886	0.859977	0.858844	
105	0.872762	0.864126	0.851960	0.873600	0.860510	0.857034	0.862635	0.851144	0.864555	0.861242	
110	0.872733	0.867981	0.856192	0.873730	0.860286	0.864662	0.865277	0.857345	0.866280	0.863129	
115	0.878298	0.864741	0.854621	0.870302	0.863348	0.864452	0.858722	0.858885	0.861821	0.869978	
120	0.874167	0.856994	0.856196	0.866429	0.860133	0.859096	0.856285	0.859037	0.858384	0.857074	
125	0.863392	0.852323	0.846442	0.857473	0.852962	0.852894	0.846842	0.852161	0.851697	0.848084	
130	0.850101	0.836033	0.841153	0.845966	0.845923	0.849710	0.842324	0.841703	0.846250	0.830071	
135	0.837081	0.825276	0.829923	0.827395	0.829601	0.840712	0.827446	0.823810	0.833801	0.818163	
140	0.820519	0.812769	0.813367	0.815379	0.813476	0.827194	0.816970	0.807166	0.815331	0.806194	
145	0.799755	0.800520	0.799901	0.802094	0.795384	0.811483	0.805203	0.788786	0.807660	0.795005	
150	0.790701	0.791424	0.789721	0.791251	0.784876	0.797285	0.795585	0.768232	0.800821	0.781648	
155	0.780434	0.778984	0.779979	0.779285	0.774157	0.788258	0.780450	0.766212	0.791923	0.773828	
160	0.770031	0.770561	0.770487	0.773128	0.763991	0.781211	0.767607	0.747088	0.782059	0.761869	
165	0.761402	0.762839	0.756196	0.764096	0.748986	0.772991	0.756309	0.741110	0.775731	0.752709	
170	0.758306	0.760317	0.752235	0.765053	0.742916	0.766956	0.755609	0.732034	0.769465	0.741570	
175	0.745738	0.752796	0.746146	0.752639	0.730675	0.758953	0.747792	0.724958	0.762716	0.739088	
180	0.744921	0.741527	0.734568	0.748914	0.725223	0.748820	0.747135	0.721425	0.759130	0.733569	
185	0.736742	0.736340	0.723061	0.744608	0.721314	0.740277	0.740633	0.714558	0.756593	0.724246	
190	0.734063	0.730512	0.720175	0.735205	0.714073	0.736446	0.738128	0.701023	0.751728	0.711505	
195	0.731503	0.722174	0.716188	0.732640	0.709859	0.734010	0.735902	0.699579	0.747744	0.711381	
200	0.726701	0.716825	0.713971	0.721722	0.702744	0.731307	0.730685	0.694413	0.744337	0.708843	
205	0.717412	0.709646	0.710232	0.710792	0.697284	0.720747	0.730419	0.690487	0.740331	0.709147	
210	0.713727	0.702753	0.702793	0.706203	0.694541	0.715134	0.724906	0.687310	0.735838	0.703164	
215	0.711851	0.703279	0.693515	0.704012	0.693882	0.712833	0.717755	0.681818	0.729057	0.695056	
220	0.707266	0.696205	0.686257	0.698723	0.684824	0.706994	0.717227	0.677530	0.723091	0.687707	
225	0.700798	0.686730	0.686299	0.702288	0.679696	0.698849	0.715403	0.671682	0.719204	0.687399	
230	0.689779	0.680247	0.679029	0.695964	0.675149	0.694147	0.715805	0.670546	0.713032	0.683395	
235	0.686808	0.675944	0.674807	0.688406	0.675732	0.693014	0.712146	0.667258	0.708104	0.676712	
