T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001822	0.001676	0.001755	0.001895	0.002855	0.001509	0.001676	0.000794	0.001659	0.001152	
110	0.006682	0.006610	0.004538	0.005459	0.005322	0.002686	0.003437	0.002287	0.005624	0.002458	
115	0.008806	0.010042	0.003756	0.013661	0.009553	0.005540	0.006193	0.006233	0.008124	0.005122	
120	0.014895	0.015048	0.007543	0.020033	0.014512	0.007184	0.008466	0.004803	0.010106	0.007903	
125	0.020690	0.019443	0.010879	0.023558	0.019078	0.009448	0.017120	0.008322	0.015070	0.011834	
130	0.021930	0.029731	0.014162	0.029708	0.027153	0.012400	0.021884	0.017575	0.020437	0.018791	
135	0.028229	0.038316	0.015701	0.040206	0.032588	0.018565	0.025991	0.024325	0.035782	0.025163	
140	0.032565	0.049479	0.024514	0.044230	0.029617	0.020629	0.029345	0.029842	0.048595	0.026631	
145	0.035030	0.055678	0.024626	0.049990	0.039510	0.025540	0.032994	0.036981	0.052405	0.034554	
150	0.041795	0.059597	0.022144	0.056531	0.043109	0.030999	0.035630	0.044190	0.055274	0.036726	
155	0.052255	0.061888	0.024102	0.058859	0.048969	0.032295	0.051053	0.050820	0.063972	0.047310	
160	0.056789	0.068652	0.028559	0.063166	0.054650	0.037132	0.053469	0.058794	0.064756	0.046194	
165	0.059771	0.070568	0.031967	0.072109	0.058661	0.046990	0.055009	0.061694	0.065664	0.050542	
170	0.056301	0.076879	0.035869	0.078624	0.061031	0.053038	0.058345	0.065332	0.070791	0.053039	
175	0.056468	0.077154	0.031757	0.081865	0.059302	0.057880	0.065356	0.063824	0.077082	0.059448	
180	0.056149	0.078105	0.032060	0.081224	0.065767	0.061170	0.067502	0.063846	0.081327	0.064483	
185	0.068113	0.084989	0.036939	0.078779	0.067454	0.061247	0.067717	0.066275	0.084554	0.064449	
190	0.063716	0.084852	0.040284	0.080286	0.070208	0.065810	0.071712	0.062038	0.088539	0.066434	
195	0.063754	0.086345	0.048806	0.079354	0.072511	0.072625	0.077142	0.065670	0.088711	0.066794	
200	0.058090	0.086056	0.046707	0.072074	0.070666	0.076551	0.072261	0.063800	0.098155	0.073327	
205	0.058673	0.084292	0.051855	0.076237	0.075603	0.081412	0.074911	0.061795	0.096457	0.074697	
210	0.058810	0.082153	0.055815	0.081143	0.075179	0.077994	0.074361	0.061966	0.094521	0.071529	
215	0.061940	0.080514	0.056361	0.080295	0.073124	0.079945	0.076878	0.060045	0.093625	0.070871	
220	0.067694	0.077274	0.058615	0.079471	0.071533	0.073345	0.084296	0.058856	0.091034	0.072715	
225	0.064585	0.076099	0.057340	0.080432	0.069477	0.068301	0.084529	0.061218	0.089011	0.069693	
230	0.068181	0.079006	0.056078	0.083575	0.064198	0.067217	0.085989	0.063746	0.091659	0.073053	
235	0.065375	0.081566	0.057870	0.082883	0.063261	0.068021	0.089365	0.060762	0.092333	0.076224	
240	0.063785	0.081010	0.060938	0.081433	0.062508	0.066139	0.089916	0.067078	0.086376	0.070964	
245	0.066879	0.079132	0.061712	0.081318	0.059708	0.064595	0.084624	0.071122	0.082173	0.072714	
250	0.067259	0.075907	0.059445	0.077373	0.061438	0.073363	0.082956	0.072355	0.084833	0.071994	
255	0.069279	0.072527	0.059996	0.079023	0.063509	0.072900	0.087488	0.069867	0.084369	0.070984	
260	0.068708	0.073782	0.061354	0.077412	0.066970	0.072491	0.088116	0.071083	0.078101	0.067491	
265	0.074882	0.074885	0.062419	0.078901	0.067882	0.076406	0.088362	0.075967	0.082409	0.071389	
270	0.070566	0.076172	0.064640	0.078245	0.068554	0.076030	0.082879	0.075631	0.084429	0.071025	
275	0.072872	0.077309	0.066711	0.080105	0.069883	0.082453	0.083765	0.074305	0.083296	0.068336	
280	0.070360	0.079966	0.066336	0.078154	0.067655	0.083553	0.084735	0.072735	0.088123	0.065904	
285	0.073492	0.082285	0.069654	0.076489	0.062433	0.083784	0.084295	0.070377	0.086552	0.070111	
290	0.076566	0.080058	0.067230	0.074782	0.060428	0.079365	0.089362	0.073135	0.085167	0.067027	
295	0.074102	0.076914	0.059065	0.072460	0.060661	0.077947	0.089962	0.074353	0.089504	0.068899	
300	0.079214	0.076725	0.059604	0.076133	0.063872	0.071808	0.093492	0.074567	0.091038	0.067718	
305	0.078243	0.074266	0.060058	0.073216	0.065134	0.068330	0.092997	0.076886	0.085149	0.068655	
310	0.078414	0.075499	0.061293	0.074728	0.064688	0.068796	0.090918	0.077675	0.085616	0.067628	
315	0.076789	0.079798	0.062411	0.079873	0.065282	0.069451	0.096003	0.076384	0.083230	0.067859	
320	0.075120	0.077659	0.064600	0.074368	0.069705	0.067336	0.098197	0.075008	0.077714	0.065834	
325	0.081798	0.074207	0.067706	0.073067	0.065316	0.068940	0.095647	0.075380	0.077950	0.066032	
330	0.080409	0.074725	0.067976	0.074783	0.066261	0.068883	0.094147	0.075826	0.079543	0.065598	
335	0.080870	0.075994	0.068174	0.076485	0.066290	0.068765	0.095433	0.077025	0.075369	0.067836	
340	0.082627	0.084239	0.068695	0.077022	0.065148	0.070278	0.097399	0.069778	0.077912	0.067601	
345	0.084641	0.083571	0.069704	0.071835	0.067749	0.072953	0.092583	0.068386	0.077255	0.067800	
350	0.084373	0.083853	0.067746	0.071734	0.074001	0.074980	0.089899	0.068533	0.078354	0.067501	
355	0.081659	0.084374	0.070424	0.069940	0.069352	0.072372	0.083694	0.067813	0.084117	0.069300	
360	0.082807	0.079781	0.069981	0.068715	0.074026	0.072173	0.084416	0.066920	0.081997	0.063469	
365	0.082190	0.082003	0.067095	0.071989	0.076358	0.072911	0.084906	0.070209	0.087145	0.062837	
370	0.079211	0.083637	0.069064	0.075154	0.076068	0.075099	0.083203	0.077721	0.090585	0.064853	
375	0.080029	0.088465	0.072110	0.078932	0.070199	0.071368	0.081543	0.073500	0.090987	0.068000	
380	0.080114	0.085922	0.071118	0.075528	0.071849	0.067890	0.080965	0.073824	0.088114	0.069973	
385	0.078532	0.089341	0.071549	0.074072	0.072455	0.064134	0.079207	0.076642	0.087736	0.068577	
390	0.079132	0.087189	0.072755	0.077861	0.073926	0.062913	0.076738	0.072243	0.084645	0.068674	
395	0.078462	0.087417	0.075929	0.074626	0.076098	0.065530	0.080033	0.071235	0.081664	0.071381	
400	0.077922	0.083791	0.078060	0.076109	0.076355	0.066266	0.081205	0.073034	0.079117	0.070403	
405	0.076409	0.088329	0.079497	0.070438	0.079761	0.064006	0.084371	0.073898	0.077349	0.068807	
410	0.080919	0.088957	0.077818	0.071208	0.085222	0.064712	0.084763	0.071723	0.074483	0.065084	
415	0.079496	0.090623	0.076592	0.069714	0.081462	0.062438	0.081433	0.068400	0.077469	0.065359	
420	0.078401	0.090924	0.077025	0.068709	0.082193	0.062452	0.082869	0.070075	0.075878	0.064102	
425	0.070829	0.092034	0.077426	0.066225	0.080867	0.068954	0.078745	0.072009	0.073798	0.068094	
430	0.077970	0.091220	0.076269	0.064833	0.081818	0.069238	0.082354	0.065345	0.073696	0.068219	
435	0.078361	0.091363	0.076433	0.063056	0.081811	0.067877	0.080686	0.063495	0.077903	0.070611	
440	0.080678	0.093402	0.073990	0.063761	0.080265	0.065741	0.077211	0.064650	0.081109	0.070432	
445	0.090193	0.091354	0.076433	0.071122	0.075016	0.068749	0.077076	0.068786	0.080971	0.073732	
450	0.092669	0.097456	0.075197	0.073500	0.074528	0.069974	0.074165	0.062136	0.086788	0.071326	
455	0.087153	0.096046	0.076234	0.071022	0.077720	0.070398	0.076403	0.064595	0.082930	0.072504	
460	0.079667	0.094920	0.078598	0.069824	0.076787	0.065950	0.075995	0.068663	0.084002	0.073027	
465	0.077795	0.099939	0.077695	0.063189	0.079043	0.062092	0.078375	0.062662	0.076901	0.070654	
470	0.070639	0.099510	0.077291	0.063068	0.081410	0.064521	0.079565	0.064359	0.070428	0.073694	
475	0.071085	0.097612	0.077667	0.065942	0.084359	0.058673	0.079729	0.065596	0.070200	0.072686	
480	0.070719	0.097546	0.079871	0.065432	0.079742	0.055458	0.081273	0.069572	0.068335	0.069289	
485	0.071626	0.093786	0.082023	0.063529	0.073060	0.059106	0.081604	0.066291	0.066449	0.066307	
490	0.069672	0.099410	0.077461	0.062130	0.072605	0.065556	0.084973	0.064589	0.067425	0.069457	
495	0.071853	0.102467	0.075704	0.056177	0.073481	0.057550	0.080640	0.061834	0.062938	0.072092	
500	0.070408	0.100817	0.072447	0.064493	0.072246	0.056310	0.079559	0.062265	0.065632	0.072831	
505	0.066800	0.093325	0.074047	0.060025	0.072975	0.054002	0.078298	0.059544	0.064648	0.067383	
510	0.071034	0.089131	0.070468	0.059691	0.074188	0.056446	0.082235	0.059885	0.060196	0.069108	
515	0.073522	0.090086	0.073856	0.059225	0.074185	0.059480	0.081396	0.062476	0.057698	0.068055	
520	0.072640	0.092683	0.077449	0.053537	0.077877	0.056337	0.082599	0.063166	0.056501	0.070334	
525	0.067693	0.096645	0.077879	0.051847	0.077628	0.056751	0.078413	0.058534	0.056952	0.071137	
530	0.070183	0.094280	0.080760	0.047340	0.082246	0.059719	0.081475	0.058983	0.061584	0.071617	
535	0.070960	0.092533	0.078280	0.049195	0.080328	0.059388	0.081460	0.060033	0.064536	0.073441	
540	0.068715	0.088943	0.074596	0.050680	0.081328	0.058612	0.084277	0.063315	0.063027	0.069764	
545	0.067737	0.084352	0.076787	0.047449	0.084852	0.059124	0.084105	0.061898	0.062176	0.069365	
550	0.066283	0.079578	0.081071	0.049548	0.085082	0.058254	0.074828	0.062373	0.062214	0.068318	
555	0.067614	0.077978	0.083133	0.048434	0.081554	0.059099	0.077417	0.064944	0.063761	0.065952	
560	0.071482	0.075319	0.084638	0.047748	0.085303	0.060546	0.079789	0.063986	0.063919	0.067574	
565	0.067205	0.073486	0.085403	0.048129	0.080262	0.060145	0.074021	0.062362	0.059539	0.065657	
570	0.069445	0.069701	0.091759	0.046345	0.081938	0.066003	0.074778	0.058385	0.061406	0.065523	
575	0.066823	0.072922	0.093393	0.048709	0.081142	0.062724	0.077366	0.058799	0.063366	0.063425	
580	0.068955	0.074537	0.086377	0.049416	0.082662	0.063993	0.077970	0.059996	0.063080	0.069442	
585	0.067368	0.075176	0.089481	0.047362	0.086768	0.068492	0.075108	0.057944	0.062374	0.070889	
590	0.066679	0.083153	0.087698	0.043808	0.083011	0.072744	0.071168	0.056638	0.063946	0.067967	
595	0.069292	0.086655	0.082248	0.045943	0.078519	0.069086	0.070252	0.059812	0.065088	0.068156	
600	0.069443	0.087463	0.081333	0.048139	0.076556	0.065440	0.071337	0.059667	0.064144	0.070572	
605	0.068684	0.091331	0.083188	0.050900	0.076853	0.062939	0.069243	0.061745	0.069284	0.071695	
610	0.071325	0.091826	0.082717	0.050415	0.075114	0.063548	0.071488	0.063467	0.069809	0.068422	
615	0.071013	0.087930	0.083422	0.054496	0.070352	0.058542	0.074312	0.065968	0.070761	0.064202	
620	0.070151	0.086454	0.086740	0.049390	0.069553	0.060077	0.071228	0.073018	0.072965	0.066149	
625	0.069629	0.088173	0.088879	0.050953	0.071528	0.061729	0.074465	0.072437	0.065948	0.065070	
630	0.067972	0.087823	0.089242	0.051970	0.071172	0.059896	0.071097	0.070112	0.062324	0.063717	
635	0.070986	0.082237	0.085485	0.055843	0.068101	0.061375	0.075042	0.068611	0.064456	0.064280	
640	0.074481	0.079583	0.083313	0.055126	0.065137	0.063907	0.073268	0.063393	0.061632	0.063774	
645	0.072747	0.077033	0.083266	0.058211	0.068898	0.062091	0.072446	0.061383	0.060317	0.061063	
650	0.071465	0.076572	0.086359	0.052799	0.070307	0.055792	0.078312	0.065657	0.065672	0.061830	
655	0.070099	0.077402	0.089677	0.051105	0.074779	0.056144	0.081434	0.062301	0.066439	0.063634	
660	0.072104	0.074560	0.088991	0.054961	0.076185	0.052702	0.085330	0.063288	0.068980	0.066224	
665	0.073782	0.076665	0.089516	0.060284	0.072886	0.057946	0.086769	0.065202	0.067709	0.071198	
670	0.072081	0.079201	0.086274	0.060311	0.072520	0.060597	0.084459	0.065912	0.067268	0.075270	
675	0.069991	0.081984	0.087422	0.059659	0.071036	0.059400	0.085259	0.064284	0.066071	0.081161	
680	0.069351	0.078420	0.085649	0.056218	0.076064	0.063095	0.082697	0.066212	0.068238	0.083651	
