T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
205	0.001182	0.001187	0.002018	0.001594	0.002457	0.002084	0.001661	0.001224	0.001357	0.001153	
210	0.002627	0.002510	0.004955	0.004149	0.002687	0.003657	0.003535	0.002986	0.002883	0.003003	
215	0.004053	0.004052	0.004906	0.006142	0.004623	0.005706	0.007222	0.004968	0.004849	0.004792	
220	0.006910	0.004590	0.007613	0.007873	0.006415	0.007012	0.009128	0.006361	0.005813	0.005510	
225	0.007286	0.006934	0.009338	0.008066	0.007916	0.007401	0.011773	0.008292	0.007879	0.006813	
230	0.007745	0.009214	0.007615	0.009854	0.008892	0.007867	0.011462	0.011273	0.009981	0.006979	
235	0.010691	0.010752	0.009252	0.011166	0.009762	0.010321	0.013698	0.012368	0.013841	0.010245	
240	0.014153	0.012181	0.011744	0.010647	0.011528	0.014131	0.013926	0.014119	0.015278	0.011339	
245	0.016042	0.013518	0.012109	0.011330	0.013533	0.012885	0.015150	0.014638	0.016660	0.013347	
250	0.016949	0.015751	0.015149	0.014657	0.013899	0.014977	0.016771	0.016366	0.016474	0.014072	
255	0.017754	0.018667	0.017020	0.017195	0.015489	0.015176	0.018022	0.015660	0.017800	0.015116	
260	0.018563	0.020929	0.018955	0.019239	0.018777	0.015881	0.020720	0.017987	0.020413	0.016562	
265	0.019074	0.023898	0.019779	0.021056	0.020529	0.020215	0.021838	0.020331	0.020716	0.019024	
270	0.021298	0.024382	0.022817	0.022267	0.021339	0.022454	0.024578	0.022080	0.021406	0.019485	
275	0.022101	0.024562	0.023491	0.025176	0.023503	0.023187	0.027293	0.024745	0.024608	0.021677	
280	0.023085	0.025098	0.024744	0.026256	0.028052	0.026135	0.028120	0.026268	0.024456	0.022414	
285	0.024009	0.029003	0.027140	0.025773	0.029704	0.029014	0.027844	0.029253	0.026601	0.025112	
290	0.027166	0.030657	0.030497	0.027798	0.029576	0.030827	0.028904	0.028670	0.025661	0.027153	
295	0.029300	0.032850	0.034121	0.028330	0.031060	0.031881	0.031787	0.029932	0.026435	0.027081	
300	0.030791	0.032095	0.033790	0.028440	0.032735	0.033699	0.032776	0.030881	0.028828	0.028406	
305	0.034590	0.030342	0.035465	0.032957	0.035465	0.033061	0.033953	0.031388	0.031319	0.029648	
310	0.036333	0.031503	0.041204	0.034681	0.038136	0.035094	0.036092	0.033279	0.030198	0.031029	
315	0.037523	0.033098	0.041455	0.035237	0.037822	0.037036	0.037242	0.035842	0.032126	0.033553	
320	0.039573	0.035148	0.041464	0.032848	0.038560	0.036764	0.038472	0.037097	0.033102	0.033517	
325	0.042365	0.034722	0.045085	0.032524	0.038899	0.037234	0.041426	0.040153	0.034593	0.036070	
330	0.043581	0.035196	0.048956	0.033354	0.039399	0.035548	0.044210	0.040107	0.035159	0.038324	
335	0.044078	0.035910	0.052935	0.034525	0.041364	0.035799	0.042606	0.042656	0.035309	0.037908	
340	0.043904	0.039241	0.053025	0.037575	0.041648	0.035031	0.044350	0.045082	0.035972	0.039089	
345	0.042683	0.038657	0.053569	0.038328	0.043780	0.037585	0.048233	0.046511	0.036055	0.039018	
350	0.040637	0.042423	0.051468	0.039551	0.044605	0.035952	0.049649	0.047045	0.040030	0.039191	
355	0.039835	0.042889	0.050055	0.040703	0.043927	0.036439	0.051230	0.048381	0.040304	0.039854	
360	0.041191	0.042541	0.052727	0.040705	0.044478	0.038985	0.049204	0.050672	0.041109	0.039699	
365	0.043013	0.042046	0.053558	0.043970	0.044215	0.038070	0.050309	0.049819	0.041672	0.039137	
370	0.044622	0.041496	0.051749	0.044588	0.042444	0.037722	0.051542	0.049364	0.041319	0.038836	
375	0.048219	0.043638	0.051029	0.045063	0.044376	0.037142	0.049558	0.051436	0.044808	0.039845	
380	0.049338	0.042069	0.050901	0.047108	0.045588	0.039758	0.048656	0.050891	0.044412	0.039813	
385	0.050905	0.042182	0.052624	0.046541	0.046881	0.041715	0.050476	0.049623	0.047837	0.040830	
390	0.050884	0.044172	0.054359	0.048349	0.047263	0.042081	0.051637	0.051084	0.048894	0.040582	
395	0.049804	0.042180	0.056415	0.048256	0.048625	0.045114	0.050144	0.051620	0.047565	0.039204	
400	0.050185	0.043853	0.057489	0.048672	0.051804	0.047371	0.051596	0.051687	0.046075	0.041586	
405	0.051315	0.043316	0.056497	0.049528	0.053498	0.046491	0.049966	0.050416	0.044509	0.043903	
410	0.054880	0.044895	0.057007	0.048224	0.052876	0.046320	0.048086	0.050522	0.042570	0.044198	
415	0.055254	0.045329	0.056266	0.048967	0.053438	0.045707	0.046918	0.051391	0.044511	0.045757	
420	0.055782	0.044601	0.056478	0.048192	0.054384	0.046286	0.048914	0.052076	0.044767	0.045882	
425	0.053613	0.042914	0.053771	0.047644	0.053414	0.045474	0.048528	0.050819	0.044312	0.046691	
430	0.053069	0.042849	0.052285	0.046400	0.052560	0.045206	0.047398	0.049233	0.045845	0.046204	
435	0.052483	0.044378	0.051908	0.045947	0.053308	0.044819	0.047685	0.049917	0.043235	0.042660	
440	0.049026	0.046203	0.052114	0.046948	0.051218	0.045363	0.046731	0.049332	0.043925	0.044833	
445	0.048318	0.044640	0.048586	0.047882	0.049971	0.047047	0.047730	0.051121	0.044444	0.043972	
450	0.046388	0.043648	0.048200	0.046548	0.050598	0.043095	0.049815	0.048555	0.044758	0.046308	
455	0.047351	0.043631	0.050964	0.046531	0.051271	0.042071	0.050966	0.047092	0.045129	0.047768	
460	0.046349	0.043278	0.050303	0.046136	0.050582	0.043922	0.050374	0.047981	0.046638	0.048423	
465	0.047765	0.042054	0.050650	0.046134	0.049841	0.044005	0.048817	0.046380	0.045695	0.047648	
470	0.047179	0.043706	0.052161	0.048606	0.050203	0.043595	0.050074	0.044877	0.046025	0.050857	
475	0.046432	0.044753	0.051874	0.048518	0.050853	0.042889	0.049514	0.046027	0.043954	0.049545	
480	0.046911	0.043572	0.052386	0.051377	0.052094	0.045093	0.050809	0.045333	0.044676	0.048303	
485	0.048335	0.043551	0.054692	0.049458	0.052848	0.045415	0.050817	0.045986	0.043167	0.048419	
490	0.051355	0.042139	0.051235	0.047831	0.055754	0.047869	0.051686	0.044394	0.043761	0.047215	
495	0.049350	0.042107	0.050051	0.047628	0.056462	0.046221	0.052406	0.046389	0.043106	0.045860	
500	0.047463	0.043237	0.048789	0.048087	0.053535	0.048267	0.053028	0.046399	0.042968	0.046636	
505	0.047876	0.042601	0.049025	0.048717	0.054170	0.047752	0.052051	0.048268	0.042346	0.046856	
510	0.048311	0.044130	0.048967	0.047513	0.053912	0.046990	0.051319	0.048598	0.041665	0.047296	
515	0.049420	0.044222	0.046341	0.047543	0.054498	0.047585	0.050140	0.048212	0.042839	0.047588	
520	0.049792	0.042799	0.045972	0.045465	0.057747	0.043372	0.046472	0.047209	0.042364	0.046065	
525	0.051952	0.044442	0.044602	0.046119	0.056337	0.040960	0.046087	0.048209	0.044900	0.045217	
530	0.051896	0.041881	0.043236	0.045376	0.057201	0.042982	0.046487	0.047135	0.045904	0.045750	
535	0.052422	0.043689	0.043083	0.047393	0.056337	0.042029	0.046800	0.047929	0.046538	0.047114	
540	0.051238	0.043921	0.043422	0.049420	0.058166	0.044792	0.045835	0.048559	0.048760	0.047635	
545	0.051986	0.044486	0.045291	0.050606	0.055146	0.044869	0.048436	0.049087	0.049520	0.047426	
550	0.051797	0.047008	0.047514	0.048691	0.056797	0.046271	0.047718	0.048196	0.048692	0.046087	
555	0.050154	0.047593	0.048526	0.046757	0.058640	0.045183	0.046096	0.047760	0.047500	0.049838	
560	0.049951	0.047111	0.046895	0.048451	0.058231	0.046005	0.046193	0.050028	0.044065	0.047824	
565	0.052062	0.048190	0.048524	0.049257	0.058902	0.045749	0.045333	0.048514	0.044443	0.049312	
570	0.048924	0.048538	0.047650	0.049934	0.058283	0.047674	0.045553	0.049607	0.043829	0.047680	
575	0.049713	0.048985	0.049164	0.050817	0.058540	0.046247	0.046170	0.052894	0.042837	0.045696	
580	0.047955	0.050019	0.046823	0.051763	0.056323	0.045663	0.049861	0.053902	0.043605	0.043279	
585	0.047554	0.048392	0.044485	0.050732	0.059080	0.045364	0.045397	0.053561	0.045483	0.043569	
590	0.048418	0.048795	0.043553	0.048570	0.056058	0.045857	0.047673	0.054242	0.043997	0.045237	
595	0.048404	0.046378	0.044365	0.047608	0.055777	0.045587	0.048209	0.051391	0.043688	0.045239	
600	0.047468	0.047085	0.045758	0.047620	0.056323	0.046588	0.049334	0.049844	0.043118	0.047749	
605	0.047853	0.047446	0.046141	0.047639	0.055980	0.047114	0.052176	0.050301	0.042857	0.048317	
610	0.046241	0.044507	0.046169	0.047497	0.055971	0.048538	0.051933	0.050275	0.042653	0.049674	
615	0.043995	0.043319	0.047132	0.046569	0.057969	0.046819	0.050803	0.049591	0.043705	0.048978	
620	0.044985	0.045434	0.047116	0.045879	0.054928	0.048286	0.050316	0.049506	0.043240	0.048541	
625	0.044978	0.044937	0.046777	0.043975	0.055416	0.050568	0.050467	0.050212	0.044892	0.047542	
630	0.045050	0.042818	0.046206	0.045543	0.057078	0.048940	0.048844	0.047296	0.044830	0.050852	
635	0.047902	0.042105	0.045861	0.046498	0.056925	0.046692	0.048456	0.046062	0.045147	0.047780	
640	0.048638	0.041495	0.046891	0.045339	0.057370	0.048751	0.044744	0.048922	0.045410	0.046208	
645	0.046237	0.041671	0.046245	0.045161	0.056610	0.046931	0.043946	0.047228	0.044999	0.045566	
650	0.047230	0.042346	0.046723	0.045379	0.055619	0.046779	0.044466	0.046681	0.047183	0.047535	
655	0.048720	0.042968	0.046165	0.046555	0.056151	0.047999	0.045913	0.045673	0.048102	0.048205	
660	0.047643	0.043406	0.045729	0.046775	0.054530	0.048263	0.045916	0.044801	0.047067	0.046816	
665	0.049137	0.043684	0.048608	0.046646	0.055669	0.048586	0.045124	0.041769	0.047752	0.046740	
670	0.048837	0.044876	0.047894	0.044468	0.053049	0.046205	0.048436	0.041197	0.047772	0.044583	
675	0.046907	0.045829	0.046719	0.044814	0.052352	0.047715	0.046595	0.042000	0.049310	0.044691	
680	0.047803	0.049254	0.047609	0.045039	0.052108	0.047225	0.046476	0.043422	0.051051	0.045328	
