T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.067163	0.115254	0.103353	0.069055	0.094884	0.093066	0.082346	0.094419	0.073615	0.094165	
10	0.172887	0.243089	0.229483	0.233263	0.208800	0.184731	0.203814	0.204351	0.172155	0.184440	
15	0.261247	0.328750	0.340220	0.510391	0.250073	0.281561	0.311693	0.270106	0.239744	0.258794	
20	0.324543	0.523789	0.440292	0.544610	0.339709	0.420442	0.433334	0.378903	0.365468	0.360223	
25	0.439280	0.603248	0.493436	0.554374	0.435757	0.476062	0.557388	0.465068	0.437225	0.409757	
30	0.520561	0.628744	0.557841	0.571349	0.505282	0.538331	0.665004	0.524692	0.478330	0.443213	
35	0.574548	0.653630	0.611748	0.604435	0.561925	0.663553	0.738645	0.587255	0.524706	0.488801	
40	0.624946	0.691746	0.658274	0.646698	0.615382	0.769186	0.782711	0.650942	0.584241	0.542877	
45	0.674531	0.737991	0.694426	0.704020	0.658505	0.823665	0.803920	0.699022	0.642070	0.592880	
50	0.722683	0.771601	0.730468	0.747481	0.694829	0.846451	0.818393	0.738883	0.685325	0.647028	
55	0.753673	0.797240	0.757983	0.788553	0.728744	0.853338	0.825787	0.764760	0.723463	0.702960	
60	0.782707	0.812472	0.789060	0.815296	0.760117	0.863033	0.837766	0.783545	0.752259	0.742646	
65	0.811666	0.825829	0.810331	0.839077	0.784173	0.870049	0.840793	0.799062	0.776904	0.772734	
70	0.827478	0.835893	0.818522	0.851249	0.804923	0.867607	0.847458	0.812602	0.796818	0.797469	
75	0.843361	0.840516	0.836517	0.859577	0.821662	0.869041	0.853457	0.824281	0.809565	0.815042	
80	0.847418	0.843056	0.842986	0.867581	0.831427	0.868563	0.858028	0.829056	0.823899	0.825927	
85	0.864345	0.850523	0.849108	0.868078	0.837616	0.872771	0.859608	0.834122	0.828814	0.835098	
90	0.864572	0.857229	0.853041	0.871428	0.840910	0.872593	0.859614	0.843091	0.839228	0.841338	
95	0.867740	0.859287	0.860949	0.876149	0.853142	0.872260	0.862828	0.850029	0.844736	0.847631	
100	0.866747	0.863784	0.862467	0.876038	0.857241	0.870165	0.864884	0.855230	0.846278	0.857463	
105	0.864451	0.863038	0.866645	0.874156	0.859993	0.868343	0.863039	0.858473	0.851077	0.860053	
110	0.862660	0.862244	0.870007	0.869042	0.861119	0.863217	0.862137	0.859776	0.852533	0.859453	
115	0.861471	0.860080	0.869225	0.864189	0.855557	0.859717	0.857471	0.859609	0.853180	0.860292	
120	0.854437	0.856551	0.865929	0.859793	0.849060	0.859459	0.853535	0.857270	0.853259	0.859210	
125	0.846899	0.854202	0.862558	0.852967	0.838646	0.856403	0.849691	0.847980	0.845335	0.851446	
130	0.834358	0.848818	0.853755	0.842206	0.828773	0.850212	0.839664	0.834513	0.835992	0.846914	
135	0.821182	0.836991	0.842210	0.830802	0.819281	0.832111	0.827093	0.818110	0.827187	0.842567	
140	0.809494	0.827662	0.830731	0.806758	0.809019	0.815219	0.810390	0.809500	0.817162	0.827984	
145	0.795148	0.809475	0.821286	0.795755	0.800025	0.798991	0.802497	0.794438	0.803784	0.809396	
150	0.777622	0.796942	0.805306	0.785638	0.789484	0.784239	0.788690	0.781732	0.795051	0.797627	
155	0.768756	0.784756	0.793787	0.773816	0.786040	0.778061	0.776008	0.772504	0.787662	0.792258	
160	0.757792	0.778137	0.781771	0.766557	0.777520	0.765813	0.762329	0.763542	0.781269	0.781355	
165	0.749805	0.766551	0.772501	0.759292	0.766816	0.763414	0.751545	0.755996	0.770192	0.774769	
170	0.738117	0.754878	0.762794	0.750365	0.758808	0.755127	0.744110	0.750031	0.762708	0.775227	
175	0.731287	0.750566	0.752387	0.745730	0.750392	0.755710	0.738527	0.737828	0.754419	0.763764	
180	0.729120	0.739813	0.745218	0.741045	0.744311	0.749652	0.732059	0.730147	0.747644	0.758053	
185	0.724054	0.738576	0.737755	0.733435	0.735490	0.740519	0.725198	0.728482	0.739748	0.751564	
190	0.718500	0.730988	0.733056	0.728264	0.730825	0.735940	0.719819	0.726376	0.733509	0.748931	
195	0.710457	0.725842	0.725734	0.726158	0.727125	0.724058	0.715251	0.717351	0.724566	0.741371	
200	0.703981	0.720715	0.721168	0.717284	0.719416	0.718930	0.713533	0.715364	0.719577	0.733041	
205	0.703724	0.710548	0.710312	0.713507	0.711155	0.717495	0.708191	0.710042	0.714779	0.727368	
210	0.702758	0.710368	0.706363	0.708652	0.710185	0.711857	0.704860	0.712396	0.706834	0.728859	
215	0.701752	0.701553	0.702055	0.703901	0.701992	0.708326	0.699610	0.709765	0.705772	0.727062	
220	0.696721	0.696441	0.704487	0.698556	0.699185	0.710961	0.693811	0.699697	0.694847	0.716555	
225	0.692766	0.688194	0.699005	0.695744	0.697061	0.711231	0.692067	0.692840	0.689448	0.709803	
230	0.686892	0.690648	0.692134	0.690305	0.697547	0.703581	0.688349	0.687634	0.684154	0.703665	
235	0.675633	0.686784	0.685749	0.687031	0.692637	0.699738	0.687230	0.683476	0.684099	0.697980	
240	0.676701	0.685106	0.683847	0.688934	0.687828	0.700484	0.681701	0.684239	0.675471	0.694312	
245	0.671487	0.686999	0.675700	0.682364	0.682876	0.697168	0.677411	0.678654	0.669034	0.690945	
250	0.668999	0.684104	0.673150	0.675101	0.679662	0.695155	0.671347	0.676116	0.666490	0.688581	
255	0.662855	0.685328	0.664937	0.670384	0.675320	0.689853	0.665955	0.673042	0.659864	0.685883	
260	0.663110	0.679648	0.662868	0.672744	0.671636	0.689704	0.662529	0.672078	0.652205	0.678352	
