T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.035015	0.016578	0.018820	0.022123	0.020609	0.032703	0.034896	0.026508	0.018373	0.018120	
10	0.143712	0.183707	0.164209	0.140524	0.155757	0.246935	0.158860	0.215247	0.196767	0.190030	
15	0.213546	0.235595	0.260124	0.182044	0.240831	0.272114	0.211277	0.269862	0.259130	0.280789	
20	0.317164	0.279666	0.322630	0.302604	0.312956	0.292518	0.275815	0.306362	0.306058	0.322024	
25	0.374932	0.327304	0.363272	0.407176	0.347393	0.343250	0.346948	0.376171	0.369460	0.358871	
30	0.395781	0.361451	0.401135	0.454539	0.379352	0.407633	0.407495	0.449139	0.420160	0.415652	
35	0.415916	0.389099	0.456643	0.492054	0.427930	0.472575	0.454618	0.494418	0.453724	0.497941	
40	0.445535	0.419871	0.518392	0.517795	0.470627	0.511621	0.499805	0.521881	0.480403	0.563061	
45	0.484194	0.447841	0.562985	0.545575	0.504067	0.569260	0.545566	0.537810	0.515928	0.599764	
50	0.529067	0.480342	0.591123	0.568525	0.534303	0.604741	0.575378	0.551201	0.544466	0.614227	
55	0.576189	0.512212	0.615584	0.595032	0.569910	0.626077	0.595371	0.577560	0.567810	0.622191	
60	0.633000	0.541460	0.641342	0.622577	0.601169	0.649876	0.609738	0.607029	0.596825	0.629703	
65	0.653781	0.572920	0.656027	0.649464	0.632175	0.664611	0.623058	0.626480	0.617100	0.635277	
70	0.675380	0.595079	0.674221	0.668946	0.659750	0.672850	0.634032	0.639897	0.640403	0.640053	
75	0.692363	0.617831	0.690153	0.686697	0.671880	0.689696	0.644570	0.661450	0.655717	0.642168	
80	0.706786	0.638312	0.701403	0.698605	0.679033	0.693121	0.647967	0.680607	0.657071	0.649824	
85	0.710410	0.651435	0.714955	0.706736	0.683088	0.696508	0.664073	0.692241	0.669682	0.652578	
90	0.714939	0.661829	0.717025	0.715181	0.690980	0.699403	0.672676	0.699165	0.675967	0.663861	
95	0.714924	0.674965	0.724473	0.721398	0.696961	0.700998	0.681496	0.706981	0.680112	0.664041	
100	0.722022	0.690688	0.727051	0.727640	0.704266	0.703741	0.689777	0.706089	0.685963	0.677285	
105	0.721889	0.690832	0.732263	0.731925	0.711277	0.709717	0.701308	0.703078	0.693155	0.689185	
110	0.723559	0.697568	0.742079	0.735006	0.712609	0.709190	0.708458	0.708573	0.697711	0.689270	
115	0.728175	0.709305	0.743696	0.736084	0.716954	0.706883	0.714008	0.716877	0.696611	0.688574	
120	0.730445	0.710497	0.745267	0.741496	0.713946	0.700762	0.717646	0.713013	0.700805	0.688808	
125	0.732483	0.717277	0.748666	0.740513	0.716348	0.701113	0.722813	0.712565	0.701439	0.686061	
130	0.731434	0.716109	0.748278	0.738252	0.718024	0.702128	0.722932	0.720044	0.701136	0.687449	
