T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.002689	0.001517	0.001477	0.000939	0.001333	0.001084	0.002202	0.002544	0.000755	0.002839	
110	0.006003	0.003804	0.002195	0.002607	0.003446	0.003672	0.006721	0.003913	0.005169	0.005264	
115	0.008732	0.009915	0.004050	0.002824	0.003977	0.004586	0.008676	0.002917	0.008587	0.007084	
120	0.013497	0.010375	0.006165	0.003955	0.008111	0.007646	0.004650	0.005058	0.008966	0.007161	
125	0.014809	0.017842	0.006672	0.005718	0.008829	0.008275	0.004269	0.005591	0.012822	0.008693	
130	0.015563	0.013967	0.004503	0.004807	0.008192	0.007692	0.009047	0.008237	0.011179	0.011412	
135	0.018205	0.010930	0.006651	0.005923	0.008804	0.008726	0.009665	0.004839	0.015308	0.012340	
140	0.011588	0.011482	0.012865	0.007028	0.014924	0.009437	0.009203	0.005336	0.015415	0.009219	
145	0.011073	0.012355	0.013288	0.007242	0.018216	0.008071	0.011127	0.003925	0.016127	0.008587	
150	0.014531	0.017050	0.016681	0.009232	0.017265	0.007587	0.012536	0.005810	0.023783	0.007723	
155	0.014866	0.011631	0.016850	0.010061	0.020370	0.010514	0.010540	0.005567	0.020722	0.006148	
160	0.016575	0.011774	0.014559	0.011957	0.022342	0.013075	0.010603	0.007278	0.021822	0.006139	
165	0.012903	0.012664	0.017125	0.014298	0.024282	0.016392	0.008777	0.009534	0.024397	0.009371	
170	0.015335	0.010518	0.020686	0.013132	0.028234	0.017771	0.009813	0.008005	0.024433	0.009954	
175	0.020818	0.010281	0.024497	0.015973	0.024837	0.020067	0.012616	0.009118	0.026620	0.009665	
180	0.018227	0.009968	0.026015	0.017091	0.025511	0.020839	0.012786	0.007973	0.026275	0.008965	
185	0.015868	0.012052	0.025673	0.018636	0.030140	0.021827	0.013405	0.007056	0.024709	0.011977	
190	0.018074	0.013322	0.026125	0.019345	0.031062	0.027611	0.017065	0.007977	0.024896	0.010383	
195	0.018489	0.013756	0.025649	0.017275	0.026332	0.032195	0.018767	0.010189	0.024286	0.010325	
200	0.018982	0.014764	0.025574	0.019210	0.026593	0.028470	0.025183	0.013404	0.022681	0.013236	
205	0.022327	0.015408	0.030660	0.017515	0.030644	0.025770	0.026611	0.016236	0.022896	0.017050	
210	0.021703	0.018274	0.029346	0.013871	0.033974	0.022248	0.023310	0.018451	0.023746	0.014304	
215	0.023897	0.020755	0.028797	0.012301	0.031787	0.020628	0.018119	0.017298	0.029667	0.014677	
220	0.023711	0.025121	0.028332	0.010352	0.032338	0.020460	0.016100	0.017026	0.028960	0.015776	
225	0.024241	0.024980	0.030468	0.010229	0.034394	0.018670	0.017037	0.017120	0.029976	0.013247	
230	0.022256	0.021780	0.030921	0.006832	0.032425	0.016884	0.016020	0.016305	0.036098	0.012459	
235	0.024458	0.019041	0.030798	0.007796	0.035736	0.019801	0.015629	0.011847	0.032214	0.013797	
240	0.027054	0.019640	0.033901	0.010206	0.035665	0.023224	0.017580	0.013865	0.034046	0.019881	
245	0.023256	0.024115	0.031890	0.011245	0.034478	0.024910	0.020277	0.012237	0.036870	0.024106	
250	0.021933	0.026787	0.030017	0.008579	0.034218	0.024170	0.019502	0.012904	0.033598	0.025554	
255	0.025716	0.025604	0.027841	0.011676	0.034357	0.024045	0.017304	0.018116	0.038792	0.023693	
260	0.028967	0.024763	0.026058	0.011752	0.039059	0.021090	0.017898	0.018726	0.044472	0.020747	
265	0.029969	0.018404	0.028324	0.013813	0.038798	0.019129	0.023160	0.021691	0.038572	0.021892	
270	0.032959	0.018594	0.029841	0.015860	0.037402	0.020527	0.029806	0.024536	0.040803	0.025111	
275	0.030368	0.019757	0.032056	0.020048	0.036143	0.019666	0.032305	0.022122	0.041071	0.029429	
280	0.034809	0.016769	0.030552	0.019929	0.033952	0.022839	0.034343	0.022094	0.041216	0.029690	
285	0.031427	0.018559	0.031655	0.020901	0.032651	0.023431	0.033677	0.030266	0.040068	0.029187	
290	0.033092	0.019757	0.028999	0.017625	0.034604	0.026228	0.035957	0.029725	0.037105	0.026765	
295	0.027182	0.024077	0.031954	0.015787	0.034512	0.032226	0.033313	0.025929	0.037735	0.022603	
300	0.024364	0.022768	0.028135	0.016737	0.036199	0.030137	0.027445	0.022981	0.029871	0.023131	
305	0.027033	0.023018	0.029550	0.015576	0.035877	0.034257	0.029161	0.021560	0.032385	0.023650	
310	0.025551	0.023476	0.031888	0.018274	0.036711	0.037178	0.029302	0.023037	0.031310	0.025820	
315	0.026255	0.026340	0.032634	0.019174	0.035768	0.038025	0.025857	0.026661	0.028782	0.030270	
320	0.026131	0.029618	0.031070	0.018743	0.038079	0.034702	0.024917	0.026592	0.030421	0.029980	
325	0.030616	0.030660	0.028555	0.019845	0.041132	0.038123	0.024378	0.023285	0.031521	0.030792	
330	0.029411	0.031845	0.028689	0.024807	0.041725	0.037429	0.024143	0.022494	0.032349	0.035652	
335	0.025020	0.032735	0.027259	0.026178	0.045509	0.039482	0.024585	0.022504	0.032335	0.036468	
340	0.025827	0.033692	0.026270	0.026707	0.046744	0.037789	0.022104	0.025184	0.033617	0.038753	
345	0.020185	0.034586	0.025043	0.029008	0.047415	0.033662	0.021671	0.029253	0.033695	0.031793	
350	0.018850	0.037218	0.026498	0.030232	0.051665	0.030368	0.025656	0.030479	0.037651	0.031415	
355	0.018827	0.040022	0.025576	0.030711	0.047827	0.024936	0.026029	0.029918	0.036421	0.033763	
360	0.022688	0.038042	0.026883	0.037054	0.045424	0.028230	0.027784	0.033814	0.033646	0.033646	
365	0.026506	0.036225	0.026783	0.043341	0.044703	0.030088	0.032532	0.032972	0.035015	0.032149	
370	0.028079	0.036965	0.031831	0.041460	0.043400	0.027159	0.031629	0.031161	0.034486	0.029611	
375	0.027396	0.037935	0.035323	0.043032	0.045548	0.027840	0.031070	0.031232	0.033247	0.034340	
380	0.028268	0.037381	0.041639	0.042290	0.046119	0.028132	0.033288	0.028426	0.032228	0.037410	
385	0.027010	0.036900	0.043664	0.044897	0.043505	0.029864	0.033814	0.027355	0.031792	0.031547	
390	0.024308	0.037014	0.046565	0.046916	0.042420	0.027875	0.037922	0.027803	0.030268	0.035058	
395	0.020299	0.034893	0.049866	0.040350	0.045104	0.023695	0.038158	0.028542	0.028482	0.029612	
400	0.025497	0.037500	0.047680	0.041048	0.044006	0.021708	0.040918	0.031162	0.030718	0.029531	
405	0.031366	0.033233	0.049228	0.041078	0.044933	0.027234	0.038593	0.030186	0.029096	0.027285	
410	0.031496	0.035568	0.046309	0.042941	0.043194	0.025939	0.033173	0.031351	0.029601	0.028923	
415	0.029295	0.034173	0.042634	0.042245	0.044986	0.029679	0.032822	0.036695	0.032959	0.025117	
420	0.029840	0.036848	0.041542	0.037673	0.043526	0.027682	0.033949	0.035282	0.030714	0.022840	
425	0.027553	0.039490	0.040422	0.042245	0.045856	0.032824	0.034293	0.034977	0.030951	0.023456	
430	0.022885	0.036056	0.042529	0.038892	0.044333	0.034254	0.032998	0.032419	0.031857	0.023702	
435	0.024225	0.036381	0.041310	0.035077	0.044732	0.030180	0.035972	0.036917	0.036422	0.024764	
440	0.022213	0.034646	0.040759	0.035036	0.046530	0.030985	0.035040	0.036744	0.035496	0.024159	
445	0.025386	0.033289	0.038268	0.032414	0.044020	0.030883	0.037292	0.038077	0.033202	0.021376	
450	0.024281	0.032493	0.037453	0.036280	0.045351	0.032040	0.040047	0.040187	0.032888	0.021244	
455	0.023954	0.032346	0.039997	0.039895	0.045108	0.032093	0.042325	0.033497	0.032029	0.023392	
460	0.025836	0.036058	0.043501	0.036289	0.041413	0.032226	0.041519	0.035520	0.029078	0.021956	
465	0.027582	0.031905	0.043722	0.038833	0.038599	0.029985	0.042086	0.037040	0.027124	0.021259	
470	0.024572	0.031469	0.041390	0.039078	0.042931	0.032358	0.041081	0.031426	0.028107	0.024483	
475	0.022920	0.032824	0.038669	0.039131	0.045055	0.031675	0.038201	0.030569	0.028859	0.021686	
480	0.024390	0.036921	0.041565	0.036999	0.047361	0.034291	0.040090	0.032242	0.026881	0.023918	
485	0.024973	0.039623	0.039328	0.033954	0.048692	0.033897	0.039417	0.033713	0.027588	0.024488	
490	0.022018	0.037473	0.039221	0.030241	0.044177	0.030720	0.042993	0.030603	0.030033	0.026433	
495	0.021336	0.036542	0.041635	0.034064	0.040587	0.033805	0.048421	0.032191	0.030817	0.024359	
500	0.021459	0.035310	0.041447	0.032961	0.043878	0.039223	0.046735	0.034701	0.028697	0.025480	
505	0.024209	0.037884	0.042701	0.028191	0.043333	0.038690	0.048592	0.034139	0.028158	0.026239	
510	0.028578	0.037910	0.040729	0.031015	0.045555	0.034553	0.042572	0.038201	0.027807	0.022652	
515	0.029593	0.040540	0.040858	0.034055	0.045048	0.037043	0.037493	0.031309	0.025636	0.029237	
520	0.030659	0.041094	0.040428	0.032954	0.045632	0.037470	0.034590	0.032792	0.026190	0.030444	
525	0.037896	0.043539	0.041296	0.031695	0.044075	0.041743	0.036603	0.034858	0.027954	0.027986	
530	0.032638	0.043515	0.039361	0.028689	0.046074	0.038461	0.037555	0.034712	0.025695	0.028428	
535	0.029818	0.040672	0.041863	0.027815	0.052177	0.039053	0.037693	0.037899	0.026918	0.033512	
540	0.027363	0.038907	0.048449	0.028694	0.051631	0.040076	0.034725	0.037214	0.028359	0.033629	
545	0.030273	0.039613	0.049627	0.029959	0.051798	0.035347	0.035021	0.039253	0.027408	0.031886	
550	0.033050	0.040033	0.051287	0.031573	0.051108	0.033633	0.036102	0.037628	0.027850	0.031378	
555	0.029587	0.038427	0.046467	0.032477	0.049139	0.031375	0.036572	0.037100	0.027303	0.031210	
560	0.028190	0.038289	0.048868	0.031315	0.048852	0.031876	0.040697	0.037363	0.027402	0.030309	
565	0.029127	0.037519	0.052112	0.031947	0.048085	0.031413	0.043237	0.036930	0.028707	0.027055	
570	0.028653	0.038462	0.051109	0.031276	0.045419	0.031294	0.041510	0.039926	0.029829	0.025766	
575	0.024929	0.037202	0.052262	0.029451	0.048369	0.029747	0.041662	0.039173	0.033856	0.027874	
580	0.025040	0.036663	0.046935	0.026893	0.048872	0.032037	0.043456	0.038099	0.032650	0.026085	
585	0.025769	0.035441	0.042871	0.024820	0.048652	0.030864	0.046668	0.039617	0.033509	0.025521	
590	0.024714	0.037335	0.045107	0.024468	0.047398	0.029910	0.046591	0.039096	0.028817	0.027812	
595	0.030984	0.036405	0.049586	0.024226	0.048829	0.028687	0.046486	0.036931	0.030433	0.028887	
600	0.030234	0.038051	0.046712	0.026473	0.043594	0.027605	0.047092	0.038653	0.031192	0.030986	
605	0.032149	0.038869	0.040807	0.029206	0.045853	0.030672	0.046032	0.040708	0.033224	0.032395	
610	0.027454	0.040053	0.040241	0.031496	0.043638	0.033157	0.044879	0.040777	0.037130	0.033120	
615	0.031332	0.042650	0.038602	0.030162	0.042842	0.034611	0.042201	0.043410	0.035848	0.029994	
620	0.031388	0.039895	0.039557	0.027688	0.043779	0.035694	0.040837	0.039661	0.038358	0.033173	
625	0.034405	0.040334	0.035357	0.026811	0.044982	0.039511	0.043079	0.038171	0.035241	0.032832	
630	0.034326	0.041456	0.036302	0.028995	0.042000	0.036164	0.044398	0.039066	0.033558	0.038213	
635	0.034858	0.047422	0.037188	0.028947	0.040905	0.034807	0.039202	0.038506	0.036476	0.034658	
640	0.036594	0.050274	0.033463	0.027486	0.039955	0.037445	0.037469	0.037526	0.036183	0.035603	
645	0.038843	0.044749	0.036848	0.026455	0.036104	0.034627	0.035774	0.035240	0.036265	0.033279	
650	0.032914	0.044032	0.039230	0.027089	0.036773	0.037057	0.032146	0.037675	0.035416	0.033365	
655	0.030587	0.046492	0.040299	0.030119	0.038434	0.036085	0.035996	0.039251	0.036821	0.033987	
660	0.028279	0.045978	0.039022	0.027238	0.038776	0.038058	0.033358	0.039569	0.036312	0.035553	
665	0.025773	0.043473	0.038458	0.027370	0.036278	0.040830	0.034637	0.041258	0.037468	0.038335	
670	0.026039	0.042980	0.045655	0.028469	0.037376	0.041876	0.035645	0.039135	0.040031	0.036217	
675	0.029981	0.042169	0.047308	0.031589	0.040284	0.049016	0.037320	0.041854	0.037330	0.033635	
680	0.025550	0.042250	0.044010	0.030293	0.040031	0.049298	0.034382	0.041024	0.036478	0.029316	
