T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001842	0.001342	0.002223	0.001299	0.001176	0.001954	0.001862	0.001919	0.002567	0.002533	
110	0.003462	0.004083	0.003687	0.003817	0.004153	0.003361	0.003852	0.004612	0.004800	0.004861	
115	0.004933	0.006462	0.005578	0.005136	0.006955	0.005515	0.005012	0.008013	0.007799	0.008575	
120	0.006627	0.009313	0.008873	0.009806	0.009689	0.008635	0.008684	0.012231	0.013771	0.012871	
125	0.010848	0.014126	0.012487	0.011222	0.016415	0.008851	0.013341	0.016453	0.021454	0.014130	
130	0.011013	0.013959	0.017732	0.019860	0.020625	0.011557	0.016161	0.017409	0.026148	0.016048	
135	0.010756	0.013429	0.023206	0.026311	0.022470	0.015436	0.019970	0.021521	0.030350	0.016463	
140	0.014378	0.013851	0.023875	0.030853	0.029336	0.018247	0.023336	0.029387	0.042253	0.019486	
145	0.018486	0.020090	0.024110	0.034978	0.037671	0.017784	0.026205	0.036868	0.049242	0.022210	
150	0.017881	0.022283	0.030705	0.043425	0.039509	0.019470	0.030664	0.053524	0.056539	0.025695	
155	0.024724	0.029157	0.033750	0.041881	0.046795	0.020682	0.036724	0.065600	0.068364	0.026023	
160	0.026073	0.032257	0.038888	0.050270	0.055142	0.024457	0.045730	0.070314	0.072336	0.030893	
165	0.032580	0.035969	0.044971	0.060812	0.061560	0.028363	0.052860	0.074731	0.080829	0.038178	
170	0.034809	0.038298	0.043338	0.064697	0.069277	0.031107	0.062899	0.077962	0.090506	0.039583	
175	0.038868	0.037246	0.045091	0.070837	0.072583	0.034806	0.066083	0.083864	0.100923	0.040844	
180	0.043946	0.040059	0.049178	0.078173	0.076556	0.038103	0.066418	0.090229	0.104254	0.047153	
185	0.049161	0.040812	0.052452	0.083301	0.082332	0.041164	0.065040	0.092073	0.114408	0.046602	
190	0.053411	0.041972	0.057908	0.090163	0.089670	0.046922	0.067718	0.087057	0.123513	0.052026	
195	0.062660	0.043400	0.067093	0.095531	0.092048	0.049035	0.069985	0.088325	0.123776	0.055589	
200	0.071652	0.041427	0.072699	0.099080	0.096132	0.051712	0.075848	0.090519	0.127641	0.062498	
205	0.074014	0.046155	0.074378	0.102713	0.095510	0.057033	0.073467	0.095085	0.132026	0.059583	
210	0.082248	0.050022	0.084528	0.106578	0.095531	0.060107	0.071206	0.099416	0.132532	0.056830	
215	0.085563	0.055791	0.094557	0.108234	0.096904	0.059134	0.071355	0.102657	0.135328	0.058951	
220	0.091778	0.058616	0.097984	0.110604	0.098432	0.060555	0.075483	0.107061	0.137855	0.060493	
225	0.094531	0.066187	0.100917	0.108722	0.100655	0.063051	0.075919	0.111334	0.132611	0.058511	
230	0.103418	0.068807	0.101907	0.109027	0.103511	0.062870	0.082604	0.116254	0.130065	0.060283	
235	0.101785	0.070697	0.105381	0.108672	0.108230	0.067594	0.086759	0.119602	0.136338	0.061904	
240	0.102788	0.075613	0.105879	0.111858	0.111069	0.068598	0.090119	0.122349	0.139427	0.066818	
245	0.114950	0.076909	0.109559	0.111924	0.112712	0.072370	0.091125	0.124376	0.142024	0.067672	
250	0.116159	0.078102	0.104552	0.115719	0.114638	0.075450	0.099130	0.127671	0.142593	0.068712	
255	0.125032	0.080434	0.108107	0.115046	0.121593	0.076134	0.099484	0.129094	0.144610	0.071009	
260	0.127119	0.087383	0.107858	0.108629	0.123237	0.079836	0.101310	0.130484	0.147394	0.073367	
265	0.128054	0.088570	0.109203	0.110907	0.126129	0.082470	0.108571	0.134236	0.144729	0.077423	
270	0.136983	0.092806	0.106890	0.114297	0.130372	0.085950	0.110517	0.134978	0.151150	0.080565	
275	0.144936	0.089836	0.115429	0.115172	0.136018	0.084465	0.115173	0.137895	0.157012	0.082533	
280	0.145568	0.092604	0.116549	0.117632	0.140158	0.089197	0.114683	0.139799	0.159001	0.084332	
285	0.147127	0.095466	0.115304	0.118438	0.143990	0.087316	0.111748	0.140208	0.163424	0.089268	
290	0.146459	0.095483	0.116912	0.118639	0.146548	0.088390	0.116515	0.142976	0.159644	0.092626	
295	0.146234	0.098784	0.117750	0.123649	0.149988	0.091694	0.117142	0.142715	0.166387	0.093594	
300	0.151961	0.104178	0.118858	0.121752	0.150725	0.090951	0.118133	0.146423	0.164339	0.095677	
305	0.153020	0.113891	0.115495	0.120613	0.150286	0.094955	0.122862	0.147006	0.167308	0.097396	
310	0.157375	0.120957	0.116466	0.118907	0.152162	0.099708	0.126876	0.142588	0.165545	0.099820	
315	0.161556	0.129241	0.118167	0.117709	0.152418	0.103902	0.124917	0.143231	0.158245	0.104740	
320	0.164079	0.123023	0.116322	0.115498	0.152847	0.108617	0.122505	0.146361	0.158116	0.105053	
325	0.169584	0.123814	0.112066	0.116676	0.155576	0.111442	0.121786	0.143140	0.158436	0.113092	
330	0.166950	0.120494	0.111091	0.119724	0.155018	0.112725	0.130081	0.144512	0.158456	0.113946	
335	0.172324	0.116472	0.111333	0.118900	0.155254	0.104310	0.134041	0.144092	0.159124	0.115904	
340	0.171392	0.122111	0.109950	0.124679	0.155304	0.101583	0.133339	0.148138	0.159278	0.120690	
345	0.170658	0.120653	0.106663	0.125882	0.150763	0.101212	0.128068	0.145618	0.156510	0.120183	
350	0.175149	0.121356	0.106745	0.129442	0.144958	0.104628	0.125857	0.142994	0.161703	0.115563	
355	0.178393	0.119267	0.105869	0.130073	0.142571	0.104006	0.122492	0.139310	0.158651	0.119532	
360	0.180232	0.123216	0.110741	0.126172	0.141714	0.106199	0.127430	0.139127	0.158694	0.120052	
365	0.179531	0.123134	0.113558	0.129932	0.139292	0.108296	0.128000	0.147470	0.162582	0.118325	
370	0.175298	0.128135	0.117571	0.128622	0.136295	0.107713	0.123322	0.147313	0.157239	0.117024	
375	0.176802	0.128393	0.117615	0.130633	0.136472	0.107394	0.120670	0.147488	0.157757	0.107957	
380	0.177042	0.128604	0.117473	0.126738	0.137711	0.107071	0.116840	0.143985	0.159370	0.112707	
385	0.183464	0.128087	0.121127	0.130333	0.138990	0.104444	0.117342	0.138568	0.162221	0.114340	
390	0.180150	0.135529	0.126248	0.129676	0.139495	0.107994	0.117532	0.138494	0.162484	0.110440	
395	0.183501	0.138712	0.128143	0.124950	0.142506	0.109569	0.120309	0.136802	0.169415	0.108707	
400	0.184265	0.140113	0.122571	0.133244	0.145769	0.111670	0.118939	0.143036	0.167728	0.104177	
405	0.181773	0.141079	0.124090	0.138907	0.148035	0.108318	0.119035	0.143588	0.163063	0.109833	
410	0.177586	0.150064	0.123820	0.138986	0.145574	0.110227	0.120172	0.143964	0.165618	0.106514	
415	0.174120	0.148158	0.124049	0.138847	0.146090	0.115034	0.122590	0.150069	0.171216	0.106695	
420	0.179453	0.152284	0.121452	0.139699	0.145704	0.116017	0.123162	0.146168	0.173644	0.111980	
425	0.184170	0.153864	0.124325	0.146004	0.143333	0.116545	0.126470	0.152617	0.170876	0.117176	
430	0.181957	0.150256	0.127175	0.145018	0.146808	0.120040	0.126887	0.158277	0.171778	0.119634	
435	0.181110	0.153094	0.126594	0.151291	0.148952	0.119556	0.125797	0.160943	0.178493	0.120054	
440	0.177924	0.150864	0.121902	0.146055	0.150958	0.118630	0.126128	0.150053	0.178152	0.127736	
445	0.180917	0.154307	0.122648	0.141223	0.150882	0.120549	0.129093	0.148734	0.179449	0.128688	
450	0.181656	0.155410	0.118932	0.138229	0.153213	0.122594	0.131326	0.148994	0.182887	0.130574	
455	0.174291	0.155958	0.116764	0.139905	0.152974	0.125811	0.129680	0.146564	0.181901	0.129794	
460	0.172300	0.158531	0.119873	0.141099	0.155003	0.132105	0.127121	0.148128	0.186840	0.128705	
465	0.176764	0.158024	0.116586	0.143031	0.157558	0.125162	0.127699	0.145755	0.184524	0.130517	
470	0.181568	0.152698	0.116952	0.143122	0.156600	0.128391	0.128295	0.145107	0.186333	0.131739	
475	0.182716	0.156975	0.118689	0.142303	0.154550	0.125426	0.133761	0.146015	0.187670	0.131742	
480	0.178966	0.153097	0.120404	0.139169	0.156162	0.130382	0.141203	0.151093	0.187923	0.133862	
485	0.179111	0.149491	0.121229	0.137191	0.155925	0.133339	0.140185	0.146306	0.183493	0.137168	
490	0.178178	0.151189	0.119750	0.129038	0.154986	0.136674	0.144207	0.148476	0.186699	0.134821	
495	0.178845	0.149589	0.119843	0.130585	0.153256	0.133342	0.142069	0.151818	0.183205	0.133561	
500	0.182260	0.148727	0.122468	0.133407	0.149286	0.135413	0.135708	0.149362	0.177988	0.139587	
505	0.178078	0.149142	0.123296	0.133684	0.150174	0.138014	0.137392	0.155055	0.177553	0.140084	
510	0.172056	0.148282	0.124221	0.135268	0.145511	0.136430	0.137238	0.150579	0.176302	0.140450	
515	0.174494	0.148189	0.124993	0.130539	0.146264	0.136549	0.142166	0.148601	0.176654	0.143951	
520	0.166805	0.154663	0.126152	0.137176	0.144376	0.139889	0.141118	0.142024	0.174508	0.148581	
525	0.165859	0.155645	0.127724	0.137649	0.145567	0.134744	0.142473	0.141035	0.174910	0.148902	
530	0.157242	0.159844	0.124750	0.138679	0.146794	0.134526	0.144929	0.132815	0.179929	0.147462	
535	0.158537	0.165122	0.124832	0.140957	0.142289	0.136706	0.146897	0.136305	0.179880	0.139935	
540	0.159254	0.167855	0.132984	0.136750	0.134187	0.141785	0.143935	0.139139	0.181543	0.138306	
545	0.160351	0.164258	0.135424	0.131471	0.136423	0.139503	0.144281	0.144681	0.185179	0.140630	
550	0.161813	0.160387	0.138969	0.127421	0.132261	0.135826	0.143914	0.146677	0.185445	0.142856	
555	0.161358	0.163496	0.141824	0.128222	0.135662	0.141401	0.148972	0.147905	0.184584	0.146740	
560	0.162841	0.168327	0.145156	0.130993	0.136843	0.145166	0.148879	0.143837	0.184530	0.154572	
565	0.157555	0.169014	0.143798	0.131351	0.134772	0.146695	0.152583	0.150132	0.179855	0.156379	
570	0.155191	0.169492	0.142640	0.136636	0.135398	0.146238	0.151599	0.152598	0.171543	0.156834	
575	0.159701	0.171487	0.146972	0.135907	0.130064	0.148325	0.148478	0.149131	0.169457	0.154214	
580	0.158796	0.173578	0.147408	0.137853	0.132641	0.147697	0.147381	0.149804	0.166738	0.155835	
585	0.158094	0.172502	0.143446	0.139860	0.133472	0.153381	0.148477	0.153173	0.166323	0.156485	
590	0.160327	0.175900	0.145286	0.140358	0.135430	0.156248	0.153618	0.152307	0.167097	0.154435	
595	0.158349	0.173061	0.147242	0.135149	0.131057	0.160123	0.151932	0.158638	0.165497	0.147711	
600	0.160813	0.171792	0.149941	0.132730	0.134532	0.160429	0.152509	0.163677	0.166253	0.149501	
605	0.165774	0.174471	0.151226	0.128596	0.132943	0.158498	0.153305	0.164810	0.162011	0.151795	
610	0.172627	0.170480	0.154092	0.133517	0.137741	0.157275	0.151798	0.161197	0.161409	0.155378	
615	0.175160	0.172355	0.154645	0.133881	0.136216	0.158428	0.148158	0.157304	0.156615	0.160258	
620	0.171298	0.171001	0.152875	0.136972	0.135168	0.158918	0.147365	0.160294	0.159349	0.163650	
625	0.167119	0.172655	0.153524	0.137489	0.135609	0.160876	0.147857	0.166883	0.163937	0.159449	
630	0.172454	0.173672	0.153069	0.141374	0.131094	0.158004	0.149148	0.166630	0.162526	0.163521	
635	0.173634	0.171111	0.154776	0.139678	0.134249	0.158924	0.146662	0.161663	0.162118	0.159319	
640	0.174652	0.174493	0.153886	0.141875	0.129048	0.158117	0.148460	0.164511	0.161929	0.154872	
645	0.173607	0.176313	0.145753	0.140043	0.130656	0.157796	0.152325	0.163023	0.159742	0.156874	
650	0.175609	0.171647	0.150056	0.139252	0.132929	0.159885	0.155962	0.164519	0.159959	0.161214	
655	0.170701	0.171424	0.153989	0.142377	0.134045	0.158483	0.152677	0.166905	0.160165	0.159032	
660	0.165033	0.172213	0.155033	0.147554	0.140942	0.161965	0.144834	0.172984	0.159092	0.153392	
665	0.165217	0.175304	0.152609	0.152035	0.139970	0.165069	0.144465	0.170795	0.164854	0.150256	
670	0.165469	0.168692	0.152056	0.155885	0.142605	0.165888	0.144124	0.173309	0.167132	0.152340	
675	0.170513	0.169584	0.154989	0.150269	0.144149	0.174095	0.147722	0.165536	0.169031	0.156828	
680	0.174344	0.165992	0.154715	0.153171	0.144808	0.166562	0.150308	0.167252	0.171012	0.155697	
