T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.110526	0.088766	0.086608	0.087558	0.127128	0.090454	0.112480	0.097931	0.087543	0.106052	
10	0.221352	0.192639	0.195116	0.200550	0.223476	0.211620	0.227986	0.205099	0.214720	0.193736	
15	0.291277	0.276516	0.308408	0.278344	0.310367	0.250412	0.308993	0.248303	0.280819	0.256234	
20	0.387774	0.373580	0.376995	0.463901	0.404135	0.338727	0.371975	0.350163	0.404003	0.320915	
25	0.460340	0.437746	0.461736	0.547303	0.473752	0.412212	0.447888	0.451563	0.514701	0.366695	
30	0.529904	0.475119	0.570733	0.579653	0.541618	0.476703	0.507268	0.517443	0.610090	0.427073	
35	0.589035	0.519041	0.631494	0.613054	0.608885	0.566672	0.530168	0.572793	0.673026	0.525193	
40	0.627926	0.580597	0.665520	0.662326	0.679139	0.654658	0.558544	0.634808	0.715487	0.606098	
45	0.652730	0.641697	0.696473	0.716995	0.728579	0.713996	0.594274	0.711754	0.747610	0.648360	
50	0.679433	0.700724	0.750928	0.761578	0.758007	0.745135	0.640712	0.773171	0.772643	0.682681	
55	0.716247	0.747895	0.792271	0.802919	0.780367	0.765711	0.691865	0.822835	0.791373	0.706725	
60	0.757428	0.782140	0.826164	0.828795	0.794810	0.779072	0.738399	0.841090	0.809017	0.736725	
65	0.790932	0.808222	0.845441	0.844284	0.811234	0.794706	0.769768	0.858236	0.827314	0.764161	
70	0.818912	0.833818	0.857064	0.849392	0.821941	0.805092	0.791440	0.866235	0.840043	0.788087	
75	0.841936	0.847632	0.863669	0.859720	0.829253	0.817820	0.811251	0.869226	0.850350	0.813492	
80	0.859355	0.852635	0.872978	0.863014	0.840550	0.827982	0.830516	0.867007	0.855242	0.821685	
85	0.867421	0.853096	0.877242	0.865929	0.852623	0.834845	0.838009	0.868715	0.860016	0.833803	
90	0.866236	0.856860	0.877217	0.865889	0.857606	0.841389	0.838983	0.869734	0.857924	0.840630	
95	0.872360	0.860485	0.865465	0.861872	0.858086	0.845349	0.846831	0.869669	0.860358	0.845577	
100	0.874847	0.862942	0.867892	0.866132	0.862063	0.847505	0.858106	0.864376	0.863453	0.850173	
105	0.875937	0.867854	0.870342	0.864372	0.863074	0.849586	0.860126	0.866367	0.860640	0.854695	
110	0.871623	0.865050	0.874162	0.863111	0.863859	0.848240	0.863262	0.867806	0.863663	0.857134	
115	0.870891	0.861359	0.869155	0.860327	0.858529	0.850230	0.861419	0.865323	0.859489	0.856000	
120	0.866523	0.856292	0.858727	0.859094	0.854808	0.845889	0.852534	0.858281	0.860202	0.851682	
125	0.860041	0.854734	0.854702	0.852440	0.850230	0.841667	0.853668	0.851392	0.854875	0.853642	
130	0.850601	0.849465	0.848672	0.851382	0.845638	0.832247	0.840183	0.848298	0.849668	0.848832	
135	0.844267	0.841099	0.841734	0.846565	0.837551	0.824609	0.837523	0.841975	0.842114	0.842622	
140	0.836603	0.837549	0.831418	0.838838	0.832367	0.815072	0.828217	0.835077	0.835647	0.836268	
145	0.829190	0.834690	0.818626	0.833045	0.825579	0.811822	0.819708	0.830889	0.827359	0.829719	
150	0.823032	0.827129	0.805478	0.818737	0.817310	0.801854	0.815115	0.826214	0.820148	0.824220	
155	0.815088	0.821367	0.798305	0.807462	0.807890	0.791162	0.810945	0.816832	0.808585	0.814966	
160	0.800311	0.809630	0.784466	0.794407	0.802273	0.777949	0.798309	0.804046	0.795064	0.804200	
165	0.795391	0.797503	0.774846	0.784369	0.791377	0.765260	0.784829	0.797920	0.787072	0.795303	
