R	z	x	u	grp_fit	
0.000000	0.989899	0.000000	0.000000	0.010101	
0.010000	0.980000	0.000000	0.000000	0.020000	
0.020000	0.970101	0.000000	0.000000	0.029899	
0.030000	0.960202	0.000000	0.000000	0.039798	
0.040000	0.950303	0.000000	0.000000	0.049697	
0.050000	0.940404	0.000000	0.000000	0.059596	
0.060000	0.930505	0.000000	0.000000	0.069495	
0.070000	0.920606	0.000000	0.000000	0.079394	
0.080000	0.910707	0.000000	0.000000	0.089293	
0.090000	0.900808	0.000000	0.000000	0.099192	
0.100000	0.890909	0.000000	0.000000	0.109091	
0.110000	0.881010	0.000000	0.000000	0.118990	
0.120000	0.871111	0.000000	0.000000	0.128889	
0.130000	0.861212	0.000000	0.000000	0.138788	
0.140000	0.851313	0.000000	0.000000	0.148687	
0.150000	0.841414	0.000000	0.000000	0.158586	
0.160000	0.831515	0.000000	0.000000	0.168485	
0.170000	0.821616	0.000000	0.000000	0.178384	
0.180000	0.811717	0.000000	0.000000	0.188283	
0.190000	0.801818	0.000000	0.000000	0.198182	
0.200000	0.791919	0.000000	0.000000	0.208081	
0.210000	0.782020	0.000000	0.000000	0.217980	
0.220000	0.772121	0.000000	0.000000	0.227879	
0.230000	0.762222	0.000000	0.000000	0.237778	
0.240000	0.752323	0.000000	0.000000	0.247677	
0.250000	0.742424	0.000000	0.000000	0.257576	
0.260000	0.732525	0.000000	0.000000	0.267475	
0.270000	0.722626	0.000000	0.000000	0.277374	
0.280000	0.712727	0.000000	0.000000	0.287273	
0.290000	0.702828	0.000000	0.000000	0.297172	
0.300000	0.692929	0.000000	0.000000	0.307071	
0.310000	0.683030	0.000000	0.000000	0.316970	
0.320000	0.673131	0.000000	0.000000	0.326869	
0.330000	0.663232	0.000000	0.000000	0.336768	
0.340000	0.653333	0.000000	0.000000	0.346667	
0.350000	0.643434	0.000000	0.000000	0.356566	
0.360000	0.633535	0.000000	0.000000	0.366465	
0.370000	0.623636	0.000000	0.000000	0.376364	
0.380000	0.613737	0.000000	0.000000	0.386263	
0.390000	0.603838	0.000000	0.000000	0.396162	
0.400000	0.593939	0.000000	0.000000	0.406061	
0.410000	0.584040	0.000000	0.000000	0.415960	
0.420000	0.574141	0.000000	0.000000	0.425859	
0.430000	0.564242	0.000000	0.000000	0.435758	
0.440000	0.554343	0.000000	0.000000	0.445657	
0.450000	0.544444	0.000000	0.000000	0.455556	
0.460000	0.534545	0.000000	0.000000	0.465455	
0.470000	0.524646	0.000000	0.000000	0.475354	
0.480000	0.514747	0.000000	0.000000	0.485253	
0.490000	0.504848	0.000000	0.000000	0.495152	
0.500000	0.494949	0.000000	0.000000	0.505051	
0.510000	0.485051	0.000000	0.000000	0.514949	
0.520000	0.475152	0.000000	0.000000	0.524848	
0.530000	0.465253	0.000000	0.000000	0.534747	
0.540000	0.455354	0.000000	0.000000	0.544646	
0.550000	0.445455	0.000000	0.000000	0.554545	
0.560000	0.435556	0.000000	0.000000	0.564444	
0.570000	0.425657	0.000000	0.000000	0.574343	
0.580000	0.415758	0.000000	0.000000	0.584242	
0.590000	0.405859	0.000000	0.000000	0.594141	
0.600000	0.395960	0.000000	0.000000	0.604040	
0.610000	0.386061	0.000000	0.000000	0.613939	
0.620000	0.376162	0.000000	0.000000	0.623838	
0.630000	0.366263	0.000000	0.000000	0.633737	
0.640000	0.356364	0.000000	0.000000	0.643636	
0.650000	0.346465	0.000000	0.000000	0.653535	
0.660000	0.336566	0.000000	0.000000	0.663434	
0.670000	0.326667	0.000000	0.000000	0.673333	
0.680000	0.316768	0.000000	0.000000	0.683232	
0.690000	0.306869	0.000000	0.000000	0.693131	
0.700000	0.296970	0.000000	0.000000	0.703030	
