T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.050598	0.051360	0.040581	0.045029	0.044953	0.047292	0.044168	0.033546	0.052763	0.065081	
10	0.196405	0.146943	0.174857	0.199405	0.182044	0.194590	0.189192	0.273339	0.167865	0.183012	
15	0.254266	0.228768	0.252609	0.234011	0.247950	0.268366	0.238166	0.371585	0.285725	0.239284	
20	0.419413	0.333965	0.317784	0.284880	0.317660	0.349061	0.317894	0.390804	0.338259	0.343861	
25	0.597610	0.396656	0.409905	0.358350	0.393626	0.418721	0.429266	0.419055	0.363741	0.429686	
30	0.664680	0.471980	0.505554	0.410760	0.460301	0.467734	0.502205	0.471447	0.396353	0.468438	
35	0.700529	0.542067	0.566871	0.453598	0.519338	0.498790	0.541823	0.533471	0.443392	0.499953	
40	0.720938	0.599875	0.596377	0.510130	0.571240	0.531376	0.573423	0.586872	0.487454	0.528553	
45	0.734814	0.647738	0.612282	0.570050	0.612725	0.566952	0.601519	0.628627	0.524264	0.566282	
50	0.741390	0.690392	0.623501	0.620031	0.653410	0.604157	0.622918	0.651986	0.562516	0.600889	
55	0.746807	0.711368	0.644113	0.660329	0.678701	0.630123	0.644856	0.665095	0.603453	0.626869	
60	0.752325	0.728719	0.665062	0.691907	0.704254	0.652792	0.675150	0.683835	0.638471	0.655123	
65	0.761078	0.742543	0.680873	0.716980	0.727474	0.673154	0.702179	0.699915	0.664565	0.678161	
70	0.766217	0.748373	0.705328	0.731274	0.748034	0.690432	0.726822	0.711332	0.687721	0.692191	
75	0.768722	0.757212	0.718307	0.744824	0.764741	0.702467	0.748567	0.724945	0.707457	0.712007	
80	0.780423	0.759333	0.736395	0.755633	0.777675	0.714812	0.758016	0.741845	0.723386	0.730699	
85	0.783642	0.763137	0.747748	0.766204	0.779225	0.723205	0.769917	0.756095	0.734759	0.741110	
90	0.785124	0.770784	0.760235	0.769122	0.782642	0.732045	0.769300	0.762789	0.738867	0.749620	
95	0.789281	0.775565	0.765854	0.771985	0.783274	0.744544	0.779846	0.768714	0.747548	0.760998	
100	0.788771	0.777327	0.772483	0.778937	0.785942	0.754366	0.783167	0.774720	0.756820	0.762657	
105	0.792232	0.778734	0.776915	0.780703	0.788350	0.758123	0.786527	0.781829	0.761543	0.767722	
110	0.791298	0.783300	0.784209	0.777790	0.787063	0.760104	0.786751	0.779730	0.764905	0.774282	
115	0.790332	0.785762	0.782520	0.779378	0.789350	0.768662	0.788072	0.783916	0.765982	0.780149	
120	0.787925	0.788922	0.783267	0.781619	0.795511	0.769163	0.795357	0.781248	0.768846	0.780554	
125	0.784090	0.789868	0.782579	0.783241	0.802387	0.770110	0.797756	0.781030	0.773592	0.780844	
130	0.784770	0.791134	0.785730	0.788179	0.805588	0.774357	0.792834	0.781326	0.776268	0.781560	
135	0.782743	0.792481	0.786196	0.788150	0.798017	0.778915	0.791140	0.786976	0.777606	0.786178	
140	0.783360	0.794201	0.783506	0.791812	0.802748	0.779435	0.798531	0.786110	0.779169	0.786885	
145	0.783785	0.793130	0.784792	0.790006	0.800263	0.783687	0.794889	0.783455	0.783820	0.786927	
150	0.783400	0.791608	0.787321	0.789916	0.797422	0.786867	0.794397	0.783364	0.779234	0.791237	
155	0.781883	0.793652	0.788353	0.791897	0.799758	0.787982	0.795047	0.785988	0.782079	0.790321	
160	0.785155	0.794002	0.787774	0.794415	0.800554	0.788540	0.795636	0.783382	0.784413	0.787031	
165	0.784222	0.793485	0.791026	0.794754	0.799967	0.789811	0.795363	0.785175	0.783038	0.790055	
170	0.785492	0.791785	0.795929	0.792928	0.797453	0.791847	0.790846	0.784827	0.781735	0.789488	
175	0.786416	0.791930	0.794722	0.792134	0.800912	0.790849	0.790920	0.783178	0.780775	0.791744	
180	0.788267	0.788351	0.796389	0.792396	0.797656	0.793630	0.791448	0.783727	0.783173	0.792705	
185	0.789485	0.786735	0.798076	0.794416	0.799082	0.789627	0.794383	0.783880	0.786432	0.799486	
190	0.792331	0.790653	0.799250	0.792105	0.794716	0.785224	0.794031	0.784099	0.783300	0.800131	
195	0.797474	0.792530	0.795763	0.797865	0.795894	0.785865	0.792761	0.786694	0.783953	0.805015	
200	0.793348	0.792338	0.793697	0.797814	0.796464	0.786417	0.791420	0.784724	0.787702	0.804595	
205	0.790859	0.793206	0.793699	0.800596	0.792650	0.787560	0.793152	0.789171	0.787245	0.802513	
210	0.791227	0.791546	0.790648	0.795960	0.794361	0.789517	0.792689	0.791400	0.784679	0.801746	
215	0.792514	0.785554	0.789934	0.793883	0.795742	0.793518	0.793603	0.791266	0.786852	0.800949	
220	0.794528	0.786981	0.790481	0.792564	0.795631	0.792731	0.795144	0.791540	0.786278	0.800949	
225	0.795104	0.785259	0.788936	0.788349	0.799040	0.789927	0.793622	0.792800	0.783591	0.800505	
230	0.794350	0.789166	0.790959	0.792724	0.797375	0.788523	0.793958	0.788930	0.788370	0.798385	
235	0.793797	0.791822	0.790689	0.791502	0.798605	0.787878	0.792428	0.791868	0.788475	0.796144	
240	0.797802	0.790310	0.794494	0.793792	0.795771	0.786447	0.795002	0.790209	0.791996	0.794875	
245	0.795325	0.787878	0.794461	0.792300	0.791968	0.787973	0.796479	0.789411	0.790274	0.795433	
250	0.796361	0.787201	0.793268	0.792524	0.787113	0.783359	0.799088	0.786640	0.789142	0.791764	
255	0.794096	0.788078	0.791915	0.794026	0.790300	0.783599	0.798952	0.783417	0.790582	0.790051	
260	0.797663	0.788497	0.787395	0.793183	0.792436	0.788622	0.798854	0.784964	0.792119	0.791451	
