R	z	x	u	grp_fit
0	0.000001	0.98	0	0.019999
0.01	0.2122	0.752745	0	0.035055
0.02	0.282066	0.66806	0	0.049873
0.03	0.327095	0.608875	0	0.06403
0.04	0.359848	0.5625	0	0.077652
0.05	0.38507	0.5241	0	0.09083
0.06	0.405137	0.49123	0	0.103633
0.07	0.42143	0.462459	0	0.11611
0.08	0.434832	0.436866	0	0.128302
0.09	0.445942	0.413819	0	0.140239
0.1	0.455187	0.392864	0	0.151949
0.11	0.462892	0.373657	0	0.163451
0.12	0.469278	0.355955	0	0.174768
0.13	0.47455	0.339538	0	0.185912
0.14	0.478857	0.324245	0	0.196898
0.15	0.482317	0.309944	0	0.207739
0.16	0.485032	0.296524	0	0.218445
0.17	0.487082	0.283892	0	0.229026
0.18	0.488539	0.27197	0	0.23949
0.19	0.489461	0.260692	0	0.249846
0.2	0.489899	0.25	0	0.260101
0.21	0.489896	0.239843	0	0.270261
0.22	0.489489	0.230179	0	0.280332
0.23	0.488712	0.220969	0	0.290319
0.24	0.487594	0.212178	0	0.300228
0.25	0.48616	0.203777	0	0.310064
0.26	0.484432	0.195738	0	0.31983
0.27	0.482431	0.188038	0	0.329531
0.28	0.480174	0.180656	0	0.33917
0.29	0.477678	0.17357	0	0.348752
0.3	0.474957	0.166764	0	0.358279
0.31	0.472024	0.160221	0	0.367755
0.32	0.468891	0.153927	0	0.377183
0.33	0.465568	0.147868	0	0.386565
0.34	0.462065	0.142031	0	0.395904
0.35	0.45839	0.136406	0	0.405203
0.36	0.454553	0.130982	0	0.414465
0.37	0.45056	0.125749	0	0.423691
0.38	0.446418	0.120698	0	0.432884
0.39	0.442133	0.115821	0	0.442046
0.4	0.43771	0.111111	0	0.451178
0.41	0.433156	0.10656	0	0.460284
0.42	0.428474	0.102161	0	0.469365
0.43	0.423669	0.097909	0	0.478422
0.44	0.418745	0.093797	0	0.487458
0.45	0.413706	0.08982	0	0.496474
0.46	0.408555	0.085974	0	0.505471
0.47	0.403295	0.082252	0	0.514453
0.48	0.39793	0.078652	0	0.523419
0.49	0.392461	0.075168	0	0.532371
0.5	0.386892	0.071797	0	0.541311
0.51	0.381224	0.068535	0	0.550241
0.52	0.37546	0.065378	0	0.559162
0.53	0.369602	0.062323	0	0.568075
0.54	0.363652	0.059368	0	0.576981
0.55	0.35761	0.056508	0	0.585882
0.56	0.351479	0.053742	0	0.594779
0.57	0.34526	0.051067	0	0.603673
0.58	0.338954	0.04848	0	0.612566
0.59	0.332563	0.045978	0	0.621459
0.6	0.326086	0.043561	0	0.630353
0.61	0.319526	0.041225	0	0.639249
0.62	0.312883	0.038968	0	0.648148
0.63	0.306158	0.03679	0	0.657052
0.64	0.299351	0.034687	0	0.665962
0.65	0.292464	0.032658	0	0.674878
0.66	0.285495	0.030702	0	0.683803
0.67	0.278447	0.028817	0	0.692737
0.68	0.271319	0.027001	0	0.70168
0.69	0.264111	0.025254	0	0.710635
0.7	0.256824	0.023573	0	0.719603
