T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.011589	0.015790	0.016638	0.012928	0.010068	0.007724	0.016778	0.019741	0.016490	0.011146	
10	0.130286	0.152228	0.133933	0.140804	0.171394	0.127861	0.166650	0.166668	0.174508	0.142331	
15	0.183692	0.243287	0.198274	0.187306	0.316110	0.203536	0.234726	0.200901	0.223027	0.247960	
20	0.232422	0.277421	0.253550	0.221661	0.335263	0.243807	0.274287	0.237574	0.268620	0.293862	
25	0.275302	0.307929	0.289321	0.281094	0.352198	0.300738	0.311324	0.289915	0.334010	0.313047	
30	0.318124	0.351607	0.315646	0.349978	0.382630	0.368408	0.353902	0.336810	0.391475	0.337432	
35	0.374613	0.404703	0.349780	0.404720	0.417214	0.425391	0.397911	0.366600	0.431643	0.371467	
40	0.427825	0.458175	0.382095	0.437696	0.454475	0.469291	0.438464	0.392572	0.459376	0.414482	
45	0.465435	0.488241	0.415865	0.454368	0.487708	0.504286	0.475183	0.413754	0.493521	0.452462	
50	0.501388	0.516816	0.444127	0.475119	0.514720	0.522508	0.500980	0.433649	0.513968	0.482876	
55	0.519834	0.531024	0.475367	0.490386	0.531949	0.541095	0.534357	0.457764	0.543392	0.498833	
60	0.541271	0.547945	0.502112	0.501401	0.544688	0.549064	0.563196	0.478629	0.565249	0.515854	
65	0.554212	0.561900	0.521343	0.519105	0.558451	0.558399	0.588800	0.496498	0.571491	0.529904	
70	0.566950	0.576981	0.535958	0.539251	0.566255	0.565216	0.612219	0.509506	0.584756	0.545893	
75	0.578434	0.588783	0.547416	0.556771	0.581620	0.568773	0.620638	0.526301	0.589626	0.559625	
80	0.587431	0.594588	0.562105	0.566721	0.595436	0.574490	0.629714	0.542955	0.601070	0.577971	
85	0.594214	0.598523	0.577157	0.581261	0.599496	0.581396	0.636607	0.563868	0.612062	0.596887	
90	0.599506	0.602020	0.588889	0.584782	0.611958	0.585802	0.644997	0.578264	0.620783	0.605088	
95	0.612489	0.608548	0.596949	0.586985	0.621119	0.590147	0.651035	0.586933	0.621979	0.615103	
100	0.617127	0.617819	0.599797	0.595920	0.622488	0.595646	0.650285	0.593163	0.624933	0.631514	
105	0.619118	0.621911	0.609365	0.599949	0.627751	0.598348	0.654449	0.601588	0.626754	0.642403	
110	0.630395	0.633361	0.612198	0.605949	0.631753	0.602979	0.658852	0.606483	0.626962	0.649368	
115	0.635732	0.629726	0.615637	0.609992	0.627832	0.605344	0.656583	0.608113	0.624650	0.648086	
