T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.002054	0.001762	0.001656	0.001851	0.002167	0.002421	0.002333	0.002656	0.002053	0.002073	
110	0.007996	0.005300	0.005295	0.006279	0.005268	0.008832	0.008286	0.006804	0.006548	0.005298	
115	0.016495	0.012265	0.012213	0.013447	0.010883	0.017579	0.017666	0.014771	0.014234	0.010808	
120	0.028884	0.022974	0.023097	0.027247	0.021668	0.029952	0.033867	0.026136	0.029962	0.020931	
125	0.049494	0.036064	0.038661	0.045628	0.035608	0.047658	0.054867	0.041985	0.051953	0.035571	
130	0.073762	0.055825	0.059531	0.067757	0.055842	0.070408	0.079092	0.062871	0.072707	0.052700	
135	0.091769	0.077639	0.079155	0.088023	0.076707	0.095380	0.109260	0.081910	0.088603	0.069791	
140	0.107312	0.096845	0.095793	0.101254	0.092412	0.112288	0.129243	0.098377	0.103356	0.084261	
145	0.116140	0.107137	0.108502	0.109171	0.105621	0.119862	0.142880	0.109902	0.113191	0.095934	
150	0.121044	0.114692	0.116112	0.118517	0.118226	0.129990	0.152279	0.118027	0.121138	0.104277	
155	0.122074	0.120354	0.121312	0.123531	0.127103	0.136429	0.158617	0.121829	0.127256	0.112481	
160	0.127741	0.126577	0.125634	0.129226	0.133865	0.142090	0.162900	0.129997	0.132391	0.121323	
165	0.131400	0.132680	0.129278	0.136841	0.140773	0.146272	0.170146	0.135032	0.138853	0.128560	
170	0.136718	0.138244	0.133417	0.142692	0.150924	0.150088	0.177318	0.141847	0.144890	0.135349	
175	0.138104	0.142292	0.137452	0.148588	0.158040	0.154061	0.182064	0.147235	0.149685	0.143819	
180	0.141630	0.147342	0.141849	0.150841	0.164832	0.157038	0.185301	0.146063	0.152873	0.151607	
185	0.143096	0.152529	0.146830	0.156676	0.169301	0.162145	0.187237	0.153016	0.153910	0.158496	
190	0.147992	0.159445	0.151938	0.160309	0.174582	0.163070	0.192803	0.156046	0.157702	0.170089	
195	0.148595	0.165940	0.154551	0.166305	0.179041	0.167640	0.197544	0.158459	0.162972	0.181209	
200	0.150503	0.170699	0.155858	0.170912	0.181781	0.169594	0.200295	0.162827	0.165503	0.187919	
205	0.154179	0.171895	0.159214	0.173612	0.186024	0.172654	0.204321	0.166624	0.168803	0.195878	
210	0.157731	0.178620	0.165460	0.178447	0.189191	0.173516	0.207541	0.171677	0.172124	0.203790	
215	0.160649	0.181382	0.169514	0.183420	0.194022	0.174141	0.210507	0.172045	0.173863	0.212699	
220	0.163889	0.183152	0.175567	0.187146	0.197131	0.178733	0.213031	0.175493	0.179244	0.221607	
225	0.168197	0.186949	0.182310	0.190158	0.203516	0.183658	0.217483	0.182344	0.186774	0.226276	
230	0.170860	0.192611	0.186605	0.195822	0.204489	0.186908	0.217933	0.186292	0.190843	0.234088	
235	0.176887	0.194288	0.188733	0.198409	0.208891	0.190680	0.221303	0.190478	0.194330	0.240070	
240	0.180219	0.198072	0.192024	0.203955	0.210202	0.190881	0.224284	0.194468	0.198066	0.246896	
245	0.183206	0.203030	0.196076	0.207065	0.214717	0.194912	0.227636	0.199088	0.200015	0.250417	
250	0.184567	0.208547	0.198212	0.211163	0.218536	0.197477	0.228398	0.200659	0.204373	0.254992	
255	0.188310	0.214566	0.201090	0.215946	0.219189	0.197491	0.230127	0.206294	0.207573	0.258688	
260	0.190575	0.215932	0.206670	0.217823	0.220925	0.201209	0.230851	0.212373	0.215319	0.263310	
265	0.193338	0.219382	0.211948	0.224589	0.224876	0.206526	0.232636	0.212192	0.218322	0.265724	
270	0.195768	0.221281	0.213461	0.228909	0.226773	0.208864	0.234683	0.216341	0.223610	0.265836	
275	0.197926	0.223006	0.216997	0.231370	0.229199	0.213157	0.238559	0.219928	0.228005	0.269503	
280	0.205689	0.225782	0.220166	0.233450	0.233435	0.214475	0.240087	0.222741	0.231560	0.269860	
285	0.208983	0.229473	0.221155	0.235683	0.241169	0.222266	0.239237	0.230093	0.233757	0.273080	
290	0.208767	0.232844	0.224666	0.236227	0.242611	0.225188	0.242345	0.235991	0.236290	0.275865	
295	0.208718	0.234730	0.225465	0.239622	0.242183	0.229237	0.248112	0.242246	0.242993	0.278067	
300	0.212596	0.239123	0.228574	0.239741	0.241609	0.233174	0.250258	0.244659	0.243061	0.278816	
305	0.217084	0.241610	0.229701	0.241965	0.243367	0.240268	0.255127	0.250725	0.242944	0.283106	
310	0.218609	0.242991	0.235146	0.245769	0.247720	0.244053	0.252435	0.254195	0.245536	0.284596	
315	0.221289	0.242631	0.242217	0.248216	0.250160	0.246105	0.255834	0.256095	0.247349	0.284550	
320	0.223563	0.244013	0.248536	0.249970	0.249397	0.250162	0.257066	0.260183	0.248598	0.288704	
325	0.225937	0.246532	0.250114	0.250774	0.252853	0.254118	0.261784	0.263505	0.251570	0.292261	
330	0.231257	0.246955	0.253871	0.255484	0.253169	0.256729	0.258973	0.268074	0.251598	0.292166	
335	0.235965	0.248724	0.257270	0.258141	0.254691	0.258314	0.257811	0.266868	0.251457	0.293544	
340	0.236350	0.252101	0.262442	0.258944	0.258162	0.259804	0.261036	0.269719	0.256115	0.297129	
345	0.240905	0.253749	0.264618	0.259346	0.264388	0.263329	0.262869	0.273460	0.261777	0.299070	
350	0.243240	0.256131	0.266753	0.259865	0.264516	0.262897	0.268727	0.274121	0.262938	0.300008	
355	0.245006	0.257768	0.267238	0.261183	0.266030	0.260671	0.271074	0.276325	0.263925	0.300704	
360	0.248486	0.259302	0.270792	0.262092	0.273943	0.261665	0.272185	0.276096	0.268039	0.301280	
365	0.253385	0.260105	0.272912	0.262889	0.272228	0.263194	0.274420	0.279683	0.267693	0.303720	
370	0.255869	0.262379	0.276122	0.263775	0.273029	0.264169	0.278001	0.279267	0.267258	0.302386	
375	0.257405	0.263835	0.280998	0.262341	0.275715	0.264266	0.281041	0.277142	0.265900	0.305482	
380	0.256652	0.266340	0.279522	0.267619	0.277122	0.268097	0.282221	0.280535	0.267527	0.301873	
385	0.258538	0.269839	0.283486	0.271814	0.278757	0.269254	0.281966	0.285364	0.269125	0.299195	
390	0.260114	0.271219	0.282331	0.271273	0.281783	0.271583	0.285671	0.286144	0.273869	0.303028	
395	0.261388	0.273030	0.282411	0.272440	0.286210	0.271195	0.284173	0.286805	0.272795	0.305799	
400	0.261691	0.276899	0.281551	0.273252	0.291836	0.270569	0.286447	0.285783	0.272131	0.308876	
405	0.262230	0.278494	0.282232	0.274724	0.290572	0.273539	0.288263	0.287044	0.274655	0.312383	
410	0.264161	0.279871	0.281656	0.280015	0.292462	0.274302	0.289784	0.288502	0.273948	0.311523	
415	0.264553	0.279894	0.282267	0.283690	0.296829	0.277942	0.292280	0.285240	0.274368	0.312478	
420	0.266443	0.276884	0.284300	0.287189	0.303107	0.278085	0.296411	0.287380	0.277027	0.314420	
425	0.263652	0.276059	0.285664	0.288406	0.304376	0.279238	0.294077	0.287895	0.280102	0.316588	
430	0.265632	0.278479	0.286877	0.290785	0.309297	0.282359	0.295079	0.289026	0.277588	0.316918	
435	0.267271	0.282550	0.287934	0.296679	0.309574	0.285195	0.300399	0.290562	0.281354	0.316642	
440	0.266079	0.284042	0.286727	0.296793	0.313657	0.287787	0.298626	0.293382	0.282703	0.317633	
445	0.269101	0.288025	0.284436	0.300644	0.314620	0.290099	0.301657	0.293759	0.284326	0.316973	
450	0.273061	0.290589	0.283567	0.299221	0.314258	0.294294	0.303830	0.294323	0.285847	0.316049	
455	0.275104	0.295213	0.282894	0.297660	0.317200	0.296599	0.305511	0.293904	0.287542	0.312830	
460	0.277369	0.294616	0.285187	0.299260	0.316766	0.296271	0.305310	0.295465	0.289562	0.311353	
465	0.278173	0.294715	0.289837	0.300688	0.319563	0.299303	0.302484	0.294066	0.293655	0.310400	
470	0.277832	0.295569	0.288582	0.301827	0.322077	0.300041	0.300481	0.292531	0.294725	0.314231	
475	0.283001	0.295627	0.287790	0.303458	0.325528	0.299252	0.302354	0.292123	0.298874	0.311377	
480	0.283014	0.297050	0.293286	0.305613	0.327037	0.302292	0.304847	0.299457	0.298574	0.313377	
485	0.286154	0.297482	0.295417	0.305719	0.330542	0.301646	0.303931	0.299879	0.300837	0.315766	
490	0.286028	0.296887	0.296403	0.311584	0.325370	0.301887	0.305585	0.301459	0.302021	0.317724	
495	0.289264	0.298298	0.298168	0.309990	0.325224	0.303078	0.304536	0.301275	0.301874	0.319868	
500	0.295622	0.301210	0.300377	0.311563	0.327572	0.302537	0.304303	0.300320	0.304399	0.321540	
505	0.294210	0.303279	0.301800	0.312764	0.330350	0.303926	0.306843	0.303529	0.300302	0.321512	
510	0.293925	0.299417	0.304225	0.313573	0.332868	0.306734	0.304284	0.302138	0.305585	0.318906	
515	0.295090	0.303990	0.307249	0.309983	0.333607	0.304652	0.302313	0.300446	0.306868	0.319137	
520	0.292966	0.302746	0.310327	0.315192	0.336317	0.306865	0.303792	0.300282	0.308712	0.322051	
525	0.298992	0.305577	0.314507	0.316866	0.330714	0.306456	0.304617	0.302071	0.311909	0.323002	
530	0.303200	0.305224	0.313497	0.320362	0.329356	0.305447	0.303942	0.304621	0.315635	0.322705	
535	0.303372	0.305602	0.315492	0.322154	0.330823	0.306553	0.304723	0.305606	0.313411	0.321234	
540	0.303829	0.304771	0.315577	0.321735	0.327538	0.309976	0.305731	0.305517	0.314565	0.321466	
545	0.305563	0.306246	0.318225	0.322866	0.326984	0.311408	0.308610	0.307508	0.316562	0.322772	
550	0.306500	0.308408	0.318831	0.325581	0.333703	0.311661	0.309907	0.306022	0.316047	0.325950	
555	0.308855	0.306842	0.319845	0.328828	0.335360	0.311573	0.306353	0.308679	0.319153	0.325968	
560	0.311849	0.307413	0.322862	0.324993	0.338139	0.312641	0.310974	0.308681	0.320221	0.327012	
565	0.309989	0.307448	0.323419	0.325223	0.336758	0.312075	0.308241	0.313207	0.321041	0.328679	
570	0.310396	0.304208	0.322789	0.326417	0.334519	0.309734	0.307866	0.313748	0.320261	0.327675	
575	0.309644	0.304046	0.318087	0.329404	0.333082	0.310524	0.308814	0.312282	0.318662	0.328689	
580	0.307757	0.306185	0.323670	0.329194	0.332488	0.312845	0.311462	0.315785	0.320297	0.327283	
585	0.306662	0.306866	0.320746	0.329552	0.329398	0.311256	0.308121	0.319484	0.320859	0.324324	
590	0.306561	0.305294	0.321281	0.330033	0.328919	0.311746	0.308972	0.321697	0.327374	0.326284	
595	0.309982	0.308175	0.325566	0.329087	0.327655	0.314772	0.308444	0.322385	0.324562	0.326605	
600	0.309838	0.308053	0.328725	0.328107	0.328693	0.317862	0.310676	0.321353	0.325160	0.326301	
605	0.310245	0.308251	0.329220	0.328434	0.331264	0.315585	0.312531	0.323143	0.329143	0.326843	
610	0.313805	0.308039	0.327335	0.326030	0.328891	0.314917	0.315378	0.325329	0.326984	0.327182	
615	0.314124	0.308705	0.324832	0.327089	0.329385	0.316391	0.315982	0.323379	0.328943	0.326576	
620	0.315176	0.309628	0.322019	0.325963	0.332052	0.317705	0.316879	0.325863	0.330124	0.326812	
625	0.313735	0.308985	0.321782	0.324710	0.330158	0.315980	0.316657	0.329166	0.332771	0.324928	
630	0.316277	0.310704	0.324738	0.324189	0.330869	0.318144	0.316860	0.329273	0.332686	0.326205	
635	0.317588	0.311919	0.322696	0.323999	0.334291	0.315402	0.316854	0.328572	0.337103	0.327548	
640	0.322348	0.313007	0.323284	0.324962	0.332444	0.318163	0.317130	0.328189	0.334527	0.325536	
645	0.323882	0.310620	0.323509	0.323058	0.336746	0.319529	0.318223	0.326553	0.332985	0.321639	
650	0.322879	0.313873	0.324240	0.322744	0.338846	0.321219	0.321273	0.327901	0.334612	0.322581	
655	0.325257	0.319107	0.323355	0.321275	0.341460	0.324520	0.319574	0.327572	0.335492	0.319195	
660	0.324804	0.319509	0.320846	0.322488	0.341365	0.324140	0.324971	0.326603	0.334456	0.316127	
665	0.324839	0.323108	0.317493	0.325029	0.340634	0.324710	0.327685	0.327815	0.334819	0.318154	
670	0.328332	0.324811	0.319666	0.322115	0.338277	0.322631	0.327108	0.327172	0.337072	0.319371	
675	0.330341	0.322965	0.319140	0.321501	0.342283	0.324825	0.328604	0.328954	0.338884	0.321761	
680	0.333353	0.319985	0.322011	0.321839	0.346913	0.324951	0.327237	0.329104	0.337586	0.328259	
