T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001586	0.002199	0.000493	0.001510	0.001807	0.001726	0.001924	0.002254	0.001595	0.001703	
110	0.003713	0.004618	0.003556	0.004376	0.006138	0.004882	0.005135	0.006502	0.004154	0.004254	
115	0.008398	0.007926	0.006396	0.009338	0.011137	0.009116	0.008215	0.011704	0.009933	0.008814	
120	0.015143	0.015835	0.011057	0.016399	0.018789	0.013796	0.014521	0.017538	0.016338	0.011935	
125	0.022978	0.023960	0.015195	0.026280	0.025061	0.021174	0.023125	0.024146	0.024477	0.016312	
130	0.035696	0.034056	0.024213	0.035678	0.036442	0.036358	0.032795	0.031109	0.035020	0.022544	
135	0.044791	0.043239	0.033909	0.044518	0.043602	0.048970	0.046460	0.041951	0.047424	0.029694	
140	0.055400	0.053198	0.043921	0.058975	0.053050	0.062344	0.058540	0.052739	0.059114	0.039042	
145	0.067652	0.061943	0.056608	0.071677	0.069770	0.078939	0.070088	0.062350	0.068942	0.054379	
150	0.081536	0.075042	0.065707	0.082639	0.073853	0.084692	0.084162	0.070489	0.083434	0.068240	
155	0.085902	0.078680	0.074557	0.089217	0.079704	0.089696	0.091448	0.080571	0.091167	0.076142	
160	0.092040	0.081198	0.081366	0.090171	0.087373	0.092152	0.092399	0.082362	0.094352	0.080422	
165	0.099843	0.084887	0.086789	0.092788	0.093316	0.095479	0.100008	0.090850	0.099419	0.085122	
170	0.105507	0.091026	0.088511	0.095090	0.100927	0.098256	0.100030	0.095694	0.099307	0.090179	
175	0.108900	0.093857	0.091098	0.096013	0.105374	0.100330	0.103165	0.099974	0.099329	0.098049	
180	0.111419	0.097402	0.093724	0.097788	0.108648	0.102125	0.101344	0.107013	0.103122	0.099688	
185	0.113915	0.099199	0.096139	0.097038	0.112196	0.101385	0.105853	0.110092	0.102012	0.106621	
190	0.117620	0.100582	0.098530	0.098350	0.110126	0.105127	0.105661	0.108974	0.104121	0.107424	
195	0.119492	0.098748	0.099600	0.102123	0.109500	0.107992	0.103717	0.108289	0.106397	0.115688	
200	0.119732	0.101526	0.102678	0.104552	0.114220	0.109682	0.105913	0.113402	0.108953	0.114999	
205	0.118927	0.102971	0.106332	0.108886	0.116017	0.110061	0.109011	0.113766	0.109916	0.114643	
210	0.118586	0.105491	0.109687	0.109710	0.119037	0.111256	0.112938	0.115446	0.111224	0.117223	
215	0.122032	0.107456	0.113487	0.111290	0.119832	0.113130	0.114867	0.118524	0.112864	0.115199	
220	0.126220	0.113434	0.115076	0.110528	0.118497	0.115869	0.115042	0.118102	0.113941	0.117590	
225	0.127741	0.116565	0.111487	0.114239	0.118813	0.121774	0.116223	0.117765	0.114406	0.119684	
230	0.128126	0.117992	0.116105	0.114945	0.119377	0.123748	0.123456	0.117281	0.115075	0.116852	
235	0.130330	0.117352	0.121637	0.115462	0.119388	0.125520	0.121811	0.118167	0.118569	0.116900	
240	0.131781	0.118419	0.122086	0.115916	0.120765	0.125183	0.123995	0.121830	0.119364	0.113838	
245	0.130525	0.121909	0.121415	0.121066	0.120854	0.124201	0.122013	0.123554	0.122522	0.115493	
250	0.130204	0.120695	0.120130	0.125787	0.122285	0.123142	0.125697	0.123908	0.124963	0.124560	
255	0.130971	0.119225	0.119755	0.126616	0.121602	0.124973	0.126660	0.121515	0.123575	0.125443	
260	0.128451	0.118026	0.120735	0.128379	0.121778	0.121412	0.125226	0.118267	0.126587	0.128155	
265	0.125021	0.119141	0.122462	0.127878	0.121687	0.121546	0.127299	0.119088	0.127438	0.131873	
270	0.125035	0.118812	0.122883	0.128461	0.123970	0.122989	0.124770	0.120859	0.128158	0.131035	
275	0.124737	0.122448	0.125021	0.134001	0.123709	0.119772	0.125024	0.121309	0.122818	0.131566	
280	0.125294	0.125613	0.125238	0.131505	0.126082	0.119219	0.123535	0.120691	0.122257	0.130157	
285	0.125313	0.125525	0.122701	0.129155	0.125221	0.118872	0.119657	0.121968	0.121498	0.126434	
290	0.122900	0.129434	0.121639	0.133715	0.126743	0.117729	0.119931	0.120784	0.119253	0.129571	
295	0.126175	0.125421	0.122725	0.133794	0.131369	0.117396	0.123854	0.122369	0.119636	0.123183	
300	0.123861	0.125883	0.120010	0.137900	0.133065	0.118426	0.118543	0.124163	0.118307	0.126316	
305	0.122767	0.126466	0.120552	0.136281	0.130260	0.119415	0.119155	0.123857	0.117023	0.125928	
310	0.120536	0.127485	0.115732	0.138157	0.130589	0.119415	0.116054	0.122950	0.122209	0.123964	
315	0.124720	0.127351	0.117361	0.138076	0.129918	0.122562	0.115351	0.122209	0.122733	0.122271	
320	0.123647	0.129153	0.112994	0.139461	0.132151	0.124101	0.115297	0.121159	0.122606	0.121668	
325	0.127426	0.129278	0.113563	0.136314	0.134265	0.121712	0.117498	0.121595	0.123366	0.119157	
330	0.125401	0.132097	0.117059	0.137415	0.133015	0.120652	0.119163	0.118869	0.123230	0.116933	
335	0.122049	0.134592	0.117003	0.137636	0.131774	0.123565	0.123259	0.119975	0.124043	0.111869	
340	0.122358	0.137919	0.117277	0.138660	0.129255	0.123394	0.121668	0.119307	0.124230	0.112218	
345	0.118229	0.142495	0.114970	0.139841	0.132873	0.122855	0.122868	0.119678	0.125151	0.112470	
350	0.117228	0.144594	0.114548	0.138437	0.135809	0.119496	0.119528	0.117564	0.126873	0.114315	
355	0.117348	0.143088	0.115568	0.142706	0.135007	0.118266	0.115269	0.114025	0.125116	0.115934	
360	0.118321	0.145230	0.113237	0.142561	0.135130	0.117423	0.114096	0.112738	0.126852	0.116136	
365	0.115353	0.141665	0.105071	0.139889	0.135822	0.117975	0.117263	0.111310	0.127543	0.116830	
370	0.111415	0.142035	0.108220	0.139216	0.137331	0.116897	0.120492	0.109465	0.128363	0.117509	
375	0.111839	0.140538	0.105552	0.139753	0.135378	0.119784	0.119087	0.109781	0.126617	0.117670	
380	0.109593	0.138892	0.108339	0.138294	0.132638	0.121300	0.120084	0.109084	0.127413	0.118547	
385	0.110472	0.138738	0.107857	0.139220	0.131721	0.122849	0.120801	0.107775	0.126918	0.119150	
390	0.110874	0.140474	0.106830	0.135465	0.136230	0.124036	0.121511	0.109381	0.127181	0.118002	
395	0.113599	0.142990	0.106632	0.127638	0.138610	0.124423	0.119724	0.108281	0.129713	0.120515	
400	0.112762	0.143160	0.108898	0.126595	0.139166	0.122700	0.122542	0.109517	0.126726	0.118152	
405	0.112156	0.141731	0.107437	0.126755	0.142428	0.123491	0.122232	0.107775	0.124916	0.117154	
410	0.112348	0.146662	0.105176	0.128198	0.138998	0.121422	0.124023	0.106468	0.124572	0.115908	
415	0.112268	0.146027	0.104790	0.127190	0.135819	0.116507	0.126049	0.105235	0.127110	0.114855	
420	0.109945	0.142171	0.108037	0.130583	0.134692	0.117808	0.127839	0.106258	0.129297	0.114141	
425	0.108168	0.139049	0.107465	0.130027	0.133145	0.121120	0.125772	0.107555	0.127956	0.113714	
430	0.109186	0.135419	0.109637	0.124705	0.131958	0.119808	0.124669	0.108659	0.132481	0.116809	
435	0.111237	0.139187	0.108475	0.126858	0.130700	0.120074	0.124205	0.109138	0.134188	0.116608	
440	0.112508	0.135450	0.109673	0.121923	0.127809	0.121411	0.123241	0.106920	0.132821	0.114791	
445	0.111133	0.134418	0.107971	0.119902	0.129450	0.119661	0.122079	0.111392	0.129733	0.118312	
450	0.111193	0.133349	0.110771	0.124188	0.127338	0.118893	0.121429	0.111028	0.130137	0.121450	
455	0.114104	0.135896	0.112682	0.121582	0.127621	0.121133	0.124191	0.108233	0.129494	0.123031	
460	0.115231	0.137017	0.109012	0.121373	0.126294	0.122301	0.127775	0.106957	0.126542	0.123364	
465	0.115454	0.137250	0.111110	0.118852	0.127486	0.122432	0.130658	0.107219	0.129023	0.122823	
470	0.113609	0.135731	0.113761	0.120910	0.125642	0.125624	0.129559	0.108340	0.124372	0.119598	
475	0.113019	0.130117	0.113699	0.122919	0.124498	0.126494	0.126928	0.109948	0.123291	0.120838	
480	0.116718	0.124591	0.117277	0.123315	0.121297	0.124094	0.128225	0.111411	0.123760	0.123695	
485	0.118793	0.121147	0.119224	0.123507	0.119001	0.120964	0.128784	0.108734	0.119650	0.121279	
490	0.116751	0.118845	0.119556	0.123394	0.122336	0.123633	0.128772	0.111313	0.117781	0.118315	
495	0.116341	0.120743	0.116161	0.125956	0.119162	0.124086	0.130661	0.109797	0.120282	0.115458	
500	0.115221	0.120861	0.116061	0.125635	0.119946	0.123678	0.133308	0.110642	0.119729	0.114437	
505	0.115283	0.125139	0.116102	0.124839	0.122469	0.120209	0.131127	0.111669	0.120170	0.114422	
510	0.115464	0.127967	0.116918	0.127489	0.124033	0.117494	0.132691	0.110928	0.117752	0.113368	
515	0.114090	0.124422	0.113786	0.126056	0.123066	0.120967	0.130657	0.110383	0.117615	0.112515	
520	0.113474	0.125818	0.115244	0.126064	0.122534	0.120740	0.132595	0.111487	0.117545	0.115107	
525	0.112901	0.129015	0.113768	0.123544	0.122148	0.118995	0.130780	0.111950	0.113674	0.111922	
530	0.114873	0.130342	0.112760	0.121821	0.120950	0.120462	0.132396	0.112966	0.114925	0.115719	
535	0.112341	0.130217	0.114191	0.119143	0.120360	0.117707	0.132218	0.111684	0.113105	0.115557	
540	0.112376	0.129135	0.115366	0.122327	0.118263	0.113931	0.133336	0.110892	0.110233	0.116450	
545	0.111817	0.129209	0.116597	0.122262	0.120619	0.113912	0.134216	0.110803	0.111634	0.115689	
550	0.111396	0.135747	0.114811	0.121162	0.117023	0.111618	0.132888	0.109711	0.112887	0.115719	
555	0.111181	0.129064	0.117348	0.121454	0.117607	0.111461	0.132195	0.109601	0.115269	0.116658	
560	0.110887	0.129094	0.117289	0.116660	0.114796	0.109806	0.133099	0.109197	0.115131	0.113949	
565	0.112673	0.126657	0.117502	0.115031	0.121216	0.111227	0.132749	0.107935	0.113966	0.111547	
570	0.111400	0.124997	0.118228	0.117920	0.115939	0.112504	0.133953	0.108370	0.111655	0.116091	
575	0.109532	0.119235	0.120631	0.114544	0.113137	0.113547	0.136538	0.108995	0.112889	0.116729	
580	0.107255	0.117650	0.121238	0.116102	0.109048	0.113657	0.138457	0.113961	0.111367	0.116821	
585	0.107416	0.115257	0.117124	0.115704	0.109409	0.111768	0.138456	0.114425	0.111078	0.118242	
590	0.108486	0.117455	0.118276	0.115609	0.110030	0.114532	0.138412	0.112953	0.109885	0.118355	
595	0.107406	0.114149	0.115734	0.116176	0.109865	0.113756	0.135085	0.115573	0.107771	0.115072	
600	0.108376	0.112494	0.117627	0.115537	0.112170	0.115370	0.135312	0.116599	0.110982	0.113882	
605	0.108006	0.109369	0.116418	0.119029	0.114560	0.113591	0.135593	0.115560	0.113012	0.115598	
610	0.109020	0.109938	0.113983	0.119771	0.114140	0.113974	0.134640	0.115603	0.110833	0.118177	
615	0.108036	0.108472	0.119827	0.121515	0.117545	0.114346	0.133757	0.114774	0.111535	0.118050	
620	0.106041	0.109362	0.120254	0.121781	0.119243	0.112633	0.130685	0.113311	0.112805	0.118299	
625	0.102185	0.107005	0.118949	0.120691	0.120877	0.113363	0.130048	0.113660	0.114146	0.118319	
630	0.101533	0.107860	0.118546	0.119530	0.119244	0.112566	0.131956	0.112781	0.114834	0.119115	
635	0.099207	0.108023	0.122531	0.116969	0.113952	0.112879	0.132518	0.110813	0.112951	0.115936	
640	0.098576	0.108804	0.122085	0.117941	0.112856	0.109162	0.127350	0.107984	0.116048	0.121751	
645	0.100011	0.111149	0.122529	0.117771	0.112376	0.109517	0.128879	0.110312	0.116333	0.120311	
650	0.105052	0.111526	0.123504	0.117223	0.110599	0.106948	0.129063	0.110354	0.117852	0.121150	
655	0.109685	0.110169	0.121083	0.115217	0.110483	0.110488	0.127531	0.111979	0.118050	0.122266	
660	0.109714	0.105807	0.123056	0.113194	0.111958	0.110673	0.127456	0.111996	0.117962	0.123186	
665	0.109498	0.106244	0.124081	0.116204	0.111802	0.110239	0.126151	0.112369	0.116905	0.124036	
670	0.105310	0.104666	0.124553	0.116397	0.114687	0.111203	0.129018	0.113497	0.116380	0.124119	
675	0.107622	0.105891	0.123777	0.117697	0.112094	0.112028	0.129113	0.119648	0.116445	0.119636	
680	0.107650	0.109049	0.124392	0.116221	0.112479	0.111136	0.123336	0.120522	0.115370	0.122598	
