T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
205	0.001461	0.001556	0.001120	0.001616	0.002027	0.001201	0.001245	0.002017	0.001180	0.001134	
210	0.002700	0.003948	0.002180	0.002605	0.003247	0.002197	0.002692	0.002524	0.002596	0.003451	
215	0.004301	0.005630	0.003588	0.004085	0.005673	0.002840	0.004767	0.003529	0.003503	0.003723	
220	0.007414	0.007041	0.004322	0.004874	0.006949	0.004087	0.005015	0.005960	0.005160	0.004890	
225	0.007316	0.008271	0.005176	0.007305	0.006855	0.006051	0.006405	0.006910	0.006527	0.006099	
230	0.010535	0.009536	0.007884	0.009069	0.008554	0.006071	0.008677	0.007194	0.006978	0.006384	
235	0.012905	0.011732	0.008322	0.009892	0.007813	0.008158	0.010613	0.007548	0.007407	0.008956	
240	0.015299	0.012438	0.009638	0.011987	0.009171	0.009618	0.012483	0.008352	0.010393	0.009446	
245	0.015169	0.012491	0.009187	0.014482	0.010430	0.010473	0.013461	0.011356	0.010781	0.010820	
250	0.016289	0.013523	0.011438	0.014111	0.012898	0.012385	0.013173	0.011604	0.010885	0.012583	
255	0.017901	0.013026	0.013351	0.016192	0.011981	0.014526	0.014937	0.013037	0.010657	0.011085	
260	0.018632	0.014427	0.013339	0.018348	0.012696	0.015376	0.016321	0.014843	0.012551	0.010293	
265	0.020131	0.015494	0.013729	0.021044	0.014039	0.018835	0.015905	0.015326	0.013483	0.011863	
270	0.020267	0.017987	0.014451	0.022419	0.014571	0.018158	0.016490	0.018828	0.016579	0.011341	
275	0.020507	0.019549	0.016137	0.023305	0.014374	0.019022	0.018593	0.019694	0.017221	0.012402	
280	0.021034	0.020140	0.017699	0.020679	0.015763	0.019068	0.021620	0.021805	0.018614	0.011870	
285	0.022099	0.021443	0.019354	0.021463	0.016633	0.022013	0.023293	0.023920	0.018335	0.012470	
290	0.021571	0.022255	0.019063	0.025756	0.017023	0.022359	0.023803	0.026060	0.021037	0.013952	
295	0.022321	0.024167	0.020069	0.027370	0.018373	0.021863	0.025498	0.026881	0.021407	0.012396	
300	0.024443	0.023605	0.021489	0.028377	0.018768	0.023683	0.026693	0.027371	0.024005	0.013804	
305	0.023156	0.025021	0.023749	0.026038	0.023164	0.022760	0.027638	0.026578	0.025903	0.014548	
310	0.025152	0.026347	0.025070	0.027384	0.023222	0.025474	0.029901	0.024965	0.026617	0.015455	
315	0.026223	0.027590	0.024239	0.028411	0.021012	0.025191	0.027999	0.025713	0.026062	0.015625	
320	0.027070	0.027403	0.022824	0.028771	0.022682	0.023411	0.030703	0.027933	0.027399	0.015748	
325	0.025889	0.028841	0.024187	0.027265	0.022913	0.023384	0.030775	0.028471	0.028455	0.015901	
330	0.026803	0.029878	0.025620	0.028266	0.023635	0.026018	0.029108	0.027870	0.027708	0.016461	
335	0.025155	0.029942	0.027017	0.029093	0.024946	0.026476	0.031126	0.026779	0.029903	0.016695	
340	0.025480	0.029566	0.027352	0.026492	0.026167	0.025838	0.032023	0.026192	0.030616	0.015994	
345	0.027803	0.031385	0.028267	0.023546	0.026101	0.026861	0.034228	0.028345	0.031452	0.018313	
350	0.028502	0.030822	0.027902	0.025054	0.026136	0.027483	0.035357	0.030634	0.029354	0.021050	
355	0.026457	0.029774	0.027401	0.025534	0.026857	0.028431	0.034259	0.028699	0.029838	0.021314	
360	0.027911	0.028582	0.026042	0.026608	0.028675	0.029015	0.036173	0.029598	0.030693	0.022336	
365	0.030268	0.031623	0.027953	0.027406	0.028901	0.029083	0.035873	0.030091	0.030662	0.022415	
370	0.028314	0.031209	0.026818	0.027024	0.030272	0.028929	0.035301	0.029811	0.030823	0.022872	
375	0.030288	0.032683	0.030491	0.028392	0.030160	0.031569	0.034894	0.030006	0.032544	0.024366	
380	0.030875	0.033650	0.029719	0.029936	0.031133	0.030556	0.035352	0.028697	0.032693	0.025352	
385	0.030776	0.034471	0.029004	0.027429	0.032321	0.031801	0.035834	0.027933	0.034513	0.022707	
390	0.032024	0.033561	0.027834	0.029621	0.033272	0.033462	0.035270	0.027693	0.036953	0.020864	
395	0.031183	0.034025	0.027962	0.027851	0.032077	0.033180	0.033018	0.026202	0.036507	0.022271	
400	0.030264	0.034842	0.025125	0.028878	0.034994	0.034986	0.032361	0.026768	0.036380	0.022423	
405	0.031037	0.035228	0.025472	0.028802	0.032328	0.035534	0.034188	0.027276	0.033707	0.024563	
410	0.030053	0.034533	0.025792	0.029988	0.031765	0.036391	0.033010	0.027736	0.034492	0.024528	
415	0.029354	0.033714	0.026380	0.030805	0.033677	0.036720	0.035187	0.027475	0.035391	0.022641	
420	0.029987	0.034460	0.027884	0.028831	0.034793	0.035374	0.033299	0.028073	0.036738	0.024167	
425	0.032038	0.031958	0.028652	0.029312	0.034746	0.032673	0.033160	0.029245	0.037458	0.026336	
430	0.032934	0.031186	0.028173	0.027691	0.035531	0.033378	0.031946	0.030147	0.036610	0.027187	
435	0.030608	0.032953	0.027825	0.027340	0.035129	0.032237	0.032424	0.028384	0.036284	0.028528	
440	0.031082	0.034487	0.028669	0.029899	0.034924	0.031125	0.032631	0.027326	0.034213	0.027260	
445	0.032592	0.034468	0.027764	0.030698	0.036450	0.031097	0.033338	0.026957	0.036741	0.028807	
450	0.033218	0.034784	0.028655	0.030903	0.034871	0.031010	0.035210	0.027144	0.038070	0.030754	
455	0.033567	0.032887	0.030483	0.031755	0.034652	0.031613	0.034545	0.025985	0.038560	0.030550	
460	0.033902	0.034354	0.030853	0.029808	0.035567	0.033548	0.036712	0.026851	0.037045	0.031148	
465	0.033621	0.034236	0.031047	0.030140	0.036317	0.032326	0.037275	0.028239	0.036469	0.031684	
470	0.033873	0.034518	0.030660	0.029014	0.034748	0.032798	0.036460	0.029408	0.037123	0.031727	
475	0.033279	0.033976	0.030861	0.029767	0.035132	0.032148	0.038316	0.029887	0.038187	0.029101	
480	0.033501	0.035133	0.028698	0.029577	0.035040	0.033023	0.036256	0.028297	0.037698	0.031673	
485	0.033202	0.034977	0.029811	0.029773	0.035943	0.032841	0.036195	0.025159	0.036665	0.032852	
490	0.033223	0.036341	0.031902	0.031304	0.034314	0.031861	0.035682	0.024735	0.035444	0.032941	
495	0.031838	0.036269	0.033133	0.029796	0.036277	0.032648	0.034942	0.024951	0.036197	0.034118	
500	0.030947	0.034626	0.032824	0.030953	0.035745	0.030625	0.034768	0.023999	0.036089	0.032819	
505	0.030912	0.033806	0.034179	0.031394	0.036610	0.031368	0.033269	0.024504	0.036407	0.035470	
510	0.030286	0.032523	0.035580	0.028766	0.035850	0.029521	0.034125	0.025556	0.033821	0.033515	
515	0.031424	0.034530	0.034477	0.029563	0.035505	0.029500	0.032708	0.027207	0.033529	0.031238	
520	0.033303	0.034156	0.033777	0.028723	0.033592	0.029934	0.033155	0.027286	0.034780	0.030792	
525	0.033198	0.032239	0.034685	0.032109	0.033941	0.031547	0.033389	0.027509	0.031466	0.028953	
530	0.033742	0.032960	0.037534	0.032233	0.034469	0.032697	0.034088	0.027505	0.032053	0.028380	
535	0.035368	0.033574	0.035575	0.032557	0.035962	0.033107	0.033534	0.027184	0.033221	0.028692	
540	0.035485	0.034043	0.034207	0.031852	0.036183	0.032851	0.031828	0.027027	0.033694	0.028209	
545	0.037763	0.033590	0.033611	0.030603	0.035189	0.030541	0.031286	0.027088	0.033179	0.029341	
550	0.035021	0.035118	0.033552	0.030777	0.036511	0.030898	0.033293	0.028205	0.034317	0.029124	
555	0.034381	0.033802	0.032765	0.028579	0.035792	0.033242	0.031045	0.027986	0.035439	0.030347	
560	0.032677	0.034850	0.033531	0.029954	0.033624	0.032095	0.031973	0.028536	0.034398	0.029808	
565	0.033207	0.036708	0.032065	0.030464	0.034028	0.031771	0.032102	0.028182	0.031445	0.028978	
570	0.034842	0.036891	0.032012	0.029833	0.032931	0.032439	0.031942	0.026929	0.030829	0.027279	
575	0.035572	0.034899	0.033748	0.029870	0.031983	0.031982	0.030765	0.027594	0.031861	0.026487	
580	0.036157	0.033987	0.035202	0.029204	0.033019	0.031995	0.032031	0.027644	0.031043	0.025207	
585	0.036483	0.034634	0.034874	0.029936	0.032793	0.032491	0.031617	0.026244	0.031698	0.025959	
590	0.035926	0.035960	0.033492	0.027834	0.032103	0.031902	0.033354	0.027843	0.031428	0.027814	
595	0.038474	0.037295	0.030684	0.028722	0.032239	0.029751	0.033740	0.027927	0.031932	0.028575	
600	0.035368	0.037787	0.031689	0.029509	0.032826	0.030670	0.031904	0.024873	0.032092	0.028872	
605	0.035302	0.035839	0.030752	0.029341	0.030967	0.029852	0.034257	0.026565	0.032369	0.027970	
610	0.033906	0.036793	0.030222	0.029207	0.031633	0.027973	0.032924	0.026331	0.031926	0.026822	
615	0.033088	0.035469	0.031647	0.029766	0.031921	0.029236	0.033430	0.028333	0.030893	0.026903	
620	0.031860	0.034816	0.032300	0.029146	0.031917	0.030030	0.033723	0.027308	0.029523	0.027341	
625	0.031927	0.035912	0.032325	0.030797	0.033303	0.030759	0.034551	0.030621	0.030952	0.025914	
630	0.033333	0.035792	0.030755	0.030886	0.033298	0.029194	0.033475	0.027808	0.030412	0.026159	
635	0.032076	0.034702	0.030763	0.031031	0.035178	0.030660	0.033394	0.027077	0.029092	0.024666	
640	0.033544	0.032437	0.030147	0.031078	0.033182	0.032455	0.032452	0.027445	0.028507	0.022949	
645	0.031537	0.034314	0.029700	0.031345	0.031139	0.032174	0.034851	0.027737	0.028634	0.026200	
650	0.031435	0.034476	0.029483	0.031285	0.031543	0.030956	0.033586	0.026359	0.028398	0.024777	
655	0.031611	0.033811	0.031868	0.031545	0.032666	0.028991	0.032395	0.025238	0.027016	0.025879	
660	0.032341	0.032800	0.032045	0.034485	0.032972	0.029030	0.030987	0.026166	0.027843	0.025980	
665	0.032174	0.032091	0.031253	0.033635	0.033191	0.029279	0.031017	0.026274	0.029551	0.028155	
670	0.032056	0.034532	0.030666	0.033563	0.033279	0.028699	0.032066	0.026986	0.029259	0.028462	
675	0.033665	0.034625	0.028693	0.032367	0.034622	0.029668	0.031563	0.025716	0.031198	0.028254	
680	0.033956	0.032548	0.028794	0.031857	0.034643	0.028583	0.033636	0.024312	0.029788	0.029048	
