T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.022933	0.024114	0.025900	0.028093	0.031355	0.020223	0.021058	0.025158	0.024731	0.025988	
10	0.137956	0.163092	0.142522	0.172681	0.169045	0.162024	0.127920	0.184799	0.153779	0.169633	
15	0.222660	0.215517	0.221749	0.239563	0.259818	0.275182	0.213293	0.307370	0.207448	0.221158	
20	0.273127	0.285491	0.310220	0.329040	0.321401	0.320304	0.294156	0.367666	0.269645	0.274067	
25	0.335882	0.339428	0.364466	0.402782	0.392110	0.360675	0.341818	0.431950	0.331237	0.345913	
30	0.402421	0.393406	0.410145	0.456388	0.469559	0.408043	0.383015	0.507790	0.381965	0.398235	
35	0.443850	0.457911	0.474721	0.505936	0.523847	0.461616	0.418607	0.551479	0.418293	0.424153	
40	0.480609	0.514009	0.531699	0.544647	0.553503	0.510684	0.446261	0.571403	0.448824	0.449365	
45	0.509685	0.551560	0.577105	0.579110	0.589566	0.559138	0.470324	0.591416	0.475722	0.478456	
50	0.543287	0.585741	0.613890	0.605988	0.619739	0.603741	0.509100	0.609707	0.502074	0.510989	
55	0.570605	0.614245	0.636632	0.625520	0.646850	0.634960	0.550872	0.629435	0.534944	0.543768	
60	0.595840	0.642317	0.646828	0.640788	0.667480	0.652308	0.590165	0.649833	0.567855	0.571507	
65	0.621049	0.663460	0.658417	0.662929	0.687313	0.661328	0.622840	0.659951	0.596692	0.593345	
70	0.635962	0.685242	0.664275	0.684018	0.702587	0.673535	0.636755	0.682576	0.616553	0.611224	
75	0.646456	0.697743	0.673032	0.701151	0.709928	0.683413	0.661812	0.693475	0.635151	0.624623	
80	0.661390	0.706287	0.682013	0.708743	0.716695	0.693188	0.678393	0.704450	0.652867	0.633146	
85	0.673070	0.713624	0.690997	0.718256	0.722158	0.697532	0.685631	0.717285	0.668214	0.639286	
90	0.678953	0.721677	0.695981	0.721579	0.726887	0.702953	0.689896	0.731484	0.679297	0.648373	
95	0.686709	0.723783	0.699991	0.725520	0.726945	0.704666	0.699489	0.737820	0.681981	0.658020	
100	0.695145	0.731447	0.708543	0.732261	0.728821	0.705649	0.704567	0.734606	0.685928	0.671197	
105	0.704214	0.732238	0.719658	0.729621	0.735289	0.707769	0.710779	0.733374	0.692933	0.682073	
110	0.711007	0.743247	0.724760	0.736733	0.736854	0.709836	0.714120	0.734722	0.699251	0.685515	
115	0.710328	0.742773	0.722299	0.740256	0.736970	0.713061	0.713141	0.733523	0.701652	0.684342	
120	0.710413	0.738429	0.721886	0.744422	0.733853	0.709783	0.709034	0.730456	0.705306	0.684616	
125	0.710565	0.737350	0.717071	0.734336	0.733146	0.703712	0.708260	0.728072	0.698621	0.680747	
130	0.706290	0.725646	0.712034	0.719685	0.726066	0.697705	0.707787	0.718134	0.688041	0.672496	
135	0.702120	0.706608	0.699243	0.696623	0.716556	0.688895	0.700926	0.701726	0.678867	0.667409	
140	0.694837	0.682810	0.682925	0.670776	0.708388	0.678510	0.693579	0.682249	0.669942	0.658664	
145	0.680184	0.674943	0.671305	0.651702	0.697163	0.674044	0.684559	0.664125	0.660919	0.650865	
150	0.675026	0.659158	0.662995	0.637814	0.683713	0.660686	0.673237	0.652333	0.649144	0.648514	
155	0.671483	0.649213	0.652338	0.625386	0.668721	0.651673	0.663565	0.643586	0.642930	0.642734	
160	0.663548	0.637782	0.647160	0.622819	0.657681	0.639619	0.658762	0.632289	0.636613	0.631187	
165	0.656428	0.625861	0.642627	0.614529	0.645915	0.632602	0.650534	0.625954	0.625923	0.625241	
170	0.647459	0.616314	0.635549	0.605903	0.632769	0.627440	0.645592	0.621891	0.615470	0.619270	
175	0.638699	0.602231	0.627311	0.600750	0.622415	0.622917	0.641969	0.618736	0.606690	0.620411	
180	0.629181	0.590065	0.614631	0.593958	0.613673	0.618260	0.633015	0.614875	0.600966	0.611621	
185	0.618312	0.582788	0.607486	0.591326	0.606880	0.612347	0.625603	0.611185	0.598939	0.606242	
190	0.612773	0.572805	0.604895	0.589328	0.593770	0.609030	0.620943	0.602164	0.584635	0.607014	
195	0.600786	0.566069	0.600262	0.580783	0.591463	0.600113	0.611681	0.595686	0.581801	0.602353	
200	0.594287	0.567514	0.597314	0.575676	0.586051	0.593941	0.602847	0.587547	0.574746	0.598238	
205	0.590447	0.562956	0.594849	0.568005	0.582000	0.593685	0.597809	0.581047	0.566738	0.598478	
210	0.586717	0.557196	0.587223	0.566957	0.573871	0.592500	0.596093	0.575350	0.562011	0.602135	
215	0.584281	0.552708	0.587914	0.562024	0.572286	0.585075	0.591056	0.568514	0.559137	0.599623	
220	0.580417	0.555327	0.581925	0.560457	0.568225	0.578981	0.585376	0.567288	0.553786	0.593688	
225	0.575551	0.550820	0.575466	0.560799	0.566718	0.576448	0.584728	0.561663	0.551219	0.588370	
230	0.574401	0.546671	0.567820	0.557289	0.566277	0.576266	0.576936	0.559343	0.548748	0.583719	
235	0.574936	0.541392	0.563878	0.556442	0.561771	0.571542	0.568834	0.552358	0.548395	0.581201	
240	0.570775	0.533138	0.561836	0.547166	0.561554	0.565866	0.567172	0.551158	0.552438	0.581278	
245	0.567117	0.531381	0.559385	0.549085	0.554350	0.555821	0.560103	0.550034	0.557110	0.583256	
250	0.566625	0.533814	0.567513	0.544141	0.551710	0.549942	0.557559	0.541605	0.550803	0.581712	
255	0.562363	0.530804	0.564794	0.546759	0.550455	0.550127	0.551778	0.540956	0.548503	0.577567	
260	0.557744	0.531158	0.565765	0.548068	0.553141	0.548213	0.546341	0.545085	0.547158	0.577077	
265	0.558414	0.532576	0.562843	0.549319	0.556555	0.544332	0.541410	0.541907	0.541857	0.573185	
270	0.558565	0.534091	0.559930	0.548339	0.553178	0.538204	0.536274	0.533894	0.542685	0.570611	
275	0.552600	0.537346	0.558805	0.544468	0.550182	0.540099	0.536201	0.537418	0.541365	0.572519	
280	0.549333	0.542536	0.559081	0.542941	0.551296	0.541440	0.533398	0.543278	0.544607	0.574217	
285	0.549142	0.539234	0.561464	0.538279	0.545338	0.544560	0.530817	0.542547	0.542538	0.575147	
290	0.547191	0.537288	0.557478	0.534594	0.543448	0.546336	0.532125	0.543994	0.541822	0.575323	
295	0.547056	0.538310	0.559707	0.536324	0.541782	0.548802	0.530718	0.546656	0.543553	0.572156	
300	0.544791	0.541882	0.559226	0.535519	0.541659	0.548110	0.529817	0.549598	0.538381	0.567549	
305	0.541944	0.541306	0.555594	0.536661	0.539681	0.548930	0.527474	0.558126	0.538526	0.563741	
310	0.541905	0.540485	0.555771	0.534200	0.539198	0.550107	0.528750	0.559150	0.537675	0.562615	
315	0.540861	0.539445	0.553771	0.539398	0.543095	0.546576	0.528861	0.560245	0.534196	0.564824	
320	0.543445	0.537853	0.553527	0.541854	0.540670	0.544087	0.528590	0.557184	0.536065	0.561058	
325	0.542125	0.544987	0.556424	0.545861	0.543026	0.541941	0.528037	0.557635	0.535688	0.562951	
330	0.539804	0.543308	0.555092	0.549187	0.544244	0.542150	0.525166	0.559746	0.536051	0.564213	
335	0.536537	0.543011	0.553899	0.549644	0.546315	0.544199	0.528054	0.557475	0.533798	0.562065	
340	0.531781	0.541324	0.551601	0.549773	0.544439	0.544120	0.530174	0.563072	0.534573	0.562743	
345	0.533330	0.538675	0.552410	0.543868	0.542450	0.544321	0.529508	0.559471	0.537215	0.563115	
350	0.537680	0.534660	0.552725	0.542675	0.544903	0.544108	0.527052	0.556450	0.535663	0.564354	
355	0.536617	0.532770	0.553868	0.543750	0.544931	0.540967	0.525217	0.564878	0.531098	0.567659	
360	0.534700	0.535449	0.551746	0.542921	0.542780	0.538254	0.527800	0.561700	0.534235	0.564724	
365	0.534026	0.537997	0.550089	0.543475	0.544946	0.532674	0.529270	0.561430	0.536206	0.564882	
370	0.533958	0.535627	0.550896	0.544095	0.542123	0.535250	0.529349	0.561703	0.540602	0.565726	
375	0.534030	0.532742	0.548392	0.543355	0.544986	0.536305	0.533978	0.559302	0.540586	0.566556	
380	0.535389	0.532633	0.542684	0.545390	0.540965	0.534057	0.533113	0.558274	0.540192	0.562805	
385	0.536655	0.534243	0.546637	0.543266	0.541108	0.532760	0.533433	0.554233	0.544770	0.556154	
390	0.538321	0.530331	0.554155	0.548756	0.540751	0.530083	0.535768	0.558895	0.542775	0.558284	
395	0.538230	0.531238	0.551855	0.547720	0.545496	0.529599	0.539153	0.555232	0.541558	0.560352	
400	0.537300	0.533386	0.555182	0.545670	0.547693	0.529705	0.539653	0.560341	0.542345	0.559381	
405	0.539592	0.534652	0.554219	0.545412	0.549914	0.530684	0.538982	0.563553	0.543643	0.564111	
410	0.537052	0.538037	0.554755	0.546430	0.549206	0.529439	0.542016	0.564304	0.539178	0.560235	
415	0.537518	0.539094	0.544623	0.544209	0.545137	0.526092	0.542632	0.561800	0.540310	0.560270	
420	0.534862	0.543035	0.546654	0.544509	0.542577	0.534202	0.543036	0.567076	0.541509	0.563126	
425	0.540855	0.537008	0.547788	0.544942	0.544022	0.533690	0.543185	0.567735	0.543867	0.563460	
430	0.540207	0.535037	0.547260	0.543063	0.547414	0.530950	0.540914	0.568953	0.545949	0.561663	
435	0.540094	0.538316	0.542125	0.544089	0.548963	0.531778	0.540005	0.567740	0.542549	0.558441	
440	0.544928	0.537378	0.545920	0.544637	0.551608	0.532737	0.540362	0.567583	0.541461	0.557591	
445	0.549488	0.538754	0.547281	0.544327	0.554746	0.534329	0.540456	0.569675	0.541342	0.556859	
450	0.547514	0.538013	0.550625	0.541803	0.552559	0.533119	0.541949	0.565801	0.545919	0.553846	
455	0.546113	0.537811	0.548750	0.542053	0.549796	0.533092	0.544406	0.562601	0.547266	0.557591	
460	0.545495	0.536389	0.545343	0.543675	0.552408	0.531601	0.545054	0.561582	0.551026	0.559067	
465	0.546078	0.540571	0.546272	0.545216	0.548427	0.537139	0.543069	0.563826	0.551994	0.556924	
470	0.548531	0.544323	0.545184	0.544659	0.549330	0.539953	0.543814	0.562528	0.550794	0.555378	
475	0.553027	0.548563	0.547996	0.546178	0.553137	0.540270	0.543535	0.567883	0.552140	0.557960	
480	0.555540	0.550246	0.540862	0.548128	0.554918	0.541567	0.543021	0.571421	0.555873	0.560802	
485	0.556011	0.550453	0.540495	0.545312	0.558212	0.541889	0.542644	0.575523	0.561880	0.563874	
490	0.555508	0.550717	0.536081	0.541958	0.560217	0.542156	0.541643	0.571720	0.561322	0.565186	
495	0.557844	0.547627	0.540108	0.543524	0.564974	0.542194	0.540363	0.570436	0.559327	0.562381	
500	0.558858	0.546128	0.538083	0.545490	0.560313	0.542336	0.536089	0.569947	0.558925	0.561467	
505	0.559715	0.546889	0.538387	0.549314	0.561541	0.541542	0.536127	0.567774	0.558141	0.557045	
510	0.562699	0.548243	0.542077	0.550143	0.560167	0.543285	0.538551	0.565361	0.555020	0.559244	
515	0.565646	0.545456	0.542032	0.548178	0.563611	0.546552	0.537338	0.564863	0.553409	0.564386	
520	0.563354	0.547681	0.541871	0.549693	0.566170	0.549612	0.539870	0.562912	0.552149	0.568676	
525	0.565897	0.547000	0.542449	0.548358	0.566306	0.551787	0.543272	0.558026	0.558354	0.566449	
530	0.563737	0.549990	0.545912	0.550670	0.567585	0.554271	0.544487	0.554874	0.558579	0.563875	
