R	a	b	z	x	u	grp
0	0.1	0.5	0.000001	0.907443	0	0.092556
0.05	0.1	0.5	0.341879	0.389573	0	0.268549
0.1	0.1	0.5	0.347256	0.27432	0	0.378423
0.15	0.1	0.5	0.330158	0.21063	0	0.459212
0.2	0.1	0.5	0.308063	0.168431	0	0.523506
0.25	0.1	0.5	0.285107	0.137822	0	0.577072
0.3	0.1	0.5	0.262558	0.11435	0	0.623092
0.35	0.1	0.5	0.240817	0.095654	0	0.663529
0.4	0.1	0.5	0.21997	0.080345	0	0.699685
0.45	0.1	0.5	0.199981	0.067542	0	0.732477
0.5	0.1	0.5	0.180769	0.056656	0	0.762576
0.55	0.1	0.5	0.16223	0.047276	0	0.790494
0.6	0.1	0.5	0.144257	0.039106	0	0.816637
0.65	0.1	0.5	0.126734	0.031929	0	0.841337
0.7	0.1	0.5	0.109542	0.025579	0	0.864879
0	0.15	0.5	0.000001	0.936322	0	0.063677
0.05	0.15	0.5	0.350614	0.440895	0	0.208491
0.1	0.15	0.5	0.372059	0.320638	0	0.307303
0.15	0.15	0.5	0.364763	0.251047	0	0.38419
0.2	0.15	0.5	0.348535	0.203469	0	0.447996
0.25	0.15	0.5	0.328898	0.168128	0	0.502974
0.3	0.15	0.5	0.307926	0.140509	0	0.551565
0.35	0.15	0.5	0.286509	0.118166	0	0.595325
0.4	0.15	0.5	0.265051	0.099633	0	0.635317
0.45	0.15	0.5	0.243727	0.083964	0	0.672308
0.5	0.15	0.5	0.2226	0.070521	0	0.706879
0.55	0.15	0.5	0.201666	0.058852	0	0.739482
0.6	0.15	0.5	0.180884	0.048628	0	0.770488
0.65	0.15	0.5	0.160184	0.039606	0	0.80021
0.7	0.15	0.5	0.139472	0.031602	0	0.828927
0	0.2	0.5	0.000001	0.951465	0	0.048534
0.05	0.2	0.5	0.354065	0.473471	0	0.172464
0.1	0.2	0.5	0.386954	0.350855	0	0.262191
0.15	0.2	0.5	0.387436	0.277773	0	0.334791
0.2	0.2	0.5	0.376342	0.226803	0	0.396854
0.25	0.2	0.5	0.360017	0.18835	0	0.451633
0.3	0.2	0.5	0.341013	0.157932	0	0.501056
0.35	0.2	0.5	0.320543	0.133082	0	0.546375
0.4	0.2	0.5	0.299229	0.112303	0	0.588468
0.45	0.2	0.5	0.277398	0.094623	0	0.627979
0.5	0.2	0.5	0.255217	0.079376	0	0.665406
0.55	0.2	0.5	0.232761	0.066091	0	0.701148
0.6	0.2	0.5	0.210041	0.054423	0	0.735536
0.65	0.2	0.5	0.187023	0.044116	0	0.768861
