T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.007645	0.004422	0.005531	0.006352	0.003251	0.004061	0.004043	0.004667	0.006380	0.005104	
10	0.096295	0.076450	0.073511	0.081736	0.055439	0.059011	0.065549	0.066776	0.080088	0.076291	
15	0.169286	0.131091	0.135175	0.152217	0.136334	0.115176	0.163444	0.120804	0.150707	0.148458	
20	0.214745	0.173853	0.164622	0.214080	0.187732	0.152030	0.221981	0.166993	0.184733	0.191144	
25	0.251841	0.228261	0.193573	0.271704	0.221131	0.193813	0.265882	0.212015	0.216260	0.237531	
30	0.283912	0.262328	0.215298	0.299174	0.239204	0.246839	0.292745	0.248927	0.259030	0.274102	
35	0.315425	0.291172	0.230926	0.313933	0.262508	0.289999	0.310847	0.289142	0.297416	0.307215	
40	0.349660	0.316875	0.247454	0.322741	0.294469	0.313716	0.326522	0.316449	0.336326	0.341368	
45	0.372684	0.339836	0.268861	0.331964	0.330115	0.334216	0.336112	0.329315	0.356784	0.363822	
50	0.391508	0.352444	0.286649	0.341537	0.365218	0.345128	0.348398	0.335902	0.373326	0.385933	
55	0.402619	0.370311	0.313122	0.352194	0.381960	0.358581	0.367121	0.348559	0.379734	0.394132	
60	0.412270	0.383937	0.325941	0.367023	0.400280	0.366940	0.378750	0.360255	0.392582	0.408948	
65	0.419400	0.390051	0.338985	0.374779	0.409635	0.382574	0.391672	0.371606	0.398438	0.419746	
70	0.426474	0.404240	0.357077	0.384267	0.419507	0.398936	0.402552	0.380928	0.397370	0.428434	
75	0.436846	0.409926	0.368791	0.398647	0.429723	0.408239	0.409672	0.384617	0.397941	0.430798	
80	0.436796	0.422315	0.384927	0.412098	0.438411	0.420974	0.416641	0.395776	0.402065	0.436506	
85	0.430560	0.434537	0.399186	0.418573	0.442368	0.426021	0.422176	0.404927	0.407307	0.439971	
90	0.432583	0.444392	0.416107	0.426007	0.450762	0.432380	0.427165	0.415780	0.409275	0.440130	
95	0.432955	0.446845	0.422472	0.434401	0.451803	0.435112	0.429589	0.419423	0.413758	0.447158	
100	0.438011	0.456524	0.431109	0.434565	0.455442	0.445738	0.435329	0.419710	0.417803	0.450597	
105	0.436219	0.459131	0.433505	0.438100	0.454275	0.448228	0.442858	0.427415	0.422869	0.442378	
110	0.440662	0.462946	0.440516	0.440634	0.458601	0.451934	0.444886	0.436928	0.434431	0.449959	
115	0.444725	0.465984	0.443268	0.447595	0.457119	0.455760	0.446736	0.445525	0.440904	0.453988	
120	0.447778	0.470736	0.449832	0.448534	0.456455	0.469164	0.452050	0.445237	0.446921	0.458473	
125	0.450727	0.470061	0.455030	0.449518	0.455594	0.464857	0.452806	0.452642	0.449534	0.458940	
130	0.451047	0.466919	0.457026	0.454319	0.454383	0.467937	0.449161	0.456453	0.448043	0.462178	
135	0.451849	0.464300	0.462082	0.457677	0.456489	0.474803	0.444639	0.457323	0.454318	0.456583	
140	0.455545	0.462909	0.461003	0.458110	0.460497	0.469706	0.445154	0.465244	0.454130	0.454556	
145	0.454564	0.462760	0.462466	0.462142	0.464566	0.473873	0.446157	0.466952	0.454031	0.447960	
150	0.456884	0.461446	0.468868	0.465819	0.467980	0.480448	0.449479	0.470229	0.458465	0.447090	
155	0.461348	0.465574	0.471291	0.467894	0.467220	0.484705	0.452729	0.468762	0.464577	0.444522	
160	0.463992	0.471594	0.473755	0.471922	0.462884	0.482330	0.453969	0.470598	0.468781	0.441592	
165	0.468089	0.468524	0.470594	0.478231	0.463713	0.484084	0.454841	0.471010	0.464412	0.446024	
170	0.466238	0.471863	0.470461	0.475653	0.464867	0.478699	0.459536	0.471018	0.464929	0.441903	
175	0.464260	0.472154	0.475124	0.474563	0.467851	0.478728	0.461136	0.472031	0.472161	0.442304	
180	0.463054	0.474911	0.473111	0.477155	0.473621	0.476617	0.454327	0.471848	0.471920	0.446339	
185	0.463259	0.473927	0.474557	0.475717	0.474471	0.468014	0.456097	0.468814	0.475343	0.442466	
190	0.462375	0.471808	0.476045	0.476467	0.474897	0.474192	0.460011	0.467108	0.484303	0.442152	
195	0.469274	0.476569	0.475943	0.472990	0.474956	0.482074	0.464118	0.474976	0.479531	0.439705	
200	0.464961	0.486288	0.476932	0.481269	0.478512	0.485671	0.467305	0.476837	0.480123	0.441773	
205	0.467098	0.488997	0.481283	0.480051	0.483119	0.479002	0.462866	0.482087	0.482432	0.446131	
210	0.470667	0.492380	0.481787	0.482962	0.482742	0.479534	0.464635	0.482178	0.477522	0.453970	
215	0.468369	0.498624	0.482161	0.485146	0.478598	0.482503	0.467806	0.477438	0.474940	0.449898	
220	0.476182	0.498119	0.482851	0.485255	0.486156	0.481463	0.467042	0.483898	0.475540	0.457232	
225	0.475466	0.494625	0.482538	0.488490	0.488127	0.479689	0.470298	0.484651	0.478437	0.460080	
230	0.473724	0.492711	0.482943	0.491081	0.487259	0.477288	0.467750	0.486601	0.475551	0.457380	
235	0.472366	0.493007	0.478717	0.491640	0.484927	0.481422	0.467834	0.490714	0.477248	0.460960	
240	0.476735	0.496769	0.479104	0.493677	0.488882	0.484240	0.465249	0.494204	0.475412	0.460688	
245	0.479095	0.497766	0.479714	0.492078	0.492923	0.480004	0.466252	0.493248	0.474130	0.465408	
250	0.483394	0.497529	0.475639	0.485474	0.487370	0.480779	0.464217	0.495586	0.474785	0.464689	
255	0.482766	0.500810	0.478104	0.486068	0.489408	0.480557	0.467891	0.498154	0.478226	0.461162	
260	0.481906	0.502001	0.481298	0.486165	0.493022	0.485531	0.472058	0.494929	0.477637	0.463630	
265	0.483738	0.504399	0.479001	0.481655	0.499816	0.494991	0.468257	0.492686	0.482895	0.467421	
270	0.486232	0.502199	0.480143	0.479599	0.501862	0.495867	0.461215	0.494772	0.482198	0.469874	
275	0.484320	0.502162	0.485595	0.477511	0.500169	0.501815	0.463833	0.493483	0.484553	0.471413	
280	0.490706	0.504706	0.488606	0.483338	0.502331	0.501814	0.466616	0.485721	0.486483	0.468568	
285	0.491114	0.507857	0.488996	0.480172	0.502032	0.500842	0.465184	0.481321	0.486445	0.467592	
290	0.490065	0.504116	0.489055	0.484864	0.505260	0.503344	0.468245	0.483495	0.481685	0.465213	
295	0.490009	0.503022	0.487383	0.484198	0.505756	0.508487	0.467335	0.483765	0.483921	0.461043	
300	0.487701	0.504193	0.488548	0.483651	0.506686	0.510855	0.466427	0.487533	0.484739	0.457122	
305	0.486107	0.502746	0.484751	0.489689	0.503576	0.509148	0.467873	0.487069	0.487024	0.459739	
310	0.483208	0.501091	0.482713	0.486701	0.498773	0.511128	0.467228	0.490861	0.486676	0.463299	
315	0.481973	0.502208	0.483540	0.487088	0.500464	0.509060	0.471315	0.485466	0.486226	0.466490	
320	0.481456	0.502557	0.488891	0.489072	0.497603	0.505865	0.467353	0.490028	0.486448	0.468851	
325	0.486432	0.502821	0.490517	0.487164	0.503395	0.504858	0.467249	0.490187	0.489478	0.477781	
330	0.490142	0.500781	0.488869	0.488813	0.497997	0.507820	0.472065	0.493045	0.488364	0.471522	
335	0.484709	0.501246	0.486562	0.492546	0.492175	0.509361	0.474569	0.491033	0.492066	0.473846	
340	0.489338	0.506113	0.486411	0.484688	0.490863	0.511371	0.473805	0.491857	0.489513	0.474602	
345	0.486794	0.509342	0.486710	0.487288	0.495192	0.504850	0.474011	0.488583	0.488298	0.479535	
350	0.484551	0.510973	0.485310	0.485873	0.497186	0.506977	0.478054	0.486471	0.488052	0.484213	
355	0.486919	0.515203	0.484316	0.486436	0.491971	0.504142	0.479123	0.484634	0.487041	0.484946	
360	0.490099	0.513562	0.486378	0.483555	0.490941	0.503940	0.475398	0.484150	0.487875	0.484110	
365	0.489362	0.518932	0.492282	0.483079	0.494514	0.504970	0.475245	0.485379	0.484884	0.478413	
370	0.495919	0.517113	0.491025	0.482068	0.490735	0.503654	0.476220	0.486745	0.488547	0.484293	
375	0.496631	0.517249	0.489534	0.482724	0.491991	0.505087	0.475565	0.485695	0.490356	0.487757	
380	0.495029	0.514804	0.484221	0.484377	0.492153	0.502880	0.483027	0.482283	0.490376	0.486227	
385	0.495226	0.513645	0.484018	0.486065	0.491838	0.503326	0.477369	0.486500	0.492630	0.482692	
390	0.492821	0.516618	0.489042	0.483935	0.494012	0.504007	0.485407	0.486076	0.498369	0.486680	
395	0.488908	0.513130	0.482174	0.485060	0.496169	0.502553	0.481439	0.484887	0.500228	0.489269	
400	0.485972	0.513067	0.484120	0.485480	0.498331	0.498823	0.475407	0.484690	0.499896	0.489726	
405	0.484216	0.512897	0.482354	0.483963	0.500696	0.497017	0.476368	0.485194	0.499040	0.495909	
410	0.486259	0.516149	0.485127	0.483160	0.495048	0.496265	0.477495	0.487210	0.502078	0.498394	
415	0.487047	0.514943	0.482104	0.476974	0.498651	0.491588	0.474827	0.491400	0.499877	0.497745	
420	0.487401	0.514123	0.484044	0.477725	0.498566	0.491090	0.478816	0.488973	0.493636	0.491505	
425	0.484616	0.514344	0.481752	0.477022	0.501107	0.496367	0.481751	0.491160	0.498540	0.494232	
430	0.484721	0.508865	0.478355	0.477237	0.501144	0.496359	0.482640	0.488516	0.500970	0.492220	
435	0.482165	0.504837	0.479792	0.477002	0.499321	0.495406	0.481584	0.486976	0.504804	0.494343	
440	0.483852	0.502537	0.483008	0.478876	0.497181	0.498343	0.482308	0.486827	0.500945	0.499062	
445	0.484368	0.501496	0.484523	0.479630	0.495223	0.500209	0.486748	0.486658	0.504555	0.503208	
450	0.485803	0.501521	0.482572	0.482481	0.495434	0.495166	0.488337	0.481745	0.508137	0.502668	
455	0.486347	0.500340	0.488131	0.485088	0.497378	0.494718	0.485304	0.483494	0.505550	0.502289	
460	0.488120	0.500921	0.493465	0.484896	0.497256	0.496449	0.483672	0.480742	0.507000	0.505488	
465	0.485091	0.497399	0.494457	0.488016	0.500031	0.498627	0.483473	0.482716	0.509101	0.510759	
470	0.488314	0.495849	0.493291	0.483737	0.501286	0.497066	0.478706	0.481786	0.511292	0.507937	
475	0.494209	0.497370	0.488673	0.480361	0.502229	0.494375	0.483541	0.482694	0.508923	0.507548	
480	0.486861	0.499765	0.492294	0.483172	0.496077	0.495290	0.485469	0.486423	0.507715	0.504109	
485	0.481092	0.501642	0.493328	0.482353	0.500072	0.496812	0.489572	0.489205	0.503259	0.502043	
490	0.483345	0.504887	0.495870	0.485208	0.502826	0.497563	0.490589	0.488792	0.498756	0.499140	
495	0.484542	0.508388	0.497387	0.482891	0.500527	0.500029	0.491044	0.490858	0.498113	0.498730	
500	0.486407	0.509984	0.492820	0.487527	0.502785	0.500474	0.491317	0.489357	0.496955	0.501198	
505	0.482349	0.504947	0.495686	0.492468	0.500463	0.497829	0.491835	0.497685	0.499775	0.502790	
510	0.484104	0.510502	0.493308	0.494081	0.498929	0.495950	0.494305	0.495046	0.498752	0.504758	
515	0.484088	0.507563	0.495330	0.491167	0.496676	0.495325	0.490332	0.495839	0.499013	0.510777	
520	0.485445	0.506360	0.494908	0.486486	0.493125	0.494517	0.494095	0.498393	0.496398	0.512382	
525	0.486088	0.507051	0.494111	0.484370	0.495969	0.492840	0.491905	0.500892	0.502187	0.511349	
530	0.483803	0.506346	0.493517	0.483666	0.493878	0.496123	0.488901	0.498528	0.503295	0.508599	
535	0.485927	0.505664	0.493396	0.479039	0.494926	0.493313	0.487580	0.503304	0.501429	0.503722	
540	0.486413	0.508565	0.492689	0.478669	0.491973	0.488709	0.493774	0.500851	0.503198	0.503276	
545	0.483043	0.507419	0.496119	0.477687	0.493450	0.485542	0.486775	0.503524	0.504434	0.504601	
550	0.483819	0.508814	0.495839	0.473363	0.495636	0.484177	0.490845	0.505429	0.499056	0.510028	
555	0.486249	0.508344	0.499756	0.475079	0.491791	0.487052	0.491379	0.502864	0.499707	0.507361	
560	0.478659	0.509625	0.500854	0.472254	0.491175	0.489584	0.490466	0.501797	0.492413	0.512512	
565	0.480382	0.507892	0.506634	0.479808	0.491130	0.490335	0.486581	0.502528	0.491199	0.510304	
570	0.479680	0.510189	0.503980	0.479618	0.492641	0.492119	0.482996	0.503747	0.489554	0.506120	
575	0.478889	0.512482	0.503479	0.482716	0.498419	0.494429	0.482127	0.502622	0.494184	0.510479	
580	0.480442	0.510289	0.502615	0.479768	0.496913	0.493506	0.478826	0.504079	0.499988	0.506086	
585	0.486486	0.511659	0.502995	0.477955	0.495957	0.496327	0.482645	0.504045	0.496276	0.505325	
590	0.488351	0.512612	0.499105	0.476201	0.504245	0.493004	0.486102	0.504228	0.496710	0.503946	
595	0.486245	0.508274	0.500584	0.480494	0.503653	0.487610	0.484702	0.501578	0.491597	0.503725	
600	0.482189	0.506480	0.499547	0.480889	0.502686	0.485202	0.478888	0.496914	0.494772	0.501477	
605	0.482337	0.505650	0.499974	0.482414	0.501813	0.484050	0.473971	0.501419	0.493698	0.501611	
610	0.485452	0.504331	0.496213	0.481150	0.498350	0.483341	0.472358	0.498042	0.494530	0.494798	
615	0.486197	0.507730	0.496659	0.481667	0.498501	0.484459	0.471739	0.499417	0.490124	0.488753	
620	0.492215	0.506067	0.495065	0.482720	0.501321	0.483540	0.474419	0.501136	0.493375	0.491269	
625	0.489791	0.505067	0.499482	0.480417	0.498032	0.486742	0.471929	0.499748	0.494518	0.489396	
630	0.490611	0.508459	0.500217	0.480134	0.500144	0.489085	0.477621	0.502317	0.494845	0.494354	
635	0.490301	0.505604	0.500013	0.480475	0.498652	0.487514	0.475090	0.506391	0.488776	0.495007	
640	0.494032	0.503615	0.497100	0.477078	0.499018	0.486959	0.477267	0.505963	0.486011	0.494574	
645	0.489886	0.507173	0.495660	0.482689	0.499348	0.486234	0.474099	0.504870	0.483796	0.496084	
650	0.487705	0.508838	0.492403	0.476352	0.500268	0.485602	0.475638	0.499528	0.484384	0.497656	
655	0.484427	0.509509	0.491719	0.475462	0.500978	0.486493	0.476270	0.501660	0.487518	0.492773	
660	0.489809	0.504003	0.491880	0.480403	0.501696	0.485302	0.481379	0.499685	0.492526	0.493627	
665	0.489051	0.505852	0.492647	0.483648	0.499615	0.484642	0.481919	0.502984	0.491278	0.490023	
670	0.491875	0.508858	0.494062	0.483733	0.495655	0.484521	0.484895	0.500789	0.492122	0.490913	
675	0.491416	0.513889	0.499006	0.481801	0.500717	0.486034	0.479775	0.501766	0.491547	0.494650	
680	0.488494	0.515652	0.501571	0.484827	0.502808	0.488315	0.481416	0.500132	0.497804	0.498707	
685	0.492265	0.513395	0.504652	0.490307	0.504445	0.485182	0.485351	0.499150	0.500216	0.499995	
690	0.490892	0.519058	0.506372	0.492559	0.505875	0.483841	0.483254	0.498933	0.506216	0.501719	
695	0.487984	0.517187	0.507735	0.492527	0.507887	0.479682	0.482399	0.497050	0.504819	0.502077	
700	0.490452	0.514732	0.506248	0.491120	0.506383	0.480184	0.483104	0.499477	0.502130	0.501444	
705	0.491440	0.510527	0.508154	0.493107	0.506313	0.482587	0.484359	0.498646	0.498882	0.502495	
710	0.485888	0.513110	0.507327	0.496227	0.502494	0.484407	0.481165	0.496616	0.496396	0.501352	
715	0.488004	0.514183	0.512372	0.495472	0.504869	0.484152	0.480983	0.497947	0.497519	0.501603	
720	0.487980	0.516727	0.502653	0.493735	0.503494	0.487648	0.484764	0.496106	0.497532	0.498895	
725	0.483637	0.517605	0.500883	0.498106	0.504485	0.488009	0.485351	0.496778	0.499353	0.500826	
