R	z	x	u	grp_fit	
0.000000	0.873094	0.113403	0.000000	0.013503	
0.010000	0.862355	0.111111	0.000000	0.026534	
0.020000	0.851757	0.108867	0.000000	0.039376	
0.030000	0.841294	0.106667	0.000000	0.052039	
0.040000	0.830960	0.104510	0.000000	0.064530	
0.050000	0.820748	0.102394	0.000000	0.076858	
0.060000	0.810653	0.100318	0.000000	0.089030	
0.070000	0.800668	0.098278	0.000000	0.101053	
0.080000	0.790790	0.096276	0.000000	0.112935	
0.090000	0.781012	0.094308	0.000000	0.124680	
0.100000	0.771331	0.092374	0.000000	0.136296	
0.110000	0.761741	0.090472	0.000000	0.147787	
0.120000	0.752240	0.088601	0.000000	0.159159	
0.130000	0.742822	0.086760	0.000000	0.170418	
0.140000	0.733484	0.084949	0.000000	0.181567	
0.150000	0.724223	0.083166	0.000000	0.192611	
0.160000	0.715035	0.081410	0.000000	0.203555	
0.170000	0.705916	0.079681	0.000000	0.214403	
0.180000	0.696865	0.077978	0.000000	0.225158	
0.190000	0.687877	0.076299	0.000000	0.235824	
0.200000	0.678950	0.074645	0.000000	0.246405	
0.210000	0.670081	0.073014	0.000000	0.256905	
0.220000	0.661268	0.071406	0.000000	0.267326	
0.230000	0.652508	0.069821	0.000000	0.277672	
0.240000	0.643798	0.068257	0.000000	0.287945	
0.250000	0.635137	0.066715	0.000000	0.298149	
0.260000	0.626521	0.065193	0.000000	0.308286	
0.270000	0.617949	0.063691	0.000000	0.318359	
0.280000	0.609419	0.062210	0.000000	0.328371	
0.290000	0.600929	0.060747	0.000000	0.338324	
0.300000	0.592476	0.059304	0.000000	0.348220	
0.310000	0.584058	0.057879	0.000000	0.358062	
0.320000	0.575675	0.056472	0.000000	0.367853	
0.330000	0.567323	0.055084	0.000000	0.377593	
0.340000	0.559002	0.053712	0.000000	0.387286	
0.350000	0.550708	0.052358	0.000000	0.396933	
0.360000	0.542442	0.051021	0.000000	0.406537	
0.370000	0.534200	0.049700	0.000000	0.416099	
0.380000	0.525982	0.048396	0.000000	0.425621	
0.390000	0.517786	0.047108	0.000000	0.435106	
0.400000	0.509610	0.045836	0.000000	0.444554	
0.410000	0.501452	0.044580	0.000000	0.453968	
0.420000	0.493312	0.043339	0.000000	0.463349	
0.430000	0.485187	0.042113	0.000000	0.472699	
0.440000	0.477077	0.040903	0.000000	0.482020	
0.450000	0.468979	0.039708	0.000000	0.491313	
0.460000	0.460892	0.038528	0.000000	0.500580	
0.470000	0.452816	0.037362	0.000000	0.509822	
0.480000	0.444748	0.036211	0.000000	0.519041	
0.490000	0.436687	0.035075	0.000000	0.528238	
0.500000	0.428631	0.033953	0.000000	0.537416	
0.510000	0.420580	0.032846	0.000000	0.546574	
0.520000	0.412532	0.031753	0.000000	0.555715	
0.530000	0.404486	0.030674	0.000000	0.564840	
0.540000	0.396440	0.029610	0.000000	0.573950	
0.550000	0.388392	0.028560	0.000000	0.583048	
0.560000	0.380342	0.027525	0.000000	0.592133	
0.570000	0.372289	0.026503	0.000000	0.601208	
0.580000	0.364230	0.025496	0.000000	0.610274	
0.590000	0.356164	0.024504	0.000000	0.619332	
0.600000	0.348091	0.023526	0.000000	0.628383	
0.610000	0.340008	0.022563	0.000000	0.637429	
0.620000	0.331915	0.021614	0.000000	0.646471	
0.630000	0.323810	0.020680	0.000000	0.655510	
0.640000	0.315691	0.019761	0.000000	0.664548	
0.650000	0.307557	0.018858	0.000000	0.673586	
0.660000	0.299406	0.017969	0.000000	0.682625	
0.670000	0.291238	0.017096	0.000000	0.691666	
0.680000	0.283051	0.016238	0.000000	0.700711	
0.690000	0.274843	0.015396	0.000000	0.709761	
0.700000	0.266612	0.014571	0.000000	0.718817	
