T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.005158	0.006496	0.003056	0.004148	0.003699	0.006815	0.004040	0.003277	0.003424	0.003970	
10	0.069189	0.073437	0.066278	0.061600	0.053438	0.080729	0.052557	0.045470	0.058520	0.072626	
15	0.162718	0.161681	0.129826	0.143818	0.126433	0.138042	0.130383	0.114261	0.131980	0.149047	
20	0.256800	0.207470	0.160956	0.193592	0.164373	0.160397	0.206213	0.150784	0.168601	0.195443	
25	0.305483	0.246685	0.191897	0.223788	0.197636	0.181302	0.245300	0.199237	0.203985	0.233940	
30	0.329148	0.273659	0.235776	0.255567	0.226928	0.205663	0.275462	0.249179	0.248116	0.270197	
35	0.339532	0.303074	0.281197	0.279664	0.256575	0.235535	0.294394	0.281214	0.285990	0.312590	
40	0.346288	0.331641	0.327502	0.297455	0.281509	0.272403	0.314146	0.309148	0.320730	0.342713	
45	0.351528	0.351124	0.366530	0.310083	0.307980	0.303205	0.342781	0.327189	0.347097	0.369502	
50	0.357583	0.376573	0.391554	0.323414	0.322437	0.322907	0.362398	0.340490	0.364950	0.387758	
55	0.360583	0.400291	0.409381	0.342648	0.345369	0.342149	0.381397	0.350265	0.382897	0.399210	
60	0.362833	0.409631	0.419724	0.356981	0.362322	0.350772	0.398428	0.366889	0.396658	0.410693	
65	0.372268	0.419498	0.425631	0.368622	0.372154	0.357590	0.408372	0.378187	0.413786	0.414674	
70	0.382099	0.434706	0.434937	0.383320	0.382376	0.361205	0.422479	0.389773	0.428118	0.419308	
75	0.390829	0.444525	0.443415	0.405506	0.389315	0.370353	0.430342	0.392367	0.441621	0.428233	
80	0.395344	0.449704	0.451841	0.415734	0.395889	0.373724	0.439484	0.405156	0.453711	0.431061	
85	0.397000	0.459374	0.452803	0.427404	0.406818	0.377350	0.447295	0.407416	0.461788	0.435994	
90	0.400973	0.466430	0.452976	0.434927	0.416944	0.384070	0.464682	0.411076	0.468480	0.444964	
95	0.402859	0.468647	0.451180	0.449825	0.427399	0.391637	0.473311	0.419650	0.471579	0.447312	
100	0.412303	0.472009	0.456543	0.443487	0.431575	0.398496	0.476111	0.427626	0.470022	0.453073	
105	0.421838	0.472373	0.459053	0.448136	0.436182	0.407243	0.479943	0.432242	0.475894	0.454833	
110	0.429406	0.473770	0.463828	0.449733	0.440207	0.414741	0.478451	0.434137	0.483580	0.456762	
115	0.430283	0.478438	0.468046	0.449755	0.446913	0.421651	0.478540	0.438618	0.482625	0.460986	
120	0.442638	0.483957	0.466818	0.452451	0.453723	0.430579	0.482758	0.444251	0.485841	0.459552	
125	0.441984	0.479288	0.467518	0.455861	0.460599	0.431718	0.484839	0.450917	0.488279	0.459355	
130	0.444227	0.484654	0.468170	0.456238	0.462170	0.433813	0.480557	0.452222	0.487809	0.458963	
135	0.450413	0.488065	0.471658	0.459285	0.465789	0.436497	0.486183	0.454992	0.488273	0.467002	
140	0.447743	0.490947	0.470153	0.467118	0.469176	0.438017	0.483392	0.456565	0.485382	0.465591	
145	0.447949	0.491174	0.469766	0.465581	0.469501	0.438170	0.481563	0.460867	0.489051	0.462674	
150	0.446009	0.492637	0.468995	0.466179	0.475956	0.442604	0.480344	0.462941	0.487478	0.458628	
155	0.446463	0.486350	0.467934	0.463104	0.473468	0.444970	0.478938	0.461797	0.488628	0.461653	
160	0.447039	0.485920	0.462558	0.465095	0.474337	0.447103	0.481851	0.465573	0.485381	0.462815	
165	0.441838	0.484705	0.461943	0.465180	0.476059	0.448459	0.484010	0.470370	0.481784	0.469458	
170	0.445243	0.486373	0.459766	0.464951	0.479786	0.449689	0.487542	0.475552	0.477065	0.468239	
175	0.440705	0.487022	0.462956	0.465311	0.481174	0.455950	0.483842	0.479494	0.476668	0.469482	
180	0.445951	0.483492	0.460991	0.459121	0.472741	0.450858	0.479591	0.475307	0.469942	0.467914	
185	0.445197	0.484323	0.455749	0.457606	0.474542	0.445393	0.484015	0.473937	0.462946	0.473068	
190	0.448942	0.478403	0.459152	0.452572	0.474911	0.447352	0.479854	0.468505	0.466622	0.472626	
195	0.449375	0.475822	0.459442	0.445655	0.475404	0.449076	0.476570	0.465284	0.460310	0.472961	
200	0.455942	0.472482	0.454363	0.444219	0.473162	0.451973	0.481773	0.463166	0.460845	0.471082	
205	0.454438	0.471799	0.454586	0.446284	0.471382	0.451155	0.474441	0.470907	0.460149	0.474460	
210	0.454254	0.473524	0.453192	0.448451	0.468273	0.448592	0.470716	0.469723	0.462813	0.472254	
215	0.450723	0.475822	0.452490	0.450907	0.465907	0.446615	0.469650	0.468985	0.461675	0.474889	
220	0.451828	0.475568	0.453841	0.445444	0.461781	0.444573	0.466449	0.461988	0.457574	0.476205	
225	0.455328	0.469140	0.454973	0.451704	0.461316	0.439675	0.471578	0.465646	0.450943	0.475624	
230	0.448861	0.467093	0.458618	0.457811	0.463392	0.439487	0.471735	0.471012	0.453487	0.470610	
235	0.447595	0.465346	0.457374	0.454429	0.460423	0.439680	0.468364	0.473165	0.447911	0.466256	
240	0.450015	0.464520	0.457511	0.450149	0.461632	0.437574	0.466778	0.473512	0.442829	0.459351	
245	0.446913	0.462609	0.456948	0.449015	0.457119	0.438736	0.461676	0.474417	0.444476	0.463677	
250	0.449860	0.463556	0.455119	0.448573	0.459213	0.437604	0.462893	0.471773	0.440872	0.463746	
255	0.448943	0.459730	0.451331	0.447367	0.460036	0.436555	0.466036	0.470596	0.443913	0.462546	
260	0.449452	0.455998	0.450658	0.446795	0.457817	0.443153	0.458369	0.471578	0.444644	0.464348	
265	0.447357	0.459295	0.452790	0.447085	0.459749	0.447057	0.459379	0.469284	0.447241	0.461473	
270	0.446968	0.457290	0.452320	0.442826	0.457389	0.447231	0.462138	0.468100	0.446132	0.460817	
275	0.442019	0.456939	0.451507	0.443526	0.461144	0.444436	0.462382	0.470530	0.445497	0.465155	
280	0.439760	0.457836	0.451066	0.442211	0.459723	0.440469	0.463386	0.474662	0.451718	0.464540	
285	0.440724	0.458964	0.450511	0.441116	0.454366	0.443643	0.455000	0.476452	0.450055	0.463458	
290	0.440805	0.454927	0.450018	0.436110	0.453565	0.443972	0.449444	0.475414	0.448372	0.465845	
295	0.440422	0.456692	0.448621	0.434198	0.458117	0.444058	0.448948	0.468615	0.448119	0.462228	
300	0.441191	0.451525	0.447421	0.432631	0.457905	0.442028	0.449771	0.470639	0.445670	0.459417	
305	0.439819	0.452144	0.448243	0.435052	0.458857	0.441953	0.448113	0.467834	0.448046	0.460608	
310	0.436740	0.451242	0.447543	0.432839	0.457186	0.443059	0.445702	0.462700	0.446247	0.457585	
315	0.441415	0.449248	0.447934	0.436965	0.457207	0.442231	0.445774	0.465705	0.451189	0.455828	
320	0.440878	0.449775	0.449560	0.442691	0.453413	0.441782	0.444219	0.465120	0.451103	0.456240	
325	0.434573	0.444353	0.449009	0.442285	0.454703	0.442144	0.443168	0.463980	0.447234	0.458081	
330	0.433970	0.440777	0.449363	0.435653	0.449215	0.443459	0.442583	0.454864	0.448003	0.457558	
335	0.433528	0.441284	0.457378	0.435556	0.448055	0.441048	0.443039	0.456222	0.448470	0.455797	
340	0.433317	0.439407	0.452599	0.434919	0.448175	0.438491	0.442089	0.456181	0.451182	0.460551	
345	0.434424	0.440143	0.452424	0.433192	0.450289	0.439640	0.445248	0.457020	0.452187	0.451977	
350	0.435458	0.439750	0.454194	0.436403	0.451374	0.440267	0.446435	0.461088	0.452899	0.452718	
355	0.436568	0.441487	0.452525	0.441011	0.447973	0.436234	0.450824	0.462436	0.451833	0.449768	
360	0.435645	0.441929	0.449389	0.442760	0.450914	0.435185	0.451474	0.463180	0.455884	0.454383	
365	0.439960	0.440074	0.448755	0.444951	0.448386	0.432174	0.451090	0.456090	0.456031	0.453569	
370	0.437302	0.442499	0.445896	0.442368	0.448333	0.428521	0.455165	0.454676	0.454321	0.455704	
375	0.440679	0.446630	0.446133	0.446366	0.447342	0.430342	0.448526	0.454094	0.456403	0.455611	
