T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001733	0.001987	0.002331	0.001793	0.001564	0.001307	0.000946	0.001388	0.002025	0.002066	
110	0.004741	0.004763	0.003063	0.004845	0.002880	0.003748	0.002876	0.003138	0.005037	0.004342	
115	0.008163	0.008329	0.006258	0.007338	0.005128	0.005828	0.006298	0.004764	0.007777	0.006832	
120	0.010891	0.013175	0.009360	0.012140	0.007967	0.011555	0.009222	0.006023	0.009815	0.009452	
125	0.013918	0.013726	0.012730	0.014590	0.010904	0.015174	0.013760	0.010346	0.012898	0.014825	
130	0.019011	0.016165	0.016755	0.018645	0.015623	0.019387	0.017377	0.013911	0.016758	0.017973	
135	0.022491	0.019521	0.021658	0.023126	0.017672	0.023769	0.021783	0.015256	0.021314	0.019382	
140	0.025603	0.023776	0.024022	0.028847	0.022019	0.028412	0.026981	0.018456	0.022990	0.024648	
145	0.031919	0.029714	0.029854	0.032886	0.027612	0.034648	0.029270	0.024685	0.028402	0.031280	
150	0.036881	0.033664	0.036689	0.038182	0.029940	0.038333	0.033634	0.028558	0.031288	0.033115	
155	0.040650	0.036205	0.039605	0.038562	0.034058	0.043460	0.037084	0.032750	0.033277	0.038913	
160	0.044142	0.042782	0.043003	0.042578	0.038094	0.048341	0.038666	0.035652	0.036815	0.042983	
165	0.046659	0.044603	0.045571	0.047175	0.040359	0.053834	0.041428	0.040225	0.038109	0.045231	
170	0.050312	0.047038	0.047821	0.047588	0.044643	0.055550	0.044122	0.041103	0.041101	0.047525	
175	0.052260	0.048969	0.048414	0.049925	0.048149	0.057587	0.047071	0.042173	0.043429	0.049987	
180	0.051410	0.051544	0.048453	0.052162	0.049961	0.057070	0.047740	0.042821	0.045138	0.049338	
185	0.052105	0.051193	0.050605	0.055273	0.050002	0.058963	0.048425	0.043605	0.045363	0.050057	
190	0.053373	0.051412	0.051026	0.055493	0.048079	0.058148	0.048486	0.045718	0.046755	0.051126	
195	0.055318	0.049537	0.050539	0.056150	0.048430	0.060356	0.050210	0.044766	0.044243	0.050456	
200	0.054721	0.051548	0.049883	0.054549	0.049122	0.060186	0.050714	0.044842	0.043820	0.049822	
205	0.053731	0.051157	0.048856	0.056032	0.048954	0.059902	0.052309	0.045916	0.044469	0.050602	
210	0.051305	0.053132	0.048692	0.056073	0.048160	0.059219	0.054434	0.047464	0.042786	0.052524	
215	0.051865	0.052606	0.049125	0.055106	0.049614	0.058167	0.052995	0.047882	0.042865	0.054231	
220	0.053039	0.051260	0.049809	0.054616	0.049982	0.056062	0.053610	0.048627	0.044625	0.051059	
225	0.053528	0.051794	0.049512	0.053825	0.051058	0.055360	0.052108	0.047790	0.044901	0.051460	
230	0.053344	0.050788	0.047107	0.053244	0.052688	0.054734	0.054641	0.047253	0.044346	0.053670	
235	0.052209	0.053145	0.046602	0.052313	0.052990	0.056125	0.052581	0.047585	0.045363	0.052683	
240	0.051411	0.052644	0.046888	0.052516	0.054606	0.054183	0.052780	0.046294	0.046468	0.052494	
245	0.051837	0.051835	0.045680	0.053493	0.053632	0.055552	0.056501	0.046382	0.045102	0.050960	
250	0.051345	0.054338	0.046626	0.053412	0.053957	0.056217	0.058477	0.047264	0.045135	0.051147	
255	0.051689	0.055457	0.047334	0.051270	0.055887	0.055949	0.059041	0.047201	0.046326	0.052400	
260	0.052133	0.054339	0.046330	0.051184	0.057141	0.056409	0.054209	0.047395	0.049637	0.052925	
265	0.049650	0.055938	0.049744	0.050505	0.057108	0.055902	0.053874	0.046515	0.049528	0.051280	
270	0.048081	0.056880	0.049943	0.052229	0.056573	0.055523	0.052178	0.045889	0.048495	0.051839	
275	0.048707	0.056067	0.049861	0.051698	0.056939	0.054528	0.051759	0.045093	0.049639	0.053737	
280	0.047078	0.055669	0.050140	0.051559	0.058195	0.056435	0.051504	0.044030	0.048129	0.053015	
285	0.048164	0.056750	0.050660	0.049758	0.056683	0.053362	0.053191	0.045836	0.047891	0.051009	
290	0.049146	0.055942	0.051111	0.050574	0.058155	0.052112	0.054591	0.046308	0.047140	0.050197	
295	0.047456	0.055927	0.050933	0.050995	0.056283	0.050223	0.053085	0.046419	0.048686	0.049797	
300	0.047638	0.055884	0.049231	0.051272	0.054853	0.050659	0.054300	0.044671	0.048920	0.050132	
305	0.047590	0.055841	0.048989	0.049723	0.054459	0.050393	0.054895	0.045459	0.049375	0.048752	
310	0.048641	0.054992	0.048614	0.049576	0.053991	0.050728	0.056679	0.046538	0.046149	0.049706	
315	0.048204	0.055007	0.050051	0.051455	0.052087	0.050850	0.057538	0.046289	0.047175	0.050951	
320	0.048131	0.053489	0.051163	0.051996	0.053410	0.049994	0.057800	0.047727	0.047005	0.050862	
325	0.046629	0.053881	0.049530	0.052194	0.053451	0.049827	0.059227	0.050743	0.046030	0.049840	
330	0.046667	0.055496	0.050515	0.053659	0.052390	0.048300	0.057622	0.050937	0.044252	0.051134	
335	0.046350	0.055713	0.049497	0.053561	0.051362	0.051268	0.055894	0.051563	0.046712	0.051271	
340	0.046484	0.054859	0.048595	0.051809	0.052389	0.051856	0.057607	0.050138	0.043898	0.052367	
345	0.045924	0.054156	0.047440	0.052467	0.051043	0.050454	0.056605	0.050348	0.042055	0.049400	
350	0.048575	0.055152	0.046874	0.053311	0.052495	0.050346	0.056065	0.049978	0.042050	0.050252	
355	0.048901	0.054452	0.046255	0.053956	0.053385	0.050832	0.055094	0.049991	0.040839	0.048949	
360	0.047392	0.053743	0.046857	0.053791	0.053967	0.051281	0.055226	0.050444	0.041819	0.050210	
365	0.045918	0.055517	0.048566	0.053599	0.051568	0.049589	0.054509	0.048178	0.040865	0.050237	
370	0.047495	0.054984	0.047383	0.052875	0.049466	0.050905	0.054097	0.047556	0.041430	0.050699	
375	0.047311	0.055165	0.048214	0.052479	0.048484	0.050688	0.055021	0.046992	0.040688	0.050175	
380	0.047127	0.055267	0.047438	0.053479	0.049341	0.051842	0.055123	0.045702	0.039447	0.049686	
385	0.049584	0.054374	0.048909	0.053058	0.048905	0.052121	0.054759	0.047523	0.039405	0.049103	
390	0.050307	0.053623	0.049045	0.052484	0.050354	0.052868	0.054886	0.047238	0.040292	0.051929	
395	0.050334	0.053530	0.050620	0.051810	0.049984	0.052272	0.054141	0.046612	0.041116	0.054609	
400	0.050165	0.054350	0.049857	0.052422	0.050983	0.051230	0.053815	0.046940	0.042724	0.054233	
405	0.050261	0.055370	0.049897	0.053474	0.052243	0.050322	0.056224	0.045757	0.041114	0.051900	
410	0.049294	0.053968	0.048958	0.053726	0.053160	0.050616	0.054830	0.046009	0.042661	0.052441	
415	0.049145	0.052709	0.049641	0.053781	0.054015	0.050156	0.054908	0.045649	0.042677	0.051609	
420	0.048931	0.052567	0.049940	0.052726	0.052515	0.048549	0.055913	0.045297	0.041581	0.052652	
425	0.048032	0.052247	0.049908	0.050972	0.053135	0.050241	0.056584	0.046464	0.041517	0.052674	
430	0.045978	0.051872	0.049005	0.049455	0.052807	0.052323	0.054899	0.046870	0.042092	0.053846	
435	0.047436	0.050813	0.048707	0.049757	0.053053	0.050940	0.056068	0.046759	0.042878	0.053690	
440	0.047831	0.051349	0.048384	0.050498	0.051459	0.051397	0.057435	0.045793	0.041503	0.054525	
445	0.048011	0.050597	0.047900	0.048472	0.050478	0.053584	0.057603	0.046720	0.042761	0.055504	
450	0.049419	0.053041	0.048766	0.048152	0.049720	0.053139	0.057186	0.047224	0.044964	0.055395	
455	0.048516	0.055194	0.050520	0.047673	0.050170	0.052755	0.057707	0.045933	0.044200	0.055098	
460	0.049265	0.054207	0.051060	0.048691	0.051383	0.052680	0.057384	0.046426	0.045346	0.052389	
465	0.050260	0.054065	0.051330	0.049596	0.052058	0.053289	0.055923	0.046731	0.044889	0.052682	
470	0.048954	0.054712	0.052132	0.050796	0.052412	0.054186	0.055395	0.047234	0.047412	0.051313	
475	0.046818	0.053819	0.050957	0.052013	0.051600	0.055038	0.056190	0.047517	0.047434	0.050196	
480	0.045162	0.052707	0.050718	0.051862	0.053484	0.053906	0.056947	0.048081	0.047178	0.049190	
485	0.045349	0.051821	0.050715	0.052586	0.053688	0.051823	0.059893	0.047369	0.046589	0.048024	
490	0.046347	0.053201	0.049761	0.050580	0.055173	0.052882	0.058607	0.049045	0.045080	0.047161	
495	0.045056	0.053355	0.048965	0.050821	0.054293	0.052729	0.059115	0.048513	0.045594	0.047781	
500	0.044576	0.053123	0.049106	0.051343	0.055962	0.054475	0.059215	0.049452	0.045657	0.048873	
505	0.046069	0.051846	0.050443	0.052184	0.054968	0.053086	0.058887	0.048945	0.045397	0.048129	
510	0.045208	0.051098	0.049548	0.050370	0.056415	0.053161	0.059089	0.049371	0.045441	0.048758	
515	0.044614	0.052388	0.050516	0.050000	0.057594	0.052840	0.059063	0.051916	0.046378	0.049168	
520	0.045545	0.054434	0.049388	0.050405	0.055331	0.052479	0.059759	0.051736	0.044993	0.049180	
525	0.046072	0.054037	0.048883	0.051406	0.054516	0.051654	0.057092	0.053748	0.044807	0.048189	
530	0.045613	0.056565	0.047057	0.051848	0.056514	0.052590	0.055897	0.052551	0.044821	0.049800	
535	0.047864	0.056209	0.048922	0.053144	0.055167	0.051341	0.057934	0.054376	0.043574	0.050131	
540	0.047666	0.055304	0.049407	0.053645	0.055378	0.052371	0.058379	0.055491	0.043808	0.047583	
545	0.047304	0.053612	0.046920	0.053555	0.053817	0.053262	0.056363	0.054327	0.043516	0.049278	
550	0.049479	0.055152	0.047283	0.051761	0.052318	0.051658	0.055357	0.054266	0.045236	0.051884	
555	0.048867	0.053914	0.047544	0.051914	0.051811	0.052857	0.054901	0.053096	0.046143	0.050040	
560	0.048363	0.052565	0.049167	0.052126	0.050887	0.051387	0.054648	0.052446	0.046255	0.049955	
565	0.047128	0.052142	0.048833	0.051404	0.049892	0.049410	0.055600	0.052371	0.046121	0.049957	
570	0.046390	0.050403	0.049509	0.051163	0.050308	0.051054	0.054170	0.051767	0.045757	0.051451	
575	0.046618	0.050489	0.049413	0.052768	0.051614	0.050239	0.054342	0.051645	0.045453	0.050734	
580	0.047367	0.051563	0.049620	0.051141	0.051610	0.048663	0.055739	0.050826	0.044844	0.050355	
585	0.048889	0.050785	0.049548	0.050903	0.051010	0.045523	0.053882	0.051998	0.045329	0.049408	
590	0.050057	0.051417	0.051143	0.051284	0.048756	0.046376	0.055215	0.051687	0.046930	0.050759	
595	0.050721	0.050636	0.050541	0.052835	0.049786	0.047617	0.055972	0.052473	0.045912	0.050015	
600	0.050068	0.051511	0.049859	0.050965	0.049645	0.046982	0.054080	0.052517	0.044819	0.050388	
605	0.048355	0.051621	0.048259	0.051547	0.049060	0.048689	0.053438	0.051156	0.045851	0.049312	
610	0.049102	0.050358	0.048670	0.049831	0.050629	0.049782	0.053382	0.052072	0.045860	0.048896	
615	0.049363	0.050382	0.049787	0.051454	0.050715	0.052111	0.052020	0.052339	0.045230	0.049753	
620	0.046491	0.048760	0.050901	0.051984	0.050604	0.052903	0.053799	0.052277	0.046794	0.050549	
625	0.046269	0.049644	0.050444	0.052722	0.051776	0.052486	0.052999	0.053004	0.046768	0.049268	
630	0.046336	0.051679	0.051244	0.053713	0.051544	0.052025	0.052999	0.052722	0.046697	0.049141	
635	0.046777	0.051722	0.049108	0.051936	0.052055	0.051845	0.052091	0.051156	0.045414	0.049143	
640	0.046117	0.051294	0.048346	0.052165	0.052093	0.051801	0.051830	0.052007	0.045745	0.050811	
645	0.048715	0.050803	0.048200	0.052100	0.051615	0.052430	0.051962	0.049281	0.046341	0.051562	
650	0.047938	0.050724	0.049785	0.052642	0.053114	0.055438	0.051626	0.050533	0.045533	0.051572	
655	0.047354	0.050436	0.048397	0.052249	0.054350	0.055486	0.051959	0.050782	0.045737	0.050323	
660	0.046662	0.049328	0.048689	0.051589	0.052735	0.056030	0.051855	0.054191	0.046797	0.048417	
665	0.045183	0.049332	0.048758	0.051236	0.053498	0.055172	0.050222	0.053030	0.046398	0.050636	
670	0.046845	0.049209	0.049190	0.051584	0.053034	0.054893	0.051164	0.053627	0.047130	0.050093	
675	0.046703	0.049866	0.049964	0.052915	0.051963	0.053933	0.051292	0.052376	0.046192	0.049000	
680	0.047430	0.053068	0.049525	0.054198	0.050316	0.052939	0.052351	0.053180	0.046682	0.047938	
