R	z	x	u	grp_fit	
0.000000	0.938589	0.050665	0.002865	0.007881	
0.010000	0.931282	0.050252	0.002816	0.015650	
0.020000	0.923934	0.049836	0.002767	0.023463	
0.030000	0.916544	0.049416	0.002718	0.031321	
0.040000	0.909113	0.048993	0.002669	0.039225	
0.050000	0.901640	0.048566	0.002620	0.047175	
0.060000	0.894124	0.048135	0.002571	0.055170	
0.070000	0.886566	0.047700	0.002522	0.063212	
0.080000	0.878964	0.047261	0.002474	0.071301	
0.090000	0.871320	0.046819	0.002425	0.079436	
0.100000	0.863631	0.046373	0.002376	0.087619	
0.110000	0.855899	0.045923	0.002328	0.095850	
0.120000	0.848123	0.045469	0.002280	0.104128	
0.130000	0.840302	0.045011	0.002232	0.112455	
0.140000	0.832437	0.044549	0.002184	0.120831	
0.150000	0.824526	0.044083	0.002136	0.129255	
0.160000	0.816570	0.043613	0.002089	0.137728	
0.170000	0.808569	0.043139	0.002041	0.146251	
0.180000	0.800521	0.042661	0.001994	0.154824	
0.190000	0.792428	0.042179	0.001947	0.163447	
0.200000	0.784287	0.041692	0.001900	0.172120	
0.210000	0.776101	0.041202	0.001854	0.180844	
0.220000	0.767867	0.040707	0.001807	0.189618	
0.230000	0.759586	0.040208	0.001761	0.198444	
0.240000	0.751257	0.039705	0.001716	0.207322	
0.250000	0.742881	0.039198	0.001670	0.216250	
0.260000	0.734457	0.038687	0.001625	0.225231	
0.270000	0.725984	0.038171	0.001580	0.234264	
0.280000	0.717463	0.037652	0.001536	0.243349	
0.290000	0.708894	0.037128	0.001491	0.252487	
0.300000	0.700275	0.036599	0.001448	0.261678	
0.310000	0.691608	0.036067	0.001404	0.270921	
0.320000	0.682891	0.035530	0.001361	0.280218	
0.330000	0.674125	0.034989	0.001318	0.289568	
0.340000	0.665309	0.034444	0.001276	0.298971	
0.350000	0.656444	0.033895	0.001234	0.308427	
0.360000	0.647528	0.033342	0.001193	0.317937	
0.370000	0.638563	0.032784	0.001152	0.327501	
0.380000	0.629548	0.032223	0.001111	0.337118	
0.390000	0.620482	0.031657	0.001071	0.346789	
0.400000	0.611367	0.031088	0.001032	0.356514	
0.410000	0.602201	0.030514	0.000993	0.366292	
0.420000	0.592985	0.029936	0.000954	0.376125	
0.430000	0.583719	0.029355	0.000916	0.386010	
0.440000	0.574402	0.028770	0.000879	0.395949	
0.450000	0.565035	0.028181	0.000842	0.405941	
0.460000	0.555619	0.027588	0.000806	0.415987	
0.470000	0.546152	0.026992	0.000771	0.426085	
0.480000	0.536636	0.026393	0.000736	0.436235	
0.490000	0.527070	0.025790	0.000702	0.446438	
0.500000	0.517454	0.025184	0.000668	0.456693	
0.510000	0.507790	0.024575	0.000636	0.466999	
0.520000	0.498077	0.023963	0.000604	0.477357	
0.530000	0.488315	0.023348	0.000572	0.487765	
0.540000	0.478505	0.022731	0.000542	0.498222	
0.550000	0.468648	0.022111	0.000512	0.508729	
0.560000	0.458744	0.021489	0.000483	0.519285	
0.570000	0.448793	0.020865	0.000455	0.529888	
0.580000	0.438796	0.020239	0.000427	0.540539	
0.590000	0.428753	0.019611	0.000400	0.551235	
0.600000	0.418666	0.018983	0.000375	0.561976	
0.610000	0.408536	0.018353	0.000350	0.572761	
0.620000	0.398362	0.017723	0.000326	0.583589	
0.630000	0.388147	0.017092	0.000303	0.594459	
0.640000	0.377891	0.016461	0.000280	0.605368	
0.650000	0.367594	0.015831	0.000259	0.616316	
0.660000	0.357260	0.015201	0.000238	0.627301	
0.670000	0.346888	0.014573	0.000219	0.638320	
0.680000	0.336449	0.013928	0.000139	0.649484	
0.690000	0.325971	0.013285	0.000108	0.660636	
0.700000	0.315487	0.012658	0.000141	0.671714	
