T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.003521	0.004050	0.005614	0.003867	0.007195	0.007172	0.005925	0.005519	0.007483	0.002713	
10	0.062444	0.059019	0.079714	0.057028	0.081615	0.076138	0.086066	0.063485	0.082329	0.069985	
15	0.137467	0.140532	0.133626	0.128269	0.116420	0.171453	0.143234	0.107094	0.140151	0.157357	
20	0.178360	0.196608	0.174543	0.163078	0.145143	0.231495	0.187651	0.154175	0.179311	0.181919	
25	0.221045	0.228052	0.215391	0.188532	0.175071	0.261460	0.232457	0.207542	0.215325	0.199452	
30	0.250563	0.256012	0.240741	0.214101	0.207828	0.281708	0.278861	0.263547	0.249191	0.227170	
35	0.281831	0.276427	0.267144	0.240907	0.236215	0.306700	0.313898	0.312755	0.277734	0.252064	
40	0.317042	0.298222	0.281690	0.269886	0.273395	0.328268	0.346471	0.337651	0.305995	0.287546	
45	0.347425	0.309831	0.302793	0.291009	0.309448	0.342728	0.367142	0.356582	0.333630	0.327519	
50	0.367770	0.324557	0.321160	0.312397	0.333193	0.363769	0.381256	0.369478	0.352723	0.353834	
55	0.382048	0.337186	0.338499	0.326182	0.357208	0.375715	0.394888	0.379785	0.367078	0.367768	
60	0.392553	0.345129	0.353503	0.337666	0.372240	0.390071	0.406489	0.385147	0.376577	0.380528	
65	0.398948	0.357190	0.366376	0.348601	0.392785	0.400315	0.415741	0.393937	0.386928	0.389420	
70	0.404277	0.371524	0.381193	0.363693	0.406680	0.410307	0.426725	0.400346	0.397251	0.403844	
75	0.412832	0.394395	0.391357	0.380255	0.415164	0.419466	0.428544	0.405802	0.405852	0.408615	
80	0.417985	0.406482	0.396557	0.388540	0.418454	0.423499	0.439540	0.411470	0.415820	0.416940	
85	0.423371	0.419634	0.406157	0.401843	0.420392	0.431678	0.438582	0.409454	0.426767	0.422577	
90	0.430606	0.426650	0.416354	0.415122	0.425073	0.439108	0.445346	0.412538	0.428719	0.428792	
95	0.437287	0.434346	0.411690	0.428801	0.428839	0.438775	0.452477	0.421278	0.434967	0.428178	
