T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001194	0.000967	0.001036	0.001465	0.001623	0.001588	0.001784	0.001877	0.001431	0.001149	
110	0.003331	0.003394	0.002938	0.004549	0.003844	0.004251	0.004083	0.003015	0.004250	0.003496	
115	0.006582	0.006706	0.005833	0.005792	0.005412	0.005104	0.006341	0.006209	0.005515	0.003984	
120	0.009218	0.009202	0.007738	0.010365	0.007312	0.006915	0.009211	0.010316	0.009312	0.006260	
125	0.011594	0.010859	0.008924	0.014035	0.010394	0.009426	0.011937	0.014148	0.013047	0.007906	
130	0.014780	0.012707	0.013138	0.017834	0.011791	0.014397	0.013491	0.014583	0.018353	0.011514	
135	0.018272	0.013523	0.018529	0.021100	0.012449	0.018363	0.015726	0.018262	0.021098	0.015608	
140	0.019661	0.017150	0.023413	0.023551	0.014266	0.023148	0.021083	0.021416	0.022129	0.018967	
145	0.022948	0.020768	0.026846	0.028068	0.019313	0.028169	0.022327	0.028151	0.025448	0.022624	
150	0.025274	0.023465	0.030559	0.029172	0.021271	0.031194	0.024437	0.031710	0.027376	0.023246	
155	0.028462	0.026198	0.030295	0.035495	0.024766	0.032284	0.027375	0.036598	0.030541	0.027517	
160	0.030775	0.029109	0.031143	0.038054	0.027858	0.034176	0.030773	0.036171	0.033473	0.032621	
165	0.033325	0.031666	0.033531	0.040522	0.030689	0.037401	0.032180	0.038296	0.036535	0.035278	
170	0.035996	0.033131	0.038590	0.040966	0.032341	0.041837	0.034405	0.041352	0.038379	0.036562	
175	0.037260	0.034091	0.040386	0.040068	0.032883	0.044238	0.039433	0.042341	0.040193	0.037949	
180	0.038379	0.037378	0.041436	0.041385	0.036071	0.043751	0.042347	0.040320	0.042529	0.038339	
185	0.040747	0.036482	0.041109	0.043000	0.037353	0.048565	0.045020	0.041869	0.039721	0.038533	
190	0.041824	0.038814	0.039916	0.043164	0.037058	0.048165	0.045543	0.042682	0.040305	0.039279	
195	0.046972	0.040509	0.039801	0.043422	0.037219	0.050641	0.044959	0.040834	0.041160	0.039116	
200	0.046938	0.042464	0.041118	0.045415	0.039689	0.049892	0.046461	0.041243	0.042788	0.040533	
205	0.046003	0.043296	0.042163	0.044355	0.040263	0.051368	0.046344	0.041996	0.041659	0.040449	
210	0.046708	0.043494	0.044227	0.045370	0.040968	0.051000	0.047560	0.040967	0.045763	0.039057	
215	0.044700	0.044890	0.045665	0.047099	0.044431	0.050267	0.048096	0.041676	0.046008	0.041594	
220	0.046602	0.044846	0.046954	0.046325	0.042981	0.050218	0.048626	0.042422	0.046353	0.042537	
225	0.046538	0.045513	0.048259	0.045090	0.041570	0.050915	0.048817	0.043060	0.044693	0.044466	
230	0.046243	0.045982	0.049664	0.046039	0.041684	0.052271	0.048238	0.044420	0.045117	0.047092	
235	0.045890	0.047598	0.048482	0.045391	0.041296	0.052236	0.049136	0.042757	0.045395	0.045899	
240	0.046792	0.047812	0.050394	0.044766	0.041778	0.052417	0.049341	0.041756	0.044818	0.045186	
245	0.049667	0.048771	0.051559	0.043485	0.040796	0.053034	0.048097	0.042223	0.043970	0.046055	
250	0.049593	0.047580	0.048215	0.046785	0.040200	0.051568	0.046245	0.042506	0.044056	0.047137	
255	0.046853	0.047895	0.047838	0.046237	0.039988	0.049599	0.046256	0.042674	0.045330	0.046559	
260	0.045758	0.047764	0.045464	0.045960	0.041101	0.047559	0.045859	0.041581	0.047471	0.047747	
265	0.046094	0.047911	0.047598	0.046704	0.042044	0.050315	0.045256	0.043709	0.047958	0.047141	
270	0.049464	0.047515	0.048713	0.047357	0.041207	0.051081	0.044945	0.042085	0.047456	0.047947	
275	0.050204	0.047297	0.047846	0.047845	0.041584	0.048881	0.044169	0.041476	0.045806	0.046505	
280	0.049232	0.044851	0.050067	0.048422	0.040496	0.047219	0.043726	0.042255	0.046479	0.044868	
285	0.050794	0.043586	0.050838	0.047317	0.040231	0.049729	0.044974	0.044484	0.047605	0.045407	
290	0.052784	0.044949	0.052136	0.049465	0.039090	0.050272	0.044159	0.042243	0.049997	0.045962	
295	0.050277	0.044547	0.050919	0.047953	0.039898	0.050158	0.043792	0.042657	0.051122	0.043632	
300	0.049153	0.044409	0.049010	0.047582	0.040936	0.048674	0.043730	0.041661	0.047056	0.041709	
305	0.046929	0.043958	0.047968	0.045838	0.039093	0.047644	0.045165	0.044059	0.045878	0.041461	
310	0.046156	0.043206	0.049164	0.045876	0.039507	0.048061	0.042732	0.043702	0.045077	0.041084	
315	0.044848	0.041989	0.047050	0.043952	0.037038	0.047067	0.040469	0.043353	0.044333	0.042883	
320	0.043622	0.041905	0.048930	0.044494	0.037273	0.046032	0.040567	0.043724	0.043037	0.040423	
325	0.044460	0.042111	0.047951	0.042209	0.037014	0.047160	0.041537	0.044692	0.043115	0.040439	
330	0.045123	0.041944	0.049575	0.043988	0.036090	0.045783	0.039692	0.043558	0.042247	0.040117	
335	0.046046	0.043009	0.048690	0.046234	0.035752	0.046128	0.039886	0.043764	0.043115	0.039935	
340	0.045902	0.043293	0.048770	0.048324	0.037259	0.048866	0.039637	0.042893	0.042546	0.038324	
345	0.046926	0.042289	0.046591	0.046314	0.039359	0.050826	0.039553	0.043243	0.042441	0.040142	
350	0.044826	0.042479	0.047181	0.045425	0.040426	0.049484	0.039939	0.043529	0.041692	0.041409	
355	0.047519	0.043205	0.047607	0.045663	0.039899	0.049842	0.039322	0.043154	0.039829	0.041531	
360	0.047406	0.043172	0.047345	0.045985	0.039472	0.049336	0.037711	0.041683	0.039950	0.041020	
365	0.046692	0.044637	0.048314	0.043003	0.040249	0.049228	0.037849	0.042496	0.039742	0.042330	
370	0.047746	0.047118	0.047682	0.043257	0.039802	0.048349	0.038213	0.042291	0.040538	0.041170	
375	0.048764	0.045720	0.046316	0.043177	0.038760	0.047658	0.040355	0.043108	0.039826	0.040750	
380	0.047733	0.044909	0.046015	0.042389	0.039784	0.046566	0.040985	0.042242	0.039535	0.039521	
385	0.047878	0.044440	0.046131	0.044107	0.041699	0.047030	0.041814	0.041859	0.040316	0.037912	
390	0.047259	0.044941	0.046198	0.045775	0.041662	0.047647	0.040485	0.042467	0.041465	0.038221	
395	0.046805	0.046327	0.045612	0.045916	0.040680	0.048250	0.041866	0.042339	0.041343	0.036999	
400	0.046597	0.045824	0.046175	0.045599	0.040380	0.048625	0.042110	0.043023	0.041559	0.037849	
405	0.047453	0.045416	0.045608	0.046348	0.039998	0.048583	0.041096	0.043933	0.040498	0.036697	
410	0.045640	0.046906	0.045548	0.046630	0.038332	0.048258	0.038860	0.043685	0.040773	0.036862	
415	0.045780	0.049262	0.045918	0.048812	0.039074	0.047427	0.040185	0.043871	0.039891	0.036552	
420	0.045124	0.047234	0.047423	0.048327	0.037320	0.048003	0.039923	0.043037	0.037896	0.036733	
425	0.044514	0.049520	0.044462	0.048537	0.037263	0.046591	0.038030	0.043082	0.037561	0.037479	
430	0.043536	0.049742	0.045779	0.047495	0.036851	0.044752	0.038500	0.043598	0.038227	0.038315	
435	0.043126	0.049348	0.045882	0.047870	0.036714	0.047059	0.038512	0.043863	0.037954	0.038444	
440	0.043060	0.047847	0.046752	0.045367	0.038313	0.047278	0.036910	0.044638	0.036378	0.038518	
445	0.043853	0.045566	0.045410	0.046060	0.038511	0.047292	0.036912	0.044698	0.038044	0.039080	
450	0.044126	0.046636	0.046068	0.047019	0.038405	0.047786	0.037493	0.046338	0.038005	0.037918	
455	0.044202	0.045317	0.045325	0.047163	0.037873	0.048664	0.038065	0.045572	0.038432	0.038980	
460	0.045711	0.046330	0.045888	0.047328	0.037346	0.048650	0.039939	0.044293	0.037621	0.039582	
465	0.045763	0.045027	0.044844	0.047114	0.036564	0.047255	0.039473	0.045307	0.038083	0.039447	
470	0.045324	0.044768	0.042902	0.045129	0.038629	0.046720	0.039203	0.044420	0.037787	0.039107	
475	0.045243	0.044730	0.044290	0.044828	0.038741	0.046446	0.040088	0.045436	0.038962	0.038572	
480	0.045067	0.044539	0.044084	0.045035	0.038242	0.047020	0.037911	0.047246	0.040203	0.038178	
485	0.046075	0.044332	0.044154	0.045061	0.037222	0.048452	0.038166	0.047475	0.039501	0.038832	
490	0.045890	0.044545	0.044359	0.044078	0.036249	0.046727	0.038112	0.047987	0.041621	0.039141	
495	0.043175	0.044083	0.044690	0.044567	0.035879	0.047133	0.039122	0.047911	0.041646	0.039602	
500	0.043165	0.044685	0.045692	0.042796	0.035586	0.047156	0.040021	0.046415	0.041285	0.036978	
505	0.043743	0.042734	0.045452	0.043377	0.036350	0.045395	0.039850	0.047173	0.042323	0.038124	
510	0.043162	0.042302	0.045299	0.044857	0.034832	0.045596	0.038987	0.046629	0.043195	0.040012	
515	0.044365	0.042127	0.047697	0.047869	0.035765	0.045123	0.038166	0.047319	0.043083	0.040271	
520	0.045071	0.041059	0.048085	0.048395	0.036937	0.047315	0.037506	0.047339	0.043117	0.040843	
525	0.044875	0.039701	0.047812	0.047123	0.036425	0.045134	0.040019	0.046361	0.042305	0.042228	
530	0.043930	0.038578	0.049004	0.046989	0.035989	0.046729	0.041947	0.046017	0.043961	0.040000	
535	0.042544	0.040012	0.046283	0.048385	0.034973	0.046437	0.042620	0.046770	0.041893	0.039367	
540	0.043239	0.041254	0.044629	0.049571	0.034063	0.047032	0.042254	0.048666	0.042143	0.039911	
545	0.044997	0.040544	0.044374	0.046874	0.033920	0.044005	0.042626	0.045886	0.041756	0.040274	
550	0.043518	0.041014	0.044525	0.047217	0.034078	0.044918	0.041980	0.043308	0.041229	0.040389	
555	0.042173	0.041524	0.044175	0.047386	0.033904	0.043705	0.044323	0.043943	0.041078	0.041313	
560	0.042500	0.040152	0.044896	0.046536	0.033582	0.042620	0.046635	0.043357	0.040395	0.040315	
565	0.043102	0.038766	0.046424	0.045901	0.034175	0.041753	0.045312	0.041818	0.041474	0.038937	
570	0.044398	0.039746	0.045602	0.044627	0.033524	0.042244	0.045316	0.040342	0.041186	0.039199	
575	0.044739	0.039892	0.047344	0.042894	0.033884	0.040334	0.046970	0.041489	0.041261	0.040643	
580	0.044232	0.039504	0.045862	0.043563	0.033937	0.040758	0.046525	0.042493	0.042176	0.038274	
585	0.045697	0.039748	0.047603	0.044055	0.035867	0.042101	0.046580	0.041964	0.040832	0.037739	
590	0.045964	0.039296	0.047547	0.042603	0.035425	0.042652	0.045490	0.040879	0.039814	0.041085	
595	0.044025	0.039731	0.046578	0.043762	0.035925	0.042401	0.045843	0.040146	0.040527	0.040296	
600	0.044037	0.039763	0.046448	0.045692	0.035588	0.043126	0.045060	0.040438	0.040330	0.040569	
605	0.044844	0.040614	0.046467	0.044729	0.036342	0.045351	0.045486	0.040716	0.037954	0.041669	
610	0.045880	0.039224	0.046478	0.044716	0.035944	0.046628	0.044225	0.041753	0.038104	0.042001	
615	0.048143	0.040320	0.046828	0.046163	0.033489	0.045160	0.044742	0.043231	0.038985	0.040954	
620	0.045283	0.040685	0.046818	0.047806	0.031743	0.045743	0.043795	0.043566	0.039036	0.041844	
625	0.045900	0.041635	0.047207	0.044451	0.032130	0.046088	0.043392	0.042729	0.040674	0.042245	
630	0.047266	0.041667	0.047421	0.045464	0.032042	0.046322	0.040836	0.045877	0.041976	0.042441	
635	0.045618	0.042502	0.047028	0.046741	0.033140	0.047524	0.040581	0.045920	0.043754	0.043885	
640	0.044978	0.041021	0.045239	0.047096	0.034328	0.048493	0.041601	0.046966	0.043203	0.045530	
645	0.044101	0.039651	0.044881	0.045532	0.034059	0.047493	0.040483	0.048300	0.042771	0.045679	
650	0.042918	0.041180	0.042929	0.043659	0.033925	0.047476	0.038498	0.049054	0.041808	0.045396	
655	0.046029	0.040365	0.042653	0.047727	0.034873	0.048374	0.037602	0.047918	0.041430	0.046397	
660	0.043568	0.041015	0.042521	0.045655	0.035507	0.050576	0.038522	0.049690	0.041643	0.046029	
665	0.041970	0.040341	0.042591	0.045616	0.036620	0.050842	0.040092	0.048350	0.042901	0.046421	
670	0.040594	0.041123	0.042967	0.044284	0.033959	0.049252	0.041550	0.048945	0.039642	0.045648	
675	0.041843	0.040831	0.044701	0.045398	0.034389	0.050324	0.039977	0.049053	0.039444	0.045405	
680	0.040704	0.041379	0.044015	0.046939	0.036012	0.048563	0.038642	0.048861	0.038791	0.044209	
