R	z	x1	u1	x2	u2	grp_fit
0	0.427901	0.201492	0.078262	0.201492	0.078262	0.01259
0.01	0.423072	0.19982	0.076171	0.19982	0.076171	0.024946
0.02	0.418315	0.1981	0.074085	0.1981	0.074085	0.037315
0.03	0.413633	0.196332	0.072005	0.196332	0.072005	0.049694
0.04	0.409028	0.194514	0.069932	0.194514	0.069932	0.06208
0.05	0.404504	0.192646	0.067867	0.192646	0.067867	0.074469
0.06	0.400064	0.190727	0.065813	0.190727	0.065813	0.086857
0.07	0.395709	0.188756	0.063769	0.188756	0.063769	0.09924
0.08	0.391443	0.186733	0.061738	0.186733	0.061738	0.111615
0.09	0.387269	0.184657	0.05972	0.184657	0.05972	0.123977
0.1	0.383188	0.182527	0.057718	0.182527	0.057718	0.136322
0.11	0.379231	0.180337	0.055726	0.180337	0.055726	0.148643
0.12	0.375331	0.178103	0.053761	0.178103	0.053761	0.16094
0.13	0.371538	0.175813	0.051815	0.175813	0.051815	0.173206
0.14	0.36785	0.173469	0.049888	0.173469	0.049888	0.185436
0.15	0.364267	0.171069	0.047985	0.171069	0.047985	0.197625
0.16	0.36079	0.168616	0.046105	0.168616	0.046105	0.209767
0.17	0.357419	0.166109	0.044252	0.166109	0.044252	0.221859
0.18	0.354153	0.16355	0.042426	0.16355	0.042426	0.233894
0.19	0.350995	0.160939	0.04063	0.160939	0.04063	0.245868
0.2	0.347941	0.158277	0.038865	0.158277	0.038865	0.257775
0.21	0.344994	0.155565	0.037132	0.155565	0.037132	0.269612
0.22	0.34215	0.152805	0.035434	0.152805	0.035434	0.281372
0.23	0.339409	0.149999	0.033772	0.149999	0.033772	0.29305
0.24	0.336768	0.147148	0.032146	0.147148	0.032146	0.304643
0.25	0.334225	0.144255	0.03056	0.144255	0.03056	0.316146
0.26	0.331776	0.141321	0.029014	0.141321	0.029014	0.327553
0.27	0.329418	0.13835	0.027509	0.13835	0.027509	0.338862
0.28	0.327147	0.135345	0.026047	0.135345	0.026047	0.350069
0.29	0.324957	0.132308	0.024629	0.132308	0.024629	0.36117
0.3	0.322843	0.129242	0.023256	0.129242	0.023256	0.372161
0.31	0.3208	0.126152	0.021927	0.126152	0.021927	0.383042
0.32	0.318821	0.12304	0.020646	0.12304	0.020646	0.393808
0.33	0.316899	0.119911	0.01941	0.119911	0.01941	0.404458
0.34	0.315027	0.116768	0.018222	0.116768	0.018222	0.414992
0.35	0.313198	0.113616	0.017082	0.113616	0.017082	0.425407
0.36	0.311402	0.110458	0.015989	0.110458	0.015989	0.435704
0.37	0.309633	0.107299	0.014943	0.107299	0.014943	0.445882
0.38	0.307882	0.104143	0.013945	0.104143	0.013945	0.455943
0.39	0.306139	0.100994	0.012993	0.100994	0.012993	0.465887
0.4	0.304397	0.097856	0.012088	0.097856	0.012088	0.475715
0.41	0.302646	0.094734	0.011228	0.094734	0.011228	0.48543
0.42	0.300877	0.091631	0.010413	0.091631	0.010413	0.495034
0.43	0.299083	0.088552	0.009642	0.088552	0.009642	0.504529
0.44	0.297255	0.0855	0.008914	0.0855	0.008914	0.513918
0.45	0.295383	0.082478	0.008227	0.082478	0.008227	0.523206
0.46	0.293461	0.07949	0.007582	0.07949	0.007582	0.532395
0.47	0.29148	0.07654	0.006975	0.07654	0.006975	0.54149
0.48	0.289433	0.073631	0.006406	0.073631	0.006406	0.550495
0.49	0.287312	0.070764	0.005873	0.070764	0.005873	0.559413
0.5	0.28511	0.067944	0.005376	0.067944	0.005376	0.568251
0.51	0.282822	0.065172	0.004912	0.065172	0.004912	0.577011
0.52	0.28044	0.06245	0.00448	0.06245	0.00448	0.5857
0.53	0.27796	0.059781	0.004078	0.059781	0.004078	0.594322
0.54	0.275376	0.057166	0.003705	0.057166	0.003705	0.602881
0.55	0.272682	0.054607	0.00336	0.054607	0.00336	0.611383
0.56	0.269875	0.052105	0.003041	0.052105	0.003041	0.619832
0.57	0.26695	0.049661	0.002747	0.049661	0.002747	0.628234
0.58	0.263903	0.047277	0.002475	0.047277	0.002475	0.636592
0.59	0.260731	0.044952	0.002226	0.044952	0.002226	0.644913
0.6	0.25743	0.042689	0.001997	0.042689	0.001997	0.653199
0.61	0.253997	0.040486	0.001787	0.040486	0.001787	0.661457
0.62	0.25043	0.038345	0.001595	0.038345	0.001595	0.66969
0.63	0.246726	0.036265	0.00142	0.036265	0.00142	0.677903
0.64	0.242883	0.034248	0.001261	0.034248	0.001261	0.6861
0.65	0.238898	0.032292	0.001116	0.032292	0.001116	0.694285
0.66	0.234771	0.030398	0.000985	0.030398	0.000985	0.702462
0.67	0.230499	0.028566	0.000866	0.028566	0.000866	0.710636
0.68	0.226081	0.026795	0.000759	0.026795	0.000759	0.71881
0.69	0.221515	0.025086	0.000663	0.025086	0.000663	0.726988
0.7	0.216799	0.023437	0.000577	0.023437	0.000577	0.735173
