T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001090	0.001886	0.000732	0.001154	0.000872	0.001082	0.001692	0.001117	0.002021	0.001819	
110	0.002456	0.002315	0.002798	0.004579	0.003450	0.004060	0.004098	0.006054	0.006825	0.004703	
115	0.003466	0.005274	0.005383	0.009322	0.006105	0.004356	0.007241	0.008461	0.009982	0.007445	
120	0.005018	0.006496	0.009300	0.011006	0.010808	0.008270	0.010461	0.014415	0.015852	0.014740	
125	0.007628	0.009720	0.012539	0.010623	0.012890	0.010811	0.016369	0.016219	0.024013	0.017780	
130	0.010040	0.013417	0.018238	0.011414	0.020617	0.015978	0.022575	0.019962	0.030239	0.019536	
135	0.011033	0.014472	0.023458	0.015972	0.023581	0.020953	0.027367	0.020977	0.036312	0.020156	
140	0.015338	0.018347	0.028719	0.017727	0.024458	0.025916	0.033781	0.026178	0.037833	0.022095	
145	0.020809	0.020128	0.035626	0.023758	0.028628	0.032984	0.036603	0.033649	0.045762	0.029665	
150	0.025740	0.024618	0.041367	0.026962	0.033490	0.042460	0.041980	0.033641	0.051976	0.033694	
155	0.028975	0.029678	0.044607	0.029511	0.036758	0.053017	0.043956	0.042078	0.054470	0.037987	
160	0.036194	0.036915	0.045120	0.033642	0.041542	0.057491	0.049864	0.048722	0.063082	0.041634	
165	0.041711	0.036348	0.047241	0.037877	0.039407	0.067001	0.050057	0.048248	0.068750	0.051528	
170	0.046256	0.040673	0.051374	0.041903	0.045143	0.072263	0.047095	0.049287	0.072385	0.056165	
175	0.053327	0.048825	0.056283	0.041928	0.046697	0.072407	0.051397	0.052597	0.072060	0.058672	
180	0.052052	0.056126	0.060426	0.044525	0.053637	0.071622	0.049844	0.058196	0.068235	0.059161	
185	0.059164	0.056092	0.063606	0.048087	0.058852	0.073876	0.052308	0.063846	0.072120	0.055791	
190	0.062884	0.056706	0.067580	0.047786	0.064349	0.077579	0.056999	0.063788	0.070326	0.059199	
195	0.063461	0.057285	0.067438	0.049554	0.067694	0.077017	0.062143	0.066170	0.071940	0.063719	
200	0.063863	0.061542	0.068918	0.048029	0.071073	0.076075	0.069661	0.067905	0.068641	0.064986	
205	0.068366	0.062694	0.071460	0.051504	0.076530	0.076396	0.070342	0.073768	0.069975	0.067678	
210	0.068374	0.064904	0.066223	0.053360	0.072960	0.077965	0.070158	0.072161	0.069067	0.069884	
215	0.068915	0.067863	0.069055	0.051734	0.071528	0.080469	0.072311	0.077233	0.071361	0.071478	
220	0.068596	0.071486	0.071848	0.052516	0.073617	0.078995	0.072462	0.084806	0.071929	0.073032	
225	0.067252	0.076144	0.074259	0.052999	0.073375	0.081674	0.072201	0.084652	0.070146	0.073656	
230	0.063989	0.076298	0.074551	0.056647	0.072904	0.083612	0.076111	0.083668	0.069475	0.078106	
235	0.059765	0.080898	0.077212	0.058576	0.073191	0.079080	0.081456	0.084871	0.075229	0.076585	
240	0.061070	0.081836	0.080853	0.058296	0.074368	0.079083	0.077727	0.085422	0.078217	0.079286	
245	0.057769	0.084402	0.079997	0.063761	0.073655	0.077082	0.077359	0.083785	0.078645	0.083316	
250	0.058353	0.086434	0.080208	0.063924	0.074274	0.078302	0.083899	0.084125	0.078452	0.083491	
255	0.056387	0.086265	0.080788	0.064735	0.074068	0.079397	0.088604	0.080994	0.081489	0.091264	
260	0.059941	0.079429	0.081565	0.067867	0.068985	0.079979	0.089545	0.082176	0.079278	0.093989	
265	0.059831	0.077271	0.080944	0.068509	0.070527	0.078945	0.091010	0.080434	0.076929	0.092350	
270	0.060026	0.078710	0.077586	0.070324	0.069857	0.079543	0.090017	0.080110	0.077005	0.090938	
275	0.060038	0.077950	0.075943	0.071363	0.072747	0.078576	0.092500	0.080325	0.074754	0.092236	
280	0.062909	0.078025	0.075558	0.069929	0.075839	0.081240	0.092860	0.082639	0.078119	0.092291	
285	0.067801	0.081026	0.076145	0.073481	0.077135	0.084627	0.096967	0.082351	0.078294	0.097948	
290	0.068572	0.076764	0.075256	0.071596	0.076142	0.085943	0.093580	0.084357	0.079727	0.097472	
295	0.069470	0.079330	0.074013	0.073649	0.076549	0.090304	0.098047	0.083100	0.074654	0.096865	
300	0.069951	0.076972	0.074097	0.074877	0.078225	0.094205	0.100495	0.083328	0.076866	0.091733	
305	0.068961	0.076585	0.077524	0.077437	0.073405	0.091636	0.098856	0.084256	0.077602	0.090691	
310	0.071067	0.079168	0.073869	0.074865	0.074043	0.090355	0.098692	0.085725	0.077605	0.087903	
315	0.073639	0.080514	0.070993	0.077166	0.073141	0.090333	0.096106	0.086768	0.084056	0.089364	
320	0.073550	0.079967	0.071141	0.076664	0.072025	0.088324	0.096668	0.089561	0.082822	0.087152	
325	0.071971	0.077999	0.072802	0.073636	0.073783	0.090558	0.097070	0.090820	0.084867	0.086647	
330	0.071129	0.077192	0.073381	0.072659	0.074571	0.090285	0.094605	0.089081	0.085737	0.085725	
335	0.071130	0.077029	0.073287	0.072996	0.075198	0.089456	0.093697	0.090602	0.088082	0.085749	
340	0.072534	0.076414	0.078506	0.071506	0.075805	0.090469	0.093840	0.089988	0.086907	0.086969	
345	0.072717	0.075748	0.077098	0.075604	0.072867	0.091020	0.093855	0.089955	0.086856	0.088595	
350	0.077965	0.070376	0.074563	0.073929	0.071737	0.089036	0.093974	0.089777	0.087232	0.088339	
355	0.078731	0.071453	0.076482	0.074459	0.074248	0.093673	0.095701	0.094516	0.084026	0.085893	
360	0.075791	0.074485	0.079844	0.073414	0.075103	0.096513	0.092767	0.094200	0.081288	0.089241	
365	0.074139	0.074964	0.082034	0.072123	0.071461	0.098677	0.092838	0.094084	0.078179	0.088862	
370	0.072939	0.073048	0.081349	0.071732	0.072634	0.098088	0.091315	0.092518	0.083090	0.088622	
375	0.071022	0.074282	0.080139	0.070789	0.073072	0.097347	0.091760	0.090670	0.083183	0.089872	
380	0.068938	0.072183	0.078256	0.074143	0.075196	0.098737	0.089085	0.084413	0.078769	0.088689	
385	0.068119	0.073012	0.076206	0.076960	0.078126	0.096825	0.084544	0.086372	0.076672	0.091883	
390	0.071299	0.077111	0.074775	0.081051	0.076388	0.094957	0.081423	0.086193	0.079363	0.093857	
395	0.075589	0.074688	0.073844	0.077372	0.076755	0.093469	0.079036	0.085356	0.072550	0.088330	
400	0.076224	0.072352	0.076027	0.075630	0.074842	0.089941	0.077848	0.085892	0.070636	0.093132	
405	0.074701	0.074642	0.076944	0.075553	0.073341	0.090207	0.080816	0.085431	0.071589	0.093813	
410	0.074127	0.073608	0.077716	0.077631	0.075115	0.089217	0.080259	0.082332	0.071977	0.093975	
415	0.074276	0.071085	0.078287	0.078695	0.076105	0.088471	0.081873	0.084262	0.068325	0.093380	
420	0.074573	0.069761	0.079609	0.077551	0.075040	0.089938	0.078242	0.080277	0.070072	0.091630	
425	0.077387	0.070708	0.078384	0.075725	0.074430	0.091426	0.080882	0.077532	0.067589	0.092330	
430	0.073920	0.071286	0.073556	0.072545	0.075618	0.090108	0.078486	0.077601	0.065014	0.092068	
435	0.077325	0.071007	0.071534	0.071367	0.075402	0.088929	0.075365	0.078874	0.065229	0.094417	
440	0.076610	0.071226	0.074886	0.071528	0.076474	0.089308	0.073660	0.077948	0.068665	0.095348	
445	0.076824	0.068193	0.074257	0.070763	0.077918	0.086874	0.070223	0.078018	0.066681	0.092596	
450	0.079547	0.065794	0.072631	0.071341	0.079257	0.088089	0.072670	0.075939	0.067232	0.089367	
455	0.076827	0.067983	0.075933	0.070108	0.082359	0.091582	0.071390	0.078276	0.068663	0.090611	
460	0.079208	0.068800	0.079257	0.067280	0.084111	0.094046	0.069402	0.076175	0.067775	0.087868	
465	0.078461	0.073607	0.083412	0.066965	0.081945	0.093620	0.066788	0.076845	0.069552	0.086842	
470	0.078003	0.074470	0.080182	0.068511	0.082727	0.093108	0.067660	0.075895	0.067593	0.084848	
475	0.080429	0.071289	0.083589	0.069011	0.083078	0.090511	0.071257	0.075517	0.068210	0.085942	
480	0.074641	0.071286	0.081822	0.069356	0.079241	0.090076	0.070966	0.078517	0.068291	0.085114	
485	0.072112	0.071513	0.077895	0.070218	0.078274	0.090264	0.072376	0.078941	0.067743	0.085212	
490	0.071892	0.072732	0.075355	0.071265	0.081976	0.090084	0.071789	0.079082	0.070418	0.084409	
495	0.072046	0.073354	0.078937	0.068536	0.080719	0.091465	0.073618	0.080974	0.072584	0.080255	
500	0.073933	0.074021	0.075639	0.069885	0.081154	0.093847	0.070837	0.078497	0.070889	0.079735	
505	0.075562	0.072044	0.078906	0.069517	0.080864	0.092269	0.070356	0.081573	0.068082	0.078547	
510	0.076210	0.070127	0.083284	0.065545	0.084458	0.088697	0.068717	0.081352	0.071264	0.082917	
515	0.078143	0.071742	0.080306	0.066525	0.080358	0.091539	0.067549	0.077685	0.072447	0.081661	
520	0.077264	0.071759	0.078684	0.066577	0.078379	0.090673	0.071559	0.078291	0.072837	0.080915	
525	0.075736	0.074378	0.073470	0.065969	0.080037	0.091919	0.074820	0.076158	0.072600	0.080395	
530	0.076129	0.074374	0.071831	0.066589	0.085230	0.088161	0.072904	0.072287	0.070708	0.081789	
535	0.075154	0.074186	0.070685	0.066595	0.087111	0.088660	0.070504	0.071777	0.072269	0.079984	
540	0.073654	0.075625	0.074638	0.069369	0.085881	0.089542	0.067195	0.074657	0.072253	0.079190	
545	0.073004	0.075978	0.073433	0.067642	0.089066	0.090396	0.068967	0.075258	0.072553	0.079715	
550	0.073180	0.077134	0.078654	0.066545	0.089634	0.092683	0.070981	0.076678	0.072877	0.079441	
555	0.072031	0.076396	0.080460	0.066658	0.086623	0.090933	0.073605	0.074958	0.074188	0.087171	
560	0.075117	0.077583	0.082748	0.066443	0.086406	0.092906	0.077557	0.074753	0.072205	0.087359	
565	0.074365	0.073934	0.082711	0.072270	0.088655	0.093552	0.074399	0.076200	0.072009	0.087078	
570	0.078805	0.076781	0.079405	0.074026	0.092345	0.094291	0.074738	0.077724	0.070700	0.085195	
575	0.083018	0.076777	0.080449	0.073386	0.088647	0.095265	0.072363	0.079383	0.070993	0.082348	
580	0.081845	0.079248	0.081409	0.073531	0.089684	0.090617	0.074536	0.079577	0.072989	0.085004	
585	0.080383	0.079043	0.081088	0.071880	0.090727	0.092422	0.078578	0.079875	0.073986	0.083132	
590	0.080380	0.081000	0.080498	0.074481	0.089406	0.092219	0.079598	0.081894	0.078481	0.080373	
595	0.077893	0.084933	0.081836	0.072345	0.089903	0.092416	0.079388	0.083643	0.078330	0.080459	
600	0.079855	0.086380	0.080847	0.069978	0.091022	0.094300	0.079262	0.084148	0.081516	0.078985	
605	0.078619	0.085643	0.083639	0.069949	0.089167	0.092458	0.075346	0.080310	0.078484	0.076071	
610	0.084472	0.085653	0.082056	0.071239	0.089418	0.093879	0.073982	0.077205	0.081755	0.076615	
615	0.080855	0.081868	0.083974	0.072490	0.086192	0.094312	0.075894	0.073473	0.078084	0.075424	
620	0.079072	0.083280	0.085095	0.073348	0.087455	0.096574	0.074191	0.075279	0.079363	0.079357	
625	0.075669	0.083798	0.087361	0.067260	0.087633	0.097890	0.070320	0.075720	0.078991	0.079496	
630	0.076609	0.083693	0.093661	0.066308	0.086716	0.096741	0.072319	0.076987	0.078903	0.079797	
635	0.076474	0.082750	0.093883	0.067600	0.088037	0.095601	0.072770	0.076299	0.083949	0.080055	
640	0.077798	0.087524	0.095285	0.068205	0.086231	0.092981	0.072199	0.075310	0.087027	0.081229	
645	0.075247	0.084658	0.096858	0.069471	0.087683	0.092311	0.072166	0.077428	0.090234	0.078169	
650	0.076070	0.084922	0.095589	0.068410	0.084353	0.094887	0.070159	0.075254	0.091667	0.080460	
655	0.077024	0.082268	0.095439	0.066992	0.084621	0.097136	0.070914	0.077663	0.093916	0.081958	
660	0.077612	0.079213	0.094814	0.071111	0.084271	0.096252	0.070802	0.075801	0.093112	0.082939	
665	0.075726	0.078721	0.098984	0.072118	0.082870	0.095621	0.072104	0.074572	0.091605	0.085193	
670	0.079152	0.082425	0.101203	0.072849	0.085279	0.091261	0.072043	0.073418	0.089002	0.085467	
675	0.077602	0.084149	0.098951	0.070179	0.082095	0.090429	0.069663	0.073182	0.087787	0.084227	
680	0.075045	0.077809	0.099418	0.068542	0.083257	0.089311	0.073171	0.073748	0.087673	0.082825	
