T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.042250	0.032996	0.019177	0.031092	0.036082	0.026212	0.026498	0.020651	0.022457	0.020897	
10	0.168850	0.166067	0.189218	0.177577	0.166067	0.161594	0.157156	0.153353	0.160335	0.158353	
15	0.223506	0.213800	0.239857	0.248602	0.254993	0.197972	0.203792	0.206579	0.213808	0.233658	
20	0.299701	0.273304	0.264018	0.285381	0.335118	0.254329	0.264977	0.277680	0.275034	0.302802	
25	0.378714	0.329622	0.308048	0.360446	0.387102	0.368894	0.333013	0.341848	0.355142	0.363137	
30	0.473310	0.373684	0.387732	0.435485	0.431684	0.457330	0.387038	0.387142	0.419102	0.396053	
35	0.551964	0.412324	0.458624	0.483758	0.470385	0.496877	0.427869	0.415209	0.472878	0.426925	
40	0.588599	0.438417	0.499923	0.515973	0.498868	0.516410	0.472409	0.444432	0.514024	0.456860	
45	0.609355	0.473461	0.530904	0.545574	0.526984	0.533030	0.511151	0.475732	0.550094	0.498530	
50	0.620218	0.504691	0.559116	0.579301	0.555372	0.543634	0.549287	0.503116	0.579614	0.540389	
55	0.633586	0.536562	0.585680	0.611052	0.581237	0.561867	0.597628	0.531407	0.605307	0.582754	
60	0.644388	0.568242	0.619633	0.637340	0.608335	0.579571	0.624285	0.565788	0.629485	0.615492	
65	0.654928	0.602226	0.646074	0.657381	0.627966	0.605778	0.649723	0.589293	0.647923	0.633237	
70	0.660176	0.620270	0.672384	0.678963	0.655801	0.635679	0.669106	0.611548	0.663638	0.654236	
75	0.672821	0.643387	0.682285	0.698410	0.678852	0.658208	0.678732	0.630287	0.672394	0.663930	
80	0.680839	0.660162	0.690916	0.705300	0.694523	0.680839	0.690538	0.644075	0.685680	0.676037	
85	0.695505	0.671604	0.704214	0.705351	0.710470	0.695595	0.697705	0.656854	0.695379	0.677812	
90	0.704918	0.685884	0.711416	0.713458	0.726581	0.709047	0.706303	0.664329	0.696803	0.688721	
95	0.714411	0.701668	0.720334	0.715137	0.730740	0.720678	0.713147	0.672586	0.700745	0.701571	
100	0.719334	0.704636	0.728735	0.716509	0.728819	0.729216	0.718864	0.681099	0.709577	0.711676	
105	0.724632	0.708837	0.735965	0.722519	0.733493	0.729510	0.722311	0.683471	0.718110	0.712661	
110	0.722477	0.712190	0.734229	0.722744	0.734896	0.729516	0.727623	0.689889	0.718290	0.711601	
115	0.720250	0.707135	0.730368	0.721564	0.735303	0.725338	0.721329	0.694299	0.713494	0.709738	
120	0.709023	0.702104	0.726777	0.721020	0.730516	0.721571	0.710052	0.698254	0.712101	0.706582	
125	0.689833	0.695914	0.715520	0.713046	0.720657	0.706593	0.676429	0.695184	0.701500	0.697587	
130	0.664692	0.681705	0.694501	0.706254	0.704908	0.684511	0.626813	0.687977	0.681107	0.683886	
135	0.637723	0.665987	0.666273	0.693774	0.675712	0.659509	0.563082	0.678028	0.660665	0.669114	
140	0.613465	0.644652	0.639382	0.674946	0.646890	0.624108	0.507538	0.665726	0.640720	0.653291	
145	0.594391	0.627800	0.621012	0.651520	0.604459	0.594218	0.477243	0.651010	0.618150	0.637270	
150	0.575926	0.605412	0.599532	0.629220	0.561861	0.572582	0.459320	0.633326	0.593171	0.620043	
155	0.549387	0.584517	0.580284	0.598076	0.529495	0.543364	0.444694	0.602949	0.572058	0.591558	
160	0.533274	0.560449	0.565238	0.566009	0.503805	0.519155	0.438729	0.569450	0.551048	0.565333	
165	0.518477	0.541083	0.542815	0.532303	0.482219	0.495000	0.428178	0.540146	0.535415	0.537156	
170	0.503437	0.520154	0.511583	0.511677	0.471011	0.475141	0.422463	0.509135	0.523400	0.506787	
175	0.492678	0.490931	0.485663	0.487511	0.459445	0.454058	0.414419	0.482116	0.504301	0.478530	
180	0.480821	0.459786	0.470903	0.463748	0.450860	0.435577	0.408512	0.460667	0.482843	0.464477	
185	0.469804	0.425952	0.450560	0.442762	0.446173	0.418633	0.398250	0.446105	0.465194	0.442806	
190	0.457554	0.393051	0.430802	0.423614	0.441036	0.401006	0.393420	0.425614	0.459306	0.430144	
195	0.446627	0.356005	0.415559	0.402282	0.433177	0.382854	0.384482	0.412518	0.446376	0.418740	
200	0.433783	0.305851	0.392765	0.389516	0.421603	0.369066	0.372930	0.398432	0.423300	0.408028	
205	0.426619	0.260346	0.374101	0.373075	0.410497	0.351436	0.367218	0.389554	0.415760	0.389546	
210	0.416761	0.207389	0.353970	0.349707	0.400089	0.334753	0.362487	0.378769	0.404299	0.380584	
215	0.401809	0.165372	0.346323	0.336068	0.395063	0.323558	0.360175	0.363717	0.395105	0.363995	
220	0.387277	0.127583	0.338990	0.324409	0.387476	0.304978	0.352734	0.347364	0.380612	0.357820	
225	0.367181	0.102588	0.327577	0.310439	0.376180	0.298225	0.343599	0.337630	0.368282	0.347700	
230	0.345560	0.110384	0.314679	0.292834	0.366237	0.285319	0.336000	0.324775	0.358619	0.333219	
235	0.331301	0.126993	0.310455	0.271438	0.355607	0.276593	0.326429	0.313626	0.345681	0.324466	
240	0.312699	0.147391	0.305632	0.259085	0.338426	0.265596	0.311677	0.301676	0.336886	0.317012	
245	0.293803	0.170418	0.303758	0.247174	0.322341	0.255822	0.299055	0.288837	0.324521	0.308250	
250	0.265993	0.189901	0.300157	0.235499	0.306749	0.240808	0.293852	0.277685	0.319420	0.302850	
255	0.246703	0.211459	0.295517	0.227197	0.296027	0.220660	0.285776	0.265615	0.319913	0.300612	
260	0.225991	0.232381	0.290238	0.217035	0.276264	0.221505	0.273262	0.255205	0.312564	0.294142	
265	0.203388	0.243402	0.283083	0.213272	0.266779	0.219558	0.262113	0.245558	0.306266	0.290731	
270	0.197124	0.264453	0.270232	0.203165	0.257589	0.223954	0.250011	0.244045	0.295014	0.292437	
275	0.181239	0.277897	0.265801	0.190819	0.255516	0.228972	0.238005	0.234623	0.296378	0.288327	
280	0.181479	0.284294	0.260104	0.186893	0.249597	0.235679	0.233152	0.234418	0.288617	0.284681	
285	0.183597	0.293782	0.259150	0.186291	0.249395	0.243459	0.232205	0.230751	0.280127	0.281547	
290	0.186272	0.304174	0.254284	0.197728	0.244197	0.258290	0.226338	0.232876	0.277571	0.283747	
295	0.203125	0.320151	0.255843	0.205608	0.249867	0.263791	0.219764	0.234919	0.275991	0.282575	
300	0.218119	0.323997	0.254496	0.220096	0.257754	0.265257	0.233300	0.250076	0.272433	0.283415	
305	0.233073	0.326626	0.256498	0.235101	0.258151	0.267597	0.233764	0.255261	0.265570	0.280752	
310	0.246116	0.327078	0.259912	0.239713	0.261410	0.277088	0.245970	0.265960	0.267041	0.276225	
315	0.263785	0.328364	0.261509	0.252900	0.263436	0.282943	0.256733	0.269813	0.267225	0.278270	
320	0.284102	0.338079	0.261774	0.266242	0.268275	0.288414	0.269791	0.276329	0.261283	0.276076	
325	0.295777	0.339459	0.261131	0.268425	0.272653	0.293492	0.275167	0.278080	0.264304	0.277249	
330	0.300816	0.338549	0.278758	0.277426	0.278827	0.301526	0.279197	0.282997	0.263526	0.281400	
335	0.305663	0.341755	0.285052	0.285336	0.286437	0.302030	0.292259	0.285666	0.262416	0.289820	
340	0.316002	0.342514	0.282276	0.290611	0.294578	0.308187	0.299079	0.296714	0.266510	0.289536	
345	0.319089	0.339909	0.283780	0.297491	0.296409	0.306140	0.305749	0.295005	0.268136	0.292014	
350	0.319598	0.344819	0.286896	0.299967	0.299550	0.309179	0.308154	0.296357	0.271037	0.295076	
