R	z	x1	u1	x2	u2	grp_fit
0.3	0.513845	0.086617	0.072147	0.086617	0.072147	0.168626
0.31	0.506683	0.090614	0.071732	0.090614	0.071732	0.168625
0.32	0.499586	0.094661	0.071239	0.094661	0.071239	0.168614
0.33	0.492543	0.09876	0.070672	0.09876	0.070672	0.168594
0.34	0.485546	0.10291	0.070035	0.10291	0.070035	0.168564
0.35	0.478585	0.107112	0.069332	0.107112	0.069332	0.168527
0.36	0.471651	0.111367	0.068567	0.111367	0.068567	0.168481
0.37	0.464738	0.115675	0.067742	0.115675	0.067742	0.168427
0.38	0.457836	0.120038	0.066861	0.120038	0.066861	0.168366
0.39	0.450938	0.124456	0.065926	0.124456	0.065926	0.168298
0.4	0.444037	0.128929	0.064941	0.128929	0.064941	0.168222
0.41	0.437125	0.13346	0.063907	0.13346	0.063907	0.16814
0.42	0.430197	0.138048	0.062828	0.138048	0.062828	0.16805
0.43	0.423245	0.142696	0.061705	0.142696	0.061705	0.167954
0.44	0.416263	0.147403	0.06054	0.147403	0.06054	0.16785
0.45	0.409245	0.152171	0.059336	0.152171	0.059336	0.16774
0.46	0.402184	0.157002	0.058095	0.157002	0.058095	0.167622
0.47	0.395076	0.161896	0.056817	0.161896	0.056817	0.167498
0.48	0.387915	0.166854	0.055506	0.166854	0.055506	0.167366
0.49	0.380695	0.171878	0.054162	0.171878	0.054162	0.167226
0.5	0.373411	0.176968	0.052787	0.176968	0.052787	0.167079
0.51	0.366059	0.182125	0.051383	0.182125	0.051383	0.166923
0.52	0.358635	0.187351	0.049951	0.187351	0.049951	0.16676
0.53	0.351133	0.192647	0.048493	0.192647	0.048493	0.166587
0.54	0.343551	0.198012	0.047009	0.198012	0.047009	0.166406
0.55	0.335886	0.203448	0.045501	0.203448	0.045501	0.166216
0.56	0.328134	0.208954	0.043971	0.208954	0.043971	0.166015
0.57	0.320295	0.214532	0.042419	0.214532	0.042419	0.165805
0.58	0.312367	0.220179	0.040846	0.220179	0.040846	0.165583
0.59	0.30435	0.225896	0.039254	0.225896	0.039254	0.165351
0.6	0.296246	0.231681	0.037643	0.231681	0.037643	0.165106
0.61	0.288059	0.237531	0.036016	0.237531	0.036016	0.164848
0.62	0.279793	0.243443	0.034372	0.243443	0.034372	0.164577
0.63	0.271456	0.249414	0.032712	0.249414	0.032712	0.164292
0.64	0.26306	0.255436	0.031039	0.255436	0.031039	0.16399
0.65	0.254619	0.261502	0.029352	0.261502	0.029352	0.163673
0.66	0.246154	0.267601	0.027654	0.267601	0.027654	0.163337
0.67	0.237692	0.273719	0.025944	0.273719	0.025944	0.162981
0.68	0.229269	0.279839	0.024225	0.279839	0.024225	0.162604
0.69	0.220931	0.285936	0.022497	0.285936	0.022497	0.162203
0.7	0.212741	0.291979	0.020763	0.291979	0.020763	0.161776
0.71	0.20478	0.297927	0.019023	0.297927	0.019023	0.16132
0.72	0.197159	0.303726	0.01728	0.303726	0.01728	0.16083
0.73	0.190023	0.309301	0.015537	0.309301	0.015537	0.160302
0.74	0.183573	0.314553	0.013796	0.314553	0.013796	0.159729
0.75	0.178083	0.319344	0.012063	0.319344	0.012063	0.159103
0.76	0.173938	0.323481	0.010343	0.323481	0.010343	0.158413
0.77	0.171689	0.326686	0.008647	0.326686	0.008647	0.157644
0.78	0.172139	0.328556	0.006988	0.328556	0.006988	0.156774
0.79	0.176486	0.328485	0.005387	0.328485	0.005387	0.155771
0.8	0.186558	0.325546	0.003881	0.325546	0.003881	0.154588
0.81	0.205094	0.318349	0.002524	0.318349	0.002524	0.15316
0.82	0.235403	0.305187	0.001408	0.305187	0.001408	0.151407
0.83	0.278584	0.285409	0.000637	0.285409	0.000637	0.149324
0.84	0.3304	0.261031	0.000228	0.261031	0.000228	0.147082
0.85	0.384414	0.235266	0.000065	0.235266	0.000065	0.144924
0.86	0.438166	0.209378	0.000057	0.209378	0.000057	0.142965
0.87	0.486758	0.185961	0.000041	0.185961	0.000041	0.141237
0.88	0.533278	0.163446	0.000001	0.163446	0.000001	0.139828
0.89	0.578211	0.141611	0.000001	0.141611	0.000001	0.138565
0.9	0.621544	0.120487	0.000001	0.120487	0.000001	0.13748
0.91	0.663557	0.099943	0.000001	0.099943	0.000001	0.136556
0.92	0.704287	0.079967	0.000001	0.079967	0.000001	0.135777
0.93	0.743447	0.06071	0.000001	0.06071	0.000001	0.135132
0.94	0.780234	0.042575	0.000001	0.042575	0.000001	0.134615
0.95	0.813092	0.026339	0.000001	0.026339	0.000001	0.134228
0.96	0.839707	0.013153	0.000001	0.013153	0.000001	0.133986
0.97	0.857598	0.004263	0.000001	0.004263	0.000001	0.133873
0.98	0.865239	0.000459	0.000001	0.000459	0.000001	0.133841
0.99	0.866158	0.000001	0.000001	0.000001	0.000001	0.133838
1	0.866158	0.000001	0.000001	0.000001	0.000001	0.133838
