T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
205	0.001688	0.001647	0.001292	0.001255	0.001432	0.001635	0.001306	0.001575	0.001574	0.001413	
210	0.004077	0.003062	0.002649	0.003321	0.003458	0.003955	0.003080	0.002655	0.002843	0.003239	
215	0.006165	0.004986	0.004409	0.005772	0.005035	0.006374	0.005415	0.003804	0.004801	0.004350	
220	0.008931	0.007074	0.005962	0.008355	0.006812	0.009942	0.007904	0.006859	0.006652	0.006547	
225	0.011504	0.009026	0.008432	0.011859	0.007916	0.013877	0.009309	0.009029	0.008002	0.007539	
230	0.014963	0.011396	0.009424	0.013932	0.012209	0.017516	0.010578	0.009739	0.009219	0.009793	
235	0.018330	0.014121	0.013170	0.015807	0.015135	0.022270	0.013321	0.011329	0.010519	0.011708	
240	0.022225	0.015192	0.014966	0.016023	0.016888	0.026022	0.016283	0.012197	0.012674	0.013160	
245	0.024008	0.016335	0.017224	0.018720	0.020579	0.032282	0.017325	0.013777	0.015136	0.015651	
250	0.026807	0.018321	0.020559	0.019897	0.026725	0.038778	0.019217	0.014789	0.015921	0.018272	
255	0.029613	0.022492	0.023069	0.019440	0.030504	0.042654	0.022013	0.017243	0.019360	0.021263	
260	0.031618	0.026660	0.025927	0.020626	0.035975	0.049301	0.027840	0.022237	0.023569	0.022010	
265	0.033701	0.031641	0.026813	0.022420	0.043043	0.054672	0.031041	0.020911	0.027820	0.024312	
270	0.036973	0.038827	0.028098	0.023962	0.048517	0.060240	0.034461	0.024836	0.029846	0.026075	
275	0.039852	0.046489	0.033825	0.025654	0.054991	0.062270	0.037295	0.027067	0.033343	0.027691	
280	0.040613	0.052695	0.036642	0.028596	0.059093	0.062571	0.038245	0.030185	0.036874	0.029794	
285	0.043801	0.056993	0.039660	0.031356	0.061002	0.066039	0.040551	0.032698	0.041783	0.035060	
290	0.046718	0.059855	0.042815	0.032697	0.062090	0.069377	0.040818	0.039448	0.043114	0.038483	
295	0.048409	0.064733	0.046288	0.033736	0.063812	0.072231	0.045090	0.042298	0.045915	0.044501	
300	0.048137	0.063439	0.046198	0.035509	0.063750	0.077590	0.046925	0.043368	0.047606	0.045630	
305	0.048849	0.064670	0.050820	0.037582	0.065539	0.076179	0.050030	0.049131	0.050138	0.047695	
310	0.049428	0.068418	0.056470	0.040755	0.068897	0.075982	0.049721	0.051218	0.053256	0.049969	
315	0.052110	0.069238	0.058560	0.045114	0.069021	0.075001	0.053199	0.053990	0.058140	0.054648	
320	0.054895	0.070376	0.064552	0.049441	0.069077	0.074490	0.056457	0.054227	0.060632	0.058383	
325	0.053997	0.070042	0.070891	0.051553	0.069014	0.074423	0.057226	0.055977	0.061505	0.059131	
330	0.055542	0.069437	0.070984	0.054917	0.067807	0.073175	0.060233	0.057898	0.063092	0.062847	
335	0.058023	0.070443	0.072111	0.056546	0.064766	0.072865	0.061382	0.058914	0.063505	0.064942	
340	0.060904	0.068443	0.073942	0.059239	0.065921	0.071556	0.064655	0.057757	0.067980	0.065702	
345	0.060961	0.067885	0.078627	0.061546	0.064786	0.069231	0.065062	0.057317	0.071266	0.065752	
350	0.061840	0.063487	0.078407	0.060970	0.064475	0.068495	0.064055	0.052782	0.071596	0.064701	
355	0.061203	0.063424	0.080393	0.062877	0.063996	0.065767	0.062169	0.052228	0.073134	0.066001	
360	0.058322	0.060535	0.081057	0.061929	0.065879	0.063475	0.063841	0.052187	0.073767	0.064990	
365	0.057373	0.059720	0.083171	0.062924	0.065422	0.062186	0.065988	0.051146	0.074003	0.064954	
370	0.056547	0.060162	0.083710	0.063416	0.064776	0.058684	0.065508	0.051732	0.074707	0.066282	
375	0.054527	0.058571	0.080425	0.063426	0.063064	0.058824	0.064968	0.052353	0.071711	0.065737	
380	0.054520	0.059319	0.077789	0.061761	0.062865	0.055921	0.065648	0.054665	0.072159	0.061174	
385	0.054284	0.058526	0.077518	0.063257	0.060923	0.052705	0.068390	0.053597	0.073636	0.061719	
390	0.055954	0.056765	0.077064	0.064644	0.062001	0.050536	0.068999	0.054677	0.072761	0.059471	
395	0.056124	0.055369	0.075724	0.064610	0.061610	0.049140	0.069680	0.054921	0.068728	0.059187	
400	0.055377	0.056936	0.074458	0.065933	0.061789	0.050760	0.069049	0.053762	0.064899	0.058697	
405	0.056499	0.057983	0.074368	0.064854	0.061368	0.050780	0.067218	0.055321	0.064176	0.057215	
410	0.055529	0.055261	0.074250	0.064763	0.061060	0.050195	0.064631	0.055742	0.060487	0.056602	
415	0.055381	0.055406	0.073851	0.065046	0.059725	0.049439	0.068507	0.054509	0.059116	0.055483	
420	0.055382	0.055621	0.074770	0.062662	0.057930	0.049200	0.065820	0.055791	0.058777	0.055490	
425	0.055444	0.055563	0.072107	0.063200	0.056970	0.047822	0.067346	0.054923	0.058340	0.055023	
430	0.054032	0.056969	0.071432	0.063451	0.055062	0.048984	0.067335	0.054714	0.058716	0.054193	
435	0.053764	0.056701	0.070283	0.061741	0.054508	0.048377	0.067336	0.055235	0.057559	0.054200	
440	0.052780	0.057882	0.067269	0.060214	0.054985	0.047597	0.068701	0.055248	0.057068	0.054942	
445	0.052619	0.057088	0.066180	0.059663	0.054436	0.045873	0.068602	0.053879	0.060460	0.055569	
450	0.052287	0.056406	0.065121	0.058945	0.055222	0.046083	0.067366	0.054579	0.059141	0.054416	
455	0.051664	0.054272	0.065285	0.058623	0.053544	0.044475	0.065827	0.054479	0.057894	0.053904	
460	0.052488	0.053780	0.061315	0.060734	0.051858	0.049173	0.064374	0.054662	0.057502	0.053504	
465	0.053579	0.052692	0.062306	0.056066	0.051431	0.050725	0.064135	0.057240	0.057978	0.053499	
470	0.053444	0.051978	0.062922	0.055456	0.052756	0.051418	0.065648	0.058181	0.057241	0.052628	
475	0.053622	0.054437	0.061583	0.054626	0.053127	0.052127	0.063442	0.056610	0.059390	0.051844	
480	0.053932	0.053159	0.060679	0.051979	0.052384	0.052712	0.062069	0.056962	0.057966	0.050466	
485	0.054952	0.053839	0.062149	0.051600	0.053602	0.053171	0.060377	0.056224	0.055577	0.051156	
490	0.055201	0.055518	0.060861	0.051854	0.054979	0.052889	0.060007	0.054504	0.052388	0.052311	
495	0.055447	0.056328	0.059136	0.051441	0.054800	0.054044	0.061460	0.056012	0.054306	0.052481	
500	0.053673	0.054570	0.059477	0.051097	0.056981	0.053326	0.061502	0.054914	0.055307	0.052650	
505	0.053381	0.053936	0.059613	0.051004	0.055497	0.051451	0.062109	0.054136	0.055282	0.053842	
510	0.053419	0.054203	0.060060	0.051015	0.056317	0.050045	0.061733	0.055692	0.053119	0.052347	
515	0.055383	0.056473	0.059784	0.049658	0.054631	0.050157	0.062493	0.056470	0.051759	0.051011	
520	0.055933	0.054305	0.058230	0.051160	0.056498	0.053428	0.065506	0.057420	0.052312	0.049083	
525	0.055028	0.055135	0.058027	0.050121	0.056780	0.053185	0.062764	0.057702	0.051011	0.048866	
530	0.056368	0.054246	0.057283	0.049690	0.056646	0.054387	0.064496	0.056877	0.050392	0.049047	
535	0.055720	0.056086	0.058584	0.050607	0.058350	0.052926	0.062625	0.054755	0.052157	0.047566	
540	0.054708	0.056735	0.058357	0.049270	0.058586	0.053316	0.062438	0.053252	0.052182	0.048636	
545	0.054440	0.056828	0.056942	0.048075	0.060262	0.050903	0.063487	0.053358	0.052188	0.051383	
550	0.052957	0.055166	0.059073	0.047421	0.061139	0.052039	0.061869	0.055618	0.050253	0.052796	
555	0.053040	0.056396	0.059181	0.048886	0.060506	0.051424	0.063100	0.055824	0.049713	0.054164	
560	0.054375	0.055860	0.058791	0.051631	0.059500	0.050785	0.062518	0.054776	0.049906	0.055215	
565	0.053717	0.057779	0.059135	0.053494	0.061129	0.049986	0.062612	0.058098	0.051811	0.057725	
570	0.052805	0.059649	0.059528	0.056989	0.061081	0.048756	0.063031	0.059408	0.052192	0.055970	
575	0.053402	0.060118	0.059165	0.057315	0.062359	0.049131	0.065408	0.059521	0.051506	0.053924	
580	0.056874	0.058595	0.059983	0.060319	0.062336	0.052204	0.066395	0.057823	0.050786	0.053842	
585	0.056619	0.058315	0.059245	0.062737	0.061711	0.052012	0.068055	0.057737	0.051293	0.056030	
590	0.054621	0.058632	0.059055	0.063642	0.062742	0.051000	0.068669	0.057588	0.055074	0.055948	
595	0.054612	0.059735	0.058763	0.065630	0.061785	0.050566	0.068751	0.057884	0.054209	0.057208	
600	0.054660	0.060169	0.058540	0.068672	0.062640	0.048727	0.067724	0.055154	0.054426	0.055837	
605	0.054467	0.061410	0.059207	0.068343	0.060031	0.048869	0.066140	0.055365	0.055007	0.056196	
610	0.055038	0.060783	0.058256	0.069230	0.057574	0.047313	0.065853	0.056028	0.055744	0.057548	
615	0.053498	0.060314	0.059179	0.070548	0.055489	0.048936	0.066747	0.055735	0.055064	0.059985	
620	0.057591	0.058482	0.057491	0.069563	0.057758	0.049275	0.062599	0.056162	0.054378	0.060283	
625	0.058589	0.059788	0.057705	0.069032	0.057821	0.048052	0.064122	0.054879	0.052968	0.059343	
630	0.057679	0.060969	0.057317	0.066211	0.058388	0.048267	0.063647	0.055253	0.051670	0.060568	
635	0.056134	0.061216	0.055774	0.064991	0.059281	0.051482	0.063149	0.054672	0.052405	0.061786	
640	0.057803	0.060657	0.056535	0.063333	0.059117	0.050249	0.062817	0.054178	0.052170	0.062564	
645	0.054527	0.061999	0.055671	0.063584	0.061630	0.052092	0.061944	0.054166	0.050290	0.063468	
650	0.054203	0.062318	0.057907	0.062801	0.062294	0.051023	0.062951	0.056845	0.051118	0.063086	
655	0.051576	0.061550	0.057431	0.060388	0.059803	0.051123	0.063410	0.054298	0.050384	0.060338	
660	0.050603	0.059623	0.059041	0.061037	0.059722	0.050488	0.060569	0.052787	0.053101	0.062470	
665	0.048601	0.060231	0.058046	0.057737	0.056641	0.051999	0.062653	0.053870	0.052412	0.061684	
670	0.049155	0.059571	0.059670	0.059227	0.055060	0.052056	0.061476	0.053994	0.053517	0.061509	
675	0.049611	0.062221	0.060085	0.060670	0.058336	0.052127	0.063120	0.054441	0.052501	0.059382	
680	0.050856	0.060267	0.056796	0.057824	0.058754	0.053250	0.062708	0.054425	0.052327	0.060760	
