T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.110149	0.107529	0.107741	0.115820	0.108766	0.086011	0.096359	0.098945	0.088176	0.094310	
10	0.216224	0.202187	0.273962	0.233806	0.198039	0.185098	0.239308	0.191827	0.258809	0.193805	
15	0.275632	0.278044	0.371375	0.282112	0.272874	0.260556	0.286481	0.268443	0.308065	0.257485	
20	0.373945	0.386362	0.506247	0.332371	0.374611	0.375944	0.358151	0.366815	0.372611	0.374877	
25	0.454965	0.452193	0.595098	0.400948	0.433411	0.447794	0.470651	0.431190	0.466542	0.477853	
30	0.522441	0.507221	0.632398	0.474447	0.508699	0.493291	0.545045	0.496669	0.546177	0.548011	
35	0.591312	0.554733	0.661868	0.561646	0.581378	0.542545	0.593851	0.561736	0.604555	0.611716	
40	0.654466	0.594936	0.692392	0.654910	0.630115	0.609117	0.637061	0.615973	0.635809	0.668822	
45	0.703377	0.636772	0.733010	0.738190	0.665577	0.667362	0.674208	0.672710	0.666198	0.709721	
50	0.741133	0.684108	0.769939	0.801810	0.699293	0.705092	0.718177	0.735596	0.698317	0.740441	
55	0.772831	0.732425	0.800414	0.836781	0.733039	0.727104	0.752950	0.785582	0.735158	0.765760	
60	0.798713	0.771728	0.817678	0.857096	0.766282	0.746662	0.785293	0.810884	0.767094	0.786980	
65	0.819754	0.801366	0.834060	0.866873	0.790478	0.767353	0.813957	0.829333	0.803723	0.809423	
70	0.835142	0.822302	0.843855	0.873692	0.810635	0.786208	0.833753	0.840391	0.824034	0.823311	
75	0.847903	0.835896	0.851916	0.872175	0.826930	0.804113	0.843583	0.849781	0.838797	0.838810	
80	0.858841	0.843066	0.858177	0.876172	0.843658	0.815950	0.853691	0.856360	0.849444	0.848021	
85	0.863603	0.849973	0.859379	0.876288	0.851464	0.830207	0.860596	0.859137	0.854836	0.856293	
90	0.865890	0.858204	0.858346	0.878476	0.856664	0.844390	0.862934	0.863126	0.857421	0.861611	
95	0.865536	0.865886	0.864010	0.876957	0.859694	0.850531	0.863866	0.866393	0.866117	0.866444	
100	0.863000	0.868136	0.865260	0.874759	0.862638	0.857024	0.866911	0.868254	0.867902	0.867853	
105	0.866318	0.867737	0.867378	0.872070	0.864654	0.861769	0.867213	0.863828	0.870117	0.869457	
110	0.865725	0.866030	0.866790	0.870176	0.865512	0.861203	0.864018	0.866920	0.867839	0.869749	
115	0.863240	0.866535	0.864734	0.867413	0.865607	0.862246	0.864749	0.865496	0.864240	0.867144	
120	0.859356	0.865146	0.858651	0.866818	0.861532	0.859763	0.864339	0.861918	0.855855	0.863940	
125	0.857273	0.860758	0.854832	0.862347	0.858436	0.856301	0.859343	0.858634	0.854685	0.860712	
130	0.855541	0.857094	0.852606	0.860085	0.859002	0.853526	0.857990	0.860474	0.851870	0.857937	
135	0.853869	0.855142	0.852097	0.855661	0.855436	0.848562	0.855029	0.858189	0.850895	0.853409	
140	0.851925	0.851360	0.846046	0.853961	0.850253	0.843754	0.850861	0.855713	0.848530	0.850001	
145	0.845404	0.849803	0.842788	0.852119	0.850987	0.839209	0.847640	0.850292	0.843993	0.846860	
150	0.841642	0.846391	0.836105	0.848127	0.847925	0.834539	0.844674	0.845052	0.835880	0.844793	
155	0.840135	0.842026	0.836437	0.842900	0.845610	0.829707	0.845221	0.842496	0.829633	0.842339	
160	0.835675	0.839288	0.834510	0.836294	0.841284	0.822409	0.842587	0.837347	0.825461	0.837823	
165	0.831820	0.834189	0.829539	0.833053	0.838296	0.817515	0.835876	0.835469	0.820034	0.838254	
170	0.828227	0.830069	0.828828	0.826662	0.834093	0.813706	0.829048	0.832694	0.818209	0.833553	
175	0.824544	0.823611	0.827655	0.818875	0.827892	0.809438	0.820090	0.827956	0.816067	0.831142	
180	0.819012	0.815762	0.823232	0.807300	0.822863	0.807304	0.814311	0.829081	0.811105	0.823951	
185	0.816577	0.813083	0.814479	0.803720	0.817502	0.803289	0.808547	0.828417	0.808655	0.817425	
190	0.812370	0.809178	0.809906	0.798435	0.815024	0.798621	0.802621	0.822133	0.802696	0.811197	
195	0.805450	0.798764	0.802456	0.796031	0.812022	0.792491	0.798133	0.815471	0.796782	0.807582	
200	0.798789	0.790603	0.798435	0.793508	0.803796	0.789715	0.791733	0.813128	0.791965	0.802647	
205	0.796305	0.787287	0.795599	0.782469	0.797315	0.782546	0.784118	0.806233	0.789146	0.797498	
210	0.793002	0.779155	0.788212	0.777210	0.788546	0.777872	0.775608	0.801256	0.784669	0.791110	
215	0.792243	0.775886	0.782031	0.772549	0.783045	0.772573	0.768625	0.798433	0.781799	0.791173	
220	0.789891	0.766831	0.779015	0.762774	0.780281	0.769044	0.759885	0.794647	0.777900	0.785109	
225	0.784691	0.761580	0.772828	0.753425	0.779076	0.768421	0.756136	0.789238	0.775098	0.780420	
230	0.779625	0.757578	0.767690	0.752064	0.771519	0.762699	0.744822	0.784636	0.769109	0.770051	
235	0.775697	0.752884	0.759993	0.747235	0.761561	0.760167	0.732790	0.779908	0.763547	0.764360	
240	0.770233	0.747153	0.757083	0.743514	0.750946	0.753521	0.723959	0.776742	0.759379	0.759586	
245	0.766901	0.744799	0.747131	0.736580	0.742647	0.743741	0.716381	0.773149	0.754224	0.755781	
250	0.764718	0.738609	0.749218	0.736088	0.736025	0.736047	0.705994	0.767171	0.749209	0.746992	
255	0.760826	0.731822	0.743469	0.730134	0.734064	0.728575	0.701271	0.762101	0.743477	0.738794	
260	0.757888	0.723258	0.737863	0.724838	0.728206	0.723755	0.695007	0.761753	0.738914	0.738009	
265	0.754792	0.718346	0.729496	0.719014	0.720719	0.719103	0.686190	0.757223	0.738869	0.733026	
270	0.752050	0.709958	0.725961	0.717070	0.713527	0.715179	0.677746	0.754928	0.734598	0.729981	
275	0.742277	0.706299	0.719908	0.708396	0.712773	0.707680	0.671031	0.747857	0.732413	0.725735	
280	0.737464	0.706095	0.714152	0.698549	0.707857	0.701818	0.667850	0.743530	0.730366	0.720747	
285	0.738119	0.699064	0.713645	0.695318	0.701573	0.695009	0.663831	0.736493	0.728524	0.718825	
290	0.735333	0.698456	0.710178	0.693230	0.700815	0.688893	0.658129	0.731193	0.725125	0.714277	
295	0.731989	0.694711	0.708688	0.695107	0.694368	0.681201	0.657454	0.731402	0.723290	0.711837	
300	0.724593	0.692930	0.706878	0.684614	0.687717	0.682710	0.652888	0.724085	0.716372	0.703655	
305	0.721597	0.687659	0.703855	0.678623	0.680550	0.680272	0.646633	0.721419	0.719899	0.697970	
310	0.717838	0.684427	0.703355	0.673085	0.674066	0.680378	0.643814	0.715653	0.711566	0.695216	
315	0.715669	0.683131	0.699158	0.667685	0.668516	0.676640	0.647136	0.707742	0.706925	0.692014	
320	0.712019	0.682219	0.692675	0.664409	0.664505	0.670714	0.648902	0.700762	0.698334	0.687660	
325	0.705941	0.677516	0.688275	0.656061	0.662037	0.669960	0.645198	0.691847	0.693892	0.683329	
330	0.702560	0.673962	0.685488	0.654863	0.661941	0.663580	0.644919	0.681284	0.688398	0.674872	
335	0.694370	0.678243	0.678941	0.651805	0.659499	0.656379	0.648786	0.676481	0.689670	0.674480	
340	0.688857	0.676017	0.677234	0.650012	0.652839	0.648426	0.646736	0.671604	0.686036	0.667917	
345	0.687079	0.671867	0.669138	0.641467	0.646137	0.644246	0.645045	0.663140	0.677154	0.669321	
350	0.685632	0.671038	0.662551	0.636534	0.641655	0.644477	0.646236	0.660319	0.675648	0.669300	
355	0.685944	0.668895	0.659724	0.632734	0.639607	0.639521	0.640211	0.658580	0.673476	0.667635	
360	0.683516	0.664211	0.656438	0.627543	0.637142	0.640713	0.640692	0.646998	0.670083	0.661837	
365	0.681560	0.663413	0.650110	0.622848	0.635893	0.635543	0.642491	0.646615	0.664428	0.657066	
370	0.679686	0.662562	0.641152	0.618709	0.632144	0.636517	0.641453	0.644696	0.661126	0.657362	
375	0.675952	0.662004	0.639073	0.616030	0.628540	0.636088	0.641057	0.640855	0.663835	0.651297	
380	0.670627	0.659988	0.636576	0.615041	0.628483	0.632122	0.638442	0.639086	0.663766	0.647924	
385	0.670924	0.660523	0.630427	0.615362	0.623509	0.625838	0.637779	0.634204	0.665064	0.647456	
390	0.669998	0.656355	0.627428	0.613762	0.619231	0.623833	0.635074	0.632496	0.658161	0.646453	
395	0.661412	0.657256	0.621199	0.616441	0.621737	0.617897	0.631368	0.631547	0.654022	0.641828	
400	0.661920	0.651619	0.617241	0.615957	0.620210	0.615061	0.627541	0.630341	0.650492	0.637776	
405	0.662347	0.652274	0.613805	0.612318	0.618812	0.611566	0.625302	0.629317	0.648641	0.633209	
410	0.663207	0.652008	0.607194	0.610025	0.617208	0.605671	0.622801	0.626028	0.648358	0.631538	
415	0.660629	0.649367	0.600487	0.608992	0.609226	0.602777	0.620793	0.621315	0.647552	0.632493	
420	0.655754	0.642577	0.600097	0.606747	0.609443	0.604232	0.619603	0.618345	0.644664	0.636171	
425	0.651188	0.644456	0.597893	0.602185	0.603623	0.601941	0.616772	0.613111	0.642048	0.636837	
430	0.649260	0.642119	0.592851	0.605251	0.596817	0.594944	0.616093	0.612611	0.639238	0.634527	
435	0.644738	0.639477	0.590777	0.601792	0.595986	0.591225	0.617368	0.610464	0.632632	0.630090	
440	0.638125	0.639812	0.584298	0.601354	0.595569	0.592071	0.613077	0.608717	0.627852	0.624944	
445	0.635029	0.639382	0.577201	0.600715	0.595825	0.588687	0.607648	0.599895	0.625126	0.622510	
450	0.633771	0.636698	0.576340	0.601290	0.594600	0.582808	0.612486	0.597876	0.626944	0.620636	
455	0.634499	0.633179	0.572436	0.602091	0.594078	0.579176	0.611366	0.591512	0.627969	0.616000	
460	0.630691	0.624666	0.571933	0.604844	0.589533	0.580963	0.615092	0.591218	0.622820	0.612807	
465	0.626295	0.623596	0.572398	0.603008	0.588290	0.577661	0.610019	0.590561	0.619940	0.611118	
470	0.623930	0.618167	0.567704	0.599346	0.587334	0.577055	0.601906	0.588237	0.614579	0.610943	
475	0.625490	0.616725	0.564218	0.598592	0.584742	0.575157	0.598731	0.582372	0.613083	0.607921	
480	0.623740	0.615640	0.564142	0.596062	0.587787	0.576097	0.595319	0.583728	0.611640	0.608999	
485	0.622603	0.615130	0.560955	0.593364	0.584774	0.573873	0.599727	0.581978	0.612851	0.605802	
490	0.617866	0.614138	0.559177	0.593506	0.583487	0.567486	0.591944	0.580796	0.610654	0.602674	
495	0.617564	0.611587	0.554979	0.594103	0.584159	0.566833	0.589233	0.580723	0.610031	0.603884	
500	0.616004	0.614144	0.551821	0.594123	0.580241	0.565095	0.588974	0.581519	0.609123	0.604063	
505	0.613202	0.612676	0.552136	0.595907	0.579621	0.561888	0.586788	0.580907	0.602591	0.605184	
510	0.611882	0.612944	0.554684	0.597938	0.576560	0.563519	0.586630	0.578855	0.603179	0.601804	
515	0.609869	0.612623	0.557165	0.596064	0.572781	0.562232	0.587461	0.575236	0.599294	0.601237	
520	0.603992	0.613337	0.557135	0.598021	0.572276	0.566821	0.581624	0.572900	0.595440	0.601410	
525	0.603236	0.612985	0.554970	0.596936	0.574223	0.570798	0.583449	0.571888	0.597651	0.598900	
530	0.600231	0.613062	0.553990	0.593959	0.568148	0.570629	0.586694	0.569839	0.597084	0.600050	
535	0.595140	0.605090	0.549805	0.598403	0.563163	0.569390	0.583534	0.568857	0.594127	0.599919	
540	0.586631	0.604935	0.547317	0.595110	0.560701	0.567712	0.581131	0.569024	0.586648	0.599451	
545	0.581418	0.596492	0.540920	0.592735	0.559350	0.561121	0.578518	0.567126	0.580715	0.598562	
550	0.574968	0.598744	0.538213	0.585920	0.551241	0.555558	0.573052	0.567708	0.581015	0.591450	
555	0.572126	0.595429	0.535460	0.583669	0.554055	0.549099	0.567611	0.564478	0.581184	0.589546	
560	0.569486	0.591817	0.531595	0.579222	0.552975	0.544912	0.565896	0.562431	0.579248	0.589838	
565	0.572277	0.595802	0.530481	0.579571	0.552850	0.544885	0.561166	0.563988	0.573650	0.590932	
570	0.574363	0.595200	0.533099	0.579761	0.553130	0.541099	0.556594	0.560692	0.571169	0.587256	
575	0.573896	0.592564	0.533240	0.578679	0.552643	0.543959	0.555481	0.559179	0.572307	0.589240	
580	0.574069	0.588821	0.527635	0.577230	0.550784	0.541474	0.556447	0.557331	0.572262	0.587769	
585	0.577335	0.591027	0.527058	0.578612	0.543439	0.542839	0.553409	0.561113	0.569346	0.590920	
590	0.569733	0.593859	0.519793	0.579321	0.541242	0.542019	0.550490	0.561579	0.566509	0.591948	
595	0.565947	0.588252	0.519330	0.580578	0.539731	0.541314	0.550515	0.561046	0.569030	0.585959	
600	0.565250	0.585782	0.521142	0.577274	0.541456	0.540390	0.552461	0.561014	0.569718	0.584640	
