T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001243	0.001277	0.001507	0.001466	0.001252	0.001479	0.001512	0.001202	0.001387	0.001531	
110	0.002629	0.003385	0.004432	0.002800	0.003189	0.002563	0.003980	0.002775	0.003401	0.002998	
115	0.004129	0.003774	0.006242	0.004779	0.003940	0.003299	0.005628	0.004077	0.004655	0.004330	
120	0.004597	0.005346	0.006507	0.005257	0.005251	0.004804	0.007380	0.005462	0.005655	0.005742	
125	0.005369	0.007107	0.008009	0.006640	0.006388	0.005269	0.008567	0.006496	0.005592	0.008774	
130	0.005960	0.008143	0.007758	0.006281	0.008962	0.006976	0.010193	0.006127	0.007327	0.011675	
135	0.006876	0.008545	0.009025	0.007779	0.009704	0.007891	0.011665	0.007908	0.007928	0.011906	
140	0.007624	0.008677	0.009885	0.008828	0.011516	0.007828	0.011027	0.008337	0.009360	0.012537	
145	0.008853	0.008966	0.010437	0.008806	0.011382	0.008857	0.011233	0.008952	0.009839	0.013251	
150	0.010586	0.010111	0.010986	0.010328	0.012943	0.009823	0.012236	0.010943	0.011504	0.014522	
155	0.009955	0.011742	0.011838	0.010027	0.014279	0.009708	0.013024	0.013295	0.012834	0.014728	
160	0.009256	0.011489	0.013992	0.010537	0.016074	0.010175	0.013266	0.013981	0.014018	0.015602	
165	0.009909	0.012072	0.014934	0.011573	0.017719	0.010531	0.014004	0.015197	0.016631	0.017371	
170	0.012090	0.012934	0.016681	0.011604	0.019329	0.013363	0.014820	0.015600	0.018874	0.017112	
175	0.012570	0.013432	0.017329	0.013096	0.020208	0.013055	0.012973	0.015354	0.017941	0.018169	
180	0.013083	0.013933	0.018393	0.013631	0.021693	0.013949	0.012495	0.014741	0.020314	0.016243	
185	0.013186	0.014842	0.020052	0.015175	0.025500	0.014408	0.012163	0.014511	0.019706	0.019605	
190	0.014845	0.014153	0.021398	0.015838	0.023027	0.014429	0.012011	0.015967	0.018372	0.021328	
195	0.014502	0.014248	0.020542	0.015701	0.025921	0.015076	0.013394	0.014797	0.019489	0.022257	
200	0.014186	0.014786	0.019845	0.016098	0.027077	0.014869	0.015582	0.015363	0.018431	0.021819	
205	0.016117	0.014437	0.022798	0.017631	0.026422	0.014227	0.017457	0.016889	0.020440	0.024005	
210	0.016542	0.017762	0.024850	0.019717	0.027757	0.016138	0.019538	0.016276	0.020391	0.027039	
215	0.016374	0.018202	0.024098	0.019113	0.027638	0.016573	0.019847	0.019935	0.021186	0.025339	
220	0.019899	0.018323	0.024461	0.021003	0.026816	0.017328	0.017859	0.020685	0.022705	0.026581	
225	0.018589	0.019390	0.024551	0.019951	0.026486	0.018627	0.018404	0.019051	0.023585	0.028084	
230	0.019109	0.020986	0.023981	0.021932	0.027143	0.019061	0.018725	0.020372	0.025396	0.026886	
235	0.020262	0.021987	0.024746	0.022426	0.027263	0.021331	0.019515	0.021156	0.025653	0.028206	
240	0.021024	0.022643	0.024981	0.022550	0.027890	0.020715	0.020209	0.022292	0.025113	0.026713	
245	0.021663	0.022544	0.025711	0.022026	0.028172	0.020567	0.019110	0.020358	0.026228	0.027803	
250	0.023228	0.023386	0.028030	0.021147	0.027983	0.020752	0.018759	0.020469	0.025256	0.029002	
255	0.025132	0.024359	0.027522	0.023190	0.027135	0.021001	0.018435	0.020265	0.025256	0.030164	
260	0.026240	0.024660	0.028955	0.021896	0.026394	0.020966	0.021215	0.020334	0.024617	0.031194	
265	0.025510	0.024167	0.028545	0.021807	0.027391	0.019980	0.021008	0.019000	0.024710	0.031850	
270	0.026763	0.024997	0.028712	0.022228	0.028088	0.019526	0.020969	0.018346	0.025352	0.031890	
275	0.026038	0.025376	0.029142	0.021758	0.029884	0.023013	0.021416	0.019700	0.024483	0.030771	
280	0.026403	0.024933	0.029647	0.021940	0.028979	0.022461	0.021755	0.018922	0.025983	0.030418	
285	0.029559	0.025432	0.029536	0.023676	0.028717	0.021289	0.020363	0.019498	0.025519	0.030785	
290	0.029357	0.026233	0.029728	0.024517	0.028744	0.021948	0.020997	0.019195	0.028368	0.029610	
295	0.029983	0.027122	0.031440	0.023883	0.030638	0.021653	0.023267	0.019677	0.026757	0.032459	
300	0.030729	0.030706	0.031174	0.021792	0.029882	0.023546	0.022425	0.021078	0.029094	0.033194	
305	0.030922	0.030401	0.033129	0.020824	0.031654	0.025192	0.023374	0.020794	0.029061	0.033134	
310	0.030418	0.030275	0.031781	0.023671	0.032267	0.026098	0.023001	0.021625	0.027612	0.034580	
315	0.032700	0.030925	0.031192	0.023814	0.033098	0.027444	0.023943	0.021215	0.027534	0.032767	
320	0.032992	0.029530	0.030677	0.023645	0.032375	0.027267	0.026233	0.021131	0.028737	0.033105	
325	0.030450	0.029560	0.030666	0.023103	0.033785	0.025424	0.026805	0.023206	0.027845	0.035359	
330	0.033245	0.031067	0.028179	0.022694	0.034903	0.026439	0.029046	0.021513	0.028236	0.035437	
335	0.032371	0.029797	0.028972	0.022924	0.035630	0.025517	0.030391	0.021788	0.028139	0.034522	
340	0.035191	0.030424	0.029616	0.022561	0.032998	0.028124	0.030703	0.021321	0.027545	0.033353	
345	0.035561	0.031220	0.028992	0.023111	0.032323	0.028468	0.030053	0.023202	0.029158	0.032875	
350	0.034512	0.031081	0.028051	0.023742	0.033923	0.029365	0.029163	0.022794	0.030143	0.032476	
355	0.034903	0.027754	0.027652	0.021970	0.033132	0.029196	0.028494	0.025121	0.029886	0.032546	
360	0.032004	0.026957	0.029851	0.021860	0.030524	0.027708	0.029325	0.027379	0.028623	0.033031	
365	0.030838	0.027559	0.030809	0.022429	0.030057	0.024670	0.027981	0.028172	0.028010	0.032536	
370	0.032914	0.028092	0.032340	0.022075	0.029184	0.025641	0.027809	0.028254	0.027314	0.031501	
375	0.033061	0.030910	0.032996	0.023258	0.031377	0.026318	0.029633	0.029676	0.027819	0.031026	
380	0.032071	0.030401	0.034212	0.026012	0.033498	0.027755	0.032092	0.028348	0.027557	0.031711	
385	0.031924	0.029029	0.033732	0.025598	0.032681	0.028102	0.030751	0.029308	0.028976	0.035213	
390	0.031656	0.028884	0.033525	0.026084	0.033628	0.028191	0.029066	0.028346	0.026770	0.034999	
395	0.030693	0.027418	0.035243	0.027603	0.030270	0.027394	0.027474	0.030188	0.026350	0.036826	
400	0.032216	0.028809	0.037632	0.027015	0.031279	0.027415	0.028303	0.029571	0.026748	0.035997	
405	0.029630	0.028187	0.036669	0.026973	0.030682	0.028844	0.026581	0.029616	0.027700	0.036227	
410	0.031682	0.027735	0.037339	0.027061	0.031090	0.029709	0.026697	0.027941	0.027377	0.037003	
415	0.031383	0.027211	0.036430	0.026148	0.031710	0.029143	0.027083	0.027982	0.028331	0.038708	
420	0.031519	0.027958	0.036694	0.026394	0.032058	0.028916	0.024724	0.027543	0.027148	0.038229	
425	0.031520	0.027967	0.036836	0.025429	0.033957	0.029394	0.024832	0.027888	0.028900	0.036878	
430	0.032765	0.028629	0.035466	0.025386	0.032567	0.027274	0.024978	0.028927	0.029265	0.035674	
435	0.034046	0.030209	0.036264	0.025824	0.033315	0.027949	0.024699	0.028197	0.029740	0.036305	
440	0.034813	0.027321	0.035274	0.024291	0.032062	0.029178	0.024757	0.029532	0.030281	0.037693	
445	0.034505	0.025613	0.033512	0.024905	0.032143	0.029159	0.025746	0.029140	0.029465	0.034906	
450	0.035601	0.025907	0.035765	0.024532	0.030597	0.029795	0.025816	0.027631	0.027253	0.035094	
455	0.035402	0.026257	0.034330	0.024859	0.032876	0.030171	0.027100	0.028266	0.026759	0.033827	
460	0.034759	0.024900	0.031153	0.025392	0.032399	0.028058	0.027679	0.028822	0.027587	0.033190	
465	0.034340	0.025707	0.033990	0.026435	0.030845	0.027317	0.028119	0.029304	0.025975	0.032639	
470	0.033983	0.025272	0.033483	0.027582	0.030483	0.028958	0.028825	0.028660	0.026589	0.034508	
475	0.033360	0.027419	0.033062	0.027188	0.031104	0.029406	0.029707	0.030406	0.026649	0.033548	
480	0.034342	0.025366	0.032824	0.028428	0.032395	0.028843	0.029845	0.031375	0.025740	0.031533	
485	0.035874	0.024994	0.031969	0.028267	0.031391	0.032648	0.028128	0.031679	0.024809	0.032910	
490	0.035181	0.024192	0.031423	0.029239	0.033217	0.032276	0.026987	0.030387	0.025404	0.032084	
495	0.037085	0.022369	0.030988	0.029280	0.033483	0.034497	0.025965	0.030411	0.027032	0.033031	
500	0.037549	0.023268	0.030431	0.031260	0.033954	0.034173	0.026638	0.029814	0.024790	0.035106	
505	0.037515	0.023483	0.033008	0.031418	0.035258	0.034147	0.029368	0.030461	0.026887	0.033536	
510	0.037442	0.023700	0.031787	0.031481	0.035799	0.033302	0.028525	0.031365	0.026150	0.034020	
515	0.037540	0.025001	0.031803	0.030403	0.037671	0.034810	0.028882	0.033059	0.023919	0.032340	
520	0.036767	0.024680	0.033031	0.031339	0.035614	0.035081	0.028074	0.032415	0.026545	0.033535	
525	0.039951	0.024964	0.032344	0.030900	0.034131	0.034405	0.028634	0.033778	0.024613	0.034147	
530	0.038172	0.024552	0.030900	0.030513	0.034388	0.035803	0.029971	0.033361	0.025049	0.033840	
535	0.038873	0.026427	0.029915	0.030319	0.034005	0.033950	0.028979	0.032999	0.026747	0.031329	
540	0.039916	0.026863	0.029710	0.028918	0.034165	0.032573	0.029423	0.032825	0.024663	0.031872	
545	0.039106	0.025255	0.026759	0.027063	0.033656	0.032646	0.028570	0.032946	0.026746	0.031164	
550	0.036915	0.025483	0.029489	0.026237	0.031680	0.034347	0.028114	0.030814	0.025874	0.032555	
555	0.039440	0.025277	0.027976	0.025869	0.031684	0.031208	0.028221	0.030957	0.026647	0.032587	
560	0.038218	0.025540	0.028733	0.024554	0.031683	0.030705	0.027428	0.033394	0.026134	0.035304	
565	0.039272	0.027084	0.030155	0.025534	0.031860	0.030705	0.027283	0.034891	0.025927	0.036605	
570	0.038484	0.028866	0.027508	0.026173	0.033436	0.027989	0.028131	0.035708	0.024908	0.033781	
575	0.038932	0.030044	0.029306	0.027252	0.030881	0.026638	0.027412	0.036719	0.024783	0.032779	
580	0.039997	0.029436	0.029519	0.027026	0.032548	0.027943	0.025712	0.035221	0.024727	0.031413	
585	0.038213	0.031164	0.029973	0.025020	0.034491	0.027721	0.025210	0.035356	0.023493	0.029826	
590	0.039427	0.030922	0.029372	0.026051	0.035024	0.026853	0.024816	0.033863	0.024305	0.028932	
595	0.040966	0.032486	0.030226	0.026683	0.036267	0.027728	0.025672	0.032677	0.024457	0.029551	
600	0.039531	0.031977	0.030658	0.026437	0.035625	0.026622	0.026185	0.035405	0.026535	0.027229	
605	0.039739	0.033287	0.031166	0.026162	0.034006	0.027797	0.025714	0.034852	0.025849	0.026412	
610	0.039728	0.030890	0.028886	0.026334	0.035242	0.028992	0.026306	0.032386	0.026505	0.026515	
615	0.041757	0.031994	0.029707	0.023660	0.035478	0.027193	0.025533	0.035105	0.025288	0.027104	
620	0.041394	0.033147	0.030175	0.023462	0.036644	0.029483	0.025725	0.037394	0.023259	0.027330	
625	0.038893	0.035397	0.029504	0.023631	0.035037	0.030156	0.026560	0.037608	0.023103	0.027366	
630	0.038834	0.037493	0.029620	0.025665	0.034151	0.029078	0.025725	0.038011	0.024612	0.028240	
635	0.040349	0.036652	0.030165	0.026475	0.034884	0.028236	0.026030	0.037389	0.023993	0.029532	
640	0.039121	0.038835	0.031409	0.025360	0.034818	0.029823	0.025302	0.039563	0.023541	0.027824	
645	0.039282	0.037914	0.029558	0.026594	0.036198	0.028867	0.025497	0.039099	0.025157	0.029239	
650	0.040022	0.038692	0.030201	0.029113	0.037515	0.026830	0.025840	0.041244	0.025643	0.028414	
655	0.039933	0.039980	0.031907	0.030667	0.036957	0.027928	0.025628	0.042649	0.027392	0.028137	
660	0.037070	0.040645	0.032938	0.030117	0.036434	0.028974	0.028453	0.043408	0.026705	0.027612	
665	0.038221	0.039503	0.031022	0.029600	0.035614	0.025897	0.028511	0.042030	0.026261	0.026592	
670	0.038063	0.039379	0.031945	0.029906	0.034595	0.026555	0.028080	0.039352	0.027126	0.027973	
675	0.038157	0.041254	0.032736	0.029373	0.035747	0.025426	0.027816	0.037452	0.025158	0.026926	
680	0.039109	0.041021	0.031835	0.029311	0.034275	0.026816	0.026764	0.038778	0.027272	0.027036	
