T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
105	0.001495	0.001141	0.001532	0.001998	0.001321	0.002200	0.001876	0.001971	0.001997	0.001657	
110	0.003281	0.004130	0.004043	0.003701	0.003449	0.003677	0.004366	0.004141	0.004300	0.005152	
115	0.005333	0.007169	0.006468	0.006227	0.004937	0.005669	0.007281	0.006333	0.007570	0.007249	
120	0.007923	0.011083	0.010545	0.009575	0.008791	0.008588	0.009620	0.010224	0.010742	0.010208	
125	0.010715	0.013894	0.015146	0.014614	0.010867	0.011770	0.010787	0.016177	0.014316	0.014182	
130	0.013287	0.017015	0.020289	0.018547	0.015004	0.015136	0.014595	0.021034	0.017325	0.017670	
135	0.017035	0.020840	0.022200	0.020873	0.018739	0.017429	0.017026	0.027466	0.021610	0.022631	
140	0.021684	0.025264	0.026053	0.024235	0.022032	0.021987	0.021053	0.032125	0.026877	0.027495	
145	0.025398	0.030048	0.030089	0.028798	0.025879	0.025900	0.024116	0.036758	0.032460	0.032462	
150	0.026565	0.035121	0.033859	0.031537	0.031613	0.031294	0.027862	0.041212	0.036486	0.036506	
155	0.030327	0.036728	0.040211	0.036774	0.036793	0.035614	0.033573	0.046969	0.037741	0.040708	
160	0.035180	0.040423	0.044126	0.041613	0.040016	0.042438	0.037534	0.049860	0.043703	0.048542	
165	0.041924	0.045255	0.049959	0.046558	0.045378	0.045182	0.040676	0.056497	0.050128	0.053928	
170	0.044921	0.051438	0.055819	0.052430	0.050590	0.049931	0.047332	0.064315	0.054552	0.062055	
175	0.048840	0.057667	0.062217	0.056676	0.052856	0.054622	0.052317	0.065770	0.057805	0.068060	
180	0.053331	0.060413	0.063561	0.060172	0.056578	0.057342	0.057221	0.069701	0.062191	0.073694	
185	0.059373	0.064690	0.065824	0.062324	0.061183	0.061580	0.063313	0.075407	0.065837	0.077012	
190	0.065950	0.065973	0.070280	0.067573	0.063602	0.063632	0.066537	0.078472	0.067737	0.081005	
195	0.068115	0.066971	0.072929	0.070556	0.064249	0.066235	0.071361	0.083371	0.070451	0.086358	
200	0.071297	0.070432	0.078840	0.075890	0.067707	0.071228	0.076527	0.086627	0.074455	0.088044	
205	0.075001	0.073548	0.083415	0.080112	0.070079	0.074342	0.079717	0.090054	0.078677	0.088741	
210	0.078724	0.075400	0.086507	0.080997	0.074417	0.075978	0.083032	0.094549	0.081638	0.093339	
215	0.081007	0.078430	0.088043	0.082214	0.078231	0.078557	0.086065	0.099268	0.082925	0.096329	
220	0.082543	0.081066	0.093162	0.083695	0.079969	0.080464	0.088735	0.100325	0.087320	0.102311	
225	0.085912	0.084680	0.095353	0.086625	0.083741	0.082847	0.092628	0.102942	0.088710	0.106446	
230	0.087032	0.088412	0.098338	0.088392	0.085883	0.085622	0.096130	0.106498	0.089418	0.110025	
235	0.091827	0.092186	0.099599	0.091719	0.088649	0.086925	0.098236	0.107248	0.094190	0.109793	
240	0.095494	0.091388	0.100318	0.093980	0.093903	0.088040	0.102546	0.108438	0.096008	0.111443	
245	0.097669	0.094124	0.101956	0.096994	0.095210	0.089816	0.103608	0.111293	0.096166	0.115710	
250	0.099421	0.097333	0.105058	0.097563	0.098272	0.095175	0.105664	0.112296	0.098168	0.115187	
255	0.102537	0.098733	0.108596	0.100406	0.100348	0.097677	0.109857	0.113242	0.100200	0.117168	
260	0.105431	0.101305	0.110201	0.102511	0.104258	0.098482	0.111960	0.114707	0.101448	0.118377	
265	0.107371	0.105471	0.113311	0.101931	0.104264	0.099167	0.111610	0.115270	0.103499	0.121730	
270	0.108240	0.110018	0.115069	0.105069	0.107636	0.102694	0.114658	0.115893	0.107690	0.123968	
275	0.112118	0.113816	0.117705	0.105356	0.109796	0.103444	0.115248	0.117824	0.110135	0.125910	
280	0.115265	0.117596	0.118154	0.105588	0.110451	0.107972	0.117793	0.121543	0.114599	0.126928	
285	0.116836	0.120305	0.122928	0.108406	0.113648	0.110417	0.118581	0.123870	0.118008	0.126978	
290	0.118525	0.121451	0.125713	0.111304	0.117062	0.111400	0.121922	0.126131	0.119358	0.127586	
295	0.121805	0.124835	0.129103	0.114298	0.121554	0.115550	0.124330	0.128791	0.120837	0.128888	
300	0.122690	0.128344	0.131025	0.117440	0.123104	0.117056	0.125779	0.131624	0.121842	0.131849	
305	0.122310	0.130648	0.132743	0.118999	0.127685	0.119497	0.127647	0.133778	0.124108	0.135359	
310	0.125203	0.133959	0.134171	0.123028	0.130493	0.119864	0.128877	0.135779	0.126940	0.139478	
315	0.129321	0.139497	0.136131	0.124777	0.132268	0.123748	0.128046	0.134611	0.130174	0.140166	
320	0.131256	0.141002	0.136293	0.126285	0.133148	0.126094	0.132910	0.139065	0.132612	0.142350	
325	0.136203	0.144603	0.139004	0.127596	0.134508	0.127462	0.136244	0.144624	0.136219	0.144463	
330	0.139494	0.145831	0.140428	0.129619	0.134630	0.124906	0.139927	0.146436	0.136180	0.146759	
335	0.139658	0.149997	0.141573	0.132884	0.138369	0.127242	0.142000	0.148856	0.139703	0.148986	
340	0.141010	0.151631	0.146203	0.136140	0.136902	0.127478	0.142853	0.152109	0.143815	0.150564	
345	0.145094	0.152727	0.145433	0.137889	0.140446	0.130493	0.144226	0.151158	0.143527	0.152932	
350	0.147346	0.152504	0.144959	0.139087	0.141232	0.133426	0.147823	0.151755	0.147257	0.156716	
355	0.147395	0.155271	0.146450	0.141740	0.143156	0.137289	0.149203	0.152149	0.151656	0.156725	
360	0.147268	0.159875	0.145111	0.146731	0.147881	0.141863	0.151064	0.152857	0.155051	0.159461	
365	0.151442	0.158382	0.149216	0.147669	0.148931	0.139871	0.150629	0.156242	0.155690	0.160655	
370	0.152011	0.161179	0.151433	0.150031	0.150498	0.141544	0.153794	0.158975	0.159764	0.163911	
375	0.154122	0.164755	0.153528	0.151476	0.153650	0.144274	0.154786	0.159714	0.160299	0.165096	
380	0.155422	0.165986	0.155852	0.156314	0.156846	0.145693	0.158995	0.163375	0.163595	0.163053	
385	0.155676	0.166496	0.161994	0.156809	0.160546	0.148826	0.160899	0.168134	0.163750	0.164693	
390	0.156909	0.166861	0.163730	0.160847	0.164806	0.151681	0.163965	0.168060	0.168235	0.166906	
395	0.160688	0.168583	0.162755	0.164412	0.168472	0.153239	0.164935	0.171459	0.171518	0.167675	
400	0.163400	0.169301	0.165685	0.164855	0.172717	0.154644	0.167701	0.173856	0.170556	0.167222	
405	0.164440	0.171885	0.167810	0.166199	0.172198	0.158916	0.170085	0.175784	0.173384	0.167391	
410	0.166227	0.173046	0.169338	0.169105	0.173718	0.160763	0.173581	0.178888	0.173814	0.167489	
415	0.169653	0.173870	0.171615	0.170306	0.174362	0.160656	0.174004	0.180830	0.173761	0.171473	
420	0.170092	0.173262	0.172000	0.171722	0.173373	0.163569	0.175851	0.181469	0.177292	0.170508	
425	0.171750	0.172110	0.173324	0.174441	0.173797	0.163281	0.181279	0.185808	0.178591	0.174017	
430	0.173794	0.172971	0.175310	0.177368	0.174502	0.163409	0.187822	0.187614	0.179332	0.171628	
435	0.174427	0.176042	0.173163	0.180580	0.178306	0.165421	0.187532	0.189515	0.179706	0.177684	
440	0.175914	0.173262	0.174407	0.181625	0.180386	0.168050	0.190680	0.188934	0.180558	0.181597	
445	0.179067	0.173416	0.176335	0.183451	0.180884	0.170164	0.193104	0.190716	0.181979	0.181225	
450	0.181687	0.178545	0.177920	0.182464	0.183729	0.170349	0.190097	0.188803	0.181517	0.186188	
455	0.183226	0.178263	0.179991	0.186348	0.186026	0.173517	0.191005	0.191106	0.182610	0.188686	
460	0.185992	0.180996	0.179534	0.187949	0.186976	0.173502	0.193277	0.192997	0.187769	0.187603	
465	0.186634	0.180890	0.183851	0.189573	0.187336	0.172476	0.197898	0.195124	0.191363	0.188859	
470	0.186872	0.182253	0.189286	0.191662	0.189556	0.174535	0.198325	0.198471	0.191588	0.190314	
475	0.190404	0.185821	0.192486	0.194522	0.190520	0.177051	0.201003	0.198583	0.190214	0.194502	
480	0.192923	0.187285	0.192502	0.198261	0.192608	0.180561	0.206294	0.200455	0.192025	0.195921	
485	0.193447	0.188748	0.193768	0.197460	0.194136	0.182590	0.206388	0.198858	0.192929	0.196103	
490	0.194870	0.188614	0.195216	0.199745	0.194607	0.182568	0.205303	0.200188	0.192312	0.197396	
495	0.198021	0.187509	0.198311	0.200892	0.196495	0.185450	0.206365	0.199929	0.194385	0.201184	
500	0.200259	0.186611	0.198422	0.206292	0.200132	0.188194	0.211658	0.202615	0.194733	0.202665	
505	0.202929	0.192266	0.199516	0.207244	0.200228	0.190827	0.212322	0.205382	0.198009	0.203381	
510	0.207443	0.193457	0.203457	0.208417	0.203336	0.189804	0.214493	0.204865	0.202211	0.207122	
515	0.207039	0.194632	0.205177	0.210189	0.206457	0.190810	0.216126	0.207144	0.203549	0.207722	
520	0.212637	0.198004	0.207963	0.212047	0.204948	0.193210	0.220657	0.210103	0.203874	0.209962	
525	0.211978	0.197898	0.208944	0.212822	0.205567	0.191364	0.221155	0.211250	0.205032	0.211083	
530	0.213099	0.198756	0.209420	0.211967	0.206572	0.194100	0.221610	0.214061	0.202883	0.212728	
535	0.217658	0.199539	0.212269	0.215087	0.207210	0.197480	0.223552	0.215349	0.201032	0.216710	
540	0.220147	0.199351	0.216767	0.215359	0.210439	0.200810	0.224768	0.217135	0.202606	0.220168	
545	0.220936	0.200843	0.218485	0.217144	0.211082	0.202692	0.223853	0.218543	0.201594	0.222011	
550	0.224266	0.205846	0.222904	0.217738	0.212244	0.205480	0.223722	0.224147	0.205398	0.225148	
555	0.225037	0.205102	0.220933	0.221239	0.214663	0.204373	0.225463	0.224522	0.207848	0.226008	
560	0.225185	0.206130	0.223417	0.223513	0.213619	0.207639	0.225672	0.226228	0.207074	0.229845	
565	0.227446	0.207526	0.223656	0.223956	0.215150	0.205015	0.225531	0.226739	0.206667	0.231481	
570	0.229173	0.210712	0.224335	0.225631	0.215743	0.205657	0.224818	0.228669	0.208595	0.232584	
575	0.230496	0.209810	0.226661	0.229171	0.218100	0.204382	0.226109	0.227955	0.208897	0.233603	
580	0.231742	0.212879	0.226818	0.231075	0.221704	0.206876	0.227328	0.228683	0.212089	0.233483	
585	0.233257	0.211377	0.228302	0.232249	0.225136	0.210685	0.230245	0.227820	0.214298	0.234241	
590	0.233490	0.213751	0.226788	0.236475	0.226506	0.214843	0.232337	0.230807	0.213796	0.233019	
595	0.236895	0.218073	0.224687	0.236491	0.228110	0.213998	0.232741	0.229395	0.213328	0.230785	
600	0.239794	0.222984	0.225320	0.236724	0.227144	0.213900	0.231334	0.232366	0.215935	0.232011	
605	0.241556	0.225290	0.224056	0.236911	0.231549	0.214497	0.234887	0.233500	0.218928	0.231926	
610	0.243872	0.225211	0.224405	0.236723	0.232503	0.215758	0.235026	0.235779	0.219343	0.235366	
615	0.241098	0.228033	0.226147	0.241911	0.235698	0.219512	0.235608	0.239093	0.218943	0.233037	
620	0.245786	0.230423	0.226784	0.242533	0.241014	0.222169	0.239387	0.241273	0.222362	0.234140	
625	0.248972	0.230391	0.226933	0.239332	0.239383	0.222503	0.244377	0.245637	0.221338	0.232938	
630	0.250546	0.231923	0.228085	0.239492	0.241140	0.225071	0.246035	0.246333	0.220941	0.231629	
635	0.252188	0.234865	0.229528	0.239968	0.241250	0.227195	0.249647	0.248322	0.222474	0.234871	
640	0.250694	0.233418	0.233224	0.241409	0.240612	0.228238	0.251954	0.247146	0.222036	0.235293	
645	0.247105	0.237294	0.232786	0.240695	0.241177	0.227879	0.252389	0.247526	0.224841	0.236217	
650	0.248919	0.240803	0.234958	0.243279	0.243881	0.229202	0.255175	0.247452	0.224861	0.236637	
655	0.250351	0.242035	0.234789	0.245735	0.244647	0.230542	0.255338	0.248793	0.224057	0.238554	
660	0.252609	0.241011	0.234788	0.247984	0.248033	0.229939	0.254427	0.249370	0.225138	0.240963	
665	0.255715	0.241887	0.237785	0.248625	0.250765	0.232837	0.254718	0.248667	0.225539	0.242939	
670	0.255749	0.242554	0.239388	0.248992	0.253481	0.237964	0.255271	0.249324	0.223924	0.246988	
675	0.258759	0.246394	0.235630	0.248188	0.253338	0.241686	0.254288	0.249389	0.226028	0.246026	
680	0.259473	0.246274	0.239602	0.251606	0.253019	0.242077	0.255945	0.251111	0.225502	0.249875	
