T	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10
5	0.106169	0.104296	0.091283	0.109632	0.094557	0.090714	0.107248	0.104159	0.100560	0.105103	
10	0.228875	0.228045	0.218503	0.253824	0.214706	0.255031	0.253881	0.199239	0.204840	0.216844	
15	0.333304	0.296012	0.285960	0.392737	0.377615	0.316018	0.332533	0.300663	0.252046	0.331865	
20	0.416320	0.391942	0.375438	0.569379	0.439975	0.360726	0.497492	0.403091	0.336578	0.415804	
25	0.481013	0.482958	0.472026	0.611699	0.471314	0.442325	0.730340	0.456495	0.430138	0.449985	
30	0.551308	0.558608	0.553965	0.636787	0.523169	0.519026	0.830410	0.516213	0.489594	0.495925	
35	0.629886	0.621229	0.637539	0.667118	0.602837	0.565540	0.864433	0.582576	0.546030	0.575896	
40	0.699406	0.681682	0.714232	0.703827	0.669144	0.608141	0.882490	0.630367	0.609283	0.656361	
45	0.757225	0.727480	0.761974	0.748795	0.713849	0.649913	0.883141	0.668521	0.667776	0.710660	
50	0.799074	0.758961	0.795693	0.780638	0.744162	0.688201	0.885146	0.700644	0.708938	0.749326	
55	0.826098	0.780812	0.817102	0.812766	0.768248	0.713997	0.881406	0.727810	0.740128	0.782778	
60	0.841090	0.797677	0.835613	0.829099	0.793781	0.738456	0.880057	0.756960	0.768948	0.813208	
65	0.854849	0.810185	0.853886	0.838574	0.812716	0.758585	0.881481	0.782210	0.791484	0.831331	
70	0.860105	0.819508	0.858683	0.850048	0.824073	0.774891	0.882043	0.806364	0.808042	0.844816	
75	0.861732	0.828351	0.861442	0.854644	0.834415	0.790003	0.882181	0.828157	0.821802	0.853189	
80	0.862291	0.835816	0.866989	0.858533	0.845329	0.801195	0.882987	0.842328	0.831315	0.862850	
85	0.866063	0.844448	0.867982	0.857407	0.849127	0.814673	0.880674	0.848155	0.836578	0.865309	
90	0.864749	0.847172	0.867831	0.860344	0.854715	0.825312	0.875844	0.852830	0.844654	0.869576	
